# satellite: 41587 CZ-3B R/B / PRC
# catalogue: 1 NORAD
# track: 16857319
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1107
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-11-20 18:10:25.089000 3.28 6.85506 Clear 0 5140.519 90.906 7
2019-11-20 18:10:25.189000 3.366 6.94051 Clear 0 5139.958 90.901 7
2019-11-20 18:10:25.289000 3.363 6.93692 Clear 0 5139.397 90.897 7
2019-11-20 18:10:25.389000 3.615 7.18919 Clear 0 5138.836 90.893 7
2019-11-20 18:10:25.489000 3.525 7.09931 Clear 0 5138.275 90.888 7
2019-11-20 18:10:25.589000 2.995 6.56819 Clear 0 5137.713 90.884 7
2019-11-20 18:10:25.689000 2.558 6.13047 Clear 0 5137.152 90.88 7
2019-11-20 18:10:25.789000 3.397 6.96946 Clear 0 5136.591 90.876 7
2019-11-20 18:10:25.889000 3.067 6.63848 Clear 0 5136.03 90.871 7
2019-11-20 18:10:25.989000 3.853 7.42465 Clear 0 5135.469 90.867 7
2019-11-20 18:10:26.089000 2.851 6.42326 Clear 0 5134.908 90.863 7
2019-11-20 18:10:26.189000 3.062 6.63305 Clear 0 5134.347 90.858 7
2019-11-20 18:10:26.289000 3.494 7.06462 Clear 0 5133.786 90.854 7
2019-11-20 18:10:26.389000 3.372 6.94335 Clear 0 5133.225 90.85 7
2019-11-20 18:10:26.489000 2.829 6.39864 Clear 0 5132.664 90.846 7
2019-11-20 18:10:26.589000 2.651 6.22077 Clear 0 5132.103 90.841 7
2019-11-20 18:10:26.689000 2.889 6.45933 Clear 0 5131.542 90.837 7
2019-11-20 18:10:26.789000 2.901 6.47043 Clear 0 5130.981 90.833 7
2019-11-20 18:10:26.889000 3.085 6.65362 Clear 0 5130.42 90.828 7
2019-11-20 18:10:26.989000 3.031 6.60034 Clear 0 5129.859 90.824 7
2019-11-20 18:10:27.089000 2.838 6.40705 Clear 0 5129.299 90.82 7
2019-11-20 18:10:27.189000 2.695 6.26322 Clear 0 5128.738 90.816 7
2019-11-20 18:10:27.289000 2.729 6.29709 Clear 0 5128.177 90.811 7
2019-11-20 18:10:27.389000 3.439 7.00661 Clear 0 5127.616 90.807 7
2019-11-20 18:10:27.489000 3.298 6.86543 Clear 0 5127.056 90.803 7
2019-11-20 18:10:27.589000 3.158 6.72536 Clear 0 5126.495 90.798 7
2019-11-20 18:10:27.689000 2.974 6.54049 Clear 0 5125.934 90.794 7
2019-11-20 18:10:27.789000 3.707 7.27271 Clear 0 5125.373 90.79 7
2019-11-20 18:10:27.889000 2.781 6.34695 Clear 0 5124.813 90.785 7
2019-11-20 18:10:27.989000 3.361 6.92735 Clear 0 5124.252 90.781 7
2019-11-20 18:10:28.089000 2.753 6.31789 Clear 0 5123.692 90.777 7
2019-11-20 18:10:28.189000 2.474 6.0385 Clear 0 5123.131 90.772 7
2019-11-20 18:10:28.289000 2.734 6.29887 Clear 0 5122.571 90.768 7
2019-11-20 18:10:28.389000 2.832 6.39589 Clear 0 5122.01 90.764 7
2019-11-20 18:10:28.489000 3.355 6.91935 Clear 0 5121.449 90.76 7
2019-11-20 18:10:28.589000 3.069 6.63248 Clear 0 5120.889 90.755 7
2019-11-20 18:10:28.689000 3.069 6.63219 Clear 0 5120.329 90.751 7
2019-11-20 18:10:28.789000 3.185 6.74793 Clear 0 5119.768 90.747 7
2019-11-20 18:10:28.889000 2.52 6.08342 Clear 0 5119.208 90.742 7
2019-11-20 18:10:28.989000 3.361 6.92325 Clear 0 5118.647 90.738 7
2019-11-20 18:10:29.089000 2.778 6.34007 Clear 0 5118.087 90.734 7
2019-11-20 18:10:29.189000 2.524 6.08618 Clear 0 5117.527 90.729 7
2019-11-20 18:10:29.289000 2.841 6.40186 Clear 0 5116.966 90.725 7
2019-11-20 18:10:29.389000 2.357 5.91824 Clear 0 5116.406 90.721 7
2019-11-20 18:10:29.489000 2.626 6.18652 Clear 0 5115.846 90.716 7
2019-11-20 18:10:29.589000 2.387 5.94831 Clear 0 5115.286 90.712 7
2019-11-20 18:10:29.789000 2.842 6.40197 Clear 0 5114.165 90.704 7
2019-11-20 18:10:29.889000 2.657 6.21662 Clear 0 5113.605 90.699 7
2019-11-20 18:10:29.989000 3.076 6.63534 Clear 0 5113.045 90.695 7
2019-11-20 18:10:30.089000 2.544 6.10331 Clear 0 5112.485 90.691 7
2019-11-20 18:10:30.189000 2.125 5.68383 Clear 0 5111.925 90.686 7
2019-11-20 18:10:30.289000 3.095 6.65264 Clear 0 5111.364 90.682 7
2019-11-20 18:10:30.389000 2.523 6.08127 Clear 0 5110.804 90.678 7
2019-11-20 18:10:30.489000 2.449 6.00651 Clear 0 5110.244 90.673 7
2019-11-20 18:10:30.589000 2.951 6.50838 Clear 0 5109.684 90.669 7
2019-11-20 18:10:30.689000 2.556 6.11334 Clear 0 5109.124 90.665 7
2019-11-20 18:10:30.789000 3.2 6.75666 Clear 0 5108.564 90.66 7
2019-11-20 18:10:30.889000 2.281 5.83668 Clear 0 5108.005 90.656 7
2019-11-20 18:10:30.989000 2.538 6.09398 Clear 0 5107.445 90.652 7
2019-11-20 18:10:31.089000 2.537 6.09319 Clear 0 5106.885 90.647 7
2019-11-20 18:10:31.189000 2.476 6.03111 Clear 0 5106.325 90.643 7
2019-11-20 18:10:31.289000 2.711 6.26587 Clear 0 5105.765 90.639 7
2019-11-20 18:10:31.389000 2.151 5.70621 Clear 0 5105.205 90.634 7
2019-11-20 18:10:31.489000 3.245 6.79875 Clear 0 5104.645 90.63 7
2019-11-20 18:10:31.589000 2.81 6.36373 Clear 0 5104.086 90.626 7
2019-11-20 18:10:31.689000 2.608 6.16202 Clear 0 5103.526 90.621 7
2019-11-20 18:10:31.789000 2.514 6.06725 Clear 0 5102.966 90.617 7
2019-11-20 18:10:31.889000 2.627 6.17998 Clear 0 5102.406 90.613 7
2019-11-20 18:10:31.989000 2.423 5.97631 Clear 0 5101.847 90.608 7
2019-11-20 18:10:32.089000 2.889 6.44134 Clear 0 5101.287 90.604 7
2019-11-20 18:10:32.189000 2.894 6.44557 Clear 0 5100.727 90.6 7
2019-11-20 18:10:32.289000 3.053 6.60519 Clear 0 5100.168 90.595 7
2019-11-20 18:10:32.389000 2.755 6.30664 Clear 0 5099.608 90.591 7
2019-11-20 18:10:32.489000 2.011 5.56204 Clear 0 5099.049 90.587 7
2019-11-20 18:10:32.589000 2.987 6.53763 Clear 0 5098.489 90.582 7
2019-11-20 18:10:32.689000 2.64 6.19065 Clear 0 5097.93 90.578 7
2019-11-20 18:10:32.789000 2.905 6.45542 Clear 0 5097.37 90.574 7
2019-11-20 18:10:32.889000 2.736 6.28575 Clear 0 5096.811 90.569 7
2019-11-20 18:10:32.989000 2.928 6.47801 Clear 0 5096.251 90.565 7
2019-11-20 18:10:33.089000 2.578 6.12679 Clear 0 5095.692 90.561 7
2019-11-20 18:10:33.189000 2.768 6.31692 Clear 0 5095.133 90.556 7
2019-11-20 18:10:33.289000 2.928 6.47689 Clear 0 5094.573 90.552 7
2019-11-20 18:10:33.389000 2.569 6.11655 Clear 0 5094.014 90.548 7
2019-11-20 18:10:33.489000 2.095 5.64335 Clear 0 5093.455 90.543 7
2019-11-20 18:10:33.589000 1.909 5.45691 Clear 0 5092.895 90.539 7
2019-11-20 18:10:33.689000 2.412 5.95885 Clear 0 5092.336 90.535 7
2019-11-20 18:10:33.789000 2.992 6.53908 Clear 0 5091.777 90.53 7
2019-11-20 18:10:33.889000 2.198 5.74476 Clear 0 5091.218 90.526 7
2019-11-20 18:10:33.989000 2.653 6.19882 Clear 0 5090.658 90.522 7
2019-11-20 18:10:34.089000 2.617 6.16333 Clear 0 5090.099 90.517 7
2019-11-20 18:10:34.189000 3.072 6.61775 Clear 0 5089.54 90.513 7
2019-11-20 18:10:34.289000 3.268 6.81343 Clear 0 5088.981 90.509 7
