# satellite: 41837 H-2A R/B / JPN
# catalogue: 1 NORAD
# track: 13291875
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 456
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-06-24 23:31:11.597000 3.555 9.25225 Clear 0 17846.535 47.17 7
2018-06-24 23:31:11.697000 3.978 9.67486 Clear 0 17846.815 47.171 7
2018-06-24 23:31:11.797000 3.908 9.60521 Clear 0 17847.095 47.172 7
2018-06-24 23:31:11.897000 3.788 9.48498 Clear 0 17847.375 47.173 7
2018-06-24 23:31:11.997000 3.406 9.10277 Clear 0 17847.654 47.174 7
2018-06-24 23:31:12.097000 3.614 9.31121 Clear 0 17847.934 47.175 7
2018-06-24 23:31:12.197000 3.836 9.53341 Clear 0 17848.214 47.176 7
2018-06-24 23:31:12.297000 3.762 9.4586 Clear 0 17848.493 47.177 7
2018-06-24 23:31:12.397000 3.614 9.31162 Clear 0 17848.773 47.178 7
2018-06-24 23:31:12.497000 3.331 9.02926 Clear 0 17849.053 47.178 7
2018-06-24 23:31:12.597000 3.483 9.18081 Clear 0 17849.333 47.179 7
2018-06-24 23:31:12.697000 3.255 8.95321 Clear 0 17849.612 47.18 7
2018-06-24 23:31:12.797000 3.453 9.15129 Clear 0 17849.892 47.181 7
2018-06-24 23:31:12.897000 3.401 9.09924 Clear 0 17850.172 47.182 7
2018-06-24 23:31:12.997000 3.07 8.76755 Clear 0 17850.451 47.183 7
2018-06-24 23:31:13.097000 3.287 8.98484 Clear 0 17850.731 47.184 7
2018-06-24 23:31:13.197000 2.913 8.61045 Clear 0 17851.011 47.185 7
2018-06-24 23:31:13.297000 2.721 8.41849 Clear 0 17851.29 47.186 7
2018-06-24 23:31:13.397000 2.459 8.15728 Clear 0 17851.57 47.187 7
2018-06-24 23:31:13.497000 2.519 8.21655 Clear 0 17851.85 47.188 7
2018-06-24 23:31:13.597000 1.99 7.68767 Clear 0 17852.129 47.188 7
2018-06-24 23:31:13.697000 1.83 7.52787 Clear 0 17852.409 47.189 7
2018-06-24 23:31:13.797000 2.051 7.74911 Clear 0 17852.689 47.19 7
2018-06-24 23:31:13.897000 1.997 7.69494 Clear 0 17852.968 47.191 7
2018-06-24 23:31:13.997000 2.398 8.09563 Clear 0 17853.248 47.192 7
2018-06-24 23:31:14.097000 2.978 8.676 Clear 0 17853.528 47.193 7
2018-06-24 23:31:14.197000 2.982 8.67948 Clear 0 17853.807 47.194 7
2018-06-24 23:31:14.297000 2.969 8.66696 Clear 0 17854.087 47.195 7
2018-06-24 23:31:14.397000 3.191 8.88853 Clear 0 17854.367 47.196 7
2018-06-24 23:31:14.497000 3.04 8.73818 Clear 0 17854.646 47.197 7
2018-06-24 23:31:14.597000 3.236 8.93386 Clear 0 17854.926 47.198 7
2018-06-24 23:31:14.697000 3.414 9.11182 Clear 0 17855.205 47.198 7
2018-06-24 23:31:14.797000 3.773 9.47234 Clear 0 17855.485 47.199 7
2018-06-24 23:31:14.897000 3.753 9.45163 Clear 0 17855.765 47.2 7
2018-06-24 23:31:14.997000 3.462 9.16114 Clear 0 17856.044 47.201 7
2018-06-24 23:31:15.097000 3.816 9.5154 Clear 0 17856.324 47.202 7
2018-06-24 23:31:15.197000 3.817 9.51619 Clear 0 17856.604 47.203 7
2018-06-24 23:31:15.397000 3.601 9.29949 Clear 0 17857.163 47.205 7
2018-06-24 23:31:15.697000 4.02 9.71921 Clear 0 17858.002 47.208 7
2018-06-24 23:31:16.197000 3.966 9.66508 Clear 0 17859.4 47.212 7
2018-06-24 23:31:17.197000 3.991 9.69144 Clear 0 17862.195 47.221 7
2018-06-24 23:31:17.597000 4.115 9.81464 Clear 0 17863.314 47.225 7
2018-06-24 23:31:17.897000 3.944 9.64371 Clear 0 17864.152 47.227 7
2018-06-24 23:31:17.997000 3.735 9.43541 Clear 0 17864.432 47.228 7
2018-06-24 23:31:18.497000 3.927 9.62687 Clear 0 17865.83 47.233 7
2018-06-24 23:31:18.597000 3.804 9.50391 Clear 0 17866.109 47.234 7
2018-06-24 23:31:18.697000 3.479 9.17889 Clear 0 17866.389 47.235 7
2018-06-24 23:31:18.797000 3.342 9.04179 Clear 0 17866.668 47.236 7
2018-06-24 23:31:18.897000 3.984 9.68357 Clear 0 17866.948 47.237 7
2018-06-24 23:31:18.997000 3.583 9.28254 Clear 0 17867.227 47.237 7
2018-06-24 23:31:19.097000 3.558 9.25812 Clear 0 17867.507 47.238 7
2018-06-24 23:31:19.197000 3.444 9.14407 Clear 0 17867.786 47.239 7
2018-06-24 23:31:19.297000 3.438 9.13783 Clear 0 17868.066 47.24 7
2018-06-24 23:31:19.397000 3.799 9.49937 Clear 0 17868.345 47.241 7
2018-06-24 23:31:19.497000 3.762 9.4622 Clear 0 17868.625 47.242 7
2018-06-24 23:31:19.597000 3.258 8.95921 Clear 0 17868.904 47.243 7
2018-06-24 23:31:19.797000 3.702 9.40337 Clear 0 17869.463 47.245 7
2018-06-24 23:31:19.897000 3.966 9.66674 Clear 0 17869.743 47.246 7
2018-06-24 23:31:19.997000 3.535 9.23631 Clear 0 17870.022 47.246 7
2018-06-24 23:31:20.097000 3.451 9.15218 Clear 0 17870.302 47.247 7
2018-06-24 23:31:20.197000 4.013 9.71443 Clear 0 17870.581 47.248 7
2018-06-24 23:31:20.297000 3.743 9.44399 Clear 0 17870.861 47.249 7
2018-06-24 23:31:20.397000 3.862 9.56319 Clear 0 17871.14 47.25 7
2018-06-24 23:31:20.497000 3.696 9.39699 Clear 0 17871.42 47.251 7
2018-06-24 23:31:20.597000 3.952 9.65319 Clear 0 17871.699 47.252 7
2018-06-24 23:31:20.697000 3.671 9.37148 Clear 0 17871.979 47.253 7
2018-06-24 23:31:20.897000 3.934 9.63494 Clear 0 17872.538 47.255 7
2018-06-24 23:31:21.097000 3.94 9.64093 Clear 0 17873.096 47.256 7
2018-06-24 23:31:21.197000 3.801 9.50149 Clear 0 17873.376 47.257 7
2018-06-24 23:31:21.297000 3.868 9.56918 Clear 0 17873.655 47.258 7
2018-06-24 23:31:21.397000 4.251 9.95188 Clear 0 17873.935 47.259 7
2018-06-24 23:31:21.497000 3.358 9.0594 Clear 0 17874.214 47.26 7
2018-06-24 23:31:21.697000 3.691 9.3915 Clear 0 17874.773 47.262 7
2018-06-24 23:31:21.797000 3.574 9.27489 Clear 0 17875.053 47.263 7
2018-06-24 23:31:21.897000 3.477 9.1778 Clear 0 17875.332 47.264 7
2018-06-24 23:31:21.997000 3.927 9.62871 Clear 0 17875.611 47.265 7
2018-06-24 23:31:22.197000 3.882 9.58352 Clear 0 17876.17 47.266 7
2018-06-24 23:31:22.297000 4.046 9.74826 Clear 0 17876.45 47.267 7
2018-06-24 23:31:22.397000 3.522 9.22409 Clear 0 17876.729 47.268 7
2018-06-24 23:31:22.497000 3.375 9.0772 Clear 0 17877.009 47.269 7
2018-06-24 23:31:22.597000 3.568 9.27008 Clear 0 17877.288 47.27 7
2018-06-24 23:31:22.697000 3.714 9.41551 Clear 0 17877.567 47.271 7
2018-06-24 23:31:22.797000 3.786 9.48839 Clear 0 17877.847 47.272 7
2018-06-24 23:31:22.897000 3.691 9.39285 Clear 0 17878.126 47.273 7
2018-06-24 23:31:22.997000 3.667 9.36914 Clear 0 17878.406 47.274 7
2018-06-24 23:31:23.097000 3.98 9.6815 Clear 0 17878.685 47.275 7
2018-06-24 23:31:23.297000 3.92 9.62215 Clear 0 17879.244 47.276 7
2018-06-24 23:31:23.397000 3.427 9.12908 Clear 0 17879.523 47.277 7
2018-06-24 23:31:23.497000 3.716 9.41761 Clear 0 17879.803 47.278 7
2018-06-24 23:31:23.697000 3.54 9.24211 Clear 0 17880.361 47.28 7
2018-06-24 23:31:23.897000 3.742 9.44403 Clear 0 17880.92 47.282 7
2018-06-24 23:31:23.997000 4.096 9.79753 Clear 0 17881.2 47.283 7
2018-06-24 23:31:24.097000 3.817 9.51868 Clear 0 17881.479 47.284 7
2018-06-24 23:31:24.297000 4.015 9.71688 Clear 0 17882.038 47.285 7
2018-06-24 23:31:24.797000 3.641 9.34432 Clear 0 17883.434 47.29 7
2018-06-24 23:31:25.297000 3.864 9.5673 Clear 0 17884.831 47.294 7
2018-06-24 23:31:25.497000 4.278 9.9812 Clear 0 17885.39 47.296 7
2018-06-24 23:31:25.697000 3.578 9.28071 Clear 0 17885.949 47.298 7
2018-06-24 23:31:26.397000 4.112 9.81489 Clear 0 17887.904 47.304 7
2018-06-24 23:31:26.497000 4.034 9.73722 Clear 0 17888.183 47.305 7
2018-06-24 23:31:26.597000 4.157 9.86035 Clear 0 17888.462 47.306 7
2018-06-24 23:31:26.697000 3.613 9.31594 Clear 0 17888.742 47.307 7
2018-06-24 23:31:27.197000 3.834 9.53757 Clear 0 17890.138 47.312 7
2018-06-24 23:31:27.497000 4.109 9.81321 Clear 0 17890.976 47.314 7
2018-06-24 23:31:27.597000 4.196 9.89958 Clear 0 17891.255 47.315 7
2018-06-24 23:31:27.997000 4.099 9.80327 Clear 0 17892.372 47.319 7
2018-06-24 23:31:28.097000 4.222 9.92568 Clear 0 17892.652 47.32 7
2018-06-24 23:31:28.297000 3.796 9.50035 Clear 0 17893.21 47.322 7
2018-06-24 23:31:28.797000 3.83 9.5337 Clear 0 17894.606 47.326 7
2018-06-24 23:31:28.897000 3.89 9.59386 Clear 0 17894.886 47.327 7
2018-06-24 23:31:29.097000 3.821 9.52496 Clear 0 17895.444 47.329 7
2018-06-24 23:31:58.696000 4.138 9.85477 Clear 0 17977.972 47.595 7
2018-06-24 23:31:58.796000 3.923 9.64022 Clear 0 17978.251 47.595 7
2018-06-24 23:31:58.896000 3.657 9.37415 Clear 0 17978.529 47.596 7
2018-06-24 23:31:58.996000 3.582 9.29863 Clear 0 17978.807 47.597 7
2018-06-24 23:31:59.496000 4.104 9.82107 Clear 0 17980.199 47.602 7
2018-06-24 23:31:59.596000 3.799 9.51573 Clear 0 17980.478 47.603 7
2018-06-24 23:31:59.796000 4.232 9.94921 Clear 0 17981.035 47.604 7
2018-06-24 23:31:59.896000 3.594 9.31122 Clear 0 17981.313 47.605 7
2018-06-24 23:31:59.996000 3.625 9.34166 Clear 0 17981.591 47.606 7
