# satellite: 41837 H-2A R/B / JPN
# catalogue: 1 NORAD
# track: 19233603
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 3012
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-05-19 00:13:19.496000 3.72 9.16861 Clear 0 13477.69 78.208 2
2021-05-19 00:13:19.596000 4.103 9.55239 Clear 0 13478.068 78.21 2
2021-05-19 00:13:19.696000 3.638 9.08695 Clear 0 13478.446 78.211 2
2021-05-19 00:13:19.796000 3.704 9.15277 Clear 0 13478.824 78.212 2
2021-05-19 00:13:20.096000 3.531 8.98021 Clear 0 13479.957 78.215 2
2021-05-19 00:13:20.196000 3.749 9.1984 Clear 0 13480.335 78.216 2
2021-05-19 00:13:20.496000 3.899 9.34907 Clear 0 13481.469 78.219 2
2021-05-19 00:13:20.796000 3.958 9.40816 Clear 0 13482.602 78.223 2
2021-05-19 00:13:20.896000 3.509 8.95924 Clear 0 13482.98 78.224 2
2021-05-19 00:13:20.996000 3.657 9.10739 Clear 0 13483.358 78.225 2
2021-05-19 00:13:21.096000 3.847 9.2968 Clear 0 13483.735 78.226 2
2021-05-19 00:13:21.296000 3.985 9.43465 Clear 0 13484.491 78.228 2
2021-05-19 00:13:21.396000 3.867 9.31683 Clear 0 13484.869 78.229 2
2021-05-19 00:13:21.496000 3.855 9.30534 Clear 0 13485.246 78.23 2
2021-05-19 00:13:21.796000 3.633 9.08383 Clear 0 13486.38 78.233 2
2021-05-19 00:13:21.896000 3.492 8.94274 Clear 0 13486.757 78.234 2
2021-05-19 00:13:21.996000 3.748 9.19926 Clear 0 13487.135 78.236 2
2021-05-19 00:13:22.296000 3.562 9.01318 Clear 0 13488.268 78.239 2
2021-05-19 00:13:22.396000 3.599 9.05019 Clear 0 13488.646 78.24 2
2021-05-19 00:13:22.496000 3.524 8.97528 Clear 0 13489.024 78.241 2
2021-05-19 00:13:22.596000 3.598 9.04868 Clear 0 13489.401 78.242 2
2021-05-19 00:13:22.696000 4.022 9.47287 Clear 0 13489.779 78.243 2
2021-05-19 00:13:22.896000 3.926 9.37719 Clear 0 13490.534 78.245 2
2021-05-19 00:13:22.996000 3.554 9.00448 Clear 0 13490.912 78.246 2
2021-05-19 00:13:23.096000 3.567 9.01902 Clear 0 13491.29 78.247 2
2021-05-19 00:13:23.296000 3.325 8.77674 Clear 0 13492.045 78.25 2
2021-05-19 00:13:23.396000 3.713 9.16525 Clear 0 13492.423 78.251 2
2021-05-19 00:13:23.496000 3.733 9.18468 Clear 0 13492.8 78.252 2
2021-05-19 00:13:23.696000 3.425 8.8766 Clear 0 13493.556 78.254 2
2021-05-19 00:13:23.896000 3.42 8.87212 Clear 0 13494.311 78.256 2
2021-05-19 00:13:24.096000 3.881 9.33332 Clear 0 13495.066 78.258 2
2021-05-19 00:13:24.196000 3.544 8.99585 Clear 0 13495.444 78.259 2
2021-05-19 00:13:24.296000 3.509 8.96132 Clear 0 13495.821 78.26 2
2021-05-19 00:13:24.396000 3.535 8.988 Clear 0 13496.199 78.262 2
2021-05-19 00:13:24.496000 3.699 9.15194 Clear 0 13496.577 78.263 2
2021-05-19 00:13:24.596000 3.986 9.43895 Clear 0 13496.954 78.264 2
2021-05-19 00:13:24.696000 3.527 8.98021 Clear 0 13497.332 78.265 2
2021-05-19 00:13:24.996000 3.579 9.03153 Clear 0 13498.465 78.268 2
2021-05-19 00:13:25.096000 3.514 8.96688 Clear 0 13498.842 78.269 2
2021-05-19 00:13:25.196000 3.742 9.19495 Clear 0 13499.22 78.27 2
2021-05-19 00:13:25.296000 3.375 8.82767 Clear 0 13499.597 78.271 2
2021-05-19 00:13:25.396000 3.888 9.34116 Clear 0 13499.975 78.272 2
2021-05-19 00:13:25.496000 3.809 9.26239 Clear 0 13500.352 78.273 2
2021-05-19 00:13:25.596000 3.933 9.38639 Clear 0 13500.73 78.275 2
2021-05-19 00:13:25.796000 3.508 8.96201 Clear 0 13501.485 78.277 2
2021-05-19 00:13:25.896000 3.94 9.3936 Clear 0 13501.863 78.278 2
2021-05-19 00:13:26.096000 3.572 9.02636 Clear 0 13502.618 78.28 2
2021-05-19 00:13:26.196000 3.485 8.93866 Clear 0 13502.995 78.281 2
2021-05-19 00:13:26.396000 3.893 9.34709 Clear 0 13503.75 78.283 2
2021-05-19 00:13:26.496000 3.505 8.95854 Clear 0 13504.128 78.284 2
2021-05-19 00:13:26.596000 3.981 9.43465 Clear 0 13504.505 78.285 2
2021-05-19 00:13:26.796000 3.513 8.96688 Clear 0 13505.26 78.287 2
2021-05-19 00:13:26.896000 3.46 8.91514 Clear 0 13505.637 78.289 2
2021-05-19 00:13:26.996000 3.385 8.84001 Clear 0 13506.015 78.29 2
2021-05-19 00:13:27.096000 3.512 8.96688 Clear 0 13506.392 78.291 2
2021-05-19 00:13:27.296000 3.696 9.15111 Clear 0 13507.147 78.293 2
2021-05-19 00:13:27.396000 3.863 9.31779 Clear 0 13507.525 78.294 2
2021-05-19 00:13:27.496000 3.702 9.15691 Clear 0 13507.902 78.295 2
2021-05-19 00:13:27.596000 3.566 9.02048 Clear 0 13508.28 78.296 2
2021-05-19 00:13:27.696000 3.664 9.11856 Clear 0 13508.657 78.297 2
2021-05-19 00:13:27.796000 3.954 9.40931 Clear 0 13509.035 78.298 2
2021-05-19 00:13:27.896000 3.728 9.18303 Clear 0 13509.412 78.299 2
2021-05-19 00:13:27.996000 3.681 9.13633 Clear 0 13509.789 78.3 2
2021-05-19 00:13:28.096000 3.971 9.42593 Clear 0 13510.167 78.302 2
2021-05-19 00:13:28.196000 3.541 8.99728 Clear 0 13510.544 78.303 2
2021-05-19 00:13:28.296000 3.747 9.20246 Clear 0 13510.922 78.304 2
2021-05-19 00:13:28.396000 3.704 9.15984 Clear 0 13511.299 78.305 2
2021-05-19 00:13:28.496000 3.878 9.33365 Clear 0 13511.676 78.306 2
2021-05-19 00:13:28.596000 3.569 9.02515 Clear 0 13512.054 78.307 2
2021-05-19 00:13:28.696000 3.794 9.24948 Clear 0 13512.431 78.308 2
2021-05-19 00:13:28.796000 3.478 8.93358 Clear 0 13512.808 78.309 2
2021-05-19 00:13:28.896000 3.957 9.41344 Clear 0 13513.186 78.31 2
2021-05-19 00:13:29.196000 3.623 9.07932 Clear 0 13514.318 78.313 2
2021-05-19 00:13:29.296000 3.393 8.84913 Clear 0 13514.695 78.314 2
2021-05-19 00:13:29.396000 3.682 9.13794 Clear 0 13515.073 78.316 2
2021-05-19 00:13:29.496000 3.935 9.39192 Clear 0 13515.45 78.317 2
2021-05-19 00:13:29.596000 3.676 9.13313 Clear 0 13515.827 78.318 2
2021-05-19 00:13:29.696000 3.469 8.92563 Clear 0 13516.205 78.319 2
2021-05-19 00:13:29.796000 3.241 8.69825 Clear 0 13516.582 78.32 2
2021-05-19 00:13:29.896000 3.55 9.00649 Clear 0 13516.959 78.321 2
2021-05-19 00:13:29.996000 3.389 8.84545 Clear 0 13517.337 78.322 2
2021-05-19 00:13:30.096000 3.571 9.02805 Clear 0 13517.714 78.323 2
2021-05-19 00:13:30.296000 3.535 8.99166 Clear 0 13518.468 78.325 2
2021-05-19 00:13:30.396000 3.376 8.83264 Clear 0 13518.846 78.326 2
2021-05-19 00:13:30.496000 3.491 8.94832 Clear 0 13519.223 78.327 2
2021-05-19 00:13:30.596000 3.719 9.17635 Clear 0 13519.6 78.328 2
2021-05-19 00:13:30.796000 3.373 8.83143 Clear 0 13520.355 78.331 2
2021-05-19 00:13:30.996000 3.169 8.62674 Clear 0 13521.109 78.333 2
2021-05-19 00:13:31.096000 3.728 9.18555 Clear 0 13521.487 78.334 2
2021-05-19 00:13:31.196000 3.471 8.92893 Clear 0 13521.864 78.335 2
2021-05-19 00:13:31.396000 3.64 9.09774 Clear 0 13522.618 78.337 2
2021-05-19 00:13:31.696000 3.854 9.31175 Clear 0 13523.75 78.34 2
2021-05-19 00:13:31.796000 3.677 9.13473 Clear 0 13524.127 78.341 2
2021-05-19 00:13:31.896000 3.532 8.99025 Clear 0 13524.504 78.343 2
2021-05-19 00:13:32.096000 3.738 9.19736 Clear 0 13525.259 78.345 2
2021-05-19 00:13:32.196000 3.738 9.19651 Clear 0 13525.636 78.346 2
2021-05-19 00:13:32.296000 3.643 9.10239 Clear 0 13526.013 78.347 2
2021-05-19 00:13:32.396000 3.436 8.89502 Clear 0 13526.39 78.348 2
2021-05-19 00:13:32.496000 3.749 9.20758 Clear 0 13526.768 78.349 2
2021-05-19 00:13:32.596000 3.597 9.05599 Clear 0 13527.145 78.35 2
2021-05-19 00:13:32.696000 3.362 8.82058 Clear 0 13527.522 78.351 2
2021-05-19 00:13:32.796000 3.602 9.06121 Clear 0 13527.899 78.352 2
2021-05-19 00:13:32.896000 3.654 9.11333 Clear 0 13528.276 78.353 2
2021-05-19 00:13:32.996000 3.482 8.94092 Clear 0 13528.653 78.354 2
2021-05-19 00:13:33.096000 3.413 8.87215 Clear 0 13529.03 78.355 2
2021-05-19 00:13:33.196000 3.819 9.27834 Clear 0 13529.408 78.357 2
2021-05-19 00:13:33.296000 4.04 9.49845 Clear 0 13529.785 78.358 2
2021-05-19 00:13:33.396000 3.624 9.0839 Clear 0 13530.162 78.359 2
2021-05-19 00:13:33.496000 3.745 9.20502 Clear 0 13530.539 78.36 2
2021-05-19 00:13:33.696000 3.645 9.10472 Clear 0 13531.293 78.362 2
2021-05-19 00:13:33.796000 3.685 9.14522 Clear 0 13531.67 78.363 2
2021-05-19 00:13:33.896000 3.918 9.37784 Clear 0 13532.047 78.364 2
2021-05-19 00:13:33.996000 3.891 9.35113 Clear 0 13532.425 78.365 2
2021-05-19 00:13:34.296000 4.145 9.60544 Clear 0 13533.556 78.368 2
2021-05-19 00:13:34.496000 3.723 9.18306 Clear 0 13534.31 78.37 2
2021-05-19 00:13:34.796000 3.603 9.06424 Clear 0 13535.441 78.374 2
2021-05-19 00:13:34.896000 3.723 9.1839 Clear 0 13535.818 78.375 2
2021-05-19 00:13:34.996000 3.752 9.21277 Clear 0 13536.195 78.376 2
2021-05-19 00:13:35.096000 3.486 8.947 Clear 0 13536.572 78.377 2
2021-05-19 00:13:35.196000 3.432 8.89249 Clear 0 13536.949 78.378 2
2021-05-19 00:13:35.296000 3.855 9.31556 Clear 0 13537.326 78.379 2
2021-05-19 00:13:35.396000 3.767 9.22836 Clear 0 13537.703 78.38 2
2021-05-19 00:13:35.496000 3.836 9.29681 Clear 0 13538.08 78.381 2
2021-05-19 00:13:35.595000 3.74 9.20079 Clear 0 13538.454 78.382 2
2021-05-19 00:13:35.795000 3.594 9.05453 Clear 0 13539.208 78.384 2
2021-05-19 00:13:35.895000 3.653 9.11414 Clear 0 13539.585 78.386 2
2021-05-19 00:13:35.995000 3.734 9.19569 Clear 0 13539.962 78.387 2
2021-05-19 00:13:36.095000 3.808 9.27018 Clear 0 13540.339 78.388 2
2021-05-19 00:13:36.195000 3.795 9.25666 Clear 0 13540.716 78.389 2
2021-05-19 00:13:36.596000 3.935 9.39704 Clear 0 13542.227 78.393 2
2021-05-19 00:13:36.695000 3.759 9.22054 Clear 0 13542.6 78.394 2
2021-05-19 00:13:36.895000 3.847 9.30896 Clear 0 13543.354 78.396 2
2021-05-19 00:13:37.095000 3.782 9.24419 Clear 0 13544.108 78.398 2
2021-05-19 00:13:37.195000 3.79 9.25219 Clear 0 13544.485 78.4 2
2021-05-19 00:13:37.295000 3.687 9.15008 Clear 0 13544.862 78.401 2
2021-05-19 00:13:37.395000 3.583 9.04564 Clear 0 13545.239 78.402 2
2021-05-19 00:13:37.495000 3.767 9.23011 Clear 0 13545.616 78.403 2
2021-05-19 00:13:37.595000 3.834 9.29681 Clear 0 13545.993 78.404 2
2021-05-19 00:13:37.795000 3.913 9.37584 Clear 0 13546.747 78.406 2
2021-05-19 00:13:37.995000 4.018 9.48072 Clear 0 13547.5 78.408 2
2021-05-19 00:13:38.095000 3.839 9.30146 Clear 0 13547.877 78.409 2
2021-05-19 00:13:38.195000 3.898 9.36095 Clear 0 13548.254 78.41 2
2021-05-19 00:13:38.295000 3.506 8.96877 Clear 0 13548.631 78.411 2
2021-05-19 00:13:38.395000 3.797 9.26025 Clear 0 13549.008 78.412 2
2021-05-19 00:13:38.495000 3.344 8.80692 Clear 0 13549.385 78.413 2
2021-05-19 00:13:38.595000 3.848 9.31178 Clear 0 13549.762 78.415 2
2021-05-19 00:13:38.695000 3.871 9.33464 Clear 0 13550.138 78.416 2
2021-05-19 00:13:38.795000 3.642 9.10632 Clear 0 13550.515 78.417 2
2021-05-19 00:13:38.895000 3.721 9.18474 Clear 0 13550.892 78.418 2
2021-05-19 00:13:38.995000 3.659 9.12282 Clear 0 13551.269 78.419 2
2021-05-19 00:13:39.095000 3.613 9.07707 Clear 0 13551.646 78.42 2
2021-05-19 00:13:39.195000 3.555 9.01869 Clear 0 13552.023 78.421 2
2021-05-19 00:13:39.395000 3.992 9.45569 Clear 0 13552.776 78.423 2
2021-05-19 00:13:39.495000 3.901 9.3649 Clear 0 13553.153 78.424 2
2021-05-19 00:13:39.595000 3.715 9.17889 Clear 0 13553.53 78.425 2
2021-05-19 00:13:39.695000 3.851 9.31461 Clear 0 13553.907 78.426 2
2021-05-19 00:13:39.795000 3.652 9.11572 Clear 0 13554.283 78.427 2
2021-05-19 00:13:39.895000 3.732 9.19654 Clear 0 13554.66 78.428 2
2021-05-19 00:13:40.195000 3.671 9.13637 Clear 0 13555.79 78.432 2
2021-05-19 00:13:40.395000 3.768 9.23274 Clear 0 13556.544 78.434 2
2021-05-19 00:13:40.495000 3.777 9.24242 Clear 0 13556.921 78.435 2
2021-05-19 00:13:40.595000 3.903 9.36787 Clear 0 13557.297 78.436 2
2021-05-19 00:13:40.695000 3.623 9.08776 Clear 0 13557.674 78.437 2
2021-05-19 00:13:40.895000 3.879 9.34431 Clear 0 13558.428 78.439 2
2021-05-19 00:13:40.995000 3.898 9.36292 Clear 0 13558.804 78.44 2
2021-05-19 00:13:41.095000 3.721 9.18642 Clear 0 13559.181 78.441 2
2021-05-19 00:13:41.295000 3.696 9.16233 Clear 0 13559.935 78.443 2
2021-05-19 00:13:41.395000 3.729 9.19485 Clear 0 13560.311 78.445 2
