# satellite: 41837 H-2A R/B / JPN
# catalogue: 1 NORAD
# track: 30845571
# variability: 2 Periodic
# variability_period: 60.101964
# npoints: 529
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-02-03 02:18:36.298000 2.7 8.7599 Clear 0 16846.699 85.899 1
2025-02-03 02:18:36.398000 2.654 8.71422 Clear 0 16846.438 85.9 1
2025-02-03 02:18:36.498000 2.475 8.53493 Clear 0 16846.177 85.901 1
2025-02-03 02:18:36.598000 2.422 8.48148 Clear 0 16845.917 85.902 1
2025-02-03 02:18:36.698000 2.624 8.68372 Clear 0 16845.656 85.903 1
2025-02-03 02:18:36.798000 2.462 8.52236 Clear 0 16845.395 85.903 1
2025-02-03 02:18:36.898000 2.616 8.6757 Clear 0 16845.134 85.904 1
2025-02-03 02:18:36.998000 2.278 8.33767 Clear 0 16844.873 85.905 1
2025-02-03 02:18:37.098000 1.979 8.03858 Clear 0 16844.612 85.906 1
2025-02-03 02:18:37.198000 1.471 7.53122 Clear 0 16844.352 85.907 1
2025-02-03 02:18:37.298000 1.596 7.65546 Clear 0 16844.091 85.908 1
2025-02-03 02:18:37.398000 1.758 7.81804 Clear 0 16843.83 85.908 1
2025-02-03 02:18:37.498000 2.026 8.08615 Clear 0 16843.569 85.909 1
2025-02-03 02:18:37.598000 1.832 7.89212 Clear 0 16843.308 85.91 1
2025-02-03 02:18:37.698000 2.06 8.1198 Clear 0 16843.047 85.911 1
2025-02-03 02:18:37.798000 2.209 8.26885 Clear 0 16842.787 85.912 1
2025-02-03 02:18:37.898000 2.386 8.4464 Clear 0 16842.526 85.912 1
2025-02-03 02:18:37.998000 2.649 8.70871 Clear 0 16842.265 85.913 1
2025-02-03 02:18:38.098000 2.672 8.73204 Clear 0 16842.004 85.914 1
2025-02-03 02:18:38.198000 2.865 8.92506 Clear 0 16841.743 85.915 1
2025-02-03 02:18:38.298000 3.139 9.19898 Clear 0 16841.482 85.916 1
2025-02-03 02:18:38.398000 3.242 9.30211 Clear 0 16841.221 85.917 1
2025-02-03 02:18:38.598000 3.785 9.84478 Clear 0 16840.7 85.918 1
2025-02-03 02:18:38.698000 3.862 9.92206 Clear 0 16840.439 85.919 1
2025-02-03 02:18:39.698000 3.985 10.0447 Clear 0 16837.83 85.927 1
2025-02-03 02:18:40.698000 3.84 9.89878 Clear 0 16835.22 85.935 1
2025-02-03 02:18:40.798000 4.237 10.2955 Clear 0 16834.959 85.936 1
2025-02-03 02:18:41.498000 2.704 8.7634 Clear 0 16833.132 85.942 1
2025-02-03 02:18:41.598000 3.312 9.37114 Clear 0 16832.871 85.943 1
2025-02-03 02:18:41.798000 3.486 9.54528 Clear 0 16832.349 85.944 1
2025-02-03 02:18:41.898000 3.074 9.13313 Clear 0 16832.088 85.945 1
2025-02-03 02:18:41.998000 3.523 9.58151 Clear 0 16831.827 85.946 1
2025-02-03 02:18:42.098000 3.337 9.3957 Clear 0 16831.566 85.947 1
2025-02-03 02:18:42.198000 3.623 9.68181 Clear 0 16831.305 85.948 1
2025-02-03 02:18:42.298000 3.261 9.31976 Clear 0 16831.044 85.949 1
2025-02-03 02:18:42.398000 3.301 9.36007 Clear 0 16830.783 85.949 1
2025-02-03 02:18:42.498000 3.284 9.34318 Clear 0 16830.522 85.95 1
2025-02-03 02:18:42.598000 3.365 9.42402 Clear 0 16830.261 85.951 1
2025-02-03 02:18:42.698000 2.813 8.87152 Clear 0 16830.0 85.952 1
2025-02-03 02:18:42.798000 3.137 9.19586 Clear 0 16829.739 85.953 1
2025-02-03 02:18:42.898000 3.534 9.59262 Clear 0 16829.478 85.953 1
2025-02-03 02:18:42.998000 3.337 9.3957 Clear 0 16829.217 85.954 1
2025-02-03 02:18:43.098000 3.569 9.62794 Clear 0 16828.956 85.955 1
2025-02-03 02:18:43.198000 3.551 9.61014 Clear 0 16828.695 85.956 1
2025-02-03 02:18:43.298000 3.902 9.96142 Clear 0 16828.434 85.957 1
2025-02-03 02:18:43.698000 3.568 9.62665 Clear 0 16827.39 85.96 1
2025-02-03 02:18:44.097000 3.295 9.35408 Clear 0 16826.348 85.963 1
2025-02-03 02:18:44.198000 3.098 9.15695 Clear 0 16826.084 85.964 1
2025-02-03 02:18:44.298000 3.305 9.36408 Clear 0 16825.823 85.965 1
2025-02-03 02:18:44.498000 3.561 9.62027 Clear 0 16825.301 85.967 1
2025-02-03 02:18:44.598000 3.165 9.22376 Clear 0 16825.04 85.967 1
2025-02-03 02:18:44.698000 3.658 9.71741 Clear 0 16824.779 85.968 1
2025-02-03 02:18:44.797000 3.653 9.71185 Clear 0 16824.52 85.969 1
2025-02-03 02:18:44.897000 3.45 9.50906 Clear 0 16824.259 85.97 1
2025-02-03 02:18:44.997000 3.194 9.25241 Clear 0 16823.998 85.971 1
2025-02-03 02:18:45.297000 3.353 9.41134 Clear 0 16823.215 85.973 1
2025-02-03 02:18:45.397000 3.961 10.0187 Clear 0 16822.954 85.974 1
2025-02-03 02:18:45.497000 3.644 9.7022 Clear 0 16822.692 85.975 1
2025-02-03 02:18:45.997000 3.342 9.39985 Clear 0 16821.387 85.979 1
2025-02-03 02:18:46.397000 3.357 9.4145 Clear 0 16820.342 85.982 1
2025-02-03 02:18:46.497000 3.308 9.3661 Clear 0 16820.081 85.983 1
2025-02-03 02:18:46.597000 3.557 9.61519 Clear 0 16819.82 85.984 1
2025-02-03 02:18:46.697000 3.398 9.45636 Clear 0 16819.559 85.985 1
2025-02-03 02:18:46.997000 4.106 10.1639 Clear 0 16818.775 85.987 1
2025-02-03 02:18:47.097000 3.614 9.67242 Clear 0 16818.514 85.988 1
2025-02-03 02:18:47.297000 3.786 9.84425 Clear 0 16817.991 85.99 1
2025-02-03 02:18:47.397000 4.221 10.279 Clear 0 16817.73 85.99 1
2025-02-03 02:18:47.597000 3.47 9.5276 Clear 0 16817.208 85.992 1
2025-02-03 02:18:47.797000 4.274 10.3316 Clear 0 16816.685 85.994 1
2025-02-03 02:18:47.897000 3.668 9.72579 Clear 0 16816.424 85.995 1
2025-02-03 02:18:47.997000 3.957 10.015 Clear 0 16816.163 85.995 1
2025-02-03 02:18:48.397000 3.564 9.62154 Clear 0 16815.118 85.999 1
2025-02-03 02:18:48.597000 3.794 9.8521 Clear 0 16814.596 86.0 1
2025-02-03 02:18:48.697000 3.48 9.53817 Clear 0 16814.334 86.001 1
2025-02-03 02:19:10.199000 3.709 9.76295 Clear 0 16758.077 86.179 1
2025-02-03 02:19:10.299000 3.625 9.67896 Clear 0 16757.814 86.18 1
