# satellite: 41839 CZ-5 R/B / PRC
# catalogue: 1 NORAD
# track: 16348867
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 162
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-09-20 02:01:36.396000 3.059 8.90198 Clear 0 19599.393 39.473 9
2019-09-20 02:01:36.496000 2.647 8.49017 Clear 0 19599.565 39.473 9
2019-09-20 02:01:36.596000 2.962 8.80529 Clear 0 19599.737 39.474 9
2019-09-20 02:01:36.696000 2.724 8.56701 Clear 0 19599.908 39.475 9
2019-09-20 02:01:36.796000 2.836 8.67938 Clear 0 19600.08 39.476 9
2019-09-20 02:01:36.896000 2.683 8.52555 Clear 0 19600.252 39.476 9
2019-09-20 02:01:36.996000 2.857 8.69979 Clear 0 19600.424 39.477 9
2019-09-20 02:01:37.096000 2.88 8.72265 Clear 0 19600.595 39.478 9
2019-09-20 02:01:37.196000 2.628 8.47087 Clear 0 19600.767 39.479 9
2019-09-20 02:01:37.296000 2.822 8.66516 Clear 0 19600.939 39.479 9
2019-09-20 02:01:37.396000 2.979 8.82203 Clear 0 19601.11 39.48 9
2019-09-20 02:01:37.496000 2.455 8.29776 Clear 0 19601.282 39.481 9
2019-09-20 02:01:37.596000 2.338 8.18073 Clear 0 19601.454 39.482 9
2019-09-20 02:01:37.696000 2.582 8.42542 Clear 0 19601.626 39.483 9
2019-09-20 02:01:37.796000 3.055 8.89835 Clear 0 19601.797 39.483 9
2019-09-20 02:01:37.896000 2.894 8.7366 Clear 0 19601.969 39.484 9
2019-09-20 02:01:37.996000 2.465 8.30822 Clear 0 19602.141 39.485 9
2019-09-20 02:01:38.096000 2.721 8.56434 Clear 0 19602.312 39.486 9
2019-09-20 02:01:38.196000 2.936 8.77848 Clear 0 19602.484 39.486 9
2019-09-20 02:01:38.396000 2.879 8.72162 Clear 0 19602.828 39.488 9
2019-09-20 02:01:38.496000 2.856 8.69879 Clear 0 19602.999 39.489 9
2019-09-20 02:01:38.596000 2.695 8.53761 Clear 0 19603.171 39.489 9
2019-09-20 02:01:38.696000 2.509 8.35184 Clear 0 19603.343 39.49 9
2019-09-20 02:01:38.796000 2.54 8.38331 Clear 0 19603.514 39.491 9
2019-09-20 02:01:38.996000 2.69 8.53286 Clear 0 19603.858 39.492 9
2019-09-20 02:01:39.096000 2.954 8.79701 Clear 0 19604.029 39.493 9
2019-09-20 02:01:39.196000 2.722 8.56523 Clear 0 19604.201 39.494 9
2019-09-20 02:01:39.296000 2.411 8.25422 Clear 0 19604.373 39.495 9
2019-09-20 02:01:39.396000 2.644 8.48728 Clear 0 19604.544 39.496 9
2019-09-20 02:01:39.496000 2.529 8.37173 Clear 0 19604.716 39.496 9
2019-09-20 02:01:39.596000 2.685 8.5277 Clear 0 19604.888 39.497 9
2019-09-20 02:01:39.996000 2.305 8.1488 Clear 0 19605.574 39.5 9
2019-09-20 02:01:40.096000 2.563 8.40723 Clear 0 19605.746 39.501 9
2019-09-20 02:01:40.196000 2.614 8.45832 Clear 0 19605.918 39.502 9
2019-09-20 02:01:40.296000 2.566 8.4103 Clear 0 19606.089 39.502 9
2019-09-20 02:01:40.396000 2.584 8.42777 Clear 0 19606.261 39.503 9
2019-09-20 02:01:40.496000 2.432 8.27577 Clear 0 19606.433 39.504 9
2019-09-20 02:01:40.596000 2.566 8.40953 Clear 0 19606.604 39.505 9
2019-09-20 02:01:40.696000 2.307 8.15092 Clear 0 19606.776 39.505 9
2019-09-20 02:01:40.796000 2.39 8.23406 Clear 0 19606.947 39.506 9
2019-09-20 02:01:40.996000 2.493 8.33735 Clear 0 19607.291 39.508 9
2019-09-20 02:01:41.096000 2.349 8.19327 Clear 0 19607.462 39.509 9
2019-09-20 02:01:41.196000 2.285 8.1293 Clear 0 19607.634 39.509 9
2019-09-20 02:01:41.296000 2.283 8.12663 Clear 0 19607.806 39.51 9
2019-09-20 02:01:41.396000 2.591 8.43484 Clear 0 19607.977 39.511 9
2019-09-20 02:01:41.496000 2.319 8.1625 Clear 0 19608.149 39.512 9
2019-09-20 02:01:41.596000 2.514 8.35843 Clear 0 19608.32 39.512 9
2019-09-20 02:01:41.696000 2.546 8.39009 Clear 0 19608.492 39.513 9
2019-09-20 02:01:41.796000 2.469 8.31279 Clear 0 19608.664 39.514 9
2019-09-20 02:01:41.896000 2.294 8.13766 Clear 0 19608.835 39.515 9
2019-09-20 02:01:41.996000 2.525 8.36913 Clear 0 19609.007 39.515 9
2019-09-20 02:01:42.096000 2.874 8.71753 Clear 0 19609.178 39.516 9
2019-09-20 02:01:42.196000 2.551 8.39463 Clear 0 19609.35 39.517 9
2019-09-20 02:01:42.296000 2.726 8.57013 Clear 0 19609.522 39.518 9
2019-09-20 02:01:42.396000 2.813 8.6574 Clear 0 19609.693 39.518 9
2019-09-20 02:01:42.496000 2.356 8.20023 Clear 0 19609.865 39.519 9
2019-09-20 02:01:42.596000 2.354 8.19769 Clear 0 19610.036 39.52 9
2019-09-20 02:01:42.696000 2.437 8.28064 Clear 0 19610.208 39.521 9
2019-09-20 02:01:42.796000 2.627 8.47123 Clear 0 19610.38 39.521 9
2019-09-20 02:01:42.896000 2.156 7.99953 Clear 0 19610.551 39.522 9
2019-09-20 02:01:42.996000 2.383 8.22659 Clear 0 19610.723 39.523 9
2019-09-20 02:01:43.096000 2.254 8.09842 Clear 0 19610.894 39.524 9
2019-09-20 02:01:43.196000 2.338 8.18165 Clear 0 19611.066 39.525 9
2019-09-20 02:01:43.296000 2.259 8.10306 Clear 0 19611.237 39.525 9
2019-09-20 02:01:43.396000 2.501 8.34512 Clear 0 19611.409 39.526 9
2019-09-20 02:01:43.496000 2.431 8.27518 Clear 0 19611.58 39.527 9
2019-09-20 02:01:43.596000 2.309 8.15268 Clear 0 19611.752 39.528 9
2019-09-20 02:01:43.696000 2.517 8.36121 Clear 0 19611.924 39.528 9
2019-09-20 02:01:43.796000 2.111 7.95453 Clear 0 19612.095 39.529 9
2019-09-20 02:01:43.896000 2.354 8.19832 Clear 0 19612.267 39.53 9
2019-09-20 02:01:43.996000 2.142 7.98719 Clear 0 19612.438 39.531 9
2019-09-20 02:01:44.096000 2.152 7.99663 Clear 0 19612.61 39.531 9
2019-09-20 02:01:44.196000 2.51 8.35496 Clear 0 19612.781 39.532 9
2019-09-20 02:01:44.296000 2.015 7.85997 Clear 0 19612.953 39.533 9
2019-09-20 02:01:44.396000 2.326 8.17108 Clear 0 19613.124 39.534 9
2019-09-20 02:01:44.496000 1.832 7.67686 Clear 0 19613.296 39.534 9
2019-09-20 02:01:44.596000 2.394 8.23936 Clear 0 19613.467 39.535 9
2019-09-20 02:01:44.696000 2.405 8.24995 Clear 0 19613.639 39.536 9
2019-09-20 02:01:44.796000 2.219 8.06426 Clear 0 19613.81 39.537 9
2019-09-20 02:01:44.896000 2.065 7.91035 Clear 0 19613.982 39.537 9
2019-09-20 02:01:44.996000 2.105 7.94998 Clear 0 19614.153 39.538 9
2019-09-20 02:01:45.096000 1.958 7.80276 Clear 0 19614.325 39.539 9
2019-09-20 02:01:45.196000 2.117 7.96164 Clear 0 19614.496 39.54 9
2019-09-20 02:01:45.296000 2.188 8.0325 Clear 0 19614.668 39.541 9
2019-09-20 02:01:45.396000 2.122 7.96701 Clear 0 19614.839 39.541 9
2019-09-20 02:01:45.496000 2.427 8.27178 Clear 0 19615.011 39.542 9
2019-09-20 02:01:45.596000 2.218 8.06314 Clear 0 19615.182 39.543 9
2019-09-20 02:01:45.696000 2.286 8.13131 Clear 0 19615.354 39.544 9
2019-09-20 02:01:45.796000 2.122 7.96701 Clear 0 19615.525 39.544 9
