# satellite: 41839 CZ-5 R/B / PRC
# catalogue: 1 NORAD
# track: 16736765
# variability: 2 Periodic
# variability_period: 72.40211668
# npoints: 6436
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-11-08 22:27:53.475000 3.687 9.02668 Clear 1 16242.077 21.075 2
2019-11-08 22:27:53.575000 4.184 9.52419 Clear 1 16242.326 21.076 2
2019-11-08 22:27:53.675000 3.735 9.07504 Clear 1 16242.575 21.077 2
2019-11-08 22:27:53.775000 3.931 9.27099 Clear 1 16242.824 21.078 2
2019-11-08 22:27:53.875000 3.711 9.05134 Clear 1 16243.074 21.078 2
2019-11-08 22:27:53.975000 3.73 9.07041 Clear 1 16243.323 21.079 2
2019-11-08 22:27:54.075000 3.534 8.87387 Clear 1 16243.572 21.08 2
2019-11-08 22:27:54.175000 3.542 8.88225 Clear 1 16243.821 21.081 2
2019-11-08 22:27:54.275000 3.466 8.80545 Clear 1 16244.07 21.081 2
2019-11-08 22:27:54.375000 3.778 9.11759 Clear 1 16244.32 21.082 2
2019-11-08 22:27:54.475000 4.002 9.34272 Clear 1 16244.569 21.083 2
2019-11-08 22:27:54.575000 3.65 8.99105 Clear 1 16244.818 21.084 2
2019-11-08 22:27:54.675000 3.372 8.71304 Clear 1 16245.067 21.085 2
2019-11-08 22:27:54.875000 3.432 8.77279 Clear 1 16245.566 21.086 2
2019-11-08 22:27:54.975000 3.396 8.73654 Clear 1 16245.815 21.087 2
2019-11-08 22:27:55.175000 3.387 8.72809 Clear 1 16246.313 21.089 2
2019-11-08 22:27:55.275000 3.495 8.83602 Clear 1 16246.562 21.089 2
2019-11-08 22:27:55.375000 3.313 8.6543 Clear 1 16246.811 21.09 2
2019-11-08 22:27:55.475000 3.501 8.84161 Clear 1 16247.061 21.091 2
2019-11-08 22:27:55.575000 3.615 8.95587 Clear 1 16247.31 21.092 2
2019-11-08 22:27:55.675000 3.649 8.98962 Clear 1 16247.559 21.092 2
2019-11-08 22:27:55.775000 3.235 8.57591 Clear 1 16247.808 21.093 2
2019-11-08 22:27:55.975000 3.275 8.61547 Clear 1 16248.306 21.095 2
2019-11-08 22:27:56.075000 3.367 8.70747 Clear 1 16248.555 21.096 2
2019-11-08 22:27:56.175000 3.118 8.45895 Clear 1 16248.804 21.096 2
2019-11-08 22:27:56.275000 3.397 8.7375 Clear 1 16249.054 21.097 2
2019-11-08 22:27:56.375000 3.352 8.69275 Clear 1 16249.303 21.098 2
