# satellite: 41839 CZ-5 R/B / PRC
# catalogue: 1 NORAD
# track: 18902316
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 729
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-12-30 19:49:52.093000 4.505 8.22518 Clear 0 6926.076 55.731 7
2020-12-30 19:49:52.193000 4.389 8.10878 Clear 0 6925.619 55.728 7
2020-12-30 19:49:52.293000 4.082 7.80222 Clear 0 6925.162 55.726 7
2020-12-30 19:49:52.393000 4.503 8.22342 Clear 0 6924.705 55.723 7
2020-12-30 19:49:52.493000 4.985 8.70411 Clear 0 6924.249 55.72 7
2020-12-30 19:49:52.593000 4.368 8.08655 Clear 0 6923.792 55.718 7
2020-12-30 19:49:52.693000 4.2 7.91892 Clear 0 6923.335 55.715 7
2020-12-30 19:49:52.793000 4.292 8.01057 Clear 0 6922.878 55.713 7
2020-12-30 19:49:52.893000 4.67 8.38944 Clear 0 6922.422 55.71 7
2020-12-30 19:49:52.993000 4.401 8.1199 Clear 0 6921.965 55.708 7
2020-12-30 19:49:53.093000 4.448 8.16592 Clear 0 6921.508 55.705 7
2020-12-30 19:49:53.193000 4.37 8.08779 Clear 0 6921.052 55.702 7
2020-12-30 19:49:53.293000 4.674 8.39149 Clear 0 6920.595 55.7 7
2020-12-30 19:49:53.393000 4.379 8.09651 Clear 0 6920.138 55.697 7
2020-12-30 19:49:53.493000 4.371 8.08935 Clear 0 6919.681 55.695 7
2020-12-30 19:49:53.593000 4.582 8.29986 Clear 0 6919.225 55.692 7
2020-12-30 19:49:53.693000 4.344 8.06083 Clear 0 6918.768 55.69 7
2020-12-30 19:49:53.793000 4.751 8.46798 Clear 0 6918.311 55.687 7
2020-12-30 19:49:53.893000 4.455 8.17227 Clear 0 6917.855 55.684 7
2020-12-30 19:49:53.993000 4.249 7.96641 Clear 0 6917.398 55.682 7
2020-12-30 19:49:54.093000 4.392 8.10941 Clear 0 6916.941 55.679 7
2020-12-30 19:49:54.193000 4.428 8.14446 Clear 0 6916.485 55.677 7
2020-12-30 19:49:54.293000 4.135 7.85099 Clear 0 6916.028 55.674 7
2020-12-30 19:49:54.393000 4.508 8.22377 Clear 0 6915.571 55.672 7
2020-12-30 19:49:54.493000 4.739 8.45485 Clear 0 6915.115 55.669 7
2020-12-30 19:49:54.593000 4.636 8.35161 Clear 0 6914.658 55.666 7
2020-12-30 19:49:54.693000 4.584 8.29986 Clear 0 6914.201 55.664 7
2020-12-30 19:49:54.793000 4.282 7.99708 Clear 0 6913.745 55.661 7
2020-12-30 19:49:54.893000 4.653 8.36755 Clear 0 6913.288 55.659 7
2020-12-30 19:49:54.993000 4.26 7.97532 Clear 0 6912.831 55.656 7
2020-12-30 19:49:55.093000 4.191 7.90546 Clear 0 6912.375 55.653 7
2020-12-30 19:49:55.193000 4.509 8.22412 Clear 0 6911.918 55.651 7
2020-12-30 19:49:55.293000 4.428 8.14283 Clear 0 6911.462 55.648 7
2020-12-30 19:49:55.393000 4.358 8.07209 Clear 0 6911.005 55.646 7
2020-12-30 19:49:55.493000 4.597 8.31123 Clear 0 6910.548 55.643 7
2020-12-30 19:49:55.593000 4.642 8.35636 Clear 0 6910.092 55.641 7
2020-12-30 19:49:55.693000 4.643 8.35716 Clear 0 6909.635 55.638 7
2020-12-30 19:49:55.793000 4.774 8.48842 Clear 0 6909.178 55.635 7
2020-12-30 19:49:55.893000 4.407 8.12118 Clear 0 6908.722 55.633 7
2020-12-30 19:49:55.993000 4.723 8.43545 Clear 0 6908.265 55.63 7
2020-12-30 19:49:56.093000 4.537 8.24975 Clear 0 6907.809 55.628 7
2020-12-30 19:49:56.193000 4.81 8.52307 Clear 0 6907.352 55.625 7
2020-12-30 19:49:56.293000 4.676 8.38944 Clear 0 6906.895 55.622 7
2020-12-30 19:49:56.393000 4.862 8.57526 Clear 0 6906.439 55.62 7
2020-12-30 19:49:56.493000 4.911 8.6244 Clear 0 6905.982 55.617 7
2020-12-30 19:49:56.593000 4.664 8.37617 Clear 0 6905.526 55.615 7
2020-12-30 19:49:56.693000 4.758 8.46947 Clear 0 6905.069 55.612 7
2020-12-30 19:49:56.793000 4.691 8.40267 Clear 0 6904.612 55.61 7
2020-12-30 19:49:56.893000 4.881 8.59297 Clear 0 6904.156 55.607 7
2020-12-30 19:49:56.993000 4.856 8.5677 Clear 0 6903.699 55.604 7
2020-12-30 19:49:57.093000 4.776 8.48762 Clear 0 6903.243 55.602 7
2020-12-30 19:49:57.193000 5.0 8.71076 Clear 0 6902.786 55.599 7
2020-12-30 19:49:57.293000 4.904 8.61483 Clear 0 6902.33 55.597 7
2020-12-30 19:49:57.393000 4.796 8.50698 Clear 0 6901.873 55.594 7
2020-12-30 19:49:57.493000 5.084 8.79507 Clear 0 6901.417 55.591 7
