# satellite: 42742 ARIANE 5 R/B / FR
# catalogue: 1 NORAD
# track: 12642702
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 626
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-09-10 01:20:49.695000 3.183 9.11331 Clear 0 17139.732 75.53 7
2017-09-10 01:20:49.795000 3.369 9.29934 Clear 0 17140.053 75.531 7
2017-09-10 01:20:49.895000 3.799 9.72962 Clear 0 17140.373 75.532 7
2017-09-10 01:20:50.295000 2.946 8.87686 Clear 0 17141.654 75.536 7
2017-09-10 01:20:50.495000 3.195 9.12552 Clear 0 17142.295 75.538 7
2017-09-10 01:20:50.595000 3.464 9.3951 Clear 0 17142.615 75.539 7
2017-09-10 01:20:50.995000 3.197 9.1277 Clear 0 17143.896 75.542 7
2017-09-10 01:20:51.095000 3.695 9.62631 Clear 0 17144.216 75.543 7
2017-09-10 01:20:51.695000 3.343 9.27469 Clear 0 17146.138 75.548 7
2017-09-10 01:20:51.895000 3.395 9.3269 Clear 0 17146.778 75.55 7
2017-09-10 01:20:51.995000 3.603 9.53535 Clear 0 17147.098 75.551 7
2017-09-10 01:20:52.495000 3.379 9.31054 Clear 0 17148.7 75.556 7
2017-09-10 01:20:53.095000 3.391 9.32314 Clear 0 17150.621 75.561 7
2017-09-10 01:20:53.395000 3.256 9.18833 Clear 0 17151.581 75.564 7
2017-09-10 01:20:53.895000 3.301 9.23416 Clear 0 17153.182 75.568 7
2017-09-10 01:20:54.095000 3.212 9.14494 Clear 0 17153.823 75.57 7
2017-09-10 01:20:54.495000 3.151 9.08369 Clear 0 17155.103 75.574 7
2017-09-10 01:20:54.595000 3.467 9.3999 Clear 0 17155.423 75.575 7
2017-09-10 01:20:54.695000 3.168 9.10127 Clear 0 17155.744 75.576 7
2017-09-10 01:20:54.795000 3.511 9.44379 Clear 0 17156.064 75.576 7
2017-09-10 01:20:55.195000 3.764 9.69694 Clear 0 17157.344 75.58 7
2017-09-10 01:20:56.195000 3.692 9.62644 Clear 0 17160.545 75.589 7
2017-09-10 01:20:56.595000 3.176 9.10949 Clear 0 17161.826 75.593 7
2017-09-10 01:20:56.695000 3.026 8.95952 Clear 0 17162.146 75.594 7
2017-09-10 01:20:56.795000 3.462 9.39644 Clear 0 17162.466 75.594 7
2017-09-10 01:20:56.895000 3.592 9.5259 Clear 0 17162.786 75.595 7
2017-09-10 01:20:57.195000 3.5 9.43431 Clear 0 17163.746 75.598 7
2017-09-10 01:20:57.395000 3.413 9.34776 Clear 0 17164.386 75.6 7
2017-09-10 01:20:57.495000 3.271 9.20587 Clear 0 17164.706 75.601 7
2017-09-10 01:20:57.895000 3.597 9.53219 Clear 0 17165.986 75.604 7
2017-09-10 01:20:58.595000 3.144 9.0794 Clear 0 17168.227 75.611 7
2017-09-10 01:20:59.295000 3.34 9.27628 Clear 0 17170.467 75.617 7
2017-09-10 01:20:59.595000 3.172 9.10759 Clear 0 17171.427 75.62 7
2017-09-10 01:20:59.995000 3.518 9.45363 Clear 0 17172.706 75.623 7
2017-09-10 01:21:00.195000 3.486 9.42227 Clear 0 17173.346 75.625 7
2017-09-10 01:21:00.395000 3.441 9.37712 Clear 0 17173.986 75.627 7
2017-09-10 01:21:00.695000 3.525 9.46121 Clear 0 17174.946 75.629 7
2017-09-10 01:21:00.795000 3.559 9.49494 Clear 0 17175.266 75.63 7
2017-09-10 01:21:00.895000 3.346 9.28147 Clear 0 17175.586 75.631 7
2017-09-10 01:21:00.995000 3.433 9.3701 Clear 0 17175.906 75.632 7
2017-09-10 01:21:01.395000 3.205 9.14233 Clear 0 17177.186 75.636 7
2017-09-10 01:21:01.595000 3.576 9.51305 Clear 0 17177.825 75.638 7
2017-09-10 01:21:02.095000 3.294 9.231 Clear 0 17179.425 75.642 7
2017-09-10 01:21:02.295000 3.692 9.62852 Clear 0 17180.065 75.644 7
