# satellite: 42760 NUSAT-3 / ARGN
# catalogue: 1 NORAD
# track: 13949753
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 336
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-11-05 02:03:25.186000 7.96 6.24777 Clear 0 574.374 53.106 3
2018-11-05 02:03:25.286000 7.925 6.21337 Clear 0 574.173 53.175 3
2018-11-05 02:03:25.386000 7.949 6.2371 Clear 0 573.974 53.243 3
2018-11-05 02:03:25.486000 7.863 6.15066 Clear 0 573.775 53.312 3
2018-11-05 02:03:25.586000 7.837 6.12507 Clear 0 573.577 53.381 3
2018-11-05 02:03:25.686000 7.804 6.09227 Clear 0 573.379 53.45 3
2018-11-05 02:03:25.786000 7.855 6.14193 Clear 0 573.183 53.519 3
2018-11-05 02:03:25.886000 7.809 6.09566 Clear 0 572.987 53.588 3
2018-11-05 02:03:25.986000 7.826 6.11318 Clear 0 572.792 53.657 3
2018-11-05 02:03:26.086000 7.894 6.18049 Clear 0 572.597 53.726 3
2018-11-05 02:03:26.186000 7.876 6.1634 Clear 0 572.404 53.795 3
2018-11-05 02:03:26.286000 7.83 6.11694 Clear 0 572.211 53.864 3
2018-11-05 02:03:26.386000 7.945 6.23198 Clear 0 572.019 53.933 3
2018-11-05 02:03:26.486000 7.973 6.26038 Clear 0 571.828 54.002 3
2018-11-05 02:03:26.586000 7.914 6.20106 Clear 0 571.637 54.071 3
2018-11-05 02:03:26.686000 7.996 6.28283 Clear 0 571.448 54.141 3
2018-11-05 02:03:26.786000 8.072 6.35903 Clear 0 571.259 54.21 3
2018-11-05 02:03:26.886000 8.065 6.35208 Clear 0 571.071 54.28 3
2018-11-05 02:03:26.986000 8.081 6.36771 Clear 0 570.884 54.349 3
2018-11-05 02:03:27.086000 8.166 6.45294 Clear 0 570.697 54.418 3
2018-11-05 02:03:27.186000 8.082 6.36849 Clear 0 570.511 54.488 3
2018-11-05 02:03:27.286000 8.106 6.39332 Clear 0 570.326 54.558 3
2018-11-05 02:03:27.486000 8.166 6.45312 Clear 0 569.959 54.697 3
2018-11-05 02:03:27.586000 8.179 6.46551 Clear 0 569.776 54.767 3
2018-11-05 02:03:27.686000 8.205 6.49154 Clear 0 569.594 54.836 3
2018-11-05 02:03:27.786000 8.181 6.46836 Clear 0 569.413 54.906 3
2018-11-05 02:03:27.886000 8.238 6.52507 Clear 0 569.233 54.976 3
2018-11-05 02:03:27.986000 8.288 6.57469 Clear 0 569.053 55.046 3
2018-11-05 02:03:28.086000 8.23 6.51671 Clear 0 568.875 55.116 3
2018-11-05 02:03:28.186000 8.259 6.54601 Clear 0 568.697 55.186 3
2018-11-05 02:03:28.286000 8.228 6.51451 Clear 0 568.52 55.256 3
2018-11-05 02:03:28.386000 8.197 6.4844 Clear 0 568.343 55.326 3
2018-11-05 02:03:28.486000 8.317 6.60431 Clear 0 568.168 55.396 3
2018-11-05 02:03:28.586000 8.248 6.53446 Clear 0 567.993 55.466 3
2018-11-05 02:03:29.187000 8.121 6.40779 Clear 0 566.96 55.889 3
2018-11-05 02:03:29.287000 8.289 6.57601 Clear 0 566.791 55.959 3
2018-11-05 02:03:29.387000 8.224 6.51095 Clear 0 566.622 56.03 3
2018-11-05 02:03:29.487000 8.212 6.49939 Clear 0 566.455 56.1 3
2018-11-05 02:03:29.587000 8.138 6.42522 Clear 0 566.288 56.171 3
2018-11-05 02:03:29.687000 8.085 6.37234 Clear 0 566.122 56.241 3
2018-11-05 02:03:29.787000 8.114 6.40115 Clear 0 565.957 56.312 3
2018-11-05 02:03:29.887000 8.259 6.54554 Clear 0 565.793 56.383 3
2018-11-05 02:03:29.987000 8.137 6.42483 Clear 0 565.629 56.453 3
2018-11-05 02:03:30.087000 8.201 6.48896 Clear 0 565.466 56.524 3
2018-11-05 02:03:30.187000 8.208 6.49545 Clear 0 565.304 56.595 3
2018-11-05 02:03:30.287000 8.222 6.51 Clear 0 565.143 56.666 3
2018-11-05 02:03:30.387000 8.251 6.53916 Clear 0 564.983 56.737 3
2018-11-05 02:03:30.487000 8.144 6.432 Clear 0 564.823 56.808 3
2018-11-05 02:03:30.587000 8.218 6.5058 Clear 0 564.664 56.879 3
2018-11-05 02:03:30.687000 8.033 6.32091 Clear 0 564.507 56.95 3
2018-11-05 02:03:30.787000 8.088 6.37617 Clear 0 564.349 57.021 3
2018-11-05 02:03:30.887000 8.097 6.38633 Clear 0 564.193 57.092 3
2018-11-05 02:03:30.987000 8.173 6.46223 Clear 0 564.038 57.163 3
2018-11-05 02:03:31.087000 8.162 6.45079 Clear 0 563.883 57.234 3
