# satellite: 42760 NUSAT-3 / ARGN
# catalogue: 1 NORAD
# track: 17881199
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 214
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-07-11 23:42:34.794000 10.95 9.2347 Clear 0 566.42 55.902 6
2020-07-11 23:42:34.894000 10.563 8.84826 Clear 0 566.312 55.953 6
2020-07-11 23:42:34.994000 10.649 8.93351 Clear 0 566.204 56.005 6
2020-07-11 23:42:35.094000 10.605 8.88976 Clear 0 566.097 56.056 6
2020-07-11 23:42:35.194000 10.796 9.08138 Clear 0 565.991 56.108 6
2020-07-11 23:42:35.294000 10.637 8.92317 Clear 0 565.886 56.159 6
2020-07-11 23:42:35.394000 10.917 9.20289 Clear 0 565.782 56.211 6
2020-07-11 23:42:35.494000 10.597 8.88273 Clear 0 565.678 56.263 6
2020-07-11 23:42:35.694000 10.928 9.21392 Clear 0 565.474 56.366 6
2020-07-11 23:42:37.894000 10.461 8.75119 Clear 0 563.445 57.516 6
2020-07-11 23:42:37.994000 10.677 8.96717 Clear 0 563.362 57.569 6
2020-07-11 23:42:38.194000 11.048 9.33869 Clear 0 563.2 57.675 6
2020-07-11 23:42:39.194000 10.935 9.22821 Clear 0 562.438 58.206 6
2020-07-11 23:42:39.294000 10.163 8.45695 Clear 0 562.366 58.259 6
2020-07-11 23:42:39.394000 10.489 8.78318 Clear 0 562.296 58.312 6
2020-07-11 23:42:39.494000 10.668 8.96151 Clear 0 562.226 58.366 6
2020-07-11 23:42:39.694000 10.501 8.79603 Clear 0 562.089 58.473 6
2020-07-11 23:42:39.794000 10.269 8.56414 Clear 0 562.021 58.526 6
2020-07-11 23:42:39.894000 10.218 8.51399 Clear 0 561.955 58.58 6
2020-07-11 23:42:39.994000 10.403 8.69923 Clear 0 561.889 58.633 6
2020-07-11 23:42:40.094000 10.603 8.89935 Clear 0 561.824 58.687 6
2020-07-11 23:42:40.194000 10.24 8.53623 Clear 0 561.761 58.741 6
2020-07-11 23:42:40.294000 10.975 9.2724 Clear 0 561.697 58.794 6
2020-07-11 23:42:40.294000 10.184 8.48126 Clear 0 561.697 58.794 6
2020-07-11 23:42:40.494000 10.753 9.05103 Clear 0 561.574 58.902 6
2020-07-11 23:42:40.594000 10.621 8.91847 Clear 0 561.513 58.956 6
2020-07-11 23:42:40.694000 10.381 8.67873 Clear 0 561.454 59.01 6
2020-07-11 23:42:40.794000 9.795 8.09389 Clear 0 561.395 59.063 6
2020-07-11 23:42:40.894000 10.591 8.88991 Clear 0 561.337 59.117 6
2020-07-11 23:42:40.994000 10.299 8.59772 Clear 0 561.28 59.171 6
2020-07-11 23:42:41.194000 10.762 9.06199 Clear 0 561.168 59.279 6
2020-07-11 23:42:41.394000 10.781 9.08213 Clear 0 561.06 59.388 6
2020-07-11 23:42:41.594000 10.32 8.62222 Clear 0 560.955 59.496 6
2020-07-11 23:42:41.694000 10.658 8.96026 Clear 0 560.904 59.55 6
2020-07-11 23:42:41.794000 10.872 9.17424 Clear 0 560.854 59.604 6
2020-07-11 23:42:41.894000 10.509 8.81176 Clear 0 560.805 59.659 6
2020-07-11 23:42:41.996000 10.618 8.92073 Clear 0 560.755 59.714 5
2020-07-11 23:42:42.094000 11.095 9.39798 Clear 0 560.708 59.767 6
2020-07-11 23:42:42.096000 10.917 9.21961 Clear 0 560.707 59.768 5
2020-07-11 23:42:42.194000 10.442 8.74603 Clear 0 560.662 59.822 6
2020-07-11 23:42:42.196000 10.527 8.83114 Clear 0 560.661 59.823 5
2020-07-11 23:42:42.296000 10.273 8.57691 Clear 0 560.615 59.877 5
2020-07-11 23:42:42.394000 10.51 8.81504 Clear 0 560.57 59.93 6
2020-07-11 23:42:42.396000 9.996 8.30085 Clear 0 560.57 59.931 5
2020-07-11 23:42:42.494000 10.2 8.50448 Clear 0 560.526 59.985 6
2020-07-11 23:42:42.496000 10.585 8.88967 Clear 0 560.525 59.986 5
2020-07-11 23:42:42.594000 10.878 9.18421 Clear 0 560.483 60.039 6
2020-07-11 23:42:42.694000 10.815 9.12065 Clear 0 560.44 60.094 6
2020-07-11 23:42:42.696000 10.103 8.40936 Clear 0 560.439 60.095 5
2020-07-11 23:42:42.796000 10.713 9.01901 Clear 0 560.398 60.15 5
2020-07-11 23:42:42.896000 10.668 8.97477 Clear 0 560.357 60.204 5
2020-07-11 23:42:43.096000 9.852 8.15988 Clear 0 560.278 60.313 5
2020-07-11 23:42:43.196000 10.075 8.38251 Clear 0 560.24 60.368 5
2020-07-11 23:42:43.296000 10.674 8.98323 Clear 0 560.202 60.423 5
2020-07-11 23:42:43.396000 9.957 8.26581 Clear 0 560.166 60.478 5
2020-07-11 23:42:43.496000 10.369 8.67926 Clear 0 560.13 60.532 5
2020-07-11 23:42:43.796000 9.962 8.27336 Clear 0 560.028 60.697 5
2020-07-11 23:42:43.896000 10.516 8.82746 Clear 0 559.996 60.752 5
2020-07-11 23:42:43.996000 10.149 8.46139 Clear 0 559.964 60.807 5
2020-07-11 23:42:44.096000 10.323 8.6361 Clear 0 559.934 60.862 5
2020-07-11 23:42:44.196000 10.592 8.90481 Clear 0 559.904 60.917 5
2020-07-11 23:42:44.296000 10.344 8.65791 Clear 0 559.876 60.972 5
2020-07-11 23:42:44.396000 10.404 8.71802 Clear 0 559.848 61.027 5
2020-07-11 23:42:44.496000 10.14 8.45465 Clear 0 559.82 61.082 5
2020-07-11 23:42:45.698000 9.764 8.08518 Clear 0 559.562 61.746 5
2020-07-11 23:42:45.798000 10.331 8.65298 Clear 0 559.546 61.801 5
2020-07-11 23:42:45.898000 10.344 8.66559 Clear 0 559.531 61.857 5
2020-07-11 23:42:45.998000 10.003 8.3264 Clear 0 559.517 61.912 5
2020-07-11 23:42:46.098000 9.872 8.19455 Clear 0 559.504 61.967 5
2020-07-11 23:42:46.298000 10.475 8.79892 Clear 0 559.48 62.078 5
2020-07-11 23:42:46.398000 10.437 8.76216 Clear 0 559.469 62.134 5
2020-07-11 23:42:46.498000 10.78 9.10582 Clear 0 559.459 62.19 5
2020-07-11 23:42:46.598000 10.397 8.72326 Clear 0 559.45 62.245 5
2020-07-11 23:42:46.698000 10.232 8.5591 Clear 0 559.442 62.301 5
2020-07-11 23:42:46.698000 10.531 8.85839 Clear 0 559.442 62.301 5
2020-07-11 23:42:46.798000 9.486 7.81312 Clear 0 559.435 62.356 5
2020-07-11 23:42:46.898000 10.084 8.41223 Clear 0 559.429 62.412 5
2020-07-11 23:42:46.998000 10.477 8.80611 Clear 0 559.423 62.468 5
2020-07-11 23:42:46.998000 9.982 8.31126 Clear 0 559.423 62.468 5
2020-07-11 23:42:47.098000 10.376 8.70526 Clear 0 559.418 62.524 5
2020-07-11 23:42:47.098000 10.606 8.93457 Clear 0 559.418 62.524 5
2020-07-11 23:42:47.198000 9.943 8.27305 Clear 0 559.415 62.579 5
2020-07-11 23:42:47.298000 10.67 9.00098 Clear 0 559.412 62.635 5
2020-07-11 23:42:47.298000 9.867 8.19837 Clear 0 559.412 62.635 5
2020-07-11 23:42:47.398000 9.801 8.13182 Clear 0 559.41 62.691 5
2020-07-11 23:42:47.498000 9.687 8.01853 Clear 0 559.408 62.747 5
2020-07-11 23:42:47.598000 10.104 8.4369 Clear 0 559.408 62.802 5
2020-07-11 23:42:47.798000 10.683 9.01713 Clear 0 559.41 62.914 5
2020-07-11 23:42:47.898000 10.928 9.26192 Clear 0 559.412 62.97 5
2020-07-11 23:42:47.998000 9.434 7.76939 Clear 0 559.415 63.026 5
2020-07-11 23:42:48.098000 9.831 8.1673 Clear 0 559.419 63.082 5
2020-07-11 23:42:48.198000 9.517 7.85331 Clear 0 559.424 63.138 5
2020-07-11 23:42:48.298000 10.246 8.58319 Clear 0 559.43 63.194 5
2020-07-11 23:42:48.398000 10.307 8.64539 Clear 0 559.436 63.25 5
2020-07-11 23:42:49.298000 10.302 8.64584 Clear 0 559.534 63.754 5
2020-07-11 23:42:49.398000 10.294 8.63919 Clear 0 559.549 63.81 5
2020-07-11 23:42:49.498000 9.69 8.03615 Clear 0 559.565 63.866 5
2020-07-11 23:42:49.598000 9.792 8.13821 Clear 0 559.582 63.923 5
2020-07-11 23:42:49.698000 10.232 8.579 Clear 0 559.599 63.979 5
2020-07-11 23:42:49.898000 9.755 8.10353 Clear 0 559.638 64.091 5
2020-07-11 23:42:49.998000 9.728 8.07744 Clear 0 559.658 64.147 5
2020-07-11 23:42:50.098000 9.949 8.299 Clear 0 559.679 64.204 5
2020-07-11 23:42:50.198000 9.733 8.08404 Clear 0 559.701 64.26 5
2020-07-11 23:42:50.298000 9.679 8.0311 Clear 0 559.724 64.316 5
2020-07-11 23:42:50.498000 9.846 8.19864 Clear 0 559.772 64.429 5
2020-07-11 23:42:51.298000 10.302 8.6613 Clear 0 560.0 64.88 5
2020-07-11 23:42:51.598000 10.329 8.69051 Clear 0 560.1 65.049 5
2020-07-11 23:42:51.698000 10.512 8.87458 Clear 0 560.135 65.105 5
2020-07-11 23:42:51.798000 10.44 8.803 Clear 0 560.171 65.162 5
2020-07-11 23:42:51.898000 10.05 8.41426 Clear 0 560.207 65.218 5
2020-07-11 23:42:51.998000 10.088 8.45296 Clear 0 560.245 65.275 5
2020-07-11 23:42:51.998000 10.376 8.74117 Clear 0 560.245 65.275 5
2020-07-11 23:42:52.098000 10.029 8.39471 Clear 0 560.283 65.331 5
2020-07-11 23:42:52.298000 10.46 8.82844 Clear 0 560.362 65.444 5
2020-07-11 23:42:52.598000 9.569 7.93909 Clear 0 560.488 65.614 5
2020-07-11 23:42:53.388000 9.658 8.03463 Clear 0 560.855 66.061 4
2020-07-11 23:42:53.488000 9.481 7.85866 Clear 0 560.905 66.117 4
2020-07-11 23:42:53.688000 9.245 7.62538 Clear 0 561.008 66.231 4
2020-07-11 23:42:53.788000 9.665 8.0459 Clear 0 561.061 66.287 4
2020-07-11 23:42:53.888000 9.494 7.87602 Clear 0 561.115 66.344 4
2020-07-11 23:42:53.988000 9.408 7.79036 Clear 0 561.169 66.401 4
2020-07-11 23:42:54.088000 9.163 7.54565 Clear 0 561.225 66.457 4
2020-07-11 23:42:54.188000 9.334 7.71793 Clear 0 561.281 66.514 4
2020-07-11 23:42:54.288000 9.482 7.86744 Clear 0 561.338 66.57 4
2020-07-11 23:42:54.688000 9.716 8.10511 Clear 0 561.575 66.797 4
2020-07-11 23:42:55.588000 9.232 7.62988 Clear 0 562.158 67.307 4
2020-07-11 23:42:55.688000 9.127 7.52616 Clear 0 562.227 67.364 4
2020-07-11 23:42:55.788000 9.287 7.68717 Clear 0 562.297 67.421 4
2020-07-11 23:42:55.888000 9.176 7.57688 Clear 0 562.367 67.477 4
2020-07-11 23:42:55.988000 9.186 7.58839 Clear 0 562.439 67.534 4
2020-07-11 23:42:56.088000 9.032 7.43472 Clear 0 562.511 67.591 4
2020-07-11 23:42:56.188000 9.202 7.60547 Clear 0 562.585 67.647 4
2020-07-11 23:42:56.288000 9.25 7.65507 Clear 0 562.659 67.704 4
2020-07-11 23:42:56.388000 9.179 7.5853 Clear 0 562.734 67.761 4
2020-07-11 23:42:56.488000 9.095 7.50242 Clear 0 562.81 67.817 4
2020-07-11 23:42:56.588000 9.687 8.09452 Clear 0 562.886 67.874 4
2020-07-11 23:42:56.588000 9.264 7.67167 Clear 0 562.886 67.874 4
2020-07-11 23:42:56.688000 9.019 7.4281 Clear 0 562.964 67.931 4
2020-07-11 23:42:56.788000 8.98 7.39009 Clear 0 563.042 67.988 4
2020-07-11 23:42:56.988000 9.198 7.60988 Clear 0 563.201 68.101 4
2020-07-11 23:42:57.188000 9.073 7.48707 Clear 0 563.364 68.214 4
2020-07-11 23:42:57.288000 9.121 7.53596 Clear 0 563.446 68.271 4
2020-07-11 23:42:57.388000 9.434 7.84995 Clear 0 563.53 68.328 4
2020-07-11 23:42:57.488000 9.049 7.46638 Clear 0 563.614 68.384 4
2020-07-11 23:42:57.588000 8.958 7.37607 Clear 0 563.699 68.441 4
2020-07-11 23:42:57.688000 8.86 7.27847 Clear 0 563.785 68.498 4
2020-07-11 23:42:57.788000 9.004 7.42419 Clear 0 563.872 68.554 4
2020-07-11 23:42:57.888000 9.097 7.51838 Clear 0 563.96 68.611 4
2020-07-11 23:42:57.988000 8.839 7.26106 Clear 0 564.048 68.668 4
2020-07-11 23:42:58.188000 9.185 7.60862 Clear 0 564.227 68.781 4
2020-07-11 23:42:58.288000 8.996 7.42223 Clear 0 564.318 68.838 4
2020-07-11 23:42:58.388000 8.987 7.41376 Clear 0 564.41 68.894 4
2020-07-11 23:42:58.488000 9.046 7.4736 Clear 0 564.503 68.951 4
2020-07-11 23:42:58.588000 8.938 7.36645 Clear 0 564.596 69.008 4
2020-07-11 23:42:58.688000 8.972 7.4017 Clear 0 564.691 69.064 4
2020-07-11 23:42:58.888000 8.999 7.43064 Clear 0 564.882 69.178 4
2020-07-11 23:42:58.988000 8.985 7.41809 Clear 0 564.979 69.234 4
2020-07-11 23:42:59.088000 8.924 7.35777 Clear 0 565.076 69.291 4
2020-07-11 23:42:59.188000 9.019 7.45381 Clear 0 565.175 69.347 4
2020-07-11 23:42:59.288000 8.994 7.43135 Clear 0 565.274 69.404 4
2020-07-11 23:42:59.388000 8.974 7.41231 Clear 0 565.374 69.461 4
2020-07-11 23:42:59.488000 9.072 7.51104 Clear 0 565.476 69.517 4
2020-07-11 23:42:59.588000 8.863 7.30284 Clear 0 565.577 69.574 4
2020-07-11 23:42:59.688000 8.985 7.42585 Clear 0 565.68 69.63 4
2020-07-11 23:42:59.788000 9.011 7.45327 Clear 0 565.784 69.687 4
2020-07-11 23:42:59.888000 8.93 7.3725 Clear 0 565.888 69.743 4
2020-07-11 23:42:59.988000 8.939 7.38384 Clear 0 565.993 69.8 4
2020-07-11 23:43:00.188000 8.842 7.28917 Clear 0 566.206 69.913 4
2020-07-11 23:43:00.288000 8.944 7.39239 Clear 0 566.314 69.97 4
2020-07-11 23:43:00.388000 8.858 7.30711 Clear 0 566.422 70.026 4
2020-07-11 23:43:00.488000 8.893 7.34291 Clear 0 566.532 70.083 4
2020-07-11 23:43:00.588000 8.902 7.35412 Clear 0 566.642 70.139 4
2020-07-11 23:43:00.688000 8.8 7.25341 Clear 0 566.753 70.196 4
2020-07-11 23:43:00.888000 8.698 7.15255 Clear 0 566.977 70.309 4
2020-07-11 23:43:00.988000 8.731 7.18694 Clear 0 567.091 70.365 4
2020-07-11 23:43:01.088000 8.83 7.2873 Clear 0 567.205 70.421 4
2020-07-11 23:43:01.188000 8.774 7.23322 Clear 0 567.32 70.478 4
2020-07-11 23:43:01.388000 8.717 7.17775 Clear 0 567.553 70.591 4
2020-07-11 23:43:01.488000 8.767 7.22908 Clear 0 567.671 70.647 4
2020-07-11 23:43:01.588000 8.656 7.12003 Clear 0 567.789 70.704 4
2020-07-11 23:43:01.688000 8.663 7.12807 Clear 0 567.908 70.76 4
2020-07-11 23:43:01.788000 8.718 7.18396 Clear 0 568.028 70.816 4
2020-07-11 23:43:01.888000 8.657 7.12364 Clear 0 568.149 70.873 4
