# satellite: 42864 FLOCK 2K 05 / US
# catalogue: 1 NORAD
# track: 17560276
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 99
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-05-20 18:10:15.896000 8.01 6.51985 Clear 0 682.078 32.954 9
2020-05-20 18:10:15.996000 7.985 6.49472 Clear 0 682.203 32.898 9
2020-05-20 18:10:16.096000 7.938 6.44833 Clear 0 682.329 32.842 9
2020-05-20 18:10:16.196000 7.95 6.45966 Clear 0 682.456 32.787 9
2020-05-20 18:10:16.296000 7.924 6.43449 Clear 0 682.583 32.731 9
2020-05-20 18:10:16.396000 7.834 6.34485 Clear 0 682.712 32.676 9
2020-05-20 18:10:16.496000 7.798 6.30903 Clear 0 682.841 32.62 9
2020-05-20 18:10:16.596000 7.869 6.37969 Clear 0 682.97 32.565 9
2020-05-20 18:10:16.696000 7.811 6.3219 Clear 0 683.101 32.509 9
2020-05-20 18:10:16.796000 8.013 6.52401 Clear 0 683.232 32.454 9
2020-05-20 18:10:16.896000 7.982 6.49286 Clear 0 683.364 32.399 9
2020-05-20 18:10:16.996000 7.87 6.38108 Clear 0 683.497 32.343 9
2020-05-20 18:10:17.096000 7.971 6.48157 Clear 0 683.631 32.288 9
2020-05-20 18:10:17.196000 7.909 6.42076 Clear 0 683.766 32.233 9
2020-05-20 18:10:17.296000 7.755 6.26676 Clear 0 683.901 32.178 9
2020-05-20 18:10:17.396000 7.817 6.32891 Clear 0 684.037 32.123 9
2020-05-20 18:10:17.496000 8.013 6.52493 Clear 0 684.174 32.068 9
2020-05-20 18:10:17.596000 7.831 6.34315 Clear 0 684.311 32.013 9
2020-05-20 18:10:17.696000 7.778 6.28997 Clear 0 684.45 31.958 9
2020-05-20 18:10:17.796000 7.894 6.40585 Clear 0 684.589 31.903 9
2020-05-20 18:10:17.896000 7.961 6.47406 Clear 0 684.729 31.848 9
2020-05-20 18:10:17.996000 7.819 6.3324 Clear 0 684.87 31.793 9
2020-05-20 18:10:18.096000 7.774 6.28702 Clear 0 685.011 31.739 9
2020-05-20 18:10:18.196000 7.79 6.3033 Clear 0 685.153 31.684 9
2020-05-20 18:10:18.296000 7.9 6.41253 Clear 0 685.296 31.629 9
2020-05-20 18:10:18.396000 7.824 6.33653 Clear 0 685.44 31.575 9
2020-05-20 18:10:18.496000 7.958 6.47207 Clear 0 685.585 31.52 9
2020-05-20 18:10:18.596000 7.998 6.51215 Clear 0 685.73 31.466 9
2020-05-20 18:10:18.696000 7.856 6.36995 Clear 0 685.876 31.411 9
2020-05-20 18:10:18.796000 7.983 6.49733 Clear 0 686.023 31.357 9
2020-05-20 18:10:18.896000 7.878 6.3921 Clear 0 686.171 31.302 9
2020-05-20 18:10:18.996000 7.837 6.35059 Clear 0 686.32 31.248 9
2020-05-20 18:10:19.096000 7.814 6.32898 Clear 0 686.469 31.194 9
2020-05-20 18:10:19.196000 7.699 6.21442 Clear 0 686.619 31.14 9
2020-05-20 18:10:19.296000 7.946 6.46132 Clear 0 686.77 31.085 9
2020-05-20 18:10:19.396000 7.89 6.40518 Clear 0 686.921 31.031 9
2020-05-20 18:10:19.496000 7.903 6.41796 Clear 0 687.074 30.977 9
2020-05-20 18:10:19.596000 7.868 6.38386 Clear 0 687.227 30.923 9
2020-05-20 18:10:19.696000 7.927 6.44305 Clear 0 687.381 30.869 9
2020-05-20 18:10:19.796000 7.782 6.29821 Clear 0 687.535 30.815 9
2020-05-20 18:10:19.896000 7.884 6.39996 Clear 0 687.691 30.762 9
2020-05-20 18:10:19.996000 7.886 6.40212 Clear 0 687.847 30.708 9
2020-05-20 18:10:20.096000 7.981 6.49757 Clear 0 688.004 30.654 9
2020-05-20 18:10:20.196000 7.83 6.34711 Clear 0 688.162 30.6 9
2020-05-20 18:10:20.296000 7.793 6.31012 Clear 0 688.32 30.547 9
2020-05-20 18:10:20.396000 7.819 6.33562 Clear 0 688.479 30.493 9
2020-05-20 18:10:20.496000 7.918 6.43503 Clear 0 688.639 30.439 9
2020-05-20 18:10:20.596000 7.826 6.34407 Clear 0 688.8 30.386 9
2020-05-20 18:10:20.696000 7.714 6.23244 Clear 0 688.962 30.333 9
2020-05-20 18:10:20.796000 7.866 6.38386 Clear 0 689.124 30.279 9
2020-05-20 18:10:20.896000 7.8 6.31755 Clear 0 689.287 30.226 9
2020-05-20 18:10:20.996000 7.806 6.32467 Clear 0 689.451 30.173 9
2020-05-20 18:10:21.096000 7.807 6.32557 Clear 0 689.616 30.119 9
2020-05-20 18:10:21.196000 7.895 6.41403 Clear 0 689.781 30.066 9
2020-05-20 18:10:21.296000 7.769 6.28796 Clear 0 689.947 30.013 9
2020-05-20 18:10:21.396000 7.885 6.40518 Clear 0 690.114 29.96 9
2020-05-20 18:10:21.496000 7.769 6.28924 Clear 0 690.282 29.907 9
2020-05-20 18:10:21.596000 7.83 6.34981 Clear 0 690.45 29.854 9
2020-05-20 18:10:21.696000 7.744 6.26427 Clear 0 690.619 29.801 9
2020-05-20 18:10:21.796000 7.751 6.27237 Clear 0 690.789 29.748 9
2020-05-20 18:10:21.896000 7.867 6.38834 Clear 0 690.96 29.695 9
2020-05-20 18:10:21.996000 7.822 6.34266 Clear 0 691.131 29.643 9
2020-05-20 18:10:22.096000 7.88 6.40174 Clear 0 691.304 29.59 9
2020-05-20 18:10:22.196000 7.828 6.35016 Clear 0 691.476 29.537 9
2020-05-20 18:10:22.296000 7.758 6.27981 Clear 0 691.65 29.485 9
2020-05-20 18:10:22.396000 7.814 6.33611 Clear 0 691.825 29.432 9
2020-05-20 18:10:22.496000 7.792 6.3152 Clear 0 692.0 29.38 9
2020-05-20 18:10:22.596000 7.747 6.27013 Clear 0 692.176 29.328 9
2020-05-20 18:10:22.696000 7.818 6.34096 Clear 0 692.353 29.275 9
2020-05-20 18:10:22.796000 7.736 6.2604 Clear 0 692.53 29.223 9
2020-05-20 18:10:22.896000 7.791 6.3152 Clear 0 692.708 29.171 9
2020-05-20 18:10:22.996000 7.809 6.33247 Clear 0 692.887 29.119 9
2020-05-20 18:10:23.096000 7.77 6.29348 Clear 0 693.067 29.066 9
2020-05-20 18:10:23.196000 7.718 6.2425 Clear 0 693.248 29.014 9
2020-05-20 18:10:23.296000 7.746 6.27059 Clear 0 693.429 28.962 9
2020-05-20 18:10:23.396000 7.697 6.22166 Clear 0 693.611 28.91 9
2020-05-20 18:10:23.496000 7.699 6.22526 Clear 0 693.794 28.859 9
2020-05-20 18:10:23.596000 7.766 6.29226 Clear 0 693.977 28.807 9
2020-05-20 18:10:23.696000 7.619 6.14502 Clear 0 694.161 28.755 9
2020-05-20 18:10:23.796000 7.709 6.23602 Clear 0 694.346 28.703 9
2020-05-20 18:10:23.896000 7.724 6.25109 Clear 0 694.532 28.652 9
2020-05-20 18:10:23.996000 7.824 6.3513 Clear 0 694.719 28.6 9
2020-05-20 18:10:24.096000 7.809 6.33646 Clear 0 694.906 28.549 9
2020-05-20 18:10:24.196000 7.684 6.21235 Clear 0 695.094 28.497 9
2020-05-20 18:10:24.296000 7.762 6.29018 Clear 0 695.283 28.446 9
2020-05-20 18:10:24.396000 7.681 6.21023 Clear 0 695.472 28.394 9
2020-05-20 18:10:24.496000 7.749 6.27794 Clear 0 695.662 28.343 9
2020-05-20 18:10:24.596000 7.755 6.28354 Clear 0 695.853 28.292 9
2020-05-20 18:10:24.696000 7.859 6.38937 Clear 0 696.045 28.241 9
2020-05-20 18:10:24.796000 7.701 6.23075 Clear 0 696.237 28.19 9
2020-05-20 18:10:24.896000 7.752 6.28304 Clear 0 696.43 28.139 9
2020-05-20 18:10:24.996000 7.756 6.28701 Clear 0 696.624 28.088 9
2020-05-20 18:10:25.096000 7.68 6.21091 Clear 0 696.819 28.037 9
2020-05-20 18:10:25.196000 7.704 6.23594 Clear 0 697.014 27.986 9
2020-05-20 18:10:25.296000 7.68 6.21166 Clear 0 697.211 27.935 9
2020-05-20 18:10:25.396000 7.986 6.51824 Clear 0 697.407 27.885 9
2020-05-20 18:10:25.496000 7.694 6.22717 Clear 0 697.605 27.834 9
2020-05-20 18:10:25.596000 7.634 6.16672 Clear 0 697.803 27.783 9
2020-05-20 18:10:25.696000 7.706 6.23961 Clear 0 698.002 27.733 9
