# satellite: 42864 FLOCK 2K 05 / US
# catalogue: 1 NORAD
# track: 17970062
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 63
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-08-04 18:26:20.597000 11.268 9.23097 Clear 0 447.038 72.103 1
2020-08-04 18:26:20.697000 11.164 9.12815 Clear 0 447.209 72.055 1
2020-08-04 18:26:20.797000 10.688 8.65192 Clear 0 447.382 72.007 1
2020-08-04 18:26:20.897000 10.678 8.64169 Clear 0 447.556 71.96 1
2020-08-04 18:26:30.694000 8.25 6.26406 Clear 0 470.106 67.678 4
2020-08-04 18:26:30.794000 8.162 6.17696 Clear 0 470.39 67.639 4
2020-08-04 18:26:30.894000 8.174 6.18989 Clear 0 470.674 67.599 4
2020-08-04 18:26:30.994000 8.065 6.08051 Clear 0 470.96 67.56 4
2020-08-04 18:26:31.094000 8.044 6.06115 Clear 0 471.246 67.521 4
2020-08-04 18:26:31.194000 8.146 6.1639 Clear 0 471.534 67.482 4
2020-08-04 18:26:31.294000 8.098 6.11681 Clear 0 471.822 67.443 4
2020-08-04 18:26:31.394000 7.999 6.01872 Clear 0 472.112 67.404 4
2020-08-04 18:26:31.494000 8.143 6.1644 Clear 0 472.402 67.366 4
2020-08-04 18:26:31.594000 8.207 6.22792 Clear 0 472.694 67.327 4
2020-08-04 18:26:31.694000 8.256 6.27814 Clear 0 472.986 67.288 4
2020-08-04 18:26:31.794000 8.441 6.46378 Clear 0 473.28 67.25 4
2020-08-04 18:26:31.994000 8.516 6.54103 Clear 0 473.87 67.173 4
2020-08-04 18:26:32.094000 8.825 6.85101 Clear 0 474.167 67.135 4
2020-08-04 18:26:32.194000 8.858 6.88504 Clear 0 474.464 67.097 4
2020-08-04 18:26:32.294000 9.261 7.28855 Clear 0 474.763 67.059 4
2020-08-04 18:26:32.394000 9.71 7.73765 Clear 0 475.062 67.021 4
2020-08-04 18:26:35.494000 10.953 9.01212 Clear 0 484.829 65.892 4
2020-08-04 18:26:35.594000 9.971 8.03124 Clear 0 485.159 65.857 4
2020-08-04 18:26:35.694000 10.377 8.43763 Clear 0 485.491 65.822 4
2020-08-04 18:26:35.794000 9.992 8.05429 Clear 0 485.823 65.787 4
2020-08-04 18:26:35.894000 9.668 7.73123 Clear 0 486.156 65.753 4
2020-08-04 18:26:35.994000 9.24 7.30347 Clear 0 486.49 65.718 4
2020-08-04 18:26:36.094000 9.33 7.39445 Clear 0 486.825 65.683 4
2020-08-04 18:26:36.194000 10.043 8.10861 Clear 0 487.16 65.649 4
2020-08-04 18:26:36.194000 9.763 7.82887 Clear 0 487.16 65.649 4
2020-08-04 18:26:36.294000 9.396 7.46296 Clear 0 487.497 65.615 4
2020-08-04 18:26:36.294000 10.509 8.5755 Clear 0 487.497 65.615 4
2020-08-04 18:26:36.394000 10.139 8.2065 Clear 0 487.835 65.58 4
2020-08-04 18:26:36.394000 9.95 8.01758 Clear 0 487.835 65.58 4
2020-08-04 18:26:36.494000 10.53 8.59896 Clear 0 488.173 65.546 4
2020-08-04 18:26:36.494000 9.831 7.90014 Clear 0 488.173 65.546 4
2020-08-04 18:26:36.594000 9.726 7.79643 Clear 0 488.513 65.512 4
2020-08-04 18:26:36.694000 11.234 9.30612 Clear 0 488.853 65.478 4
2020-08-04 18:26:36.694000 10.479 8.55102 Clear 0 488.853 65.478 4
2020-08-04 18:26:39.794000 10.428 8.53599 Clear 0 499.844 64.469 4
2020-08-04 18:26:39.894000 10.42 8.52856 Clear 0 500.212 64.438 4
2020-08-04 18:26:39.994000 9.268 7.37772 Clear 0 500.582 64.407 4
2020-08-04 18:26:40.094000 9.219 7.33017 Clear 0 500.952 64.376 4
2020-08-04 18:26:40.194000 8.832 6.94459 Clear 0 501.323 64.345 4
2020-08-04 18:26:40.293000 8.746 6.86043 Clear 0 501.691 64.315 4
2020-08-04 18:26:40.393000 8.649 6.76438 Clear 0 502.063 64.284 4
2020-08-04 18:26:40.493000 8.522 6.63837 Clear 0 502.437 64.253 4
2020-08-04 18:26:40.593000 8.42 6.53787 Clear 0 502.811 64.223 4
2020-08-04 18:26:40.693000 8.507 6.6259 Clear 0 503.186 64.192 4
2020-08-04 18:26:40.793000 8.459 6.57864 Clear 0 503.562 64.162 4
2020-08-04 18:26:49.597000 8.316 6.5592 Clear 0 539.707 61.816 9
2020-08-04 18:26:49.697000 8.575 6.81947 Clear 0 540.15 61.793 9
2020-08-04 18:26:49.797000 8.379 6.62448 Clear 0 540.593 61.77 9
2020-08-04 18:26:49.897000 8.324 6.57147 Clear 0 541.037 61.747 9
2020-08-04 18:26:49.997000 8.325 6.57369 Clear 0 541.482 61.724 9
2020-08-04 18:26:50.097000 8.4 6.65111 Clear 0 541.927 61.701 9
2020-08-04 18:26:50.197000 8.409 6.66195 Clear 0 542.374 61.678 9
2020-08-04 18:26:50.297000 8.224 6.47809 Clear 0 542.82 61.655 9
2020-08-04 18:26:50.397000 8.464 6.71948 Clear 0 543.268 61.633 9
2020-08-04 18:26:50.497000 8.543 6.80038 Clear 0 543.716 61.61 9
2020-08-04 18:26:50.597000 9.335 7.59369 Clear 0 544.165 61.588 9
2020-08-04 18:26:50.697000 10.298 8.55749 Clear 0 544.614 61.565 9
2020-08-04 18:26:50.797000 9.784 8.04546 Clear 0 545.064 61.543 9
