# satellite: 43663 OBJECT B / PRC
# catalogue: 1 NORAD
# track: 13857852
# variability: 2 Periodic
# variability_period: 7.73546004
# npoints: 181
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-10-31 15:42:53.890000 9.185 7.73811 Clear 0 626.906 60.436 2
2018-10-31 15:42:53.990000 8.947 7.49866 Clear 0 626.52 60.429 2
2018-10-31 15:42:54.090000 8.867 7.41691 Clear 0 626.135 60.423 2
2018-10-31 15:42:54.190000 9.384 7.93325 Clear 0 625.75 60.416 2
2018-10-31 15:42:54.190000 8.667 7.21642 Clear 0 625.75 60.416 2
2018-10-31 15:42:54.290000 8.235 6.78294 Clear 0 625.366 60.41 2
2018-10-31 15:42:54.390000 7.726 6.27235 Clear 0 624.983 60.403 2
2018-10-31 15:42:54.490000 8.098 6.64302 Clear 0 624.6 60.397 2
2018-10-31 15:42:54.590000 8.254 6.79728 Clear 0 624.218 60.391 2
2018-10-31 15:42:54.690000 8.371 6.91314 Clear 0 623.836 60.384 2
2018-10-31 15:42:54.790000 8.668 7.20944 Clear 0 623.456 60.378 2
2018-10-31 15:42:54.890000 9.44 7.97907 Clear 0 623.075 60.372 2
2018-10-31 15:42:54.990000 9.917 8.4552 Clear 0 622.696 60.365 2
2018-10-31 15:42:55.190000 9.817 8.35225 Clear 0 621.939 60.353 2
2018-10-31 15:42:55.290000 10.547 9.08097 Clear 0 621.561 60.347 2
2018-10-31 15:42:55.390000 10.443 8.97503 Clear 0 621.184 60.341 2
2018-10-31 15:43:00.690000 9.888 8.34984 Clear 0 602.161 60.06 2
2018-10-31 15:43:00.790000 9.236 7.69563 Clear 0 601.821 60.056 2
2018-10-31 15:43:00.890000 8.982 7.44053 Clear 0 601.481 60.052 2
2018-10-31 15:43:00.990000 8.694 7.15179 Clear 0 601.142 60.047 2
2018-10-31 15:43:01.090000 8.829 7.28454 Clear 0 600.804 60.043 2
2018-10-31 15:43:01.190000 8.786 7.24127 Clear 0 600.467 60.039 2
