# satellite: 43663 OBJECT B / PRC
# catalogue: 1 NORAD
# track: 14238018
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 388
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-02-04 15:53:34.995000 6.866 5.54189 Clear 0 582.79 81.202 2
2019-02-04 15:53:35.095000 6.917 5.59068 Clear 0 582.48 81.202 2
2019-02-04 15:53:35.195000 6.943 5.61624 Clear 0 582.171 81.203 2
2019-02-04 15:53:35.295000 6.88 5.55158 Clear 0 581.862 81.204 2
2019-02-04 15:53:35.395000 6.921 5.59192 Clear 0 581.555 81.204 2
2019-02-04 15:53:35.495000 6.925 5.59529 Clear 0 581.248 81.205 2
2019-02-04 15:53:35.595000 6.926 5.59506 Clear 0 580.942 81.206 2
2019-02-04 15:53:35.695000 6.92 5.58755 Clear 0 580.636 81.206 2
2019-02-04 15:53:35.795000 6.884 5.55105 Clear 0 580.332 81.207 2
2019-02-04 15:53:35.895000 6.813 5.47843 Clear 0 580.028 81.208 2
2019-02-04 15:53:35.995000 6.889 5.55258 Clear 0 579.725 81.209 2
2019-02-04 15:53:36.095000 6.977 5.63965 Clear 0 579.423 81.209 2
2019-02-04 15:53:36.195000 6.981 5.64282 Clear 0 579.121 81.21 2
2019-02-04 15:53:36.295000 6.888 5.54905 Clear 0 578.821 81.211 2
2019-02-04 15:53:36.395000 6.946 5.60603 Clear 0 578.521 81.212 2
2019-02-04 15:53:36.495000 6.894 5.55272 Clear 0 578.222 81.213 2
2019-02-04 15:53:36.595000 6.965 5.62259 Clear 0 577.924 81.214 2
2019-02-04 15:53:36.695000 6.98 5.63586 Clear 0 577.626 81.214 2
2019-02-04 15:53:36.795000 7.019 5.67438 Clear 0 577.329 81.215 2
2019-02-04 15:53:36.895000 7.046 5.69997 Clear 0 577.033 81.216 2
2019-02-04 15:53:36.995000 7.059 5.71191 Clear 0 576.738 81.217 2
2019-02-04 15:53:37.095000 7.0 5.65187 Clear 0 576.444 81.218 2
2019-02-04 15:53:37.195000 7.055 5.70549 Clear 0 576.15 81.219 2
2019-02-04 15:53:37.295000 7.081 5.7305 Clear 0 575.858 81.22 2
2019-02-04 15:53:37.395000 7.106 5.75445 Clear 0 575.566 81.221 2
2019-02-04 15:53:37.495000 7.111 5.7592 Clear 0 575.275 81.222 2
2019-02-04 15:53:37.595000 7.126 5.77285 Clear 0 574.984 81.223 2
2019-02-04 15:53:37.695000 7.139 5.78477 Clear 0 574.695 81.224 2
2019-02-04 15:53:37.795000 7.106 5.75059 Clear 0 574.406 81.225 2
2019-02-04 15:53:37.895000 7.083 5.72606 Clear 0 574.118 81.226 2
2019-02-04 15:53:37.995000 7.18 5.82235 Clear 0 573.831 81.227 2
2019-02-04 15:53:38.095000 7.042 5.68302 Clear 0 573.545 81.228 2
2019-02-04 15:53:38.195000 7.118 5.758 Clear 0 573.259 81.229 2
2019-02-04 15:53:38.295000 7.192 5.83098 Clear 0 572.974 81.231 2
2019-02-04 15:53:38.395000 7.143 5.78083 Clear 0 572.69 81.232 2
2019-02-04 15:53:38.495000 7.153 5.78972 Clear 0 572.407 81.233 2
2019-02-04 15:53:38.595000 7.111 5.74704 Clear 0 572.125 81.234 2
2019-02-04 15:53:38.695000 7.09 5.72525 Clear 0 571.843 81.235 2
2019-02-04 15:53:38.795000 6.974 5.60803 Clear 0 571.563 81.236 2
2019-02-04 15:53:38.895000 6.912 5.54505 Clear 0 571.283 81.238 2
2019-02-04 15:53:38.995000 6.928 5.55999 Clear 0 571.004 81.239 2
2019-02-04 15:53:39.095000 6.912 5.54293 Clear 0 570.726 81.24 2
2019-02-04 15:53:39.195000 6.862 5.4921 Clear 0 570.448 81.241 2
2019-02-04 15:53:39.295000 6.873 5.50235 Clear 0 570.172 81.243 2
2019-02-04 15:53:39.395000 6.937 5.56462 Clear 0 569.896 81.244 2
2019-02-04 15:53:39.495000 6.877 5.50396 Clear 0 569.621 81.245 2
2019-02-04 15:53:39.595000 7.039 5.66487 Clear 0 569.347 81.247 2
2019-02-04 15:53:39.695000 7.021 5.64566 Clear 0 569.074 81.248 2
2019-02-04 15:53:39.795000 7.025 5.64929 Clear 0 568.801 81.249 2
2019-02-04 15:53:39.895000 7.082 5.70449 Clear 0 568.529 81.251 2
