# satellite: 43851 ELECTRON KICK STAGE R/B / US
# catalogue: 1 NORAD
# track: 16773862
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 314
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-11-13 02:30:42.690000 8.589 7.67729 Clear 0 644.117 92.099 4
2019-11-13 02:30:42.790000 8.519 7.606 Clear 0 643.747 92.116 4
2019-11-13 02:30:42.890000 8.852 7.93826 Clear 0 643.378 92.133 4
2019-11-13 02:30:42.990000 8.555 7.64005 Clear 0 643.009 92.151 4
2019-11-13 02:30:43.090000 9.551 8.63524 Clear 0 642.641 92.168 4
2019-11-13 02:30:43.290000 9.079 8.16164 Clear 0 641.908 92.204 4
2019-11-13 02:30:43.390000 9.092 8.17406 Clear 0 641.542 92.221 4
2019-11-13 02:30:43.590000 8.982 8.06146 Clear 0 640.811 92.256 4
2019-11-13 02:30:43.690000 9.49 8.56932 Clear 0 640.447 92.274 4
2019-11-13 02:30:43.790000 9.024 8.10194 Clear 0 640.084 92.292 4
2019-11-13 02:30:43.990000 9.289 8.36469 Clear 0 639.358 92.327 4
2019-11-13 02:30:44.090000 8.996 8.07077 Clear 0 638.997 92.345 4
2019-11-13 02:30:44.190000 8.724 7.79918 Clear 0 638.636 92.363 4
2019-11-13 02:30:44.290000 8.708 7.78189 Clear 0 638.275 92.38 4
2019-11-13 02:30:44.390000 8.704 7.77653 Clear 0 637.916 92.398 4
2019-11-13 02:30:44.490000 8.725 7.7971 Clear 0 637.557 92.416 4
2019-11-13 02:30:44.590000 9.355 8.42639 Clear 0 637.198 92.434 4
2019-11-13 02:30:44.590000 9.22 8.29066 Clear 0 637.198 92.434 4
2019-11-13 02:30:44.690000 9.764 8.83375 Clear 0 636.84 92.452 4
2019-11-13 02:30:44.690000 9.527 8.59716 Clear 0 636.84 92.452 4
2019-11-13 02:30:44.790000 8.365 7.43404 Clear 0 636.483 92.469 4
2019-11-13 02:30:44.890000 8.496 7.56353 Clear 0 636.126 92.487 4
2019-11-13 02:30:44.990000 9.366 8.43383 Clear 0 635.77 92.505 4
2019-11-13 02:30:46.290000 8.96 8.01702 Clear 0 631.202 92.74 4
2019-11-13 02:30:46.390000 8.475 7.53074 Clear 0 630.855 92.758 4
2019-11-13 02:30:46.490000 8.3 7.35471 Clear 0 630.508 92.776 4
2019-11-13 02:30:46.590000 8.401 7.45505 Clear 0 630.163 92.794 4
2019-11-13 02:30:46.690000 8.384 7.43646 Clear 0 629.818 92.813 4
2019-11-13 02:30:46.790000 8.022 7.07372 Clear 0 629.473 92.831 4
2019-11-13 02:30:46.890000 8.501 7.55249 Clear 0 629.13 92.849 4
2019-11-13 02:30:46.990000 8.341 7.39159 Clear 0 628.787 92.867 4
2019-11-13 02:30:47.090000 8.23 7.28013 Clear 0 628.445 92.886 4
2019-11-13 02:30:47.190000 8.226 7.27499 Clear 0 628.103 92.904 4
2019-11-13 02:30:47.290000 8.15 7.19833 Clear 0 627.762 92.922 4
2019-11-13 02:30:47.390000 8.295 7.34269 Clear 0 627.422 92.941 4
2019-11-13 02:30:47.490000 8.107 7.15365 Clear 0 627.082 92.959 4
2019-11-13 02:30:47.590000 8.095 7.14124 Clear 0 626.743 92.978 4
2019-11-13 02:30:47.690000 8.494 7.53849 Clear 0 626.405 92.996 4
2019-11-13 02:30:47.790000 8.656 7.70031 Clear 0 626.067 93.015 4
2019-11-13 02:30:47.890000 8.386 7.42959 Clear 0 625.73 93.033 4
2019-11-13 02:30:47.990000 8.242 7.28466 Clear 0 625.394 93.051 4
2019-11-13 02:30:48.090000 8.154 7.19594 Clear 0 625.058 93.07 4
2019-11-13 02:30:48.190000 8.304 7.34525 Clear 0 624.723 93.089 4
2019-11-13 02:30:48.290000 8.585 7.62466 Clear 0 624.389 93.107 4
2019-11-13 02:30:48.390000 8.03 7.06946 Clear 0 624.055 93.126 4
2019-11-13 02:30:48.490000 8.349 7.38749 Clear 0 623.722 93.144 4
2019-11-13 02:30:48.590000 8.234 7.27146 Clear 0 623.39 93.163 4
2019-11-13 02:30:48.690000 8.771 7.80753 Clear 0 623.058 93.181 4
2019-11-13 02:30:48.790000 8.283 7.3192 Clear 0 622.727 93.2 4
2019-11-13 02:30:48.890000 8.335 7.37124 Clear 0 622.397 93.219 4
2019-11-13 02:30:48.990000 8.13 7.16505 Clear 0 622.067 93.237 4
2019-11-13 02:30:49.090000 8.397 7.43052 Clear 0 621.738 93.256 4
2019-11-13 02:30:49.190000 8.439 7.47166 Clear 0 621.41 93.275 4
2019-11-13 02:30:49.290000 8.108 7.14053 Clear 0 621.083 93.294 4
2019-11-13 02:30:49.390000 8.278 7.31005 Clear 0 620.756 93.312 4
2019-11-13 02:30:49.490000 8.24 7.2705 Clear 0 620.43 93.331 4
2019-11-13 02:30:49.590000 8.315 7.34525 Clear 0 620.104 93.35 4
2019-11-13 02:30:49.690000 8.209 7.23869 Clear 0 619.779 93.369 4
2019-11-13 02:30:49.790000 8.31 7.33928 Clear 0 619.455 93.387 4
2019-11-13 02:30:49.890000 8.046 7.07372 Clear 0 619.132 93.406 4
2019-11-13 02:30:49.990000 8.259 7.28644 Clear 0 618.809 93.425 4
2019-11-13 02:30:50.090000 8.204 7.23019 Clear 0 618.487 93.444 4
2019-11-13 02:30:50.190000 8.279 7.30525 Clear 0 618.166 93.463 4
2019-11-13 02:30:50.290000 8.272 7.29654 Clear 0 617.845 93.482 4
2019-11-13 02:30:50.390000 8.646 7.66988 Clear 0 617.525 93.501 4
2019-11-13 02:30:50.490000 8.253 7.27691 Clear 0 617.206 93.52 4
2019-11-13 02:30:50.690000 8.203 7.22527 Clear 0 616.57 93.558 4
2019-11-13 02:30:50.790000 8.127 7.14835 Clear 0 616.253 93.577 4
2019-11-13 02:30:50.890000 8.114 7.13445 Clear 0 615.936 93.596 4
2019-11-13 02:30:50.990000 8.005 7.02497 Clear 0 615.62 93.615 4
2019-11-13 02:30:51.090000 8.221 7.23993 Clear 0 615.305 93.634 4
2019-11-13 02:30:51.190000 8.214 7.23173 Clear 0 614.991 93.653 4
2019-11-13 02:30:51.290000 8.243 7.26096 Clear 0 614.677 93.672 4
2019-11-13 02:30:51.390000 8.207 7.22374 Clear 0 614.365 93.691 4
2019-11-13 02:30:51.490000 8.143 7.15868 Clear 0 614.052 93.71 4
2019-11-13 02:30:51.590000 8.069 7.08511 Clear 0 613.741 93.729 4
2019-11-13 02:30:51.690000 8.305 7.31987 Clear 0 613.43 93.749 4
2019-11-13 02:30:51.790000 8.181 7.19534 Clear 0 613.12 93.768 4
2019-11-13 02:30:51.890000 8.084 7.09663 Clear 0 612.811 93.787 4
2019-11-13 02:30:51.990000 8.09 7.10291 Clear 0 612.502 93.806 4
2019-11-13 02:30:52.090000 8.306 7.31803 Clear 0 612.194 93.825 4
2019-11-13 02:30:52.190000 8.16 7.1713 Clear 0 611.887 93.845 4
2019-11-13 02:30:52.290000 8.255 7.26572 Clear 0 611.58 93.864 4
2019-11-13 02:30:52.390000 8.21 7.21992 Clear 0 611.275 93.883 4
2019-11-13 02:30:52.490000 8.66 7.66919 Clear 0 610.969 93.902 4
2019-11-13 02:30:52.590000 8.133 7.14152 Clear 0 610.665 93.922 4
2019-11-13 02:30:52.690000 8.076 7.08431 Clear 0 610.361 93.941 4
2019-11-13 02:30:52.790000 8.05 7.05705 Clear 0 610.059 93.961 4
2019-11-13 02:30:52.890000 7.997 7.00327 Clear 0 609.756 93.98 4
2019-11-13 02:30:52.990000 7.983 6.98912 Clear 0 609.455 93.999 4
2019-11-13 02:30:53.090000 7.978 6.98285 Clear 0 609.154 94.019 4
2019-11-13 02:30:53.190000 8.232 7.23575 Clear 0 608.854 94.038 4
2019-11-13 02:30:53.290000 8.111 7.11516 Clear 0 608.555 94.058 4
2019-11-13 02:30:53.390000 8.013 7.01599 Clear 0 608.256 94.077 4
2019-11-13 02:30:53.490000 8.06 7.06225 Clear 0 607.959 94.096 4
2019-11-13 02:30:53.590000 7.924 6.92573 Clear 0 607.661 94.116 4
2019-11-13 02:30:53.690000 8.109 7.11044 Clear 0 607.365 94.135 4
2019-11-13 02:30:53.790000 7.89 6.88965 Clear 0 607.069 94.155 4
2019-11-13 02:30:53.890000 7.997 6.99723 Clear 0 606.775 94.175 4
