# satellite: 43851 ELECTRON KICK STAGE R/B / US
# catalogue: 1 NORAD
# track: 19495680
# variability: 2 Periodic
# variability_period: 12.137928
# npoints: 405
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-07-29 18:49:06.695000 7.05 5.55161 Clear 0 624.218 56.49 9
2021-07-29 18:49:06.795000 7.018 5.51864 Clear 0 623.785 56.52 9
2021-07-29 18:49:06.895000 7.054 5.55389 Clear 0 623.353 56.55 9
2021-07-29 18:49:06.995000 7.074 5.57178 Clear 0 622.921 56.58 9
2021-07-29 18:49:07.095000 7.112 5.60897 Clear 0 622.49 56.611 9
2021-07-29 18:49:07.195000 7.015 5.51047 Clear 0 622.059 56.641 9
2021-07-29 18:49:07.295000 7.089 5.5844 Clear 0 621.629 56.671 9
2021-07-29 18:49:07.395000 7.101 5.59525 Clear 0 621.199 56.702 9
2021-07-29 18:49:07.495000 7.09 5.58196 Clear 0 620.77 56.732 9
2021-07-29 18:49:07.595000 7.025 5.51558 Clear 0 620.342 56.763 9
2021-07-29 18:49:07.695000 7.102 5.59204 Clear 0 619.914 56.794 9
2021-07-29 18:49:07.795000 7.059 5.54778 Clear 0 619.486 56.825 9
2021-07-29 18:49:07.895000 7.096 5.5841 Clear 0 619.06 56.855 9
2021-07-29 18:49:07.995000 7.105 5.59227 Clear 0 618.633 56.886 9
2021-07-29 18:49:08.095000 7.023 5.508 Clear 0 618.208 56.917 9
2021-07-29 18:49:08.195000 7.096 5.57949 Clear 0 617.783 56.948 9
2021-07-29 18:49:08.295000 7.143 5.62589 Clear 0 617.358 56.979 9
2021-07-29 18:49:08.395000 7.048 5.52986 Clear 0 616.934 57.01 9
2021-07-29 18:49:08.495000 6.983 5.4644 Clear 0 616.511 57.042 9
2021-07-29 18:49:08.595000 6.971 5.44995 Clear 0 616.088 57.073 9
2021-07-29 18:49:08.695000 6.922 5.40026 Clear 0 615.666 57.104 9
2021-07-29 18:49:08.795000 6.993 5.47023 Clear 0 615.244 57.136 9
2021-07-29 18:49:08.895000 7.032 5.50781 Clear 0 614.823 57.167 9
2021-07-29 18:49:08.995000 7.008 5.48331 Clear 0 614.403 57.199 9
2021-07-29 18:49:09.095000 7.018 5.4917 Clear 0 613.983 57.231 9
2021-07-29 18:49:09.195000 6.972 5.44478 Clear 0 613.563 57.262 9
2021-07-29 18:49:09.295000 7.008 5.47923 Clear 0 613.145 57.294 9
2021-07-29 18:49:09.395000 6.972 5.44216 Clear 0 612.727 57.326 9
2021-07-29 18:49:09.495000 6.993 5.46218 Clear 0 612.309 57.358 9
2021-07-29 18:49:09.595000 6.967 5.43516 Clear 0 611.892 57.39 9
2021-07-29 18:49:09.695000 6.901 5.36789 Clear 0 611.476 57.422 9
2021-07-29 18:49:09.795000 6.866 5.33197 Clear 0 611.06 57.454 9
2021-07-29 18:49:09.895000 6.828 5.29217 Clear 0 610.645 57.486 9
2021-07-29 18:49:09.995000 6.825 5.28765 Clear 0 610.23 57.519 9
2021-07-29 18:49:10.095000 6.639 5.10118 Clear 0 609.816 57.551 9
2021-07-29 18:49:10.195000 6.789 5.24961 Clear 0 609.403 57.584 9
2021-07-29 18:49:10.295000 6.864 5.32406 Clear 0 608.99 57.616 9
2021-07-29 18:49:10.395000 6.933 5.3915 Clear 0 608.578 57.649 9
2021-07-29 18:49:10.495000 7.025 5.48258 Clear 0 608.166 57.681 9
2021-07-29 18:49:10.595000 6.998 5.4546 Clear 0 607.755 57.714 9
2021-07-29 18:49:10.695000 6.959 5.41357 Clear 0 607.345 57.747 9
2021-07-29 18:49:10.795000 7.008 5.46218 Clear 0 606.935 57.78 9
2021-07-29 18:49:10.895000 6.988 5.44055 Clear 0 606.526 57.813 9
2021-07-29 18:49:10.995000 7.044 5.49571 Clear 0 606.117 57.846 9
2021-07-29 18:49:11.095000 7.0 5.45095 Clear 0 605.709 57.879 9
2021-07-29 18:49:11.195000 7.052 5.50224 Clear 0 605.302 57.912 9
2021-07-29 18:49:11.295000 7.073 5.52233 Clear 0 604.895 57.945 9
2021-07-29 18:49:11.395000 7.039 5.48744 Clear 0 604.489 57.978 9
2021-07-29 18:49:11.495000 7.036 5.48312 Clear 0 604.083 58.012 9
2021-07-29 18:49:11.595000 7.033 5.47762 Clear 0 603.678 58.045 9
2021-07-29 18:49:11.695000 7.058 5.50195 Clear 0 603.274 58.079 9
2021-07-29 18:49:11.795000 7.131 5.57367 Clear 0 602.87 58.112 9
2021-07-29 18:49:11.895000 7.073 5.51492 Clear 0 602.467 58.146 9
2021-07-29 18:49:11.995000 6.997 5.43812 Clear 0 602.064 58.18 9
2021-07-29 18:49:12.095000 7.047 5.48701 Clear 0 601.663 58.213 9
2021-07-29 18:49:12.195000 7.127 5.56616 Clear 0 601.261 58.247 9
2021-07-29 18:49:12.295000 7.039 5.47655 Clear 0 600.861 58.281 9
2021-07-29 18:49:12.395000 7.105 5.54178 Clear 0 600.461 58.315 9
2021-07-29 18:49:12.495000 7.046 5.48224 Clear 0 600.061 58.349 9
2021-07-29 18:49:12.595000 7.108 5.54162 Clear 0 599.663 58.384 9
2021-07-29 18:49:12.695000 7.033 5.46619 Clear 0 599.264 58.418 9
2021-07-29 18:49:12.795000 7.063 5.49501 Clear 0 598.867 58.452 9
2021-07-29 18:49:12.895000 7.055 5.48613 Clear 0 598.47 58.486 9
2021-07-29 18:49:12.995000 7.116 5.54601 Clear 0 598.074 58.521 9
2021-07-29 18:49:13.095000 7.03 5.4593 Clear 0 597.678 58.555 9
2021-07-29 18:49:13.195000 7.013 5.44059 Clear 0 597.283 58.59 9
2021-07-29 18:49:13.295000 7.055 5.48215 Clear 0 596.889 58.625 9
2021-07-29 18:49:13.395000 7.035 5.46107 Clear 0 596.495 58.66 9
2021-07-29 18:49:13.495000 7.115 5.54008 Clear 0 596.102 58.694 9
2021-07-29 18:49:13.595000 7.027 5.45121 Clear 0 595.71 58.729 9
2021-07-29 18:49:13.695000 7.015 5.43768 Clear 0 595.318 58.764 9
2021-07-29 18:49:13.795000 7.026 5.44766 Clear 0 594.927 58.799 9
2021-07-29 18:49:13.895000 7.047 5.46746 Clear 0 594.536 58.834 9
2021-07-29 18:49:13.995000 7.032 5.45177 Clear 0 594.146 58.87 9
2021-07-29 18:49:14.095000 6.969 5.38829 Clear 0 593.757 58.905 9
2021-07-29 18:49:14.195000 7.01 5.42679 Clear 0 593.369 58.94 9
2021-07-29 18:49:14.295000 7.003 5.41905 Clear 0 592.981 58.976 9
2021-07-29 18:49:14.395000 6.947 5.36241 Clear 0 592.593 59.011 9
2021-07-29 18:49:14.495000 6.915 5.32926 Clear 0 592.207 59.047 9
2021-07-29 18:49:14.595000 6.974 5.38706 Clear 0 591.821 59.082 9
2021-07-29 18:49:14.695000 6.946 5.35837 Clear 0 591.435 59.118 9
2021-07-29 18:49:14.795000 6.908 5.31935 Clear 0 591.051 59.154 9
2021-07-29 18:49:14.895000 6.918 5.32789 Clear 0 590.667 59.19 9
2021-07-29 18:49:14.995000 6.939 5.34795 Clear 0 590.283 59.226 9
2021-07-29 18:49:15.095000 6.938 5.34595 Clear 0 589.901 59.262 9
2021-07-29 18:49:15.195000 6.973 5.3804 Clear 0 589.518 59.298 9
2021-07-29 18:49:15.295000 6.933 5.33858 Clear 0 589.137 59.334 9
2021-07-29 18:49:15.395000 6.854 5.25859 Clear 0 588.756 59.37 9
