# satellite: 43851 ELECTRON KICK STAGE R/B / US
# catalogue: 1 NORAD
# track: 20552875
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 276
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-06-06 19:59:25.911000 8.146 7.24241 Clear 0 605.108 98.999 3
2022-06-06 19:59:26.011000 8.036 7.1295 Clear 0 604.855 98.937 3
2022-06-06 19:59:26.111000 8.034 7.12548 Clear 0 604.603 98.875 3
2022-06-06 19:59:26.211000 7.998 7.0884 Clear 0 604.352 98.813 3
2022-06-06 19:59:26.311000 7.879 6.96584 Clear 0 604.102 98.751 3
2022-06-06 19:59:26.411000 7.751 6.83644 Clear 0 603.853 98.688 3
2022-06-06 19:59:26.511000 7.631 6.71407 Clear 0 603.604 98.626 3
2022-06-06 19:59:26.611000 7.833 6.91318 Clear 0 603.356 98.563 3
2022-06-06 19:59:26.711000 7.731 6.80861 Clear 0 603.109 98.501 3
2022-06-06 19:59:26.811000 7.726 6.80241 Clear 0 602.863 98.438 3
2022-06-06 19:59:26.911000 7.758 6.83197 Clear 0 602.617 98.376 3
2022-06-06 19:59:27.011000 7.793 6.86404 Clear 0 602.372 98.313 3
2022-06-06 19:59:27.111000 7.788 6.85657 Clear 0 602.128 98.25 3
2022-06-06 19:59:27.211000 7.558 6.62506 Clear 0 601.885 98.187 3
2022-06-06 19:59:27.311000 7.532 6.59726 Clear 0 601.643 98.125 3
2022-06-06 19:59:27.411000 7.601 6.66291 Clear 0 601.401 98.062 3
2022-06-06 19:59:27.511000 7.624 6.68444 Clear 0 601.161 97.999 3
2022-06-06 19:59:27.611000 7.704 6.7619 Clear 0 600.921 97.936 3
2022-06-06 19:59:27.711000 7.426 6.48206 Clear 0 600.681 97.873 3
2022-06-06 19:59:27.811000 7.585 6.63855 Clear 0 600.443 97.81 3
2022-06-06 19:59:27.911000 7.602 6.6528 Clear 0 600.205 97.747 3
2022-06-06 19:59:28.011000 7.786 6.83467 Clear 0 599.969 97.684 3
2022-06-06 19:59:28.111000 7.814 6.86102 Clear 0 599.733 97.621 3
2022-06-06 19:59:28.211000 7.636 6.68055 Clear 0 599.497 97.557 3
2022-06-06 19:59:28.311000 7.74 6.78236 Clear 0 599.263 97.494 3
2022-06-06 19:59:28.411000 7.836 6.87572 Clear 0 599.029 97.431 3
2022-06-06 19:59:28.511000 7.775 6.81252 Clear 0 598.797 97.367 3
2022-06-06 19:59:28.611000 7.748 6.78438 Clear 0 598.565 97.304 3
2022-06-06 19:59:28.711000 8.051 7.08543 Clear 0 598.334 97.24 3
2022-06-06 19:59:28.811000 7.761 6.79172 Clear 0 598.103 97.177 3
2022-06-06 19:59:28.911000 7.605 6.63433 Clear 0 597.874 97.113 3
2022-06-06 19:59:29.011000 7.67 6.69744 Clear 0 597.645 97.05 3
2022-06-06 19:59:29.111000 7.76 6.78495 Clear 0 597.417 96.986 3
2022-06-06 19:59:29.211000 7.814 6.83727 Clear 0 597.19 96.922 3
2022-06-06 19:59:29.311000 7.575 6.59452 Clear 0 596.964 96.859 3
2022-06-06 19:59:29.411000 7.663 6.68065 Clear 0 596.738 96.795 3
2022-06-06 19:59:29.511000 7.708 6.72413 Clear 0 596.513 96.731 3
2022-06-06 19:59:29.611000 7.665 6.67942 Clear 0 596.29 96.667 3
2022-06-06 19:59:29.711000 7.543 6.5553 Clear 0 596.066 96.603 3
2022-06-06 19:59:29.811000 7.715 6.7253 Clear 0 595.844 96.539 3
2022-06-06 19:59:29.911000 7.562 6.56877 Clear 0 595.623 96.475 3
2022-06-06 19:59:30.011000 7.647 6.6521 Clear 0 595.402 96.411 3
2022-06-06 19:59:30.111000 7.727 6.72989 Clear 0 595.182 96.347 3
2022-06-06 19:59:30.211000 7.612 6.6127 Clear 0 594.963 96.283 3
2022-06-06 19:59:30.311000 7.611 6.61021 Clear 0 594.745 96.218 3
2022-06-06 19:59:30.411000 7.469 6.46618 Clear 0 594.528 96.154 3
2022-06-06 19:59:30.511000 7.435 6.4294 Clear 0 594.312 96.09 3
2022-06-06 19:59:30.611000 7.386 6.37777 Clear 0 594.096 96.025 3
2022-06-06 19:59:30.711000 7.507 6.49726 Clear 0 593.881 95.961 3
2022-06-06 19:59:30.811000 7.292 6.27959 Clear 0 593.667 95.897 3
2022-06-06 19:59:30.911000 7.168 6.15372 Clear 0 593.454 95.832 3
2022-06-06 19:59:31.011000 7.355 6.3391 Clear 0 593.241 95.768 3
2022-06-06 19:59:31.111000 7.469 6.45094 Clear 0 593.03 95.703 3
2022-06-06 19:59:31.211000 7.256 6.23445 Clear 0 592.819 95.638 3
2022-06-06 19:59:31.311000 7.138 6.11495 Clear 0 592.609 95.574 3
2022-06-06 19:59:31.411000 7.297 6.27225 Clear 0 592.4 95.509 3
2022-06-06 19:59:31.511000 7.277 6.25025 Clear 0 592.192 95.444 3
2022-06-06 19:59:31.611000 7.254 6.22492 Clear 0 591.985 95.38 3
2022-06-06 19:59:31.711000 7.441 6.41026 Clear 0 591.778 95.315 3
2022-06-06 19:59:31.811000 7.547 6.51426 Clear 0 591.572 95.25 3
2022-06-06 19:59:31.911000 7.546 6.51136 Clear 0 591.367 95.185 3
2022-06-06 19:59:32.011000 7.411 6.37406 Clear 0 591.163 95.12 3
2022-06-06 19:59:32.111000 7.497 6.45817 Clear 0 590.96 95.055 3
2022-06-06 19:59:32.211000 7.444 6.40238 Clear 0 590.758 94.99 3
2022-06-06 19:59:32.311000 7.463 6.4194 Clear 0 590.556 94.925 3
2022-06-06 19:59:32.411000 7.511 6.46487 Clear 0 590.356 94.86 3
2022-06-06 19:59:32.511000 7.431 6.3829 Clear 0 590.156 94.794 3
2022-06-06 19:59:32.611000 7.371 6.32115 Clear 0 589.957 94.729 3
2022-06-06 19:59:32.711000 7.378 6.32602 Clear 0 589.758 94.664 3
2022-06-06 19:59:32.811000 7.349 6.29484 Clear 0 589.561 94.599 3
2022-06-06 19:59:32.911000 7.347 6.29105 Clear 0 589.365 94.533 3
2022-06-06 19:59:33.011000 7.124 6.06589 Clear 0 589.169 94.468 3
2022-06-06 19:59:33.111000 6.997 5.93739 Clear 0 588.974 94.403 3
2022-06-06 19:59:33.211000 7.069 6.00671 Clear 0 588.78 94.337 3
2022-06-06 19:59:33.311000 6.907 5.84333 Clear 0 588.587 94.272 3
2022-06-06 19:59:33.411000 6.869 5.80338 Clear 0 588.395 94.206 3
2022-06-06 19:59:33.511000 6.768 5.69961 Clear 0 588.203 94.14 3
