# satellite: 43911 YUNHAI 2 3 / PRC
# catalogue: 1 NORAD
# track: 15923924
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 422
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-05-30 00:06:30.897000 5.561 4.24558 Clear 0 564.468 85.866 3
2019-05-30 00:06:30.997000 5.545 4.23014 Clear 0 564.235 85.883 3
2019-05-30 00:06:31.097000 5.581 4.2651 Clear 0 564.002 85.899 3
2019-05-30 00:06:31.197000 5.604 4.28649 Clear 0 563.769 85.916 3
2019-05-30 00:06:31.297000 5.533 4.216 Clear 0 563.538 85.933 3
2019-05-30 00:06:31.397000 5.551 4.23248 Clear 0 563.307 85.95 3
2019-05-30 00:06:31.497000 5.491 4.17284 Clear 0 563.078 85.967 3
2019-05-30 00:06:31.597000 5.463 4.14429 Clear 0 562.848 85.984 3
2019-05-30 00:06:31.697000 5.354 4.03425 Clear 0 562.62 86.001 3
2019-05-30 00:06:31.797000 5.332 4.01235 Clear 0 562.393 86.018 3
2019-05-30 00:06:31.897000 5.257 3.93606 Clear 0 562.166 86.035 3
2019-05-30 00:06:31.997000 5.249 3.92767 Clear 0 561.94 86.052 3
2019-05-30 00:06:32.097000 5.288 3.96548 Clear 0 561.715 86.07 3
2019-05-30 00:06:32.197000 5.27 3.94815 Clear 0 561.49 86.087 3
2019-05-30 00:06:32.297000 5.276 3.9525 Clear 0 561.267 86.104 3
2019-05-30 00:06:32.397000 5.282 3.95809 Clear 0 561.044 86.121 3
2019-05-30 00:06:32.497000 5.351 4.02716 Clear 0 560.822 86.138 3
2019-05-30 00:06:32.597000 5.422 4.0968 Clear 0 560.601 86.155 3
2019-05-30 00:06:32.697000 5.433 4.1084 Clear 0 560.38 86.173 3
2019-05-30 00:06:32.797000 5.492 4.16591 Clear 0 560.161 86.19 3
2019-05-30 00:06:32.897000 5.514 4.18819 Clear 0 559.942 86.207 3
2019-05-30 00:06:32.997000 5.607 4.27967 Clear 0 559.724 86.224 3
2019-05-30 00:06:33.097000 5.653 4.32631 Clear 0 559.506 86.242 3
2019-05-30 00:06:33.197000 5.704 4.37614 Clear 0 559.29 86.259 3
2019-05-30 00:06:33.297000 5.733 4.40518 Clear 0 559.074 86.276 3
2019-05-30 00:06:33.397000 5.773 4.44398 Clear 0 558.859 86.294 3
2019-05-30 00:06:33.497000 5.724 4.39515 Clear 0 558.645 86.311 3
