# satellite: 43936 Epsilon 4 PBS / JPN
# catalogue: 1 NORAD
# track: 15844173
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 534
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-05-16 17:57:44.189000 4.822 3.21312 Clear 0 612.755 48.93 2
2019-05-16 17:57:44.289000 4.577 2.96836 Clear 0 612.572 48.994 2
2019-05-16 17:57:44.389000 4.573 2.9643 Clear 0 612.39 49.058 2
2019-05-16 17:57:44.489000 4.347 2.73688 Clear 0 612.208 49.121 2
2019-05-16 17:57:44.589000 3.851 2.24096 Clear 0 612.028 49.186 2
2019-05-16 17:57:44.689000 3.6 1.98952 Clear 0 611.848 49.25 2
2019-05-16 17:57:44.789000 3.386 1.77564 Clear 0 611.67 49.314 2
2019-05-16 17:57:44.889000 2.969 1.35846 Clear 0 611.492 49.378 2
2019-05-16 17:57:44.989000 2.859 1.24848 Clear 0 611.315 49.442 2
2019-05-16 17:57:45.089000 2.743 1.13318 Clear 0 611.139 49.506 2
2019-05-16 17:57:45.189000 3.154 1.54374 Clear 0 610.963 49.571 2
2019-05-16 17:57:45.289000 3.691 2.08131 Clear 0 610.789 49.635 2
2019-05-16 17:57:45.389000 4.005 2.39482 Clear 0 610.615 49.699 2
2019-05-16 17:57:45.489000 4.538 2.9276 Clear 0 610.442 49.764 2
2019-05-16 17:57:45.589000 4.756 3.1464 Clear 0 610.27 49.828 2
2019-05-16 17:57:45.689000 4.947 3.33738 Clear 0 610.099 49.893 2
2019-05-16 17:57:45.789000 5.152 3.54155 Clear 0 609.929 49.957 2
2019-05-16 17:57:45.889000 5.325 3.71485 Clear 0 609.759 50.022 2
2019-05-16 17:57:45.989000 5.489 3.87916 Clear 0 609.591 50.087 2
2019-05-16 17:57:46.089000 5.51 3.90042 Clear 0 609.423 50.151 2
2019-05-16 17:57:46.189000 5.602 3.99179 Clear 0 609.256 50.216 2
