# satellite: 43936 Epsilon 4 PBS / JPN
# catalogue: 1 NORAD
# track: 19081633
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 226
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-04-01 17:33:33.695000 7.304 6.47769 Clear 0 617.63 100.458 2
2021-04-01 17:33:33.795000 7.203 6.37763 Clear 0 617.648 100.499 2
2021-04-01 17:33:33.895000 7.22 6.39643 Clear 0 617.667 100.54 2
2021-04-01 17:33:33.995000 7.39 6.56718 Clear 0 617.686 100.581 2
2021-04-01 17:33:34.095000 7.371 6.54911 Clear 0 617.707 100.622 2
2021-04-01 17:33:34.195000 7.141 6.32043 Clear 0 617.728 100.663 2
2021-04-01 17:33:34.295000 7.406 6.58556 Clear 0 617.75 100.704 2
2021-04-01 17:33:34.395000 7.338 6.5185 Clear 0 617.773 100.745 2
2021-04-01 17:33:34.495000 7.251 6.43289 Clear 0 617.797 100.787 2
2021-04-01 17:33:34.595000 7.327 6.51019 Clear 0 617.822 100.828 2
2021-04-01 17:33:34.695000 7.272 6.45627 Clear 0 617.848 100.869 2
2021-04-01 17:33:34.795000 7.262 6.44693 Clear 0 617.875 100.91 2
2021-04-01 17:33:34.895000 7.336 6.52157 Clear 0 617.902 100.951 2
2021-04-01 17:33:34.995000 7.464 6.65106 Clear 0 617.93 100.992 2
2021-04-01 17:33:35.095000 7.283 6.47121 Clear 0 617.96 101.033 2
2021-04-01 17:33:35.195000 7.454 6.64305 Clear 0 617.99 101.074 2
2021-04-01 17:33:35.295000 7.524 6.71354 Clear 0 618.021 101.115 2
2021-04-01 17:33:35.395000 7.395 6.58621 Clear 0 618.053 101.156 2
2021-04-01 17:33:35.495000 7.305 6.49712 Clear 0 618.086 101.197 2
2021-04-01 17:33:35.595000 7.346 6.53944 Clear 0 618.119 101.238 2
2021-04-01 17:33:35.695000 7.416 6.61011 Clear 0 618.154 101.279 2
2021-04-01 17:33:35.795000 7.254 6.44923 Clear 0 618.189 101.32 2
2021-04-01 17:33:35.895000 7.35 6.54621 Clear 0 618.226 101.361 2
2021-04-01 17:33:35.995000 7.186 6.38368 Clear 0 618.263 101.402 2
2021-04-01 17:33:36.095000 7.381 6.57996 Clear 0 618.301 101.442 2
2021-04-01 17:33:36.195000 7.362 6.56219 Clear 0 618.34 101.483 2
2021-04-01 17:33:36.295000 7.208 6.40878 Clear 0 618.38 101.524 2
2021-04-01 17:33:36.395000 7.462 6.66417 Clear 0 618.42 101.565 2
2021-04-01 17:33:36.495000 7.443 6.64621 Clear 0 618.462 101.606 2
2021-04-01 17:33:36.595000 7.214 6.41753 Clear 0 618.504 101.647 2
2021-04-01 17:33:36.695000 7.322 6.52699 Clear 0 618.548 101.688 2
2021-04-01 17:33:36.895000 7.477 6.68436 Clear 0 618.637 101.769 2
2021-04-01 17:33:36.995000 7.328 6.53649 Clear 0 618.683 101.81 2
2021-04-01 17:33:37.095000 7.409 6.61916 Clear 0 618.73 101.851 2
2021-04-01 17:33:37.195000 7.306 6.51659 Clear 0 618.777 101.891 2
2021-04-01 17:33:37.295000 7.379 6.59142 Clear 0 618.826 101.932 2
2021-04-01 17:33:37.495000 7.46 6.67362 Clear 0 618.926 102.014 2
2021-04-01 17:33:37.595000 7.243 6.45772 Clear 0 618.977 102.054 2
2021-04-01 17:33:37.599000 7.095 6.30982 Clear 0 618.979 102.056 7
2021-04-01 17:33:37.695000 7.339 6.55513 Clear 0 619.029 102.095 2
2021-04-01 17:33:37.699000 7.276 6.49201 Clear 0 619.031 102.096 7
2021-04-01 17:33:37.795000 7.226 6.44351 Clear 0 619.082 102.136 2
2021-04-01 17:33:37.799000 7.196 6.41382 Clear 0 619.084 102.137 7
2021-04-01 17:33:37.895000 7.48 6.69939 Clear 0 619.136 102.176 2
2021-04-01 17:33:37.899000 7.155 6.37443 Clear 0 619.138 102.178 7
2021-04-01 17:33:37.995000 7.528 6.7483 Clear 0 619.19 102.217 2
2021-04-01 17:33:37.999000 7.336 6.5562 Clear 0 619.193 102.218 7
2021-04-01 17:33:38.095000 7.279 6.50004 Clear 0 619.246 102.257 2
2021-04-01 17:33:38.099000 7.162 6.38252 Clear 0 619.248 102.259 7
2021-04-01 17:33:38.195000 7.319 6.54084 Clear 0 619.302 102.298 2
2021-04-01 17:33:38.199000 6.98 6.20209 Clear 0 619.305 102.3 7
2021-04-01 17:33:38.295000 7.413 6.63561 Clear 0 619.36 102.339 2
2021-04-01 17:33:38.299000 7.258 6.48069 Clear 0 619.362 102.34 7
2021-04-01 17:33:38.395000 7.282 6.50593 Clear 0 619.418 102.379 2
2021-04-01 17:33:38.399000 7.053 6.27778 Clear 0 619.42 102.381 7
2021-04-01 17:33:38.495000 7.393 6.61903 Clear 0 619.477 102.42 2
2021-04-01 17:33:38.499000 7.093 6.31853 Clear 0 619.479 102.421 7
2021-04-01 17:33:38.595000 7.416 6.6431 Clear 0 619.537 102.46 2
2021-04-01 17:33:38.599000 7.103 6.33034 Clear 0 619.539 102.462 7
2021-04-01 17:33:38.699000 7.111 6.33851 Clear 0 619.6 102.502 7
2021-04-01 17:33:38.795000 7.372 6.60072 Clear 0 619.659 102.541 2
2021-04-01 17:33:38.799000 7.193 6.42175 Clear 0 619.662 102.543 7
2021-04-01 17:33:38.895000 7.377 6.60705 Clear 0 619.722 102.582 2
2021-04-01 17:33:38.899000 6.957 6.1865 Clear 0 619.724 102.583 7
2021-04-01 17:33:38.995000 7.266 6.49717 Clear 0 619.785 102.622 2
2021-04-01 17:33:38.999000 7.375 6.60648 Clear 0 619.788 102.624 7
2021-04-01 17:33:39.095000 7.301 6.53389 Clear 0 619.85 102.662 2
2021-04-01 17:33:39.099000 7.2 6.43292 Clear 0 619.852 102.664 7
2021-04-01 17:33:39.195000 7.316 6.55022 Clear 0 619.915 102.703 2
2021-04-01 17:33:39.199000 7.183 6.4171 Clear 0 619.917 102.705 7
2021-04-01 17:33:39.295000 7.27 6.50521 Clear 0 619.981 102.743 2
2021-04-01 17:33:39.299000 6.939 6.17423 Clear 0 619.984 102.745 7
2021-04-01 17:33:39.395000 7.452 6.68835 Clear 0 620.048 102.784 2
2021-04-01 17:33:39.399000 7.142 6.3776 Clear 0 620.05 102.785 7
2021-04-01 17:33:39.495000 7.175 6.41243 Clear 0 620.116 102.824 2
2021-04-01 17:33:39.499000 6.845 6.08233 Clear 0 620.118 102.826 7
2021-04-01 17:33:39.595000 7.298 6.53649 Clear 0 620.184 102.864 2
2021-04-01 17:33:39.599000 7.079 6.31771 Clear 0 620.187 102.866 7
2021-04-01 17:33:39.695000 7.35 6.59012 Clear 0 620.254 102.905 2
2021-04-01 17:33:39.699000 7.0 6.24042 Clear 0 620.257 102.906 7
2021-04-01 17:33:39.795000 7.318 6.55904 Clear 0 620.324 102.945 2
2021-04-01 17:33:39.799000 6.967 6.20799 Clear 0 620.327 102.947 7
2021-04-01 17:33:39.899000 6.728 5.97032 Clear 0 620.398 102.987 7
2021-04-01 17:33:39.999000 7.012 6.25629 Clear 0 620.47 103.027 7
2021-04-01 17:33:40.099000 6.964 6.20873 Clear 0 620.543 103.067 7
2021-04-01 17:33:40.199000 6.965 6.21133 Clear 0 620.617 103.108 7
2021-04-01 17:33:40.299000 7.05 6.29663 Clear 0 620.692 103.148 7
2021-04-01 17:33:40.399000 7.004 6.25192 Clear 0 620.768 103.188 7
2021-04-01 17:33:40.499000 7.224 6.47406 Clear 0 620.844 103.228 7
2021-04-01 17:33:40.599000 7.128 6.37876 Clear 0 620.922 103.268 7
2021-04-01 17:33:40.699000 7.175 6.42657 Clear 0 621.0 103.309 7
2021-04-01 17:33:40.799000 7.1 6.35322 Clear 0 621.079 103.349 7
2021-04-01 17:33:40.899000 7.041 6.29622 Clear 0 621.159 103.389 7
2021-04-01 17:33:40.999000 7.044 6.29998 Clear 0 621.24 103.429 7
2021-04-01 17:33:41.099000 7.214 6.47091 Clear 0 621.321 103.469 7
2021-04-01 17:33:41.199000 7.319 6.57714 Clear 0 621.404 103.509 7
2021-04-01 17:33:41.299000 7.092 6.35209 Clear 0 621.487 103.549 7
2021-04-01 17:33:41.399000 6.952 6.21343 Clear 0 621.572 103.589 7
2021-04-01 17:33:41.499000 7.016 6.27752 Clear 0 621.657 103.629 7
2021-04-01 17:33:41.599000 7.181 6.44421 Clear 0 621.743 103.669 7
2021-04-01 17:33:41.699000 7.227 6.49185 Clear 0 621.83 103.709 7
