# satellite: 44078 EMISAT / IND
# catalogue: 1 NORAD
# track: 16003545
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 243
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-06-28 18:56:04.699000 4.728 5.44514 Clear 0 1191.567 105.34 7
2019-06-28 18:56:04.799000 4.675 5.3925 Clear 0 1191.621 105.371 7
2019-06-28 18:56:04.899000 4.618 5.33698 Clear 0 1191.675 105.403 7
2019-06-28 18:56:04.999000 4.762 5.481 Clear 0 1191.73 105.435 7
2019-06-28 18:56:05.099000 4.672 5.39241 Clear 0 1191.785 105.466 7
2019-06-28 18:56:05.199000 4.536 5.25698 Clear 0 1191.841 105.498 7
2019-06-28 18:56:05.299000 4.512 5.23391 Clear 0 1191.897 105.529 7
2019-06-28 18:56:05.399000 4.611 5.33398 Clear 0 1191.953 105.561 7
2019-06-28 18:56:05.499000 4.596 5.3195 Clear 0 1192.01 105.592 7
2019-06-28 18:56:05.599000 4.522 5.24714 Clear 0 1192.068 105.624 7
2019-06-28 18:56:05.699000 4.523 5.24869 Clear 0 1192.125 105.655 7
2019-06-28 18:56:05.799000 4.577 5.30435 Clear 0 1192.183 105.687 7
2019-06-28 18:56:05.899000 4.535 5.26199 Clear 0 1192.242 105.718 7
2019-06-28 18:56:05.999000 4.443 5.17077 Clear 0 1192.301 105.75 7
2019-06-28 18:56:06.099000 4.484 5.21294 Clear 0 1192.36 105.782 7
2019-06-28 18:56:06.199000 4.427 5.15742 Clear 0 1192.42 105.813 7
2019-06-28 18:56:06.299000 4.323 5.05436 Clear 0 1192.48 105.845 7
2019-06-28 18:56:06.399000 4.406 5.13795 Clear 0 1192.541 105.876 7
2019-06-28 18:56:06.499000 4.342 5.0747 Clear 0 1192.602 105.908 7
2019-06-28 18:56:06.599000 4.34 5.07392 Clear 0 1192.663 105.939 7
2019-06-28 18:56:06.699000 4.383 5.11829 Clear 0 1192.725 105.971 7
2019-06-28 18:56:06.799000 4.245 4.98109 Clear 0 1192.788 106.002 7
2019-06-28 18:56:06.899000 4.404 5.14034 Clear 0 1192.85 106.034 7
2019-06-28 18:56:06.999000 4.428 5.16495 Clear 0 1192.914 106.065 7
2019-06-28 18:56:07.099000 4.446 5.18411 Clear 0 1192.977 106.097 7
2019-06-28 18:56:07.199000 4.329 5.06756 Clear 0 1193.041 106.128 7
2019-06-28 18:56:07.299000 4.288 5.02756 Clear 0 1193.106 106.16 7
2019-06-28 18:56:07.399000 4.228 4.96923 Clear 0 1193.17 106.191 7
2019-06-28 18:56:07.499000 4.358 5.10005 Clear 0 1193.236 106.223 7
2019-06-28 18:56:07.699000 4.214 4.95762 Clear 0 1193.367 106.286 7
2019-06-28 18:56:07.799000 4.26 5.00454 Clear 0 1193.434 106.317 7
2019-06-28 18:56:07.899000 4.281 5.02736 Clear 0 1193.501 106.349 7
2019-06-28 18:56:07.999000 4.201 4.9482 Clear 0 1193.568 106.38 7
2019-06-28 18:56:08.099000 4.281 5.02766 Clear 0 1193.636 106.411 7
2019-06-28 18:56:08.199000 4.199 4.94715 Clear 0 1193.704 106.443 7
2019-06-28 18:56:08.299000 4.245 4.99391 Clear 0 1193.772 106.474 7
2019-06-28 18:56:08.399000 4.305 5.05467 Clear 0 1193.841 106.506 7
2019-06-28 18:56:08.499000 4.373 5.12368 Clear 0 1193.911 106.537 7
2019-06-28 18:56:08.599000 4.169 4.92119 Clear 0 1193.981 106.569 7
2019-06-28 18:56:08.699000 4.212 4.96523 Clear 0 1194.051 106.6 7
2019-06-28 18:56:08.799000 4.231 4.98544 Clear 0 1194.122 106.632 7
2019-06-28 18:56:08.899000 4.448 5.20337 Clear 0 1194.193 106.663 7
2019-06-28 18:56:08.999000 4.22 4.97616 Clear 0 1194.264 106.694 7
2019-06-28 18:56:09.099000 4.289 5.04644 Clear 0 1194.336 106.726 7
2019-06-28 18:56:09.199000 4.357 5.11543 Clear 0 1194.408 106.757 7
2019-06-28 18:56:09.299000 4.325 5.08406 Clear 0 1194.481 106.789 7
2019-06-28 18:56:09.399000 4.191 4.95037 Clear 0 1194.554 106.82 7
2019-06-28 18:56:09.499000 4.336 5.0962 Clear 0 1194.628 106.852 7
2019-06-28 18:56:09.599000 4.346 5.10707 Clear 0 1194.702 106.883 7
2019-06-28 18:56:09.699000 4.25 5.01193 Clear 0 1194.776 106.914 7
2019-06-28 18:56:09.799000 4.302 5.06518 Clear 0 1194.851 106.946 7
2019-06-28 18:56:09.899000 4.214 4.97763 Clear 0 1194.926 106.977 7
2019-06-28 18:56:09.999000 4.413 5.17763 Clear 0 1195.002 107.009 7
2019-06-28 18:56:10.099000 4.33 5.09643 Clear 0 1195.078 107.04 7
2019-06-28 18:56:10.199000 4.327 5.09373 Clear 0 1195.154 107.071 7
2019-06-28 18:56:10.299000 4.253 5.02138 Clear 0 1195.231 107.103 7
2019-06-28 18:56:10.399000 4.228 4.99725 Clear 0 1195.309 107.134 7
2019-06-28 18:56:10.499000 4.288 5.05746 Clear 0 1195.386 107.165 7
2019-06-28 18:56:10.599000 4.272 5.04286 Clear 0 1195.465 107.197 7
2019-06-28 18:56:10.699000 4.383 5.15532 Clear 0 1195.543 107.228 7
2019-06-28 18:56:10.799000 4.241 5.01365 Clear 0 1195.622 107.259 7
2019-06-28 18:56:10.899000 4.344 5.11762 Clear 0 1195.702 107.291 7
2019-06-28 18:56:10.999000 4.316 5.09084 Clear 0 1195.781 107.322 7
2019-06-28 18:56:11.099000 4.266 5.04207 Clear 0 1195.862 107.354 7
2019-06-28 18:56:11.199000 4.37 5.14741 Clear 0 1195.942 107.385 7
2019-06-28 18:56:11.299000 4.382 5.15847 Clear 0 1196.023 107.416 7
2019-06-28 18:56:11.399000 4.218 4.99567 Clear 0 1196.105 107.448 7
2019-06-28 18:56:11.499000 4.359 5.13776 Clear 0 1196.187 107.479 7
2019-06-28 18:56:11.599000 4.418 5.1982 Clear 0 1196.269 107.51 7
2019-06-28 18:56:11.699000 4.268 5.0488 Clear 0 1196.352 107.541 7
2019-06-28 18:56:11.799000 4.366 5.14832 Clear 0 1196.435 107.573 7
2019-06-28 18:56:11.899000 4.345 5.12815 Clear 0 1196.518 107.604 7
2019-06-28 18:56:11.999000 4.409 5.19289 Clear 0 1196.602 107.635 7
2019-06-28 18:56:12.099000 4.331 5.11589 Clear 0 1196.687 107.667 7
2019-06-28 18:56:12.199000 4.316 5.10238 Clear 0 1196.771 107.698 7
2019-06-28 18:56:12.299000 4.402 5.18906 Clear 0 1196.857 107.729 7
2019-06-28 18:56:12.399000 4.321 5.10875 Clear 0 1196.942 107.761 7
2019-06-28 18:56:12.499000 4.388 5.17744 Clear 0 1197.028 107.792 7
2019-06-28 18:56:12.599000 4.384 5.17437 Clear 0 1197.115 107.823 7
2019-06-28 18:56:12.699000 4.349 5.14003 Clear 0 1197.201 107.854 7
2019-06-28 18:56:12.799000 4.404 5.19609 Clear 0 1197.289 107.886 7
2019-06-28 18:56:12.899000 4.499 5.29162 Clear 0 1197.376 107.917 7
2019-06-28 18:56:12.999000 4.39 5.18402 Clear 0 1197.464 107.948 7
2019-06-28 18:56:25.098000 4.023 4.94181 Clear 0 1211.14 111.689 7
2019-06-28 18:56:25.198000 4.015 4.93596 Clear 0 1211.277 111.719 7
2019-06-28 18:56:25.298000 4.005 4.92727 Clear 0 1211.415 111.75 7
2019-06-28 18:56:25.398000 4.109 5.0315 Clear 0 1211.554 111.78 7
2019-06-28 18:56:25.498000 3.924 4.84816 Clear 0 1211.693 111.811 7
2019-06-28 18:56:25.598000 4.068 4.99248 Clear 0 1211.832 111.841 7
2019-06-28 18:56:25.698000 4.035 4.96087 Clear 0 1211.972 111.872 7
2019-06-28 18:56:25.798000 3.972 4.89848 Clear 0 1212.112 111.902 7
2019-06-28 18:56:25.898000 3.951 4.87934 Clear 0 1212.252 111.933 7
2019-06-28 18:56:25.998000 3.887 4.81547 Clear 0 1212.393 111.963 7
2019-06-28 18:56:26.098000 3.85 4.77951 Clear 0 1212.534 111.994 7
2019-06-28 18:56:26.198000 3.954 4.88563 Clear 0 1212.676 112.024 7
2019-06-28 18:56:26.298000 3.801 4.73397 Clear 0 1212.818 112.055 7
2019-06-28 18:56:26.398000 3.865 4.79915 Clear 0 1212.96 112.085 7
2019-06-28 18:56:26.498000 3.841 4.77599 Clear 0 1213.103 112.115 7
2019-06-28 18:56:26.598000 3.875 4.81068 Clear 0 1213.247 112.146 7
2019-06-28 18:56:26.698000 3.977 4.91364 Clear 0 1213.39 112.176 7
2019-06-28 18:56:26.798000 3.877 4.81473 Clear 0 1213.534 112.207 7
2019-06-28 18:56:26.898000 3.949 4.88788 Clear 0 1213.679 112.237 7
2019-06-28 18:56:26.998000 3.845 4.78613 Clear 0 1213.824 112.267 7
2019-06-28 18:56:27.098000 3.723 4.66509 Clear 0 1213.969 112.298 7
2019-06-28 18:56:27.198000 3.791 4.73357 Clear 0 1214.114 112.328 7
2019-06-28 18:56:27.298000 3.762 4.70552 Clear 0 1214.26 112.359 7
2019-06-28 18:56:27.398000 3.816 4.76054 Clear 0 1214.407 112.389 7
2019-06-28 18:56:27.498000 3.794 4.73991 Clear 0 1214.554 112.419 7
2019-06-28 18:56:27.598000 3.746 4.69297 Clear 0 1214.701 112.45 7
2019-06-28 18:56:27.698000 3.752 4.70042 Clear 0 1214.848 112.48 7
2019-06-28 18:56:27.798000 3.786 4.73501 Clear 0 1214.996 112.51 7
2019-06-28 18:56:27.898000 3.606 4.55668 Clear 0 1215.145 112.541 7
2019-06-28 18:56:27.998000 3.648 4.60026 Clear 0 1215.294 112.571 7
2019-06-28 18:56:28.098000 3.572 4.52524 Clear 0 1215.443 112.601 7
2019-06-28 18:56:28.198000 3.524 4.47797 Clear 0 1215.592 112.631 7
2019-06-28 18:56:28.298000 3.601 4.55612 Clear 0 1215.742 112.662 7
2019-06-28 18:56:28.398000 3.584 4.53981 Clear 0 1215.893 112.692 7
2019-06-28 18:56:28.498000 3.61 4.56669 Clear 0 1216.044 112.722 7
2019-06-28 18:56:28.598000 3.499 4.45814 Clear 0 1216.195 112.753 7
2019-06-28 18:56:28.698000 3.623 4.58264 Clear 0 1216.346 112.783 7
2019-06-28 18:56:28.798000 3.583 4.54388 Clear 0 1216.498 112.813 7
2019-06-28 18:56:28.898000 3.519 4.48059 Clear 0 1216.65 112.843 7
2019-06-28 18:56:28.998000 3.361 4.32427 Clear 0 1216.803 112.874 7
2019-06-28 18:56:29.098000 3.494 4.45822 Clear 0 1216.956 112.904 7
2019-06-28 18:56:29.198000 3.493 4.45831 Clear 0 1217.11 112.934 7
2019-06-28 18:56:29.298000 3.364 4.33003 Clear 0 1217.264 112.964 7
2019-06-28 18:56:29.398000 3.431 4.39874 Clear 0 1217.418 112.994 7
2019-06-28 18:56:29.498000 3.284 4.25328 Clear 0 1217.573 113.025 7
2019-06-28 18:56:29.598000 3.303 4.27264 Clear 0 1217.728 113.055 7
2019-06-28 18:56:29.698000 3.21 4.18124 Clear 0 1217.883 113.085 7
2019-06-28 18:56:29.798000 3.33 4.30215 Clear 0 1218.039 113.115 7
2019-06-28 18:56:29.898000 3.243 4.21545 Clear 0 1218.195 113.145 7
2019-06-28 18:56:29.998000 3.228 4.20213 Clear 0 1218.352 113.175 7
2019-06-28 18:56:30.098000 3.328 4.30374 Clear 0 1218.509 113.206 7
2019-06-28 18:56:30.198000 3.301 4.278 Clear 0 1218.667 113.236 7
2019-06-28 18:56:30.298000 3.248 4.22634 Clear 0 1218.824 113.266 7
2019-06-28 18:56:30.398000 3.149 4.12762 Clear 0 1218.983 113.296 7
2019-06-28 18:56:30.498000 3.227 4.20698 Clear 0 1219.141 113.326 7
2019-06-28 18:56:30.598000 3.086 4.06704 Clear 0 1219.3 113.356 7
2019-06-28 18:56:30.698000 3.093 4.07505 Clear 0 1219.46 113.386 7
2019-06-28 18:56:30.798000 3.114 4.0984 Clear 0 1219.619 113.416 7
2019-06-28 18:56:30.898000 3.13 4.11537 Clear 0 1219.78 113.446 7
2019-06-28 18:56:30.998000 3.144 4.12985 Clear 0 1219.94 113.477 7
2019-06-28 18:56:31.098000 3.043 4.03013 Clear 0 1220.101 113.507 7
2019-06-28 18:56:31.198000 3.02 4.00796 Clear 0 1220.263 113.537 7
2019-06-28 18:56:31.298000 3.08 4.06909 Clear 0 1220.424 113.567 7
2019-06-28 18:56:31.398000 3.077 4.0679 Clear 0 1220.586 113.597 7
2019-06-28 18:56:31.498000 3.212 4.20401 Clear 0 1220.749 113.627 7
2019-06-28 18:56:31.598000 2.971 3.96422 Clear 0 1220.912 113.657 7
2019-06-28 18:56:31.698000 2.985 3.97859 Clear 0 1221.075 113.687 7
2019-06-28 18:56:31.798000 2.945 3.93992 Clear 0 1221.239 113.717 7
2019-06-28 18:56:31.898000 3.08 4.07557 Clear 0 1221.403 113.747 7
2019-06-28 18:56:31.998000 2.997 3.99498 Clear 0 1221.567 113.777 7
2019-06-28 18:56:32.098000 3.005 4.00427 Clear 0 1221.732 113.807 7
2019-06-28 18:56:32.198000 2.993 3.99296 Clear 0 1221.897 113.837 7
2019-06-28 18:56:32.298000 2.972 3.97324 Clear 0 1222.063 113.867 7
2019-06-28 18:56:32.398000 2.978 3.97989 Clear 0 1222.229 113.897 7
2019-06-28 18:56:32.498000 3.069 4.07182 Clear 0 1222.396 113.927 7
2019-06-28 18:56:32.598000 3.06 4.06465 Clear 0 1222.562 113.957 7
2019-06-28 18:56:32.698000 3.002 4.00823 Clear 0 1222.729 113.986 7
2019-06-28 18:56:32.798000 2.856 3.86254 Clear 0 1222.897 114.016 7
2019-06-28 18:56:32.898000 2.89 3.89753 Clear 0 1223.065 114.046 7
