# satellite: 44078 EMISAT / IND
# catalogue: 1 NORAD
# track: 18067832
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 528
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-08-22 18:04:28.689000 6.695 5.7515 Clear 0 817.022 53.526 7
2020-08-22 18:04:28.789000 6.771 5.82819 Clear 0 816.75 53.561 7
2020-08-22 18:04:28.889000 6.758 5.81376 Clear 0 816.478 53.595 7
2020-08-22 18:04:28.989000 6.781 5.83733 Clear 0 816.206 53.63 7
2020-08-22 18:04:29.089000 6.774 5.8301 Clear 0 815.935 53.665 7
2020-08-22 18:04:29.189000 6.814 5.86898 Clear 0 815.664 53.699 7
2020-08-22 18:04:29.289000 6.761 5.81554 Clear 0 815.394 53.734 7
2020-08-22 18:04:29.389000 6.798 5.85214 Clear 0 815.125 53.769 7
2020-08-22 18:04:29.489000 6.761 5.81461 Clear 0 814.856 53.804 7
2020-08-22 18:04:29.589000 6.788 5.8415 Clear 0 814.588 53.839 7
2020-08-22 18:04:29.689000 6.762 5.81487 Clear 0 814.32 53.874 7
2020-08-22 18:04:29.789000 6.739 5.79155 Clear 0 814.053 53.908 7
2020-08-22 18:04:29.889000 6.782 5.83505 Clear 0 813.786 53.943 7
2020-08-22 18:04:29.989000 6.849 5.90114 Clear 0 813.52 53.978 7
2020-08-22 18:04:30.089000 6.768 5.82014 Clear 0 813.254 54.013 7
2020-08-22 18:04:30.189000 6.806 5.85652 Clear 0 812.989 54.049 7
2020-08-22 18:04:30.289000 6.805 5.85577 Clear 0 812.725 54.084 7
2020-08-22 18:04:30.389000 6.756 5.80715 Clear 0 812.461 54.119 7
2020-08-22 18:04:30.489000 6.892 5.9417 Clear 0 812.197 54.154 7
2020-08-22 18:04:30.589000 6.895 5.94526 Clear 0 811.934 54.189 7
2020-08-22 18:04:30.689000 6.871 5.92093 Clear 0 811.672 54.225 7
2020-08-22 18:04:30.789000 6.856 5.9053 Clear 0 811.41 54.26 7
2020-08-22 18:04:30.889000 6.905 5.95401 Clear 0 811.149 54.295 7
2020-08-22 18:04:30.989000 6.899 5.94817 Clear 0 810.888 54.331 7
2020-08-22 18:04:31.089000 6.794 5.84156 Clear 0 810.628 54.366 7
2020-08-22 18:04:31.189000 6.816 5.86415 Clear 0 810.368 54.402 7
2020-08-22 18:04:31.289000 6.774 5.82214 Clear 0 810.109 54.437 7
2020-08-22 18:04:31.389000 6.796 5.84318 Clear 0 809.85 54.473 7
2020-08-22 18:04:31.489000 6.729 5.77601 Clear 0 809.592 54.508 7
2020-08-22 18:04:31.589000 6.733 5.77981 Clear 0 809.335 54.544 7
2020-08-22 18:04:31.689000 6.622 5.66832 Clear 0 809.078 54.579 7
2020-08-22 18:04:31.789000 6.62 5.66548 Clear 0 808.821 54.615 7
2020-08-22 18:04:31.889000 6.566 5.6107 Clear 0 808.566 54.651 7
2020-08-22 18:04:31.989000 6.595 5.64019 Clear 0 808.31 54.687 7
2020-08-22 18:04:32.089000 6.595 5.64042 Clear 0 808.056 54.722 7
2020-08-22 18:04:32.189000 6.526 5.56982 Clear 0 807.801 54.758 7
2020-08-22 18:04:32.289000 6.605 5.64876 Clear 0 807.548 54.794 7
2020-08-22 18:04:32.389000 6.58 5.62426 Clear 0 807.295 54.83 7
2020-08-22 18:04:32.489000 6.607 5.6507 Clear 0 807.042 54.866 7
2020-08-22 18:04:32.589000 6.615 5.65803 Clear 0 806.79 54.902 7
2020-08-22 18:04:32.689000 6.65 5.69344 Clear 0 806.539 54.938 7
2020-08-22 18:04:32.789000 6.628 5.67062 Clear 0 806.288 54.974 7
2020-08-22 18:04:32.889000 6.599 5.64142 Clear 0 806.038 55.01 7
2020-08-22 18:04:32.989000 6.605 5.64686 Clear 0 805.788 55.046 7
2020-08-22 18:04:33.089000 6.673 5.71478 Clear 0 805.539 55.082 7
2020-08-22 18:04:33.189000 6.732 5.77297 Clear 0 805.29 55.119 7
2020-08-22 18:04:33.289000 6.677 5.71792 Clear 0 805.042 55.155 7
2020-08-22 18:04:33.389000 6.633 5.67359 Clear 0 804.795 55.191 7
2020-08-22 18:04:33.489000 6.613 5.65249 Clear 0 804.548 55.227 7
2020-08-22 18:04:33.589000 6.662 5.70204 Clear 0 804.301 55.264 7
2020-08-22 18:04:33.689000 6.547 5.58708 Clear 0 804.056 55.3 7
2020-08-22 18:04:33.889000 6.589 5.6278 Clear 0 803.566 55.373 7
2020-08-22 18:04:33.989000 6.588 5.62726 Clear 0 803.321 55.409 7
2020-08-22 18:04:34.089000 6.478 5.51666 Clear 0 803.078 55.446 7
2020-08-22 18:04:34.189000 6.538 5.57567 Clear 0 802.835 55.483 7
2020-08-22 18:04:34.289000 6.553 5.59115 Clear 0 802.592 55.519 7
2020-08-22 18:04:34.389000 6.504 5.54195 Clear 0 802.35 55.556 7
2020-08-22 18:04:34.489000 6.47 5.50709 Clear 0 802.109 55.592 7
2020-08-22 18:04:34.589000 6.459 5.49565 Clear 0 801.868 55.629 7
2020-08-22 18:04:34.689000 6.484 5.52103 Clear 0 801.628 55.666 7
2020-08-22 18:04:34.789000 6.442 5.47874 Clear 0 801.389 55.703 7
2020-08-22 18:04:34.889000 6.376 5.41226 Clear 0 801.149 55.739 7
2020-08-22 18:04:34.989000 6.405 5.44143 Clear 0 800.911 55.776 7
2020-08-22 18:04:35.089000 6.44 5.47629 Clear 0 800.673 55.813 7
2020-08-22 18:04:35.189000 6.331 5.36599 Clear 0 800.436 55.85 7
2020-08-22 18:04:35.289000 6.447 5.48167 Clear 0 800.199 55.887 7
2020-08-22 18:04:35.389000 6.44 5.47454 Clear 0 799.963 55.924 7
2020-08-22 18:04:35.489000 6.481 5.51628 Clear 0 799.727 55.961 7
2020-08-22 18:04:35.589000 6.548 5.58236 Clear 0 799.492 55.998 7
2020-08-22 18:04:35.689000 6.537 5.57101 Clear 0 799.257 56.035 7
2020-08-22 18:04:35.789000 6.571 5.60462 Clear 0 799.023 56.072 7
2020-08-22 18:04:35.889000 6.517 5.55066 Clear 0 798.79 56.11 7
2020-08-22 18:04:35.989000 6.58 5.61299 Clear 0 798.557 56.147 7
2020-08-22 18:04:36.089000 6.61 5.64312 Clear 0 798.325 56.184 7
2020-08-22 18:04:36.189000 6.615 5.64841 Clear 0 798.093 56.221 7
2020-08-22 18:04:36.289000 6.614 5.64663 Clear 0 797.862 56.259 7
2020-08-22 18:04:36.389000 6.524 5.55553 Clear 0 797.632 56.296 7
2020-08-22 18:04:36.489000 6.591 5.6226 Clear 0 797.402 56.333 7
2020-08-22 18:04:36.589000 6.45 5.48147 Clear 0 797.172 56.371 7
2020-08-22 18:04:36.689000 6.549 5.5805 Clear 0 796.944 56.408 7
2020-08-22 18:04:36.789000 6.483 5.51365 Clear 0 796.715 56.446 7
2020-08-22 18:04:36.889000 6.399 5.43034 Clear 0 796.488 56.483 7
2020-08-22 18:04:36.989000 6.447 5.47818 Clear 0 796.261 56.521 7
2020-08-22 18:04:37.089000 6.453 5.48386 Clear 0 796.034 56.558 7
2020-08-22 18:04:37.189000 6.499 5.52913 Clear 0 795.808 56.596 7
2020-08-22 18:04:37.289000 6.449 5.47855 Clear 0 795.583 56.634 7
2020-08-22 18:04:37.389000 6.324 5.35363 Clear 0 795.358 56.671 7
2020-08-22 18:04:37.489000 6.302 5.33225 Clear 0 795.134 56.709 7
2020-08-22 18:04:37.589000 6.383 5.41304 Clear 0 794.91 56.747 7
2020-08-22 18:04:37.689000 6.412 5.44067 Clear 0 794.687 56.785 7
2020-08-22 18:04:37.789000 6.394 5.42248 Clear 0 794.465 56.823 7
2020-08-22 18:04:37.889000 6.45 5.47921 Clear 0 794.243 56.86 7
2020-08-22 18:04:37.989000 6.4 5.42854 Clear 0 794.022 56.898 7
2020-08-22 18:04:38.089000 6.455 5.4826 Clear 0 793.801 56.936 7
2020-08-22 18:04:38.189000 6.443 5.47101 Clear 0 793.581 56.974 7
2020-08-22 18:04:38.289000 6.395 5.42263 Clear 0 793.361 57.012 7
2020-08-22 18:04:38.389000 6.465 5.49273 Clear 0 793.142 57.05 7
2020-08-22 18:04:38.489000 6.457 5.48456 Clear 0 792.924 57.088 7
2020-08-22 18:04:38.589000 6.308 5.33509 Clear 0 792.706 57.127 7
2020-08-22 18:04:38.689000 6.312 5.33937 Clear 0 792.489 57.165 7
2020-08-22 18:04:38.789000 6.334 5.36104 Clear 0 792.272 57.203 7
2020-08-22 18:04:38.889000 6.386 5.41248 Clear 0 792.056 57.241 7
2020-08-22 18:04:38.989000 6.326 5.3528 Clear 0 791.841 57.279 7
2020-08-22 18:04:39.089000 6.388 5.41354 Clear 0 791.626 57.318 7
2020-08-22 18:04:39.189000 6.405 5.43053 Clear 0 791.412 57.356 7
2020-08-22 18:04:39.289000 6.336 5.3617 Clear 0 791.198 57.394 7
2020-08-22 18:04:39.389000 6.302 5.32785 Clear 0 790.985 57.433 7
2020-08-22 18:04:39.489000 6.335 5.36095 Clear 0 790.773 57.471 7
2020-08-22 18:04:39.589000 6.233 5.25802 Clear 0 790.561 57.51 7
2020-08-22 18:04:39.689000 6.333 5.35757 Clear 0 790.349 57.548 7
2020-08-22 18:04:39.789000 6.275 5.30036 Clear 0 790.139 57.587 7
2020-08-22 18:04:39.889000 6.261 5.28619 Clear 0 789.929 57.625 7
2020-08-22 18:04:39.989000 6.255 5.28038 Clear 0 789.719 57.664 7
2020-08-22 18:04:40.089000 6.198 5.22249 Clear 0 789.51 57.702 7
2020-08-22 18:04:40.189000 6.191 5.215 Clear 0 789.302 57.741 7
2020-08-22 18:04:40.289000 6.24 5.26369 Clear 0 789.094 57.78 7
2020-08-22 18:04:40.389000 6.308 5.33224 Clear 0 788.887 57.818 7
2020-08-22 18:04:40.489000 6.251 5.27452 Clear 0 788.68 57.857 7
2020-08-22 18:04:40.589000 6.143 5.16698 Clear 0 788.474 57.896 7
2020-08-22 18:04:40.689000 6.253 5.27671 Clear 0 788.269 57.935 7
2020-08-22 18:04:40.789000 6.181 5.20424 Clear 0 788.064 57.974 7
2020-08-22 18:04:40.889000 6.182 5.20501 Clear 0 787.86 58.013 7
2020-08-22 18:04:40.989000 6.175 5.19761 Clear 0 787.656 58.051 7
2020-08-22 18:04:41.089000 6.175 5.19761 Clear 0 787.453 58.09 7
2020-08-22 18:04:41.189000 6.216 5.23877 Clear 0 787.251 58.129 7
2020-08-22 18:04:41.289000 6.226 5.2494 Clear 0 787.049 58.168 7
2020-08-22 18:04:41.389000 6.187 5.20991 Clear 0 786.848 58.207 7
2020-08-22 18:04:41.489000 6.227 5.24921 Clear 0 786.647 58.247 7
2020-08-22 18:04:41.589000 6.256 5.27829 Clear 0 786.447 58.286 7
2020-08-22 18:04:41.689000 6.202 5.22355 Clear 0 786.247 58.325 7
2020-08-22 18:04:41.789000 6.243 5.26517 Clear 0 786.049 58.364 7
2020-08-22 18:04:41.889000 6.221 5.24303 Clear 0 785.85 58.403 7
2020-08-22 18:04:41.989000 6.271 5.29263 Clear 0 785.653 58.443 7
2020-08-22 18:04:42.089000 6.162 5.18375 Clear 0 785.456 58.482 7
2020-08-22 18:04:42.189000 6.147 5.1678 Clear 0 785.259 58.521 7
2020-08-22 18:04:42.289000 6.245 5.26567 Clear 0 785.063 58.56 7
2020-08-22 18:04:42.389000 6.089 5.10996 Clear 0 784.868 58.6 7
2020-08-22 18:04:42.489000 6.134 5.15491 Clear 0 784.674 58.639 7
2020-08-22 18:04:42.589000 6.175 5.19643 Clear 0 784.48 58.679 7
2020-08-22 18:04:42.689000 6.222 5.24276 Clear 0 784.286 58.718 7
2020-08-22 18:04:42.789000 6.183 5.20398 Clear 0 784.093 58.758 7
2020-08-22 18:04:42.889000 6.145 5.16632 Clear 0 783.901 58.797 7
2020-08-22 18:04:42.989000 6.163 5.18416 Clear 0 783.71 58.837 7
2020-08-22 18:04:43.089000 6.063 5.08269 Clear 0 783.519 58.876 7
2020-08-22 18:04:43.189000 6.179 5.1988 Clear 0 783.328 58.916 7
2020-08-22 18:04:43.289000 6.053 5.07297 Clear 0 783.138 58.956 7
2020-08-22 18:04:43.389000 6.005 5.02531 Clear 0 782.949 58.995 7
2020-08-22 18:04:43.489000 6.004 5.02353 Clear 0 782.761 59.035 7
2020-08-22 18:04:43.589000 5.971 4.9906 Clear 0 782.573 59.075 7
2020-08-22 18:04:43.689000 6.067 5.08708 Clear 0 782.385 59.115 7
2020-08-22 18:04:43.789000 5.99 5.00969 Clear 0 782.199 59.155 7
2020-08-22 18:04:43.889000 5.934 4.95418 Clear 0 782.012 59.194 7
2020-08-22 18:04:43.989000 6.035 5.05491 Clear 0 781.827 59.234 7
2020-08-22 18:04:44.089000 6.037 5.05719 Clear 0 781.642 59.274 7
2020-08-22 18:04:44.189000 6.052 5.07065 Clear 0 781.458 59.314 7
2020-08-22 18:04:44.289000 6.035 5.05403 Clear 0 781.274 59.354 7
2020-08-22 18:04:44.389000 6.042 5.06067 Clear 0 781.091 59.394 7
2020-08-22 18:04:44.489000 6.033 5.0515 Clear 0 780.908 59.434 7
2020-08-22 18:04:44.589000 6.021 5.03989 Clear 0 780.726 59.474 7
2020-08-22 18:04:44.689000 5.996 5.01528 Clear 0 780.545 59.514 7
2020-08-22 18:04:44.789000 6.047 5.06609 Clear 0 780.365 59.555 7
2020-08-22 18:04:44.889000 5.918 4.93704 Clear 0 780.185 59.595 7
2020-08-22 18:04:44.989000 5.966 4.98531 Clear 0 780.005 59.635 7
2020-08-22 18:04:45.089000 5.975 4.9935 Clear 0 779.826 59.675 7
2020-08-22 18:04:45.189000 5.964 4.98268 Clear 0 779.648 59.715 7
2020-08-22 18:04:45.289000 6.052 5.0714 Clear 0 779.471 59.756 7
2020-08-22 18:04:45.389000 6.025 5.04393 Clear 0 779.294 59.796 7
2020-08-22 18:04:45.489000 5.975 4.99444 Clear 0 779.117 59.836 7
