# satellite: 44372 ELECTRON R/B / US
# catalogue: 1 NORAD
# track: 16024084
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 630
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-07-05 23:55:24.993000 6.336 5.05578 Clear 0 506.526 99.425 3
2019-07-05 23:55:25.093000 6.035 4.75646 Clear 0 506.836 99.481 3
2019-07-05 23:55:25.193000 5.637 4.36178 Clear 0 507.148 99.536 3
2019-07-05 23:55:25.293000 5.015 3.74153 Clear 0 507.459 99.592 3
2019-07-05 23:55:25.393000 4.041 2.771 Clear 0 507.772 99.647 3
2019-07-05 23:55:25.493000 4.117 2.84985 Clear 0 508.086 99.703 3
2019-07-05 23:55:25.593000 4.46 3.195 Clear 0 508.4 99.758 3
2019-07-05 23:55:25.693000 4.577 3.31464 Clear 0 508.715 99.813 3
2019-07-05 23:55:25.793000 4.475 3.21515 Clear 0 509.031 99.869 3
2019-07-05 23:55:25.893000 4.445 3.18814 Clear 0 509.347 99.924 3
2019-07-05 23:55:25.993000 3.776 2.52216 Clear 0 509.664 99.979 3
2019-07-05 23:55:26.093000 3.22 1.96839 Clear 0 509.983 100.034 3
2019-07-05 23:55:26.193000 2.797 1.54772 Clear 0 510.301 100.089 3
2019-07-05 23:55:26.293000 3.619 2.37181 Clear 0 510.621 100.143 3
2019-07-05 23:55:26.393000 4.25 3.0063 Clear 0 510.941 100.198 3
2019-07-05 23:55:26.493000 4.45 3.20923 Clear 0 511.262 100.253 3
2019-07-05 23:55:26.593000 4.572 3.33321 Clear 0 511.584 100.307 3
2019-07-05 23:55:26.693000 5.197 3.96111 Clear 0 511.907 100.362 3
2019-07-05 23:55:26.793000 5.341 4.10667 Clear 0 512.23 100.416 3
2019-07-05 23:55:26.893000 5.759 4.52788 Clear 0 512.554 100.471 3
2019-07-05 23:55:26.993000 5.964 4.73603 Clear 0 512.879 100.525 3
2019-07-05 23:55:27.093000 5.88 4.65361 Clear 0 513.205 100.579 3
2019-07-05 23:55:27.193000 6.415 5.1916 Clear 0 513.531 100.633 3
2019-07-05 23:55:27.293000 6.777 5.55634 Clear 0 513.858 100.687 3
2019-07-05 23:55:27.393000 6.952 5.73381 Clear 0 514.186 100.741 3
2019-07-05 23:55:27.493000 6.974 5.75865 Clear 0 514.515 100.795 3
2019-07-05 23:55:27.593000 7.074 5.86105 Clear 0 514.844 100.849 3
2019-07-05 23:55:27.693000 7.223 6.01264 Clear 0 515.174 100.903 3
2019-07-05 23:55:27.793000 7.203 5.99573 Clear 0 515.505 100.957 3
2019-07-05 23:55:27.893000 7.199 5.99433 Clear 0 515.837 101.01 3
2019-07-05 23:55:27.993000 7.282 6.07979 Clear 0 516.169 101.064 3
2019-07-05 23:55:28.093000 7.293 6.09397 Clear 0 516.502 101.118 3
2019-07-05 23:55:28.193000 7.433 6.23634 Clear 0 516.836 101.171 3
2019-07-05 23:55:28.293000 7.504 6.30954 Clear 0 517.17 101.224 3
2019-07-05 23:55:28.393000 7.459 6.26657 Clear 0 517.505 101.278 3
2019-07-05 23:55:28.493000 7.536 6.34707 Clear 0 517.841 101.331 3
2019-07-05 23:55:28.593000 7.389 6.20309 Clear 0 518.178 101.384 3
2019-07-05 23:55:28.693000 7.57 6.38549 Clear 0 518.515 101.437 3
2019-07-05 23:55:28.793000 7.604 6.42299 Clear 0 518.854 101.49 3
2019-07-05 23:55:28.893000 7.56 6.38213 Clear 0 519.192 101.543 3
2019-07-05 23:55:28.993000 7.638 6.46206 Clear 0 519.532 101.596 3
2019-07-05 23:55:29.093000 7.613 6.43995 Clear 0 519.872 101.649 3
2019-07-05 23:55:29.193000 7.497 6.32657 Clear 0 520.213 101.701 3
2019-07-05 23:55:29.293000 7.659 6.49126 Clear 0 520.555 101.754 3
2019-07-05 23:55:29.393000 7.376 6.21069 Clear 0 520.897 101.806 3
2019-07-05 23:55:29.493000 7.557 6.39477 Clear 0 521.241 101.859 3
2019-07-05 23:55:29.593000 7.539 6.37935 Clear 0 521.584 101.911 3
2019-07-05 23:55:29.693000 7.455 6.29814 Clear 0 521.929 101.964 3
2019-07-05 23:55:29.793000 7.57 6.41591 Clear 0 522.274 102.016 3
2019-07-05 23:55:29.893000 7.55 6.39782 Clear 0 522.62 102.068 3
2019-07-05 23:55:29.993000 7.556 6.40647 Clear 0 522.967 102.12 3
2019-07-05 23:55:30.093000 7.328 6.18057 Clear 0 523.314 102.172 3
2019-07-05 23:55:30.193000 7.315 6.17064 Clear 0 523.663 102.224 3
