# satellite: 44372 ELECTRON R/B / US
# catalogue: 1 NORAD
# track: 16269539
# variability: 2 Periodic
# variability_period: 7.9197579
# npoints: 623
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-09-01 00:54:05.097000 8.241 6.75798 Clear 0 530.372 83.949 6
2019-09-01 00:54:05.197000 7.791 6.31026 Clear 0 530.73 84.003 6
2019-09-01 00:54:05.297000 6.886 5.40722 Clear 0 531.088 84.057 6
2019-09-01 00:54:05.397000 4.685 3.20879 Clear 0 531.447 84.111 6
2019-09-01 00:54:05.697000 6.505 5.03582 Clear 0 532.527 84.273 6
2019-09-01 00:54:05.797000 7.401 5.93363 Clear 0 532.889 84.327 6
2019-09-01 00:54:05.897000 7.761 6.29693 Clear 0 533.251 84.38 6
2019-09-01 00:54:05.997000 8.023 6.56109 Clear 0 533.614 84.434 6
2019-09-01 00:54:06.097000 8.43 6.9709 Clear 0 533.978 84.488 6
2019-09-01 00:54:06.197000 8.054 6.59717 Clear 0 534.342 84.541 6
2019-09-01 00:54:06.397000 8.038 6.58614 Clear 0 535.073 84.648 6
2019-09-01 00:54:06.497000 7.876 6.42604 Clear 0 535.439 84.701 6
2019-09-01 00:54:06.597000 7.834 6.38657 Clear 0 535.806 84.754 6
2019-09-01 00:54:06.697000 7.605 6.15947 Clear 0 536.174 84.808 6
2019-09-01 00:54:06.797000 7.172 5.7289 Clear 0 536.542 84.861 6
2019-09-01 00:54:06.897000 6.976 5.53593 Clear 0 536.911 84.914 6
2019-09-01 00:54:06.997000 6.565 5.12696 Clear 0 537.281 84.967 6
2019-09-01 00:54:07.097000 6.159 4.72361 Clear 0 537.651 85.02 6
2019-09-01 00:54:07.197000 5.784 4.3512 Clear 0 538.022 85.072 6
2019-09-01 00:54:07.297000 5.653 4.22315 Clear 0 538.394 85.125 6
2019-09-01 00:54:07.397000 5.384 3.95579 Clear 0 538.766 85.178 6
2019-09-01 00:54:07.497000 4.847 3.42105 Clear 0 539.139 85.23 6
2019-09-01 00:54:07.597000 5.02 3.59694 Clear 0 539.513 85.283 6
2019-09-01 00:54:07.697000 5.001 3.58021 Clear 0 539.887 85.335 6
2019-09-01 00:54:07.797000 5.36 3.94153 Clear 0 540.262 85.388 6
2019-09-01 00:54:07.897000 5.731 4.31531 Clear 0 540.638 85.44 6
2019-09-01 00:54:07.997000 6.041 4.62666 Clear 0 541.014 85.492 6
2019-09-01 00:54:08.097000 6.366 4.95486 Clear 0 541.391 85.545 6
2019-09-01 00:54:08.197000 6.682 5.27332 Clear 0 541.768 85.597 6
2019-09-01 00:54:08.297000 6.992 5.58615 Clear 0 542.147 85.649 6
2019-09-01 00:54:08.397000 7.354 5.95038 Clear 0 542.525 85.701 6
2019-09-01 00:54:08.497000 7.384 5.98283 Clear 0 542.905 85.753 6
2019-09-01 00:54:08.597000 7.627 6.22783 Clear 0 543.285 85.805 6
2019-09-01 00:54:08.697000 7.444 6.0474 Clear 0 543.666 85.856 6
2019-09-01 00:54:08.797000 7.453 6.05885 Clear 0 544.047 85.908 6
2019-09-01 00:54:08.897000 7.321 5.9286 Clear 0 544.429 85.96 6
2019-09-01 00:54:08.997000 7.118 5.72911 Clear 0 544.812 86.011 6
2019-09-01 00:54:09.097000 6.783 5.39608 Clear 0 545.195 86.063 6
2019-09-01 00:54:09.197000 6.334 4.94956 Clear 0 545.579 86.114 6
2019-09-01 00:54:09.297000 5.743 4.36117 Clear 0 545.964 86.166 6
2019-09-01 00:54:09.397000 5.513 4.13433 Clear 0 546.349 86.217 6
2019-09-01 00:54:09.497000 5.81 4.43256 Clear 0 546.735 86.268 6
2019-09-01 00:54:09.597000 6.113 4.73777 Clear 0 547.122 86.319 6
2019-09-01 00:54:09.697000 6.353 4.98057 Clear 0 547.509 86.371 6
2019-09-01 00:54:09.797000 6.53 5.16005 Clear 0 547.897 86.422 6
2019-09-01 00:54:09.897000 6.79 5.42279 Clear 0 548.285 86.473 6
2019-09-01 00:54:09.997000 7.044 5.6789 Clear 0 548.674 86.523 6
2019-09-01 00:54:10.097000 7.418 6.05548 Clear 0 549.064 86.574 6
2019-09-01 00:54:10.197000 7.636 6.27644 Clear 0 549.454 86.625 6
2019-09-01 00:54:10.297000 7.964 6.60679 Clear 0 549.845 86.676 6
2019-09-01 00:54:10.397000 8.091 6.73562 Clear 0 550.236 86.726 6
