# satellite: 44811 FLOCK 4P 4 / US
# catalogue: 1 NORAD
# track: 20544610
# variability: 2 Periodic
# variability_period: 23.86901286
# npoints: 212
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-06-05 18:19:01.601000 8.412 7.21042 Clear 0 790.615 26.353 2
2022-06-05 18:19:01.701000 8.204 7.00076 Clear 0 790.163 26.396 2
2022-06-05 18:19:01.801000 8.238 7.0343 Clear 0 789.712 26.44 2
2022-06-05 18:19:01.901000 8.056 6.85067 Clear 0 789.261 26.483 2
2022-06-05 18:19:02.001000 7.969 6.76295 Clear 0 788.811 26.527 2
2022-06-05 18:19:02.101000 8.06 6.85344 Clear 0 788.361 26.57 2
2022-06-05 18:19:02.201000 7.96 6.75103 Clear 0 787.912 26.614 2
2022-06-05 18:19:02.301000 7.93 6.71994 Clear 0 787.463 26.657 2
2022-06-05 18:19:02.401000 7.963 6.75242 Clear 0 787.014 26.701 2
2022-06-05 18:19:02.501000 7.734 6.52219 Clear 0 786.566 26.745 2
2022-06-05 18:19:02.601000 7.702 6.4885 Clear 0 786.119 26.788 2
2022-06-05 18:19:02.701000 7.666 6.45189 Clear 0 785.671 26.832 2
2022-06-05 18:19:02.801000 7.467 6.25239 Clear 0 785.225 26.876 2
2022-06-05 18:19:02.901000 7.668 6.45233 Clear 0 784.778 26.92 2
2022-06-05 18:19:03.001000 7.617 6.40035 Clear 0 784.333 26.964 2
2022-06-05 18:19:03.101000 7.556 6.33745 Clear 0 783.887 27.008 2
2022-06-05 18:19:03.201000 7.731 6.51152 Clear 0 783.442 27.052 2
2022-06-05 18:19:03.301000 7.666 6.44631 Clear 0 782.998 27.096 2
2022-06-05 18:19:03.401000 7.702 6.48112 Clear 0 782.554 27.14 2
2022-06-05 18:19:03.501000 7.734 6.51226 Clear 0 782.11 27.184 2
2022-06-05 18:19:03.601000 7.837 6.61429 Clear 0 781.667 27.229 2
2022-06-05 18:19:03.701000 7.938 6.7137 Clear 0 781.224 27.273 2
2022-06-05 18:19:03.801000 7.868 6.64339 Clear 0 780.782 27.317 2
2022-06-05 18:19:03.901000 7.917 6.69048 Clear 0 780.34 27.362 2
2022-06-05 18:19:04.001000 7.99 6.76261 Clear 0 779.899 27.406 2
2022-06-05 18:19:04.101000 8.01 6.78221 Clear 0 779.458 27.451 2
2022-06-05 18:19:04.201000 8.038 6.80883 Clear 0 779.018 27.495 2
2022-06-05 18:19:04.301000 8.222 6.99224 Clear 0 778.578 27.54 2
2022-06-05 18:19:04.401000 8.158 6.9267 Clear 0 778.138 27.585 2
2022-06-05 18:19:04.501000 8.367 7.13458 Clear 0 777.699 27.629 2
2022-06-05 18:19:04.601000 8.351 7.11831 Clear 0 777.261 27.674 2
2022-06-05 18:19:04.701000 8.715 7.48105 Clear 0 776.823 27.719 2
2022-06-05 18:19:04.801000 8.641 7.40592 Clear 0 776.385 27.764 2
2022-06-05 18:19:04.901000 9.218 7.98179 Clear 0 775.948 27.809 2
2022-06-05 18:19:05.001000 9.175 7.93798 Clear 0 775.511 27.854 2
2022-06-05 18:19:05.101000 9.08 7.84205 Clear 0 775.075 27.899 2
2022-06-05 18:19:05.201000 9.919 8.67996 Clear 0 774.639 27.944 2
2022-06-05 18:19:05.301000 9.613 8.37324 Clear 0 774.204 27.989 2
2022-06-05 18:19:12.301000 9.894 8.58722 Clear 0 744.935 31.283 2
2022-06-05 18:19:12.401000 9.582 8.2744 Clear 0 744.534 31.331 2
2022-06-05 18:19:12.501000 9.103 7.79419 Clear 0 744.135 31.381 2
2022-06-05 18:19:12.601000 8.975 7.66486 Clear 0 743.736 31.43 2
2022-06-05 18:19:12.701000 8.688 7.37694 Clear 0 743.337 31.479 2
2022-06-05 18:19:12.801000 8.554 7.24236 Clear 0 742.939 31.528 2
