# satellite: 44811 FLOCK 4P 4 / US
# catalogue: 1 NORAD
# track: 20595920
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 113
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-06-11 18:51:57.797000 8.348 6.88704 Clear 0 581.129 72.509 2
2022-06-11 18:51:57.897000 8.393 6.93178 Clear 0 580.929 72.573 2
2022-06-11 18:51:57.997000 8.239 6.77817 Clear 0 580.73 72.636 2
2022-06-11 18:51:58.097000 8.451 6.98965 Clear 0 580.531 72.7 2
2022-06-11 18:51:58.197000 8.26 6.79868 Clear 0 580.334 72.763 2
2022-06-11 18:51:58.297000 8.109 6.64754 Clear 0 580.138 72.827 2
2022-06-11 18:51:58.397000 8.271 6.81144 Clear 0 579.942 72.891 2
2022-06-11 18:51:58.497000 7.857 6.39689 Clear 0 579.747 72.955 2
2022-06-11 18:51:58.597000 7.963 6.50283 Clear 0 579.554 73.019 2
2022-06-11 18:51:58.697000 8.024 6.56437 Clear 0 579.361 73.083 2
2022-06-11 18:51:58.797000 7.995 6.53503 Clear 0 579.169 73.147 2
2022-06-11 18:51:58.897000 8.127 6.66649 Clear 0 578.977 73.211 2
2022-06-11 18:51:58.997000 7.996 6.53645 Clear 0 578.787 73.275 2
2022-06-11 18:51:59.097000 8.105 6.64597 Clear 0 578.598 73.339 2
2022-06-11 18:51:59.197000 8.074 6.61529 Clear 0 578.409 73.403 2
2022-06-11 18:51:59.297000 8.1 6.64059 Clear 0 578.222 73.467 2
2022-06-11 18:51:59.397000 8.226 6.76737 Clear 0 578.035 73.531 2
2022-06-11 18:51:59.497000 8.115 6.65658 Clear 0 577.849 73.596 2
2022-06-11 18:51:59.597000 8.213 6.7545 Clear 0 577.664 73.66 2
2022-06-11 18:51:59.697000 8.095 6.63663 Clear 0 577.48 73.725 2
2022-06-11 18:51:59.797000 8.581 7.12318 Clear 0 577.297 73.789 2
2022-06-11 18:51:59.897000 8.481 7.02266 Clear 0 577.114 73.854 2
2022-06-11 18:51:59.997000 8.654 7.19646 Clear 0 576.933 73.918 2
2022-06-11 18:52:00.097000 9.37 7.91278 Clear 0 576.752 73.983 2
2022-06-11 18:52:22.596000 8.474 7.20543 Clear 0 559.991 89.315 6
2022-06-11 18:52:22.696000 8.527 7.25875 Clear 0 560.026 89.385 6
2022-06-11 18:52:22.796000 8.676 7.4094 Clear 0 560.062 89.454 6
2022-06-11 18:52:22.896000 8.445 7.17972 Clear 0 560.098 89.524 6
2022-06-11 18:52:22.996000 8.565 7.30104 Clear 0 560.136 89.593 6
2022-06-11 18:52:23.096000 8.297 7.03537 Clear 0 560.174 89.663 6
2022-06-11 18:52:23.296000 8.439 7.18036 Clear 0 560.255 89.802 6
2022-06-11 18:52:23.392000 7.953 6.69502 Clear 0 560.295 89.869 3
2022-06-11 18:52:23.396000 8.301 7.0433 Clear 0 560.296 89.872 6
2022-06-11 18:52:23.492000 7.919 6.66274 Clear 0 560.337 89.938 3
2022-06-11 18:52:23.496000 8.229 6.97305 Clear 0 560.339 89.941 6
2022-06-11 18:52:23.592000 7.955 6.69998 Clear 0 560.381 90.008 3
2022-06-11 18:52:23.596000 8.287 7.03154 Clear 0 560.382 90.011 6
2022-06-11 18:52:23.692000 7.849 6.59625 Clear 0 560.425 90.078 3
2022-06-11 18:52:23.696000 8.243 6.9896 Clear 0 560.427 90.08 6
2022-06-11 18:52:23.792000 7.988 6.73642 Clear 0 560.47 90.147 3
2022-06-11 18:52:23.796000 8.338 7.08635 Clear 0 560.472 90.15 6
2022-06-11 18:52:23.892000 7.91 6.66017 Clear 0 560.517 90.217 3
2022-06-11 18:52:23.896000 8.32 7.07013 Clear 0 560.519 90.219 6
2022-06-11 18:52:23.992000 7.992 6.74253 Clear 0 560.564 90.286 3
2022-06-11 18:52:23.996000 8.339 7.09038 Clear 0 560.566 90.289 6
2022-06-11 18:52:24.092000 8.197 6.94965 Clear 0 560.612 90.356 3
2022-06-11 18:52:24.096000 8.398 7.15133 Clear 0 560.614 90.358 6
2022-06-11 18:52:24.192000 8.223 6.97711 Clear 0 560.662 90.425 3
2022-06-11 18:52:24.292000 8.121 6.87662 Clear 0 560.712 90.495 3
2022-06-11 18:52:24.392000 8.166 6.92287 Clear 0 560.763 90.564 3
2022-06-11 18:52:24.396000 8.752 7.50879 Clear 0 560.765 90.567 6
2022-06-11 18:52:24.492000 8.278 7.03699 Clear 0 560.815 90.634 3
2022-06-11 18:52:24.496000 8.529 7.28785 Clear 0 560.818 90.636 6
2022-06-11 18:52:24.592000 8.481 7.24071 Clear 0 560.869 90.703 3
2022-06-11 18:52:24.596000 8.8 7.55956 Clear 0 560.871 90.706 6
2022-06-11 18:52:24.692000 8.399 7.16045 Clear 0 560.923 90.773 3
2022-06-11 18:52:24.696000 8.773 7.53531 Clear 0 560.925 90.775 6
2022-06-11 18:52:24.792000 8.962 7.72455 Clear 0 560.978 90.842 3
