# satellite: 46150 STARLINK-1629 / US
# catalogue: 1 NORAD
# track: 18862008
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 498
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-12-18 15:47:48.795000 8.028 7.73663 Clear 0 843.647 93.859 6
2020-12-18 15:47:48.895000 8.011 7.71838 Clear 0 843.161 93.825 6
2020-12-18 15:47:48.995000 7.884 7.58873 Clear 0 842.674 93.792 6
2020-12-18 15:47:49.095000 7.889 7.59243 Clear 0 842.188 93.759 6
2020-12-18 15:47:49.195000 8.027 7.72796 Clear 0 841.703 93.725 6
2020-12-18 15:47:49.295000 7.911 7.60977 Clear 0 841.217 93.692 6
2020-12-18 15:47:49.395000 7.741 7.4378 Clear 0 840.732 93.658 6
2020-12-18 15:47:49.495000 7.817 7.51287 Clear 0 840.247 93.625 6
2020-12-18 15:47:49.595000 7.704 7.39811 Clear 0 839.762 93.591 6
2020-12-18 15:47:49.695000 7.797 7.48885 Clear 0 839.278 93.558 6
2020-12-18 15:47:49.795000 7.765 7.45474 Clear 0 838.794 93.524 6
2020-12-18 15:47:49.995000 7.671 7.35684 Clear 0 837.827 93.457 6
2020-12-18 15:47:50.195000 7.68 7.36211 Clear 0 836.861 93.39 6
2020-12-18 15:47:50.395000 7.82 7.49779 Clear 0 835.896 93.322 6
2020-12-18 15:47:50.595000 7.637 7.31101 Clear 0 834.933 93.254 6
2020-12-18 15:47:50.595000 7.654 7.32762 Clear 0 834.933 93.254 3
2020-12-18 15:47:50.695000 7.726 7.39793 Clear 0 834.451 93.22 6
2020-12-18 15:47:50.695000 7.647 7.31937 Clear 0 834.451 93.22 3
2020-12-18 15:47:50.795000 7.591 7.26067 Clear 0 833.97 93.186 3
2020-12-18 15:47:50.795000 7.7 7.37025 Clear 0 833.97 93.186 6
2020-12-18 15:47:50.895000 7.616 7.28347 Clear 0 833.49 93.152 3
2020-12-18 15:47:50.995000 7.778 7.44481 Clear 0 833.009 93.118 6
2020-12-18 15:47:50.995000 7.554 7.22129 Clear 0 833.009 93.118 3
2020-12-18 15:47:51.095000 7.781 7.44557 Clear 0 832.529 93.084 6
2020-12-18 15:47:51.095000 7.603 7.268 Clear 0 832.529 93.084 3
2020-12-18 15:47:51.195000 7.752 7.415 Clear 0 832.049 93.05 6
2020-12-18 15:47:51.195000 7.723 7.38561 Clear 0 832.049 93.05 3
2020-12-18 15:47:51.295000 7.778 7.43856 Clear 0 831.57 93.016 6
2020-12-18 15:47:51.295000 7.657 7.31834 Clear 0 831.57 93.016 3
2020-12-18 15:47:51.395000 7.625 7.28428 Clear 0 831.091 92.982 6
2020-12-18 15:47:51.495000 7.626 7.2833 Clear 0 830.612 92.948 3
2020-12-18 15:47:51.595000 7.683 7.33803 Clear 0 830.133 92.913 3
2020-12-18 15:47:51.595000 7.695 7.34985 Clear 0 830.133 92.913 6
2020-12-18 15:47:51.695000 7.551 7.20374 Clear 0 829.655 92.879 3
2020-12-18 15:47:51.795000 7.624 7.27449 Clear 0 829.177 92.845 6
2020-12-18 15:47:51.795000 7.621 7.27225 Clear 0 829.177 92.845 3
2020-12-18 15:47:51.895000 7.738 7.38724 Clear 0 828.699 92.81 6
2020-12-18 15:47:51.895000 7.746 7.39475 Clear 0 828.699 92.81 3
2020-12-18 15:47:51.995000 7.616 7.26327 Clear 0 828.222 92.776 3
2020-12-18 15:47:52.095000 7.606 7.25065 Clear 0 827.745 92.742 3
2020-12-18 15:47:52.195000 7.703 7.3462 Clear 0 827.268 92.707 6
2020-12-18 15:47:52.195000 7.566 7.20899 Clear 0 827.268 92.707 3
2020-12-18 15:47:52.295000 7.742 7.38292 Clear 0 826.792 92.673 6
2020-12-18 15:47:52.295000 7.613 7.25435 Clear 0 826.792 92.673 3
2020-12-18 15:47:52.395000 7.695 7.33411 Clear 0 826.316 92.638 6
2020-12-18 15:47:52.395000 7.697 7.3356 Clear 0 826.316 92.638 3
2020-12-18 15:47:52.495000 7.716 7.35366 Clear 0 825.84 92.603 3
2020-12-18 15:47:52.595000 7.598 7.2342 Clear 0 825.365 92.569 3
2020-12-18 15:47:52.695000 7.607 7.24136 Clear 0 824.89 92.534 3
2020-12-18 15:47:52.795000 7.745 7.37719 Clear 0 824.415 92.499 6
2020-12-18 15:47:52.795000 7.73 7.36147 Clear 0 824.415 92.499 3
2020-12-18 15:47:52.895000 7.717 7.34724 Clear 0 823.94 92.465 6
2020-12-18 15:47:52.895000 7.736 7.36611 Clear 0 823.94 92.465 3
2020-12-18 15:47:52.995000 7.688 7.31612 Clear 0 823.466 92.43 3
2020-12-18 15:47:52.995000 7.641 7.26849 Clear 0 823.466 92.43 6
2020-12-18 15:47:53.095000 7.732 7.35772 Clear 0 822.992 92.395 6
2020-12-18 15:47:53.095000 7.624 7.25032 Clear 0 822.992 92.395 3
2020-12-18 15:47:53.195000 7.789 7.41278 Clear 0 822.519 92.36 6
2020-12-18 15:47:53.195000 7.621 7.24535 Clear 0 822.519 92.36 3
2020-12-18 15:47:53.295000 7.667 7.28895 Clear 0 822.045 92.325 3
2020-12-18 15:47:53.395000 7.563 7.18269 Clear 0 821.573 92.29 3
2020-12-18 15:47:53.495000 7.541 7.15937 Clear 0 821.1 92.255 3
2020-12-18 15:47:53.595000 7.628 7.24439 Clear 0 820.628 92.22 3
2020-12-18 15:47:53.695000 7.497 7.1105 Clear 0 820.156 92.185 3
2020-12-18 15:47:53.795000 7.603 7.21473 Clear 0 819.684 92.15 3
2020-12-18 15:47:53.895000 7.715 7.32538 Clear 0 819.213 92.115 3
2020-12-18 15:47:53.995000 7.58 7.18829 Clear 0 818.742 92.08 3
2020-12-18 15:47:54.095000 7.688 7.29514 Clear 0 818.271 92.045 3
2020-12-18 15:47:54.195000 7.727 7.3316 Clear 0 817.801 92.009 3
2020-12-18 15:47:54.295000 7.715 7.31748 Clear 0 817.331 91.974 3
2020-12-18 15:47:54.395000 7.669 7.26963 Clear 0 816.861 91.939 3
2020-12-18 15:47:54.495000 7.632 7.23088 Clear 0 816.392 91.903 3
2020-12-18 15:47:54.695000 7.594 7.18905 Clear 0 815.454 91.833 3
2020-12-18 15:47:54.795000 7.609 7.20205 Clear 0 814.985 91.797 3
2020-12-18 15:47:54.895000 7.577 7.16798 Clear 0 814.517 91.762 3
2020-12-18 15:47:54.995000 7.697 7.28546 Clear 0 814.05 91.726 3
2020-12-18 15:47:55.095000 7.654 7.24104 Clear 0 813.582 91.691 3
2020-12-18 15:47:55.195000 7.711 7.29564 Clear 0 813.115 91.655 3
2020-12-18 15:47:55.295000 7.628 7.21085 Clear 0 812.648 91.619 3
2020-12-18 15:47:55.395000 7.719 7.30034 Clear 0 812.182 91.583 3
2020-12-18 15:47:55.495000 7.429 7.00805 Clear 0 811.716 91.548 3
2020-12-18 15:47:55.595000 7.632 7.20915 Clear 0 811.25 91.512 3
2020-12-18 15:47:55.695000 7.698 7.27307 Clear 0 810.784 91.476 3
2020-12-18 15:47:55.795000 7.742 7.31492 Clear 0 810.319 91.44 3
2020-12-18 15:47:55.895000 7.771 7.3431 Clear 0 809.854 91.404 3
2020-12-18 15:47:55.995000 7.672 7.24215 Clear 0 809.39 91.368 3
2020-12-18 15:47:56.095000 7.719 7.28729 Clear 0 808.926 91.332 3
2020-12-18 15:47:56.195000 7.619 7.18511 Clear 0 808.462 91.296 3
2020-12-18 15:47:56.295000 7.738 7.30169 Clear 0 807.999 91.26 3
2020-12-18 15:47:56.395000 7.601 7.16322 Clear 0 807.536 91.224 3
2020-12-18 15:47:56.495000 7.655 7.21505 Clear 0 807.073 91.188 3
2020-12-18 15:47:56.595000 7.64 7.19836 Clear 0 806.61 91.152 3
2020-12-18 15:47:56.695000 7.679 7.23484 Clear 0 806.148 91.116 3
2020-12-18 15:47:56.795000 7.716 7.27029 Clear 0 805.686 91.079 3
2020-12-18 15:47:56.895000 7.746 7.29767 Clear 0 805.225 91.043 3
2020-12-18 15:47:56.995000 7.756 7.30576 Clear 0 804.764 91.007 3
2020-12-18 15:47:57.095000 7.793 7.34047 Clear 0 804.303 90.97 3
2020-12-18 15:47:57.195000 7.644 7.19035 Clear 0 803.843 90.934 3
2020-12-18 15:47:57.295000 7.632 7.17585 Clear 0 803.383 90.898 3
2020-12-18 15:47:57.395000 7.584 7.12557 Clear 0 802.923 90.861 3
2020-12-18 15:47:57.495000 7.683 7.22245 Clear 0 802.463 90.824 3
2020-12-18 15:47:57.595000 7.625 7.16288 Clear 0 802.004 90.788 3
2020-12-18 15:47:57.695000 7.822 7.35861 Clear 0 801.546 90.751 3
2020-12-18 15:47:57.795000 7.706 7.24125 Clear 0 801.087 90.715 3
2020-12-18 15:47:57.895000 7.69 7.22292 Clear 0 800.629 90.678 3
