# satellite: 46150 STARLINK-1629 / US
# catalogue: 1 NORAD
# track: 29731657
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 777
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-09-28 16:18:26.798000 6.495 7.51352 Clear 0 1005.895 127.105 7
2024-09-28 16:18:26.898000 6.504 7.521 Clear 0 1005.316 127.082 7
2024-09-28 16:18:26.998000 6.46 7.4745 Clear 0 1004.737 127.058 7
2024-09-28 16:18:27.098000 6.696 7.70887 Clear 0 1004.158 127.035 7
2024-09-28 16:18:27.198000 6.494 7.50446 Clear 0 1003.579 127.012 7
2024-09-28 16:18:27.298000 6.658 7.66565 Clear 0 1003.001 126.988 7
2024-09-28 16:18:27.398000 6.594 7.60007 Clear 0 1002.422 126.965 7
2024-09-28 16:18:27.498000 6.717 7.72083 Clear 0 1001.844 126.942 7
2024-09-28 16:18:27.598000 6.663 7.66518 Clear 0 1001.266 126.918 7
2024-09-28 16:18:27.698000 6.736 7.73596 Clear 0 1000.688 126.895 7
2024-09-28 16:18:27.798000 6.7 7.69754 Clear 0 1000.111 126.871 7
2024-09-28 16:18:27.898000 6.509 7.50507 Clear 0 999.533 126.848 7
2024-09-28 16:18:27.998000 6.61 7.60276 Clear 0 998.956 126.824 7
2024-09-28 16:18:28.098000 6.541 7.53168 Clear 0 998.378 126.801 7
2024-09-28 16:18:28.298000 6.432 7.41848 Clear 0 997.224 126.754 7
2024-09-28 16:18:28.398000 6.616 7.60052 Clear 0 996.647 126.73 7
2024-09-28 16:18:28.498000 6.659 7.64164 Clear 0 996.071 126.706 7
2024-09-28 16:18:28.598000 6.71 7.69045 Clear 0 995.494 126.683 7
2024-09-28 16:18:28.698000 6.565 7.54289 Clear 0 994.918 126.659 7
2024-09-28 16:18:28.798000 6.585 7.56111 Clear 0 994.342 126.635 7
2024-09-28 16:18:28.898000 6.631 7.60501 Clear 0 993.766 126.611 7
2024-09-28 16:18:28.998000 6.641 7.61269 Clear 0 993.19 126.588 7
2024-09-28 16:18:29.098000 6.717 7.68656 Clear 0 992.614 126.564 7
