# satellite: 47306 TURKSAT 5A / TURK
# catalogue: 1 NORAD
# track: 19210816
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 835
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-05-11 23:15:12 2.288 9.47116 Clear 0 37881.487 22.268 7
2021-05-11 23:15:12.100000 2.168 9.35075 Clear 0 37881.487 22.268 7
2021-05-11 23:15:12.200000 2.269 9.452 Clear 0 37881.487 22.268 7
2021-05-11 23:15:12.400000 2.111 9.29425 Clear 0 37881.487 22.269 7
2021-05-11 23:15:12.600000 2.496 9.67847 Clear 0 37881.487 22.27 7
2021-05-11 23:15:12.800000 1.889 9.07226 Clear 0 37881.486 22.271 7
2021-05-11 23:15:13.100000 2.075 9.25815 Clear 0 37881.486 22.272 7
2021-05-11 23:15:13.200000 1.448 8.63124 Clear 0 37881.486 22.272 7
2021-05-11 23:15:13.300000 2.498 9.68123 Clear 0 37881.486 22.272 7
2021-05-11 23:15:13.500000 2.022 9.20527 Clear 0 37881.486 22.273 7
2021-05-11 23:15:13.600000 2.216 9.3986 Clear 0 37881.486 22.273 7
2021-05-11 23:15:13.700000 2.686 9.86902 Clear 0 37881.486 22.274 7
2021-05-11 23:15:13.800000 2.575 9.75841 Clear 0 37881.486 22.274 7
2021-05-11 23:15:14 2.667 9.84952 Clear 0 37881.486 22.275 7
2021-05-11 23:15:14.100000 2.329 9.5117 Clear 0 37881.486 22.275 7
2021-05-11 23:15:14.200000 2.219 9.4018 Clear 0 37881.486 22.275 7
2021-05-11 23:15:14.300000 1.767 8.95025 Clear 0 37881.486 22.276 7
2021-05-11 23:15:14.400000 1.986 9.16938 Clear 0 37881.486 22.276 7
2021-05-11 23:15:14.500000 2.059 9.24238 Clear 0 37881.486 22.276 7
2021-05-11 23:15:14.700000 2.408 9.59125 Clear 0 37881.486 22.277 7
2021-05-11 23:15:15.100000 2.127 9.30982 Clear 0 37881.486 22.279 7
2021-05-11 23:15:15.400000 1.999 9.1815 Clear 0 37881.486 22.28 7
2021-05-11 23:15:15.500000 2.243 9.42552 Clear 0 37881.486 22.28 7
2021-05-11 23:15:15.600000 2.209 9.39224 Clear 0 37881.486 22.28 7
2021-05-11 23:15:15.700000 2.43 9.61306 Clear 0 37881.486 22.281 7
