# satellite: 47306 TURKSAT 5A / TURK
# catalogue: 1 NORAD
# track: 32356194
# variability: 2 Periodic
# variability_period: 9.92574
# npoints: 347
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-07-07 23:04:10.993000 1.816 8.99588 Clear 0 37883.083 21.326 7
2025-07-07 23:04:11.093000 1.762 8.94212 Clear 0 37883.083 21.326 7
2025-07-07 23:04:11.193000 2.001 9.18122 Clear 0 37883.083 21.327 7
2025-07-07 23:04:11.393000 1.608 8.78823 Clear 0 37883.083 21.327 7
2025-07-07 23:04:11.493000 1.299 8.47934 Clear 0 37883.083 21.327 7
2025-07-07 23:04:11.593000 1.656 8.83618 Clear 0 37883.083 21.328 7
2025-07-07 23:04:11.693000 1.217 8.39739 Clear 0 37883.083 21.328 7
2025-07-07 23:04:11.793000 1.445 8.62461 Clear 0 37883.083 21.328 7
2025-07-07 23:04:11.893000 1.181 8.36049 Clear 0 37883.083 21.328 7
2025-07-07 23:04:11.993000 1.553 8.73309 Clear 0 37883.083 21.329 7
2025-07-07 23:04:12.093000 1.407 8.58729 Clear 0 37883.083 21.329 7
2025-07-07 23:04:12.193000 1.603 8.78273 Clear 0 37883.083 21.329 7
2025-07-07 23:04:12.293000 1.345 8.52491 Clear 0 37883.083 21.33 7
2025-07-07 23:04:12.393000 0.991 8.17141 Clear 0 37883.083 21.33 7
2025-07-07 23:04:12.493000 1.636 8.81618 Clear 0 37883.083 21.33 7
2025-07-07 23:04:12.593000 1.56 8.73967 Clear 0 37883.083 21.33 7
2025-07-07 23:04:12.693000 1.573 8.75294 Clear 0 37883.083 21.331 7
2025-07-07 23:04:12.793000 1.649 8.82899 Clear 0 37883.083 21.331 7
2025-07-07 23:04:12.993000 1.753 8.93262 Clear 0 37883.083 21.331 7
2025-07-07 23:04:13.093000 1.671 8.8507 Clear 0 37883.083 21.332 7
2025-07-07 23:04:13.193000 1.391 8.57136 Clear 0 37883.083 21.332 7
2025-07-07 23:04:14.693000 2.111 9.29113 Clear 0 37883.083 21.336 7
2025-07-07 23:04:14.893000 1.711 8.89071 Clear 0 37883.083 21.337 7
2025-07-07 23:04:15.693000 1.948 9.12812 Clear 0 37883.083 21.339 7
2025-07-07 23:04:15.793000 1.524 8.70358 Clear 0 37883.083 21.339 7
2025-07-07 23:04:15.993000 1.616 8.79587 Clear 0 37883.083 21.339 7
2025-07-07 23:04:16.093000 1.859 9.03849 Clear 0 37883.083 21.34 7
2025-07-07 23:04:16.193000 1.554 8.73434 Clear 0 37883.083 21.34 7
2025-07-07 23:04:16.293000 1.769 8.94933 Clear 0 37883.083 21.34 7
2025-07-07 23:04:16.393000 1.334 8.51387 Clear 0 37883.083 21.341 7
2025-07-07 23:04:16.493000 1.393 8.57275 Clear 0 37883.083 21.341 7
