# satellite: 4767 THORAD AGENA D DEB / US
# catalogue: 1 NORAD
# track: 13291912
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 220
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-06-24 23:40:10.892000 7.671 9.24501 Clear 0 1481.944 118.898 3
2018-06-24 23:40:10.992000 7.64 9.21146 Clear 0 1481.45 118.877 3
2018-06-24 23:40:11.092000 7.316 8.88699 Clear 0 1480.956 118.855 3
2018-06-24 23:40:11.192000 7.607 9.17632 Clear 0 1480.462 118.834 3
2018-06-24 23:40:11.292000 7.906 9.4742 Clear 0 1479.968 118.812 3
2018-06-24 23:40:11.392000 7.407 8.97311 Clear 0 1479.475 118.791 3
2018-06-24 23:40:11.492000 7.706 9.2713 Clear 0 1478.981 118.769 3
2018-06-24 23:40:11.592000 7.745 9.30934 Clear 0 1478.488 118.748 3
2018-06-24 23:40:11.692000 7.423 8.98515 Clear 0 1477.995 118.727 3
2018-06-24 23:40:11.792000 7.533 9.09443 Clear 0 1477.502 118.705 3
2018-06-24 23:40:11.892000 7.679 9.23765 Clear 0 1477.009 118.684 3
2018-06-24 23:40:11.992000 7.554 9.11208 Clear 0 1476.517 118.662 3
2018-06-24 23:40:12.092000 7.25 8.80735 Clear 0 1476.024 118.641 3
2018-06-24 23:40:12.192000 7.502 9.05687 Clear 0 1475.532 118.619 3
2018-06-24 23:40:12.292000 7.298 8.85201 Clear 0 1475.04 118.597 3
2018-06-24 23:40:12.392000 7.077 8.62935 Clear 0 1474.548 118.576 3
2018-06-24 23:40:12.492000 7.439 8.98953 Clear 0 1474.057 118.554 3
2018-06-24 23:40:12.592000 7.75 9.30014 Clear 0 1473.565 118.533 3
2018-06-24 23:40:12.692000 7.913 9.46081 Clear 0 1473.074 118.511 3
2018-06-24 23:40:12.792000 7.491 9.0384 Clear 0 1472.582 118.489 3
2018-06-24 23:40:12.892000 7.275 8.81979 Clear 0 1472.091 118.468 3
2018-06-24 23:40:12.992000 7.199 8.74266 Clear 0 1471.6 118.446 3
2018-06-24 23:40:13.092000 7.232 8.77411 Clear 0 1471.11 118.425 3
2018-06-24 23:40:13.192000 7.448 8.98881 Clear 0 1470.619 118.403 3
2018-06-24 23:40:13.292000 6.977 8.5166 Clear 0 1470.129 118.381 3
2018-06-24 23:40:13.392000 7.175 8.71286 Clear 0 1469.638 118.359 3
2018-06-24 23:40:13.492000 7.265 8.8022 Clear 0 1469.148 118.338 3
2018-06-24 23:40:13.592000 7.185 8.71999 Clear 0 1468.658 118.316 3
2018-06-24 23:40:13.692000 7.346 8.88015 Clear 0 1468.169 118.294 3
2018-06-24 23:40:13.792000 7.776 9.30922 Clear 0 1467.679 118.273 3
2018-06-24 23:40:13.892000 7.213 8.74434 Clear 0 1467.19 118.251 3
2018-06-24 23:40:13.992000 7.328 8.85793 Clear 0 1466.7 118.229 3
2018-06-24 23:40:14.092000 7.407 8.93449 Clear 0 1466.211 118.207 3
2018-06-24 23:40:14.192000 7.591 9.11779 Clear 0 1465.722 118.185 3
2018-06-24 23:40:14.292000 7.017 8.5432 Clear 0 1465.234 118.164 3
2018-06-24 23:40:14.392000 7.471 8.99463 Clear 0 1464.745 118.142 3
2018-06-24 23:40:14.492000 7.362 8.8845 Clear 0 1464.257 118.12 3
2018-06-24 23:40:14.592000 7.245 8.76596 Clear 0 1463.769 118.098 3
2018-06-24 23:40:14.692000 7.21 8.73003 Clear 0 1463.28 118.076 3
2018-06-24 23:40:14.792000 7.591 9.10916 Clear 0 1462.793 118.054 3
2018-06-24 23:40:14.892000 7.247 8.76415 Clear 0 1462.305 118.032 3
2018-06-24 23:40:14.992000 7.198 8.71355 Clear 0 1461.817 118.011 3
2018-06-24 23:40:15.092000 7.331 8.84502 Clear 0 1461.33 117.989 3
2018-06-24 23:40:15.192000 7.585 9.09815 Clear 0 1460.843 117.967 3
2018-06-24 23:40:15.292000 7.285 8.79602 Clear 0 1460.356 117.945 3
2018-06-24 23:40:15.392000 7.084 8.5943 Clear 0 1459.869 117.923 3
