# satellite: 4767 THORAD AGENA D DEB / US
# catalogue: 1 NORAD
# track: 18857560
# variability: 2 Periodic
# variability_period: 13.547439
# npoints: 22
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-12-15 02:15:45.192000 8.899 9.42484 Clear 0 1197.631 96.556 5
2020-12-15 02:15:45.292000 8.087 8.61341 Clear 0 1197.51 96.555 5
2020-12-15 02:15:45.392000 8.7 9.22465 Clear 0 1197.389 96.553 5
2020-12-15 02:15:45.492000 7.843 8.36823 Clear 0 1197.269 96.552 5
2020-12-15 02:15:45.592000 8.93 9.45502 Clear 0 1197.149 96.551 5
2020-12-15 02:15:45.692000 8.908 9.43255 Clear 0 1197.029 96.55 5
2020-12-15 02:15:59.394000 8.767 9.26345 Clear 0 1184.275 96.367 5
2020-12-15 02:15:59.494000 8.253 8.74975 Clear 0 1184.209 96.365 5
2020-12-15 02:15:59.594000 8.464 8.96107 Clear 0 1184.143 96.364 5
2020-12-15 02:15:59.694000 8.285 8.78162 Clear 0 1184.077 96.363 5
2020-12-15 02:15:59.794000 9.208 9.70492 Clear 0 1184.012 96.361 5
2020-12-15 02:15:59.894000 9.79 10.2868 Clear 0 1183.947 96.36 5
2020-12-15 02:15:59.994000 9.044 9.54057 Clear 0 1183.883 96.358 5
2020-12-15 02:16:00.094000 9.195 9.69136 Clear 0 1183.819 96.357 5
2020-12-15 02:16:13.297000 8.854 9.33678 Clear 0 1178.837 96.161 7
2020-12-15 02:16:13.397000 9.448 9.93141 Clear 0 1178.826 96.16 7
2020-12-15 02:16:13.497000 8.777 9.26038 Clear 0 1178.815 96.158 7
2020-12-15 02:16:13.597000 8.184 8.66737 Clear 0 1178.804 96.157 7
2020-12-15 02:16:13.697000 8.848 9.3314 Clear 0 1178.794 96.155 7
2020-12-15 02:16:13.797000 8.227 8.70945 Clear 0 1178.784 96.154 7
2020-12-15 02:16:13.897000 8.853 9.33588 Clear 0 1178.775 96.152 7
2020-12-15 02:16:14.097000 8.852 9.33499 Clear 0 1178.757 96.149 7
