# satellite: 4767 THORAD AGENA D DEB / US
# catalogue: 1 NORAD
# track: 21771640
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 356
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-11-01 15:58:46.994000 9.272 9.34587 Clear 0 1328.343 49.259 2
2022-11-01 15:58:47.094000 9.275 9.34771 Clear 0 1327.881 49.252 2
2022-11-01 15:58:47.194000 8.689 8.76082 Clear 0 1327.42 49.246 2
2022-11-01 15:58:47.294000 9.127 9.19757 Clear 0 1326.959 49.239 2
2022-11-01 15:58:47.394000 8.452 8.52219 Clear 0 1326.498 49.232 2
2022-11-01 15:58:47.494000 9.059 9.12925 Clear 0 1326.037 49.226 2
2022-11-01 15:58:47.594000 9.181 9.2501 Clear 0 1325.577 49.219 2
2022-11-01 15:58:47.694000 9.162 9.2301 Clear 0 1325.117 49.213 2
2022-11-01 15:58:47.894000 9.094 9.15977 Clear 0 1324.197 49.2 2
2022-11-01 15:58:47.994000 9.036 9.10176 Clear 0 1323.737 49.194 2
2022-11-01 15:58:48.094000 9.622 9.68739 Clear 0 1323.278 49.187 2
2022-11-01 15:58:48.294000 9.27 9.33309 Clear 0 1322.359 49.174 2
2022-11-01 15:58:48.794000 9.688 9.74686 Clear 0 1320.067 49.142 2
2022-11-01 15:58:49.494000 9.008 9.06073 Clear 0 1316.867 49.097 2
2022-11-01 15:58:49.994000 9.586 9.6346 Clear 0 1314.588 49.065 2
2022-11-01 15:59:09.795000 8.994 8.88664 Clear 0 1228.897 47.921 2
2022-11-01 15:59:09.895000 9.033 8.92521 Clear 0 1228.488 47.916 2
2022-11-01 15:59:09.995000 9.168 9.05974 Clear 0 1228.08 47.911 2
2022-11-01 15:59:10.095000 9.173 9.06398 Clear 0 1227.672 47.906 2
2022-11-01 15:59:10.195000 9.281 9.17108 Clear 0 1227.265 47.901 2
2022-11-01 15:59:10.295000 9.017 8.90545 Clear 0 1226.857 47.896 2
2022-11-01 15:59:10.395000 9.067 8.95619 Clear 0 1226.45 47.891 2
2022-11-01 15:59:10.495000 9.094 8.98215 Clear 0 1226.043 47.886 2
2022-11-01 15:59:10.695000 8.855 8.74053 Clear 0 1225.23 47.876 2
2022-11-01 15:59:10.995000 9.164 9.04792 Clear 0 1224.013 47.861 2
2022-11-01 15:59:11.095000 9.157 9.03956 Clear 0 1223.608 47.856 2
2022-11-01 15:59:11.195000 8.691 8.57376 Clear 0 1223.203 47.851 2
