# satellite: 50575 CZ-3B R/B / 
# catalogue: 1 NORAD
# track: 20112969
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 2610
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-01-25 16:02:06.899000 2.718 8.28521 Clear 0 13930.295 81.174 8
2022-01-25 16:02:06.999000 2.755 8.3217 Clear 0 13929.942 81.173 8
2022-01-25 16:02:07.099000 2.868 8.43513 Clear 0 13929.59 81.172 8
2022-01-25 16:02:07.199000 2.583 8.15039 Clear 0 13929.238 81.17 8
2022-01-25 16:02:07.299000 2.704 8.27053 Clear 0 13928.885 81.169 8
2022-01-25 16:02:07.399000 2.657 8.22433 Clear 0 13928.533 81.168 8
2022-01-25 16:02:07.499000 2.745 8.31229 Clear 0 13928.18 81.167 8
2022-01-25 16:02:07.599000 2.663 8.22966 Clear 0 13927.828 81.166 8
2022-01-25 16:02:07.699000 2.883 8.44977 Clear 0 13927.475 81.165 8
2022-01-25 16:02:07.799000 3.116 8.68267 Clear 0 13927.123 81.164 8
2022-01-25 16:02:07.898000 2.623 8.19027 Clear 0 13926.774 81.162 8
2022-01-25 16:02:07.998000 2.847 8.41432 Clear 0 13926.421 81.161 8
2022-01-25 16:02:08.098000 2.519 8.08585 Clear 0 13926.069 81.16 8
2022-01-25 16:02:08.198000 2.578 8.14358 Clear 0 13925.717 81.159 8
2022-01-25 16:02:08.298000 3.025 8.59124 Clear 0 13925.364 81.158 8
2022-01-25 16:02:08.398000 2.739 8.30509 Clear 0 13925.012 81.157 8
2022-01-25 16:02:08.498000 2.7 8.26638 Clear 0 13924.659 81.155 8
2022-01-25 16:02:08.598000 2.696 8.26224 Clear 0 13924.307 81.154 8
2022-01-25 16:02:08.698000 2.738 8.30438 Clear 0 13923.954 81.153 8
2022-01-25 16:02:08.798000 2.664 8.22966 Clear 0 13923.602 81.152 8
2022-01-25 16:02:08.898000 2.656 8.22233 Clear 0 13923.249 81.151 8
2022-01-25 16:02:08.998000 2.627 8.19285 Clear 0 13922.897 81.15 8
2022-01-25 16:02:09.098000 2.797 8.36248 Clear 0 13922.544 81.149 8
2022-01-25 16:02:09.198000 2.95 8.51559 Clear 0 13922.192 81.147 8
2022-01-25 16:02:09.298000 2.846 8.41195 Clear 0 13921.839 81.146 8
2022-01-25 16:02:09.398000 2.776 8.34153 Clear 0 13921.487 81.145 8
2022-01-25 16:02:09.498000 2.86 8.42468 Clear 0 13921.134 81.144 8
2022-01-25 16:02:09.598000 2.731 8.29582 Clear 0 13920.782 81.143 8
2022-01-25 16:02:09.798000 2.899 8.46378 Clear 0 13920.076 81.14 8
2022-01-25 16:02:09.898000 2.873 8.43755 Clear 0 13919.724 81.139 8
2022-01-25 16:02:09.998000 2.658 8.223 Clear 0 13919.371 81.138 8
2022-01-25 16:02:10.098000 2.823 8.38771 Clear 0 13919.019 81.137 8
2022-01-25 16:02:10.198000 2.79 8.35495 Clear 0 13918.666 81.136 8
2022-01-25 16:02:10.298000 2.817 8.38154 Clear 0 13918.314 81.135 8
2022-01-25 16:02:10.398000 3.004 8.56909 Clear 0 13917.961 81.134 8
2022-01-25 16:02:10.498000 2.796 8.36097 Clear 0 13917.609 81.132 8
2022-01-25 16:02:10.598000 2.879 8.44405 Clear 0 13917.256 81.131 8
2022-01-25 16:02:10.698000 2.7 8.26499 Clear 0 13916.903 81.13 8
2022-01-25 16:02:10.798000 2.908 8.47294 Clear 0 13916.551 81.129 8
2022-01-25 16:02:10.898000 2.84 8.40407 Clear 0 13916.198 81.128 8
2022-01-25 16:02:10.998000 2.795 8.35871 Clear 0 13915.846 81.127 8
2022-01-25 16:02:11.098000 2.795 8.35871 Clear 0 13915.493 81.125 8
2022-01-25 16:02:11.198000 2.917 8.48049 Clear 0 13915.141 81.124 8
2022-01-25 16:02:11.298000 2.919 8.48302 Clear 0 13914.788 81.123 8
2022-01-25 16:02:11.398000 2.924 8.4881 Clear 0 13914.435 81.122 8
2022-01-25 16:02:11.498000 2.738 8.30223 Clear 0 13914.083 81.121 8
2022-01-25 16:02:11.598000 2.909 8.47294 Clear 0 13913.73 81.12 8
2022-01-25 16:02:11.698000 2.675 8.23906 Clear 0 13913.378 81.119 8
2022-01-25 16:02:11.798000 3.232 8.79593 Clear 0 13913.025 81.117 8
2022-01-25 16:02:11.898000 2.805 8.36855 Clear 0 13912.672 81.116 8
2022-01-25 16:02:11.998000 2.821 8.38539 Clear 0 13912.32 81.115 8
2022-01-25 16:02:12.098000 2.746 8.31012 Clear 0 13911.967 81.114 8
2022-01-25 16:02:12.198000 2.615 8.17745 Clear 0 13911.615 81.113 8
2022-01-25 16:02:12.298000 2.67 8.23301 Clear 0 13911.262 81.112 8
2022-01-25 16:02:12.398000 2.841 8.40407 Clear 0 13910.909 81.11 8
2022-01-25 16:02:12.498000 2.891 8.45387 Clear 0 13910.557 81.109 8
2022-01-25 16:02:12.598000 2.892 8.45469 Clear 0 13910.204 81.108 8
2022-01-25 16:02:12.698000 3.097 8.65958 Clear 0 13909.851 81.107 8
2022-01-25 16:02:12.798000 2.697 8.26017 Clear 0 13909.499 81.106 8
2022-01-25 16:02:12.898000 2.85 8.41274 Clear 0 13909.146 81.105 8
2022-01-25 16:02:12.998000 2.666 8.22899 Clear 0 13908.793 81.104 8
2022-01-25 16:02:13.098000 2.791 8.35346 Clear 0 13908.441 81.102 8
2022-01-25 16:02:13.198000 2.894 8.45716 Clear 0 13908.088 81.101 8
2022-01-25 16:02:13.298000 2.625 8.1877 Clear 0 13907.735 81.1 8
2022-01-25 16:02:13.398000 2.912 8.47461 Clear 0 13907.383 81.099 8
2022-01-25 16:02:13.498000 2.838 8.40094 Clear 0 13907.03 81.098 8
2022-01-25 16:02:13.598000 2.914 8.47629 Clear 0 13906.677 81.097 8
2022-01-25 16:02:13.698000 2.958 8.51995 Clear 0 13906.325 81.095 8
2022-01-25 16:02:13.798000 2.88 8.44161 Clear 0 13905.972 81.094 8
2022-01-25 16:02:13.898000 2.774 8.33562 Clear 0 13905.619 81.093 8
2022-01-25 16:02:13.998000 2.994 8.55546 Clear 0 13905.267 81.092 8
2022-01-25 16:02:14.098000 2.96 8.5217 Clear 0 13904.914 81.091 8
