# satellite: 50575 CZ-3B R/B / 
# catalogue: 1 NORAD
# track: 20141267
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 4031
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-02-15 16:37:07.300000 2.506 7.76172 Unknown 0 11093.731 91.452 3
2022-02-15 16:37:07.400000 2.277 7.53257 Unknown 0 11093.331 91.45 3
2022-02-15 16:37:07.500000 2.054 7.31013 Unknown 0 11092.931 91.449 3
2022-02-15 16:37:07.600000 2.392 7.64737 Unknown 0 11092.531 91.447 3
2022-02-15 16:37:07.700000 2.486 7.74082 Unknown 0 11092.131 91.446 3
2022-02-15 16:37:07.800000 2.213 7.46792 Unknown 0 11091.732 91.444 3
2022-02-15 16:37:07.900000 2.275 7.53038 Unknown 0 11091.332 91.442 3
2022-02-15 16:37:08 2.386 7.64077 Unknown 0 11090.932 91.441 3
2022-02-15 16:37:08.100000 2.442 7.69709 Unknown 0 11090.532 91.439 3
2022-02-15 16:37:08.200000 2.413 7.66759 Unknown 0 11090.132 91.438 3
2022-02-15 16:37:08.300000 2.213 7.46763 Unknown 0 11089.732 91.436 3
2022-02-15 16:37:08.400000 2.247 7.50182 Unknown 0 11089.332 91.435 3
2022-02-15 16:37:08.500000 2.274 7.52913 Unknown 0 11088.932 91.433 3
2022-02-15 16:37:08.600000 2.181 7.43462 Unknown 0 11088.532 91.432 3
2022-02-15 16:37:08.700000 2.441 7.69473 Unknown 0 11088.132 91.43 3
2022-02-15 16:37:08.800000 2.271 7.52461 Unknown 0 11087.732 91.429 3
2022-02-15 16:37:08.900000 2.271 7.52476 Unknown 0 11087.332 91.427 3
2022-02-15 16:37:09 2.28 7.53414 Unknown 0 11086.933 91.426 3
2022-02-15 16:37:09.100000 2.287 7.54091 Unknown 0 11086.533 91.424 3
2022-02-15 16:37:09.200000 2.173 7.42734 Unknown 0 11086.133 91.422 3
2022-02-15 16:37:09.300000 2.282 7.53618 Unknown 0 11085.733 91.421 3
2022-02-15 16:37:09.400000 2.499 7.75266 Unknown 0 11085.333 91.419 3
2022-02-15 16:37:09.500000 2.259 7.51223 Unknown 0 11084.933 91.418 3
2022-02-15 16:37:09.600000 2.344 7.59698 Unknown 0 11084.533 91.416 3
2022-02-15 16:37:09.700000 2.227 7.4801 Unknown 0 11084.133 91.415 3
2022-02-15 16:37:09.800000 2.103 7.35591 Unknown 0 11083.733 91.413 3
2022-02-15 16:37:09.900000 2.312 7.56503 Unknown 0 11083.333 91.412 3
2022-02-15 16:37:10 2.506 7.75901 Unknown 0 11082.933 91.41 3
2022-02-15 16:37:10.100000 1.992 7.24532 Unknown 0 11082.533 91.409 3
2022-02-15 16:37:10.200000 2.391 7.64441 Unknown 0 11082.133 91.407 3
2022-02-15 16:37:10.300000 2.251 7.5038 Unknown 0 11081.733 91.406 3
2022-02-15 16:37:10.400000 2.226 7.47756 Unknown 0 11081.333 91.404 3
2022-02-15 16:37:10.500000 2.356 7.60835 Unknown 0 11080.933 91.402 3
2022-02-15 16:37:10.600000 2.223 7.47459 Unknown 0 11080.533 91.401 3
2022-02-15 16:37:10.700000 2.327 7.57868 Unknown 0 11080.133 91.399 3
2022-02-15 16:37:10.800000 2.307 7.55939 Unknown 0 11079.733 91.398 3
2022-02-15 16:37:10.900000 2.21 7.46188 Unknown 0 11079.333 91.396 3
