# satellite: 50575 CZ-3B R/B / 
# catalogue: 1 NORAD
# track: 20148993
# variability: 2 Periodic
# variability_period: 185.802832
# npoints: 3292
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-02-22 17:39:40.898000 4.614 9.98408 Clear 0 10840.363 99.324 7
2022-02-22 17:39:40.998000 4.444 9.81372 Clear 0 10839.933 99.323 7
2022-02-22 17:39:41.098000 4.009 9.37784 Clear 0 10839.502 99.321 7
2022-02-22 17:39:41.198000 4.445 9.81372 Clear 0 10839.071 99.32 7
2022-02-22 17:39:41.298000 4.19 9.55852 Clear 0 10838.641 99.318 7
2022-02-22 17:39:41.398000 3.877 9.24586 Clear 0 10838.21 99.317 7
2022-02-22 17:39:41.498000 4.236 9.60445 Clear 0 10837.779 99.315 7
2022-02-22 17:39:41.598000 3.95 9.31856 Clear 0 10837.349 99.314 7
2022-02-22 17:39:41.698000 4.184 9.5534 Clear 0 10836.918 99.312 7
2022-02-22 17:39:41.798000 4.104 9.4733 Clear 0 10836.487 99.311 7
2022-02-22 17:39:41.898000 3.999 9.36809 Clear 0 10836.056 99.309 7
2022-02-22 17:39:41.998000 4.675 10.0427 Clear 0 10835.626 99.308 7
2022-02-22 17:39:42.098000 3.863 9.23055 Clear 0 10835.195 99.307 7
2022-02-22 17:39:42.198000 3.844 9.21172 Clear 0 10834.764 99.305 7
2022-02-22 17:39:42.298000 3.968 9.33622 Clear 0 10834.333 99.304 7
2022-02-22 17:39:42.398000 4.282 9.64961 Clear 0 10833.903 99.302 7
2022-02-22 17:39:42.498000 4.363 9.73083 Clear 0 10833.472 99.301 7
2022-02-22 17:39:42.598000 4.243 9.61118 Clear 0 10833.041 99.299 7
2022-02-22 17:39:42.698000 4.187 9.55468 Clear 0 10832.61 99.298 7
2022-02-22 17:39:42.798000 3.626 8.99342 Clear 0 10832.179 99.296 7
2022-02-22 17:39:42.898000 4.074 9.44054 Clear 0 10831.749 99.295 7
2022-02-22 17:39:42.998000 4.086 9.45329 Clear 0 10831.318 99.293 7
2022-02-22 17:39:43.098000 4.243 9.60983 Clear 0 10830.887 99.292 7
2022-02-22 17:39:43.198000 3.931 9.29826 Clear 0 10830.456 99.291 7
2022-02-22 17:39:43.298000 3.855 9.22241 Clear 0 10830.025 99.289 7
2022-02-22 17:39:43.398000 4.084 9.45046 Clear 0 10829.595 99.288 7
2022-02-22 17:39:43.498000 3.651 9.01837 Clear 0 10829.164 99.286 7
2022-02-22 17:39:43.598000 3.857 9.22335 Clear 0 10828.733 99.285 7
2022-02-22 17:39:43.698000 4.147 9.51245 Clear 0 10828.302 99.283 7
2022-02-22 17:39:43.898000 4.101 9.4668 Clear 0 10827.44 99.28 7
2022-02-22 17:39:43.998000 3.774 9.14014 Clear 0 10827.01 99.279 7
2022-02-22 17:39:44.098000 3.852 9.21773 Clear 0 10826.579 99.277 7
2022-02-22 17:39:44.198000 3.78 9.14625 Clear 0 10826.148 99.276 7
2022-02-22 17:39:44.298000 3.905 9.2714 Clear 0 10825.717 99.274 7
2022-02-22 17:39:44.398000 4.044 9.40953 Clear 0 10825.286 99.273 7
2022-02-22 17:39:44.498000 3.965 9.32994 Clear 0 10824.855 99.272 7
2022-02-22 17:39:44.598000 3.852 9.21679 Clear 0 10824.424 99.27 7
2022-02-22 17:39:44.698000 3.95 9.3145 Clear 0 10823.993 99.269 7
2022-02-22 17:39:44.798000 3.953 9.31757 Clear 0 10823.563 99.267 7
2022-02-22 17:39:44.898000 4.241 9.60592 Clear 0 10823.132 99.266 7
2022-02-22 17:39:44.998000 4.169 9.53351 Clear 0 10822.701 99.264 7
2022-02-22 17:39:45.098000 4.104 9.46916 Clear 0 10822.27 99.263 7
2022-02-22 17:39:45.198000 3.761 9.1263 Clear 0 10821.839 99.261 7
2022-02-22 17:39:45.298000 3.954 9.31757 Clear 0 10821.408 99.26 7
2022-02-22 17:39:45.398000 4.312 9.67635 Clear 0 10820.977 99.258 7
2022-02-22 17:39:45.498000 4.03 9.39402 Clear 0 10820.546 99.257 7
2022-02-22 17:39:45.598000 3.858 9.22147 Clear 0 10820.115 99.256 7
2022-02-22 17:39:45.698000 3.99 9.35406 Clear 0 10819.684 99.254 7
