# satellite: 5397 OV1-21 R/B / US
# catalogue: 1 NORAD
# track: 13494418
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 574
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-09-21 16:32:59.698000 6.881 6.91127 Clear 0 958.856 95.93 1
2018-09-21 16:32:59.798000 6.913 6.94193 Clear 0 958.614 95.92 1
2018-09-21 16:32:59.898000 6.912 6.94009 Clear 0 958.373 95.91 1
2018-09-21 16:32:59.998000 6.89 6.91652 Clear 0 958.132 95.9 1
2018-09-21 16:33:00.098000 6.949 6.97635 Clear 0 957.892 95.891 1
2018-09-21 16:33:00.198000 6.967 6.99317 Clear 0 957.652 95.881 1
2018-09-21 16:33:00.298000 6.935 6.9598 Clear 0 957.412 95.871 1
2018-09-21 16:33:00.498000 7.045 7.06872 Clear 0 956.935 95.851 1
2018-09-21 16:33:00.598000 6.916 6.93915 Clear 0 956.697 95.841 1
2018-09-21 16:33:00.698000 7.039 7.0606 Clear 0 956.459 95.832 1
2018-09-21 16:33:00.798000 7.09 7.11067 Clear 0 956.222 95.822 1
2018-09-21 16:33:00.898000 6.998 7.01859 Clear 0 955.985 95.812 1
2018-09-21 16:33:00.998000 7.009 7.02925 Clear 0 955.749 95.802 1
2018-09-21 16:33:01.098000 7.087 7.10558 Clear 0 955.513 95.792 1
2018-09-21 16:33:01.198000 7.036 7.05496 Clear 0 955.277 95.782 1
2018-09-21 16:33:01.298000 7.122 7.13949 Clear 0 955.042 95.772 1
2018-09-21 16:33:01.398000 7.052 7.06866 Clear 0 954.808 95.762 1
2018-09-21 16:33:01.498000 7.028 7.04363 Clear 0 954.574 95.753 1
2018-09-21 16:33:01.598000 7.2 7.21566 Clear 0 954.34 95.743 1
2018-09-21 16:33:01.698000 7.204 7.21931 Clear 0 954.107 95.733 1
2018-09-21 16:33:01.798000 7.203 7.2165 Clear 0 953.874 95.723 1
2018-09-21 16:33:01.898000 7.169 7.18161 Clear 0 953.642 95.713 1
2018-09-21 16:33:01.998000 7.244 7.25653 Clear 0 953.41 95.703 1
2018-09-21 16:33:02.098000 7.153 7.16522 Clear 0 953.179 95.693 1
2018-09-21 16:33:02.198000 7.18 7.19062 Clear 0 952.948 95.683 1
2018-09-21 16:33:02.298000 7.131 7.1408 Clear 0 952.717 95.673 1
2018-09-21 16:33:02.398000 7.312 7.32154 Clear 0 952.487 95.663 1
2018-09-21 16:33:02.498000 7.188 7.1971 Clear 0 952.257 95.653 1
2018-09-21 16:33:02.598000 7.324 7.33231 Clear 0 952.028 95.643 1
2018-09-21 16:33:02.698000 7.15 7.15681 Clear 0 951.8 95.633 1
2018-09-21 16:33:02.798000 7.283 7.29027 Clear 0 951.571 95.623 1
2018-09-21 16:33:02.898000 7.251 7.25645 Clear 0 951.344 95.613 1
2018-09-21 16:33:02.998000 7.418 7.42289 Clear 0 951.116 95.603 1
2018-09-21 16:33:03.098000 7.277 7.28192 Clear 0 950.889 95.593 1
2018-09-21 16:33:03.198000 7.252 7.25615 Clear 0 950.663 95.583 1
2018-09-21 16:33:03.298000 7.359 7.36202 Clear 0 950.437 95.573 1
2018-09-21 16:33:03.398000 7.309 7.31128 Clear 0 950.211 95.563 1
2018-09-21 16:33:03.498000 7.353 7.35462 Clear 0 949.986 95.553 1
2018-09-21 16:33:03.598000 7.348 7.34924 Clear 0 949.761 95.543 1
2018-09-21 16:33:03.698000 7.179 7.17904 Clear 0 949.537 95.533 1
2018-09-21 16:33:03.798000 7.362 7.36052 Clear 0 949.314 95.523 1
2018-09-21 16:33:03.898000 7.287 7.28584 Clear 0 949.09 95.513 1
2018-09-21 16:33:03.998000 7.315 7.31246 Clear 0 948.867 95.503 1
2018-09-21 16:33:04.098000 7.294 7.29065 Clear 0 948.645 95.493 1
2018-09-21 16:33:04.198000 7.313 7.31009 Clear 0 948.423 95.483 1
2018-09-21 16:33:04.298000 7.237 7.23305 Clear 0 948.202 95.473 1
2018-09-21 16:33:04.398000 7.233 7.22832 Clear 0 947.981 95.463 1
2018-09-21 16:33:04.482000 6.909 6.90385 Clear 0 947.795 95.454 8
2018-09-21 16:33:04.498000 7.342 7.33549 Clear 0 947.76 95.453 1
2018-09-21 16:33:04.582000 7.073 7.06653 Clear 0 947.575 95.444 8
2018-09-21 16:33:04.598000 7.371 7.36534 Clear 0 947.54 95.442 1
2018-09-21 16:33:04.682000 7.06 7.05266 Clear 0 947.356 95.434 8
2018-09-21 16:33:04.698000 7.279 7.27223 Clear 0 947.32 95.432 1
2018-09-21 16:33:04.782000 7.209 7.20056 Clear 0 947.136 95.424 8
2018-09-21 16:33:04.798000 7.372 7.36411 Clear 0 947.101 95.422 1
2018-09-21 16:33:04.882000 7.04 7.03211 Clear 0 946.918 95.414 8
2018-09-21 16:33:04.898000 7.299 7.29098 Clear 0 946.883 95.412 1
2018-09-21 16:33:04.982000 6.988 6.97865 Clear 0 946.699 95.404 8
2018-09-21 16:33:04.998000 7.293 7.28432 Clear 0 946.664 95.402 1
2018-09-21 16:33:05.082000 7.03 7.0197 Clear 0 946.481 95.393 8
2018-09-21 16:33:05.098000 7.381 7.37084 Clear 0 946.447 95.392 1
2018-09-21 16:33:05.182000 6.952 6.94219 Clear 0 946.264 95.383 8
2018-09-21 16:33:05.198000 7.292 7.2805 Clear 0 946.229 95.382 1
2018-09-21 16:33:05.282000 7.034 7.0226 Clear 0 946.047 95.373 8
2018-09-21 16:33:05.298000 7.307 7.29558 Clear 0 946.012 95.372 1
2018-09-21 16:33:05.382000 7.148 7.13551 Clear 0 945.83 95.363 8
2018-09-21 16:33:05.398000 7.21 7.19801 Clear 0 945.796 95.361 1
2018-09-21 16:33:05.482000 7.055 7.04205 Clear 0 945.614 95.353 8
2018-09-21 16:33:05.498000 7.289 7.27546 Clear 0 945.58 95.351 1
2018-09-21 16:33:05.582000 6.984 6.97086 Clear 0 945.399 95.343 8
2018-09-21 16:33:05.598000 7.348 7.33465 Clear 0 945.364 95.341 1
2018-09-21 16:33:05.682000 6.998 6.98396 Clear 0 945.184 95.333 8
2018-09-21 16:33:05.698000 7.327 7.31272 Clear 0 945.149 95.331 1
2018-09-21 16:33:05.782000 7.091 7.07607 Clear 0 944.969 95.322 8
2018-09-21 16:33:05.882000 6.999 6.98442 Clear 0 944.755 95.312 8
2018-09-21 16:33:05.898000 7.322 7.3065 Clear 0 944.721 95.311 1
2018-09-21 16:33:05.982000 7.072 7.05608 Clear 0 944.541 95.302 8
2018-09-21 16:33:05.998000 7.157 7.14086 Clear 0 944.507 95.3 1
2018-09-21 16:33:06.082000 6.959 6.94148 Clear 0 944.328 95.292 8
2018-09-21 16:33:06.098000 7.35 7.33292 Clear 0 944.294 95.29 1
2018-09-21 16:33:06.182000 7.035 7.01798 Clear 0 944.115 95.282 8
2018-09-21 16:33:06.198000 7.355 7.33736 Clear 0 944.081 95.28 1
2018-09-21 16:33:06.282000 7.035 7.0169 Clear 0 943.903 95.271 8
2018-09-21 16:33:06.298000 7.253 7.23484 Clear 0 943.869 95.27 1
2018-09-21 16:33:06.382000 7.067 7.04811 Clear 0 943.691 95.261 8
2018-09-21 16:33:06.398000 7.18 7.16094 Clear 0 943.657 95.26 1
2018-09-21 16:33:06.482000 6.939 6.91889 Clear 0 943.479 95.251 8
2018-09-21 16:33:06.498000 7.173 7.15321 Clear 0 943.446 95.249 1
2018-09-21 16:33:06.582000 6.848 6.82816 Clear 0 943.269 95.241 8
2018-09-21 16:33:06.598000 7.339 7.31916 Clear 0 943.235 95.239 1
2018-09-21 16:33:06.682000 6.973 6.9522 Clear 0 943.058 95.231 8
2018-09-21 16:33:06.698000 7.158 7.13729 Clear 0 943.024 95.229 1
2018-09-21 16:33:06.782000 7.038 7.0162 Clear 0 942.848 95.22 8
2018-09-21 16:33:06.798000 7.239 7.21661 Clear 0 942.814 95.219 1
2018-09-21 16:33:06.882000 6.918 6.89558 Clear 0 942.638 95.21 8
2018-09-21 16:33:06.898000 7.204 7.18175 Clear 0 942.605 95.208 1
2018-09-21 16:33:06.982000 6.997 6.97355 Clear 0 942.429 95.2 8
