# satellite: 5397 OV1-21 R/B / US
# catalogue: 1 NORAD
# track: 7752636
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 450
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-05-20 22:42:27.183000 7.857 8.17604 Clear 0 1146.141 91.082 3
2015-05-20 22:42:27.283000 7.983 8.30135 Clear 0 1145.801 91.049 3
2015-05-20 22:42:27.383000 7.702 8.01937 Clear 0 1145.46 91.016 3
2015-05-20 22:42:27.483000 7.821 8.13683 Clear 0 1145.12 90.983 3
2015-05-20 22:42:27.583000 7.885 8.19923 Clear 0 1144.781 90.95 3
2015-05-20 22:42:27.683000 7.858 8.17143 Clear 0 1144.441 90.916 3
2015-05-20 22:42:27.783000 7.921 8.23302 Clear 0 1144.102 90.883 3
2015-05-20 22:42:27.883000 7.873 8.18276 Clear 0 1143.764 90.85 3
2015-05-20 22:42:27.983000 7.76 8.06867 Clear 0 1143.425 90.816 3
2015-05-20 22:42:28.083000 7.912 8.21992 Clear 0 1143.087 90.783 3
2015-05-20 22:42:28.183000 7.974 8.28101 Clear 0 1142.75 90.75 3
2015-05-20 22:42:28.283000 7.858 8.16264 Clear 0 1142.412 90.716 3
2015-05-20 22:42:28.383000 7.799 8.10339 Clear 0 1142.075 90.683 3
2015-05-20 22:42:28.483000 7.802 8.10515 Clear 0 1141.739 90.65 3
2015-05-20 22:42:28.583000 7.916 8.21746 Clear 0 1141.402 90.616 3
2015-05-20 22:42:28.683000 7.809 8.10858 Clear 0 1141.066 90.583 3
2015-05-20 22:42:28.783000 7.767 8.06571 Clear 0 1140.73 90.549 3
2015-05-20 22:42:28.883000 7.738 8.03553 Clear 0 1140.395 90.516 3
2015-05-20 22:42:28.983000 7.81 8.10611 Clear 0 1140.06 90.482 3
2015-05-20 22:42:29.083000 7.748 8.04268 Clear 0 1139.725 90.449 3
2015-05-20 22:42:29.183000 7.732 8.02616 Clear 0 1139.391 90.415 3
2015-05-20 22:42:29.283000 7.73 8.0226 Clear 0 1139.057 90.382 3
2015-05-20 22:42:29.383000 7.777 8.06799 Clear 0 1138.723 90.348 3
2015-05-20 22:42:29.483000 7.844 8.1342 Clear 0 1138.39 90.315 3
2015-05-20 22:42:29.683000 7.663 7.95043 Clear 0 1137.724 90.248 3
2015-05-20 22:42:29.783000 7.707 7.99258 Clear 0 1137.392 90.214 3
2015-05-20 22:42:29.883000 7.742 8.02681 Clear 0 1137.06 90.18 3
2015-05-20 22:42:29.983000 7.732 8.01639 Clear 0 1136.728 90.147 3
2015-05-20 22:42:30.083000 7.641 7.92264 Clear 0 1136.397 90.113 3
2015-05-20 22:42:30.283000 7.764 8.04359 Clear 0 1135.735 90.046 3
2015-05-20 22:42:30.383000 7.72 7.99856 Clear 0 1135.404 90.012 3
2015-05-20 22:42:30.483000 7.648 7.92542 Clear 0 1135.074 89.978 3
2015-05-20 22:42:30.583000 7.751 8.02713 Clear 0 1134.745 89.944 3
2015-05-20 22:42:30.683000 7.692 7.9665 Clear 0 1134.415 89.911 3
2015-05-20 22:42:30.783000 7.447 7.72021 Clear 0 1134.086 89.877 3
2015-05-20 22:42:30.883000 7.673 7.94504 Clear 0 1133.758 89.843 3
2015-05-20 22:42:30.983000 7.63 7.90102 Clear 0 1133.429 89.809 3
2015-05-20 22:42:31.083000 7.638 7.90748 Clear 0 1133.101 89.775 3
2015-05-20 22:42:31.183000 7.677 7.94504 Clear 0 1132.774 89.741 3
2015-05-20 22:42:31.283000 7.803 8.07028 Clear 0 1132.446 89.707 3
2015-05-20 22:42:31.383000 7.68 7.94578 Clear 0 1132.119 89.673 3
2015-05-20 22:42:31.483000 7.433 7.69752 Clear 0 1131.793 89.64 3
2015-05-20 22:42:31.583000 7.491 7.75349 Clear 0 1131.466 89.606 3
2015-05-20 22:42:31.683000 7.45 7.71237 Clear 0 1131.14 89.572 3
2015-05-20 22:42:31.783000 7.541 7.802 Clear 0 1130.815 89.538 3
2015-05-20 22:42:31.883000 7.542 7.80213 Clear 0 1130.489 89.504 3
2015-05-20 22:42:31.983000 7.474 7.73208 Clear 0 1130.164 89.47 3
2015-05-20 22:42:32.083000 7.439 7.69618 Clear 0 1129.84 89.436 3
2015-05-20 22:42:32.183000 7.353 7.60921 Clear 0 1129.515 89.401 3
2015-05-20 22:42:32.332000 7.499 7.75282 Clear 0 1129.033 89.351 6
2015-05-20 22:42:32.383000 7.298 7.55128 Clear 0 1128.868 89.333 3
2015-05-20 22:42:32.432000 7.575 7.82835 Clear 0 1128.71 89.317 6
2015-05-20 22:42:32.483000 7.398 7.64968 Clear 0 1128.545 89.299 3
2015-05-20 22:42:32.532000 7.373 7.62444 Clear 0 1128.386 89.282 6
2015-05-20 22:42:32.632000 7.495 7.74487 Clear 0 1128.064 89.248 6
2015-05-20 22:42:32.683000 7.418 7.6666 Clear 0 1127.899 89.231 3
2015-05-20 22:42:32.732000 7.316 7.56481 Clear 0 1127.741 89.214 6
2015-05-20 22:42:32.783000 7.504 7.75152 Clear 0 1127.577 89.197 3
2015-05-20 22:42:32.832000 7.378 7.62573 Clear 0 1127.419 89.18 6
2015-05-20 22:42:32.883000 7.426 7.67283 Clear 0 1127.255 89.162 3
2015-05-20 22:42:32.932000 7.36 7.60563 Clear 0 1127.098 89.146 6
2015-05-20 22:42:32.983000 7.387 7.63344 Clear 0 1126.934 89.128 3
2015-05-20 22:42:33.032000 7.456 7.70141 Clear 0 1126.776 89.111 6
2015-05-20 22:42:33.083000 7.334 7.57783 Clear 0 1126.612 89.094 3
2015-05-20 22:42:33.132000 7.362 7.60557 Clear 0 1126.455 89.077 6
2015-05-20 22:42:33.183000 7.385 7.62766 Clear 0 1126.292 89.06 3
2015-05-20 22:42:33.232000 7.349 7.59183 Clear 0 1126.134 89.043 6
2015-05-20 22:42:33.283000 7.239 7.48119 Clear 0 1125.971 89.026 3
2015-05-20 22:42:33.332000 7.371 7.61161 Clear 0 1125.814 89.009 6
2015-05-20 22:42:33.383000 7.286 7.52708 Clear 0 1125.651 88.991 3
2015-05-20 22:42:33.432000 7.313 7.55295 Clear 0 1125.494 88.974 6
2015-05-20 22:42:33.483000 7.364 7.60257 Clear 0 1125.331 88.957 3
2015-05-20 22:42:33.532000 7.348 7.58693 Clear 0 1125.174 88.94 6
2015-05-20 22:42:33.583000 7.277 7.5146 Clear 0 1125.012 88.923 3
2015-05-20 22:42:33.632000 7.266 7.50419 Clear 0 1124.855 88.906 6
2015-05-20 22:42:33.683000 7.41 7.64652 Clear 0 1124.692 88.888 3
2015-05-20 22:42:33.732000 7.275 7.51084 Clear 0 1124.536 88.871 6
2015-05-20 22:42:33.783000 7.376 7.61156 Clear 0 1124.374 88.854 3
2015-05-20 22:42:33.832000 7.196 7.43103 Clear 0 1124.218 88.837 6
2015-05-20 22:42:33.883000 7.303 7.53739 Clear 0 1124.055 88.82 3
2015-05-20 22:42:33.932000 7.421 7.65486 Clear 0 1123.899 88.803 6
2015-05-20 22:42:33.983000 7.369 7.60145 Clear 0 1123.737 88.785 3
2015-05-20 22:42:34.032000 7.362 7.59515 Clear 0 1123.581 88.768 6
2015-05-20 22:42:34.083000 7.283 7.51513 Clear 0 1123.419 88.751 3
2015-05-20 22:42:34.132000 7.37 7.60107 Clear 0 1123.264 88.734 6
2015-05-20 22:42:34.183000 7.322 7.55329 Clear 0 1123.102 88.716 3
2015-05-20 22:42:34.232000 7.463 7.69302 Clear 0 1122.947 88.699 6
2015-05-20 22:42:34.283000 7.28 7.50904 Clear 0 1122.785 88.682 3
2015-05-20 22:42:34.332000 7.347 7.57634 Clear 0 1122.63 88.665 6
2015-05-20 22:42:34.383000 7.338 7.56566 Clear 0 1122.468 88.647 3
2015-05-20 22:42:34.432000 7.496 7.72389 Clear 0 1122.313 88.63 6
2015-05-20 22:42:34.483000 7.369 7.59592 Clear 0 1122.152 88.613 3
2015-05-20 22:42:34.532000 7.434 7.65997 Clear 0 1121.997 88.596 6
2015-05-20 22:42:34.583000 7.583 7.80882 Clear 0 1121.836 88.578 3
2015-05-20 22:42:34.632000 7.473 7.69799 Clear 0 1121.681 88.561 6
2015-05-20 22:42:34.683000 7.474 7.69752 Clear 0 1121.52 88.544 3
2015-05-20 22:42:34.732000 7.581 7.80511 Clear 0 1121.366 88.527 6
2015-05-20 22:42:34.783000 7.422 7.64542 Clear 0 1121.205 88.509 3
2015-05-20 22:42:34.832000 7.556 7.77922 Clear 0 1121.051 88.492 6
2015-05-20 22:42:34.883000 7.487 7.70865 Clear 0 1120.89 88.475 3
2015-05-20 22:42:34.932000 7.565 7.78593 Clear 0 1120.736 88.458 6
2015-05-20 22:42:34.983000 7.563 7.78427 Clear 0 1120.575 88.44 3
2015-05-20 22:42:35.032000 7.394 7.61435 Clear 0 1120.421 88.423 6
2015-05-20 22:42:35.083000 7.452 7.6706 Clear 0 1120.261 88.406 3
2015-05-20 22:42:35.132000 7.359 7.57781 Clear 0 1120.107 88.389 6
2015-05-20 22:42:35.183000 7.489 7.70676 Clear 0 1119.947 88.371 3
2015-05-20 22:42:35.232000 7.573 7.79074 Clear 0 1119.794 88.354 6
2015-05-20 22:42:35.283000 7.613 7.82945 Clear 0 1119.634 88.336 3
2015-05-20 22:42:35.332000 7.443 7.65924 Clear 0 1119.48 88.319 6
2015-05-20 22:42:35.383000 7.51 7.72617 Clear 0 1119.32 88.302 3
2015-05-20 22:42:35.432000 7.415 7.62993 Clear 0 1119.167 88.285 6
2015-05-20 22:42:35.483000 7.484 7.69785 Clear 0 1119.008 88.267 3
2015-05-20 22:42:35.532000 7.483 7.69679 Clear 0 1118.854 88.25 6
2015-05-20 22:42:35.583000 7.466 7.67858 Clear 0 1118.695 88.232 3
2015-05-20 22:42:35.632000 7.501 7.71371 Clear 0 1118.542 88.215 6
2015-05-20 22:42:35.683000 7.527 7.7385 Clear 0 1118.383 88.198 3
2015-05-20 22:42:35.732000 7.483 7.69408 Clear 0 1118.23 88.181 6
2015-05-20 22:42:35.783000 7.521 7.73225 Clear 0 1118.071 88.163 3
2015-05-20 22:42:35.832000 7.432 7.64238 Clear 0 1117.919 88.146 6
2015-05-20 22:42:35.932000 7.356 7.56514 Clear 0 1117.607 88.111 6
2015-05-20 22:42:35.983000 7.508 7.7163 Clear 0 1117.449 88.093 3
2015-05-20 22:42:36.032000 7.466 7.67383 Clear 0 1117.296 88.076 6
2015-05-20 22:42:36.083000 7.568 7.77482 Clear 0 1117.138 88.059 3
2015-05-20 22:42:36.132000 7.514 7.71956 Clear 0 1116.986 88.042 6
2015-05-20 22:42:36.183000 7.652 7.85835 Clear 0 1116.828 88.024 3
2015-05-20 22:42:36.232000 7.494 7.699 Clear 0 1116.676 88.007 6
