# satellite: 54270 CZ-6A DEB / PRC
# catalogue: 1 NORAD
# track: 22823032
# variability: 2 Periodic
# variability_period: 0.634658976
# npoints: 1224
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2023-01-12 03:22:54.891000 5.918 6.40157 Clear 0 1083.561 104.277 1
2023-01-12 03:22:54.991000 5.193 5.6777 Clear 0 1083.748 104.278 1
2023-01-12 03:22:55.091000 5.578 6.06317 Clear 0 1083.936 104.279 1
2023-01-12 03:22:55.191000 5.518 6.00376 Clear 0 1084.124 104.281 1
2023-01-12 03:22:55.291000 5.588 6.07364 Clear 0 1084.313 104.282 1
2023-01-12 03:22:55.391000 6.201 6.68687 Clear 0 1084.502 104.284 1
2023-01-12 03:22:55.491000 6.257 6.74416 Clear 0 1084.691 104.285 1
2023-01-12 03:22:55.591000 5.359 5.84565 Clear 0 1084.881 104.286 1
2023-01-12 03:22:55.691000 5.322 5.80949 Clear 0 1085.071 104.288 1
2023-01-12 03:22:55.791000 5.595 6.08256 Clear 0 1085.262 104.289 1
2023-01-12 03:22:55.891000 5.408 5.89609 Clear 0 1085.453 104.291 1
2023-01-12 03:22:55.991000 5.86 6.3486 Clear 0 1085.644 104.292 1
2023-01-12 03:22:56.091000 6.38 6.86881 Clear 0 1085.836 104.293 1
2023-01-12 03:22:56.191000 5.535 6.02519 Clear 0 1086.029 104.295 1
2023-01-12 03:22:56.291000 5.233 5.72317 Clear 0 1086.221 104.296 1
2023-01-12 03:22:56.391000 5.676 6.16695 Clear 0 1086.414 104.297 1
2023-01-12 03:22:56.491000 5.389 5.8804 Clear 0 1086.608 104.299 1
2023-01-12 03:22:56.591000 5.546 6.03684 Clear 0 1086.802 104.3 1
2023-01-12 03:22:56.691000 6.36 6.85179 Clear 0 1086.996 104.301 1
2023-01-12 03:22:56.791000 5.82 6.31151 Clear 0 1087.191 104.303 1
2023-01-12 03:22:56.891000 5.23 5.72302 Clear 0 1087.386 104.304 1
2023-01-12 03:22:56.991000 5.426 5.91882 Clear 0 1087.582 104.305 1
2023-01-12 03:22:57.091000 5.448 5.94092 Clear 0 1087.778 104.307 1
2023-01-12 03:22:57.191000 5.453 5.9465 Clear 0 1087.974 104.308 1
2023-01-12 03:22:57.291000 6.273 6.76725 Clear 0 1088.171 104.309 1
2023-01-12 03:22:57.391000 6.153 6.64813 Clear 0 1088.368 104.311 1
2023-01-12 03:22:57.491000 5.189 5.6837 Clear 0 1088.565 104.312 1
2023-01-12 03:22:57.591000 5.362 5.85789 Clear 0 1088.763 104.313 1
2023-01-12 03:22:57.691000 5.558 6.05435 Clear 0 1088.962 104.314 1
2023-01-12 03:22:57.791000 5.407 5.90298 Clear 0 1089.161 104.316 1
2023-01-12 03:22:57.891000 5.898 6.39473 Clear 0 1089.36 104.317 1
2023-01-12 03:22:57.991000 6.199 6.69555 Clear 0 1089.559 104.318 1
2023-01-12 03:22:58.091000 5.496 5.99389 Clear 0 1089.759 104.319 1
2023-01-12 03:22:58.191000 5.18 5.67836 Clear 0 1089.96 104.321 1
2023-01-12 03:22:58.291000 5.622 6.12114 Clear 0 1090.16 104.322 1
2023-01-12 03:22:58.391000 5.387 5.8855 Clear 0 1090.362 104.323 1
2023-01-12 03:22:58.491000 5.637 6.13588 Clear 0 1090.563 104.324 1
2023-01-12 03:22:58.591000 6.314 6.81412 Clear 0 1090.765 104.326 1
2023-01-12 03:22:58.691000 5.806 6.30586 Clear 0 1090.968 104.327 1
2023-01-12 03:22:58.791000 5.107 5.60815 Clear 0 1091.171 104.328 1
2023-01-12 03:22:58.891000 5.516 6.01733 Clear 0 1091.374 104.329 1
2023-01-12 03:22:58.991000 5.42 5.92172 Clear 0 1091.577 104.331 1
2023-01-12 03:22:59.091000 5.412 5.9142 Clear 0 1091.781 104.332 1
2023-01-12 03:22:59.191000 6.17 6.67154 Clear 0 1091.986 104.333 1
2023-01-12 03:22:59.291000 6.15 6.65245 Clear 0 1092.191 104.334 1
2023-01-12 03:22:59.391000 5.251 5.75393 Clear 0 1092.396 104.335 1
2023-01-12 03:22:59.491000 5.268 5.772 Clear 0 1092.601 104.337 1
2023-01-12 03:22:59.591000 5.517 6.0205 Clear 0 1092.808 104.338 1
2023-01-12 03:22:59.691000 5.348 5.85344 Clear 0 1093.014 104.339 1
2023-01-12 03:22:59.791000 5.816 6.32056 Clear 0 1093.221 104.34 1
2023-01-12 03:22:59.891000 6.233 6.73927 Clear 0 1093.428 104.341 1
2023-01-12 03:22:59.991000 5.566 6.07169 Clear 0 1093.636 104.342 1
2023-01-12 03:23:00.091000 5.181 5.68662 Clear 0 1093.844 104.344 1
2023-01-12 03:23:00.191000 5.578 6.08491 Clear 0 1094.052 104.345 1
2023-01-12 03:23:00.291000 5.311 5.81835 Clear 0 1094.261 104.346 1
2023-01-12 03:23:00.391000 5.505 6.01327 Clear 0 1094.47 104.347 1
2023-01-12 03:23:00.491000 6.228 6.73596 Clear 0 1094.68 104.348 1
2023-01-12 03:23:00.591000 5.838 6.34656 Clear 0 1094.89 104.349 1
2023-01-12 03:23:00.691000 5.165 5.67384 Clear 0 1095.1 104.35 1
2023-01-12 03:23:00.791000 5.357 5.86654 Clear 0 1095.311 104.352 1
2023-01-12 03:23:00.891000 5.476 5.98551 Clear 0 1095.522 104.353 1
2023-01-12 03:23:00.991000 5.378 5.88752 Clear 0 1095.734 104.354 1
2023-01-12 03:23:01.091000 6.026 6.53738 Clear 0 1095.946 104.355 1
2023-01-12 03:23:01.191000 6.114 6.62531 Clear 0 1096.158 104.356 1
2023-01-12 03:23:01.291000 5.23 5.74227 Clear 0 1096.371 104.357 1
2023-01-12 03:23:01.391000 5.265 5.77702 Clear 0 1096.584 104.358 1
2023-01-12 03:23:01.491000 5.456 5.96861 Clear 0 1096.798 104.359 1
2023-01-12 03:23:01.591000 5.335 5.84747 Clear 0 1097.012 104.36 1
2023-01-12 03:23:01.691000 5.846 6.36023 Clear 0 1097.226 104.361 1
2023-01-12 03:23:01.791000 6.135 6.64872 Clear 0 1097.441 104.362 1
2023-01-12 03:23:01.891000 5.551 6.06479 Clear 0 1097.656 104.364 1
2023-01-12 03:23:01.991000 5.157 5.67233 Clear 0 1097.872 104.365 1
2023-01-12 03:23:02.091000 5.504 6.01916 Clear 0 1098.088 104.366 1
2023-01-12 03:23:02.191000 5.379 5.89479 Clear 0 1098.304 104.367 1
2023-01-12 03:23:02.291000 5.488 6.00348 Clear 0 1098.521 104.368 1
2023-01-12 03:23:02.391000 6.204 6.7207 Clear 0 1098.738 104.369 1
2023-01-12 03:23:02.491000 5.767 6.28367 Clear 0 1098.955 104.37 1
2023-01-12 03:23:02.591000 5.094 5.61191 Clear 0 1099.173 104.371 1
2023-01-12 03:23:02.691000 5.454 5.97244 Clear 0 1099.392 104.372 1
2023-01-12 03:23:02.791000 5.467 5.98625 Clear 0 1099.61 104.373 1
2023-01-12 03:23:02.891000 5.426 5.94521 Clear 0 1099.829 104.374 1
2023-01-12 03:23:02.991000 6.073 6.59167 Clear 0 1100.049 104.375 1
2023-01-12 03:23:03.091000 6.146 6.66618 Clear 0 1100.269 104.376 1
2023-01-12 03:23:03.191000 5.236 5.75561 Clear 0 1100.489 104.377 1
2023-01-12 03:23:03.291000 5.221 5.74192 Clear 0 1100.71 104.378 1
2023-01-12 03:23:03.391000 5.561 6.08182 Clear 0 1100.931 104.379 1
2023-01-12 03:23:03.491000 5.2 5.72188 Clear 0 1101.152 104.38 1
2023-01-12 03:23:03.591000 5.834 6.35559 Clear 0 1101.374 104.381 1
2023-01-12 03:23:03.691000 6.153 6.67581 Clear 0 1101.596 104.382 1
2023-01-12 03:23:03.791000 5.502 6.02537 Clear 0 1101.819 104.383 1
2023-01-12 03:23:03.891000 5.065 5.58898 Clear 0 1102.042 104.384 1
2023-01-12 03:23:03.991000 5.446 5.96948 Clear 0 1102.265 104.385 1
2023-01-12 03:23:04.091000 5.368 5.8928 Clear 0 1102.489 104.386 1
2023-01-12 03:23:04.191000 5.588 6.11287 Clear 0 1102.713 104.387 1
2023-01-12 03:23:04.291000 6.194 6.71925 Clear 0 1102.938 104.388 1
2023-01-12 03:23:04.391000 5.858 6.38442 Clear 0 1103.163 104.389 1
2023-01-12 03:23:04.491000 5.07 5.5959 Clear 0 1103.388 104.39 1
