# satellite: 5435 EOLE 1 (CAS-A) / FR
# catalogue: 1 NORAD
# track: 12421797
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 621
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-07-03 20:26:49.795000 8.692 8.79353 Clear 0 964.606 98.685 7
2017-07-03 20:26:49.895000 8.65 8.74952 Clear 0 964.111 98.661 7
2017-07-03 20:26:49.995000 8.519 8.61821 Clear 0 963.616 98.636 7
2017-07-03 20:26:50.095000 8.513 8.61021 Clear 0 963.122 98.611 7
2017-07-03 20:26:50.195000 8.719 8.8141 Clear 0 962.627 98.586 7
2017-07-03 20:26:50.295000 8.648 8.74151 Clear 0 962.133 98.561 7
2017-07-03 20:26:50.395000 8.306 8.39761 Clear 0 961.64 98.537 7
2017-07-03 20:26:50.495000 8.635 8.72506 Clear 0 961.146 98.512 7
2017-07-03 20:26:50.595000 8.557 8.6459 Clear 0 960.653 98.487 7
2017-07-03 20:26:50.695000 8.483 8.56975 Clear 0 960.159 98.462 7
2017-07-03 20:26:50.895000 8.591 8.67499 Clear 0 959.174 98.412 7
2017-07-03 20:26:50.995000 8.47 8.55241 Clear 0 958.682 98.387 7
2017-07-03 20:26:51.195000 8.332 8.41058 Clear 0 957.698 98.337 7
2017-07-03 20:26:51.395000 8.693 8.76778 Clear 0 956.714 98.287 7
2017-07-03 20:26:51.495000 8.545 8.61855 Clear 0 956.223 98.262 7
2017-07-03 20:26:51.595000 8.413 8.48449 Clear 0 955.732 98.237 7
2017-07-03 20:26:51.695000 8.593 8.66283 Clear 0 955.242 98.211 7
2017-07-03 20:26:51.895000 8.541 8.60782 Clear 0 954.261 98.161 7
2017-07-03 20:26:52.095000 8.227 8.29135 Clear 0 953.281 98.11 7
2017-07-03 20:26:52.195000 8.37 8.43183 Clear 0 952.792 98.085 7
2017-07-03 20:26:52.295000 8.573 8.633 Clear 0 952.302 98.06 7
2017-07-03 20:26:52.395000 8.562 8.62138 Clear 0 951.813 98.035 7
2017-07-03 20:26:52.495000 8.552 8.60938 Clear 0 951.325 98.009 7
2017-07-03 20:26:52.595000 8.626 8.68086 Clear 0 950.836 97.984 7
2017-07-03 20:26:52.695000 8.651 8.70492 Clear 0 950.348 97.958 7
2017-07-03 20:26:52.895000 8.467 8.51655 Clear 0 949.372 97.907 7
2017-07-03 20:26:52.995000 8.459 8.50775 Clear 0 948.884 97.882 7
2017-07-03 20:26:53.195000 8.625 8.67001 Clear 0 947.91 97.831 7
2017-07-03 20:26:53.295000 8.492 8.53626 Clear 0 947.423 97.805 7
2017-07-03 20:26:53.395000 8.449 8.4913 Clear 0 946.937 97.78 7
2017-07-03 20:26:53.495000 8.537 8.57646 Clear 0 946.45 97.754 7
2017-07-03 20:26:53.595000 8.483 8.52219 Clear 0 945.964 97.728 7
2017-07-03 20:26:53.695000 8.36 8.39726 Clear 0 945.478 97.703 7
2017-07-03 20:26:53.795000 8.617 8.65189 Clear 0 944.993 97.677 7
2017-07-03 20:26:53.895000 8.61 8.64434 Clear 0 944.507 97.651 7
2017-07-03 20:26:53.995000 8.559 8.59108 Clear 0 944.022 97.626 7
2017-07-03 20:26:54.095000 8.454 8.48374 Clear 0 943.538 97.6 7
2017-07-03 20:26:54.195000 8.446 8.47528 Clear 0 943.053 97.574 7
2017-07-03 20:26:54.295000 8.554 8.58088 Clear 0 942.569 97.548 7
2017-07-03 20:26:54.395000 8.285 8.30995 Clear 0 942.085 97.522 7
2017-07-03 20:26:54.595000 8.343 8.36536 Clear 0 941.117 97.471 7
2017-07-03 20:26:54.695000 8.706 8.72599 Clear 0 940.634 97.445 7
2017-07-03 20:26:54.795000 8.463 8.48215 Clear 0 940.151 97.419 7
2017-07-03 20:26:54.895000 8.423 8.43996 Clear 0 939.668 97.393 7
2017-07-03 20:26:54.995000 8.381 8.39584 Clear 0 939.185 97.367 7
2017-07-03 20:26:55.095000 8.612 8.62548 Clear 0 938.703 97.341 7
2017-07-03 20:26:55.195000 8.699 8.71136 Clear 0 938.221 97.315 7
2017-07-03 20:26:55.295000 8.648 8.65749 Clear 0 937.739 97.289 7
2017-07-03 20:26:55.395000 8.55 8.55895 Clear 0 937.258 97.263 7
2017-07-03 20:26:55.495000 8.524 8.53047 Clear 0 936.776 97.236 7
2017-07-03 20:26:55.595000 8.364 8.36905 Clear 0 936.295 97.21 7
2017-07-03 20:26:55.795000 8.416 8.41784 Clear 0 935.334 97.158 7
2017-07-03 20:26:55.895000 8.553 8.55257 Clear 0 934.854 97.132 7
2017-07-03 20:26:55.995000 8.415 8.41351 Clear 0 934.374 97.105 7
