# satellite: 5435 EOLE 1 (CAS-A) / FR
# catalogue: 1 NORAD
# track: 12583650
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 610
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-08-28 00:01:44.298000 8.482 8.02241 Clear 0 921.859 72.454 3
2017-08-28 00:01:44.398000 8.653 8.192 Clear 0 921.479 72.46 3
2017-08-28 00:01:44.498000 8.699 8.2373 Clear 0 921.099 72.467 3
2017-08-28 00:01:44.598000 8.591 8.1284 Clear 0 920.72 72.473 3
2017-08-28 00:01:44.698000 8.486 8.02263 Clear 0 920.341 72.479 3
2017-08-28 00:01:44.798000 8.503 8.03852 Clear 0 919.962 72.486 3
2017-08-28 00:01:44.898000 8.696 8.23066 Clear 0 919.584 72.492 3
2017-08-28 00:01:44.998000 8.568 8.10193 Clear 0 919.206 72.499 3
2017-08-28 00:01:45.098000 8.629 8.16183 Clear 0 918.828 72.506 3
2017-08-28 00:01:45.198000 8.565 8.09774 Clear 0 918.451 72.512 3
2017-08-28 00:01:45.298000 8.423 7.95542 Clear 0 918.074 72.519 3
2017-08-28 00:01:45.398000 8.512 8.04298 Clear 0 917.697 72.525 3
2017-08-28 00:01:45.498000 8.365 7.89512 Clear 0 917.321 72.532 3
2017-08-28 00:01:45.698000 8.482 8.01106 Clear 0 916.569 72.545 3
2017-08-28 00:01:45.798000 8.669 8.19713 Clear 0 916.194 72.552 3
2017-08-28 00:01:45.898000 8.714 8.24134 Clear 0 915.819 72.558 3
2017-08-28 00:01:45.998000 8.57 8.09612 Clear 0 915.445 72.565 3
2017-08-28 00:01:46.098000 8.671 8.19591 Clear 0 915.071 72.572 3
2017-08-28 00:01:46.198000 8.593 8.11749 Clear 0 914.697 72.578 3
2017-08-28 00:01:46.298000 8.651 8.17456 Clear 0 914.323 72.585 3
2017-08-28 00:01:46.398000 8.696 8.21863 Clear 0 913.95 72.592 3
2017-08-28 00:01:46.498000 8.569 8.09079 Clear 0 913.577 72.598 3
2017-08-28 00:01:46.598000 8.703 8.22436 Clear 0 913.205 72.605 3
2017-08-28 00:01:46.698000 8.603 8.12387 Clear 0 912.833 72.612 3
2017-08-28 00:01:46.798000 8.601 8.1213 Clear 0 912.461 72.619 3
2017-08-28 00:01:46.898000 8.561 8.08023 Clear 0 912.09 72.625 3
2017-08-28 00:01:46.998000 8.639 8.15728 Clear 0 911.719 72.632 3
2017-08-28 00:01:47.098000 8.621 8.13766 Clear 0 911.348 72.639 3
2017-08-28 00:01:47.198000 8.424 7.94082 Clear 0 910.978 72.646 3
2017-08-28 00:01:47.298000 8.699 8.21485 Clear 0 910.608 72.653 3
2017-08-28 00:01:47.398000 8.455 7.97023 Clear 0 910.238 72.66 3
2017-08-28 00:01:47.598000 8.481 7.99494 Clear 0 909.5 72.673 3
2017-08-28 00:01:47.698000 8.508 8.02078 Clear 0 909.131 72.68 6
2017-08-28 00:01:47.698000 8.662 8.17491 Clear 0 909.131 72.68 3
2017-08-28 00:01:47.798000 8.418 7.92953 Clear 0 908.763 72.687 3
2017-08-28 00:01:47.898000 8.507 8.01791 Clear 0 908.395 72.694 3
2017-08-28 00:01:47.998000 8.68 8.19004 Clear 0 908.027 72.701 3
2017-08-28 00:01:47.998000 8.656 8.1661 Clear 0 908.027 72.701 6
2017-08-28 00:01:48.098000 8.68 8.19005 Clear 0 907.66 72.708 3
2017-08-28 00:01:48.198000 8.569 8.07763 Clear 0 907.293 72.715 3
2017-08-28 00:01:48.298000 8.706 8.21395 Clear 0 906.927 72.722 6
2017-08-28 00:01:48.398000 8.772 8.27919 Clear 0 906.561 72.729 6
2017-08-28 00:01:48.398000 8.529 8.03608 Clear 0 906.561 72.729 3
2017-08-28 00:01:48.498000 8.638 8.14465 Clear 0 906.195 72.736 6
2017-08-28 00:01:48.598000 8.634 8.14002 Clear 0 905.83 72.743 6
2017-08-28 00:01:48.598000 8.661 8.16674 Clear 0 905.83 72.743 3
2017-08-28 00:01:48.698000 8.555 8.06028 Clear 0 905.465 72.75 6
2017-08-28 00:01:48.798000 8.707 8.21068 Clear 0 905.1 72.757 6
2017-08-28 00:01:48.798000 8.616 8.11952 Clear 0 905.1 72.757 3
2017-08-28 00:01:48.898000 8.563 8.0656 Clear 0 904.736 72.764 3
2017-08-28 00:01:48.998000 8.651 8.1543 Clear 0 904.372 72.771 3
2017-08-28 00:01:49.098000 8.48 7.9819 Clear 0 904.008 72.778 3
2017-08-28 00:01:49.098000 8.615 8.11741 Clear 0 904.008 72.778 6
2017-08-28 00:01:49.198000 8.739 8.24 Clear 0 903.645 72.786 3
2017-08-28 00:01:49.198000 8.634 8.13524 Clear 0 903.645 72.786 6
2017-08-28 00:01:49.298000 8.468 7.96773 Clear 0 903.282 72.793 3
2017-08-28 00:01:49.298000 8.606 8.10628 Clear 0 903.282 72.793 6
2017-08-28 00:01:49.398000 8.539 8.03936 Clear 0 902.92 72.8 3
2017-08-28 00:01:49.498000 8.748 8.2465 Clear 0 902.557 72.807 3
2017-08-28 00:01:49.598000 8.569 8.0665 Clear 0 902.196 72.814 3
2017-08-28 00:01:49.598000 8.627 8.12446 Clear 0 902.196 72.814 6
2017-08-28 00:01:49.698000 8.575 8.07188 Clear 0 901.834 72.821 3
2017-08-28 00:01:49.798000 8.689 8.18455 Clear 0 901.473 72.829 3
2017-08-28 00:01:49.898000 8.647 8.14322 Clear 0 901.112 72.836 6
2017-08-28 00:01:49.898000 8.536 8.03189 Clear 0 901.112 72.836 3
2017-08-28 00:01:49.998000 8.573 8.06746 Clear 0 900.752 72.843 3
2017-08-28 00:01:50.098000 8.585 8.07856 Clear 0 900.392 72.85 6
2017-08-28 00:01:50.098000 8.643 8.13674 Clear 0 900.392 72.85 3
2017-08-28 00:01:50.198000 8.616 8.10847 Clear 0 900.032 72.858 3
