# satellite: 57655 CZ-4C R/B / PRC
# catalogue: 1 NORAD
# track: 32783593
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 231
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-08-16 00:34:00.799000 4.673 3.21298 Clear 0 615.453 62.855 8
2025-08-16 00:34:00.899000 4.661 3.20273 Clear 0 615.882 62.816 8
2025-08-16 00:34:00.999000 4.661 3.20426 Clear 0 616.312 62.777 8
2025-08-16 00:34:01.099000 4.697 3.24045 Clear 0 616.743 62.739 8
2025-08-16 00:34:01.199000 4.669 3.21398 Clear 0 617.174 62.7 8
2025-08-16 00:34:01.299000 4.64 3.18615 Clear 0 617.606 62.662 8
2025-08-16 00:34:01.399000 4.595 3.14233 Clear 0 618.038 62.623 8
2025-08-16 00:34:01.499000 4.633 3.18057 Clear 0 618.471 62.585 8
2025-08-16 00:34:01.599000 4.613 3.16165 Clear 0 618.904 62.547 8
2025-08-16 00:34:01.699000 4.646 3.19572 Clear 0 619.339 62.509 8
2025-08-16 00:34:01.799000 4.616 3.16671 Clear 0 619.773 62.471 8
2025-08-16 00:34:01.899000 4.595 3.1472 Clear 0 620.209 62.433 8
2025-08-16 00:34:01.999000 4.681 3.23347 Clear 0 620.644 62.395 8
2025-08-16 00:34:02.099000 4.643 3.19686 Clear 0 621.081 62.357 8
2025-08-16 00:34:02.199000 4.694 3.24959 Clear 0 621.518 62.319 8
2025-08-16 00:34:02.299000 4.609 3.16642 Clear 0 621.956 62.281 8
2025-08-16 00:34:02.399000 4.695 3.2531 Clear 0 622.394 62.244 8
2025-08-16 00:34:02.499000 4.636 3.19535 Clear 0 622.833 62.206 8
2025-08-16 00:34:02.599000 4.638 3.19786 Clear 0 623.272 62.168 8
2025-08-16 00:34:02.699000 4.618 3.17929 Clear 0 623.712 62.131 8
2025-08-16 00:34:02.799000 4.624 3.18599 Clear 0 624.152 62.094 8
2025-08-16 00:34:02.899000 4.669 3.23188 Clear 0 624.594 62.056 8
2025-08-16 00:34:02.999000 4.606 3.17005 Clear 0 625.035 62.019 8
2025-08-16 00:34:03.099000 4.616 3.18219 Clear 0 625.478 61.982 8
2025-08-16 00:34:03.199000 4.657 3.22421 Clear 0 625.92 61.945 8
2025-08-16 00:34:03.299000 4.682 3.25009 Clear 0 626.364 61.908 8
2025-08-16 00:34:03.399000 4.683 3.25201 Clear 0 626.808 61.871 8
