# satellite: 58501 TLV R/B / SKOR
# catalogue: 1 NORAD
# track: 27762312
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 364
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-02-15 03:12:43.993000 6.903 5.3898 Clear 0 648.961 45.492 3
2024-02-15 03:12:44.093000 6.826 5.31174 Clear 0 648.599 45.544 3
2024-02-15 03:12:44.193000 6.842 5.32742 Clear 0 648.237 45.597 3
2024-02-15 03:12:44.293000 6.844 5.32894 Clear 0 647.875 45.65 3
2024-02-15 03:12:44.393000 6.8 5.28398 Clear 0 647.515 45.703 3
2024-02-15 03:12:44.493000 6.598 5.08105 Clear 0 647.154 45.756 3
2024-02-15 03:12:44.593000 6.705 5.18736 Clear 0 646.795 45.809 3
2024-02-15 03:12:44.693000 6.661 5.14208 Clear 0 646.435 45.862 3
2024-02-15 03:12:44.793000 6.505 4.98642 Clear 0 646.077 45.916 3
2024-02-15 03:12:44.893000 6.289 4.76942 Clear 0 645.719 45.969 3
2024-02-15 03:12:44.993000 6.29 4.76891 Clear 0 645.361 46.022 3
2024-02-15 03:12:45.093000 6.428 4.9061 Clear 0 645.004 46.076 3
2024-02-15 03:12:45.193000 6.466 4.94399 Clear 0 644.648 46.129 3
2024-02-15 03:12:45.293000 6.585 5.06235 Clear 0 644.292 46.183 3
2024-02-15 03:12:45.393000 6.416 4.89207 Clear 0 643.937 46.236 3
2024-02-15 03:12:45.493000 6.527 5.00197 Clear 0 643.582 46.29 3
2024-02-15 03:12:45.593000 6.554 5.02835 Clear 0 643.228 46.344 3
2024-02-15 03:12:45.693000 6.538 5.0116 Clear 0 642.874 46.397 3
2024-02-15 03:12:45.793000 6.392 4.86455 Clear 0 642.521 46.451 3
2024-02-15 03:12:45.893000 6.199 4.67141 Clear 0 642.168 46.505 3
2024-02-15 03:12:45.993000 6.103 4.57412 Clear 0 641.816 46.559 3
2024-02-15 03:12:46.093000 6.155 4.6262 Clear 0 641.465 46.613 3
2024-02-15 03:12:46.193000 6.146 4.61571 Clear 0 641.114 46.667 3
2024-02-15 03:12:46.293000 6.077 4.54611 Clear 0 640.764 46.721 3
2024-02-15 03:12:46.393000 6.078 4.54634 Clear 0 640.414 46.776 3
2024-02-15 03:12:46.493000 6.102 4.57016 Clear 0 640.065 46.83 3
2024-02-15 03:12:46.593000 5.988 4.45498 Clear 0 639.716 46.884 3
2024-02-15 03:12:46.693000 6.139 4.60471 Clear 0 639.368 46.938 3
2024-02-15 03:12:46.793000 6.225 4.6908 Clear 0 639.021 46.993 3
2024-02-15 03:12:46.893000 6.312 4.77653 Clear 0 638.674 47.047 3
2024-02-15 03:12:46.993000 6.281 4.74529 Clear 0 638.327 47.102 3
2024-02-15 03:12:47.093000 6.298 4.76084 Clear 0 637.982 47.157 3
2024-02-15 03:12:47.193000 6.242 4.7049 Clear 0 637.636 47.211 3
2024-02-15 03:12:47.293000 6.166 4.62823 Clear 0 637.292 47.266 3
2024-02-15 03:12:47.393000 6.25 4.71101 Clear 0 636.948 47.321 3
2024-02-15 03:12:47.493000 6.198 4.65803 Clear 0 636.604 47.376 3
2024-02-15 03:12:47.593000 6.015 4.47477 Clear 0 636.261 47.431 3
2024-02-15 03:12:47.693000 6.184 4.64291 Clear 0 635.919 47.486 3
2024-02-15 03:12:47.792000 6.089 4.54686 Clear 0 635.58 47.54 3
2024-02-15 03:12:47.892000 6.057 4.5145 Clear 0 635.239 47.595 3
2024-02-15 03:12:47.993000 6.225 4.68206 Clear 0 634.895 47.651 3
2024-02-15 03:12:48.093000 6.154 4.60957 Clear 0 634.555 47.706 3
2024-02-15 03:12:48.193000 6.005 4.46063 Clear 0 634.216 47.761 3
2024-02-15 03:12:48.293000 6.111 4.56551 Clear 0 633.877 47.817 3
2024-02-15 03:12:48.393000 6.107 4.56093 Clear 0 633.538 47.872 3
2024-02-15 03:12:48.493000 6.024 4.47728 Clear 0 633.201 47.928 3
2024-02-15 03:12:48.593000 5.965 4.41779 Clear 0 632.864 47.983 3
2024-02-15 03:12:48.693000 6.027 4.47855 Clear 0 632.527 48.039 3
2024-02-15 03:12:48.792000 5.91 4.36085 Clear 0 632.194 48.094 3
2024-02-15 03:12:48.892000 5.848 4.29934 Clear 0 631.859 48.15 3
2024-02-15 03:12:48.992000 5.996 4.44562 Clear 0 631.524 48.205 3
2024-02-15 03:12:49.092000 6.027 4.47569 Clear 0 631.19 48.261 3
2024-02-15 03:12:49.192000 6.031 4.48002 Clear 0 630.856 48.317 3
2024-02-15 03:12:49.293000 5.918 4.36563 Clear 0 630.52 48.374 3
2024-02-15 03:12:49.393000 6.04 4.4868 Clear 0 630.187 48.43 3
2024-02-15 03:12:49.493000 5.969 4.41636 Clear 0 629.856 48.486 3
2024-02-15 03:12:49.593000 5.979 4.42529 Clear 0 629.524 48.542 3
2024-02-15 03:12:49.692000 5.876 4.32116 Clear 0 629.197 48.598 3
2024-02-15 03:12:49.792000 5.832 4.27718 Clear 0 628.867 48.654 3
2024-02-15 03:12:49.892000 5.873 4.31694 Clear 0 628.537 48.71 3
2024-02-15 03:12:49.992000 5.963 4.4059 Clear 0 628.208 48.766 3
2024-02-15 03:12:50.092000 6.088 4.53118 Clear 0 627.88 48.823 3
2024-02-15 03:12:50.192000 6.176 4.61814 Clear 0 627.552 48.879 3
