# satellite: 58501 TLV R/B / SKOR
# catalogue: 1 NORAD
# track: 32657088
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 187
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-08-06 18:04:06.196000 6.178 5.28468 Clear 0 630.838 95.279 6
2025-08-06 18:04:06.296000 6.255 5.36011 Clear 0 630.544 95.249 6
2025-08-06 18:04:06.396000 6.222 5.3263 Clear 0 630.25 95.219 6
2025-08-06 18:04:06.496000 6.234 5.33608 Clear 0 629.958 95.189 6
2025-08-06 18:04:06.596000 6.24 5.33958 Clear 0 629.666 95.16 6
2025-08-06 18:04:06.696000 6.165 5.26347 Clear 0 629.374 95.13 6
2025-08-06 18:04:06.796000 6.215 5.31158 Clear 0 629.083 95.1 6
2025-08-06 18:04:06.896000 6.193 5.28852 Clear 0 628.793 95.07 6
2025-08-06 18:04:06.996000 6.244 5.33808 Clear 0 628.503 95.04 6
2025-08-06 18:04:07.096000 6.206 5.29823 Clear 0 628.214 95.01 6
2025-08-06 18:04:07.196000 6.218 5.30863 Clear 0 627.926 94.981 6
2025-08-06 18:04:07.296000 6.176 5.26537 Clear 0 627.638 94.951 6
2025-08-06 18:04:07.396000 6.246 5.33339 Clear 0 627.351 94.921 6
2025-08-06 18:04:07.496000 6.246 5.33214 Clear 0 627.064 94.891 6
2025-08-06 18:04:07.596000 6.283 5.36647 Clear 0 626.778 94.861 6
2025-08-06 18:04:07.696000 6.193 5.27608 Clear 0 626.493 94.83 6
2025-08-06 18:04:08.298000 6.267 5.33976 Clear 0 624.789 94.649 6
2025-08-06 18:04:08.398000 6.371 5.44215 Clear 0 624.508 94.619 6
2025-08-06 18:04:08.498000 6.211 5.28062 Clear 0 624.228 94.588 6
2025-08-06 18:04:08.598000 6.215 5.28264 Clear 0 623.948 94.558 6
2025-08-06 18:04:08.698000 6.274 5.34088 Clear 0 623.669 94.527 6
2025-08-06 18:04:08.798000 6.288 5.35299 Clear 0 623.391 94.497 6
2025-08-06 18:04:08.898000 6.31 5.37287 Clear 0 623.113 94.467 6
2025-08-06 18:04:08.998000 6.26 5.32231 Clear 0 622.836 94.436 6
2025-08-06 18:04:09.098000 6.246 5.30617 Clear 0 622.56 94.406 6
2025-08-06 18:04:09.198000 6.275 5.33374 Clear 0 622.284 94.375 6
2025-08-06 18:04:09.298000 6.295 5.35234 Clear 0 622.009 94.345 6
2025-08-06 18:04:09.398000 6.24 5.29582 Clear 0 621.734 94.314 6
2025-08-06 18:04:09.498000 6.253 5.3066 Clear 0 621.46 94.284 6
2025-08-06 18:04:09.598000 6.252 5.30394 Clear 0 621.187 94.253 6
2025-08-06 18:04:09.698000 6.303 5.35395 Clear 0 620.915 94.222 6
2025-08-06 18:04:09.798000 6.388 5.43659 Clear 0 620.643 94.192 6
2025-08-06 18:04:09.898000 6.291 5.33858 Clear 0 620.371 94.161 6
2025-08-06 18:04:09.998000 6.251 5.29657 Clear 0 620.101 94.13 6
2025-08-06 18:04:10.098000 6.312 5.35548 Clear 0 619.831 94.099 6
2025-08-06 18:04:10.198000 6.279 5.32226 Clear 0 619.561 94.069 6
2025-08-06 18:04:10.298000 6.301 5.34176 Clear 0 619.293 94.038 6
2025-08-06 18:04:10.398000 6.366 5.40614 Clear 0 619.025 94.007 6
2025-08-06 18:04:10.498000 6.322 5.35972 Clear 0 618.757 93.976 6
2025-08-06 18:04:10.598000 6.314 5.35102 Clear 0 618.491 93.945 6
2025-08-06 18:04:10.698000 6.261 5.29641 Clear 0 618.225 93.914 6
2025-08-06 18:04:10.798000 6.286 5.32029 Clear 0 617.959 93.883 6
2025-08-06 18:04:10.898000 6.447 5.47907 Clear 0 617.694 93.852 6
2025-08-06 18:04:10.998000 6.292 5.32231 Clear 0 617.43 93.821 6
2025-08-06 18:04:11.098000 6.275 5.30369 Clear 0 617.167 93.79 6
2025-08-06 18:04:11.198000 6.38 5.40659 Clear 0 616.904 93.759 6
2025-08-06 18:04:11.298000 6.408 5.43383 Clear 0 616.642 93.728 6
2025-08-06 18:04:11.398000 6.347 5.37138 Clear 0 616.38 93.697 6
2025-08-06 18:04:11.498000 6.309 5.33163 Clear 0 616.12 93.666 6
2025-08-06 18:04:11.598000 6.391 5.41237 Clear 0 615.859 93.635 6
2025-08-06 18:04:11.698000 6.333 5.35292 Clear 0 615.6 93.603 6
2025-08-06 18:04:11.798000 6.397 5.41529 Clear 0 615.341 93.572 6
2025-08-06 18:04:11.898000 6.369 5.38512 Clear 0 615.083 93.541 6
2025-08-06 18:04:11.998000 6.375 5.39027 Clear 0 614.825 93.51 6
2025-08-06 18:04:12.098000 6.322 5.33542 Clear 0 614.569 93.478 6
2025-08-06 18:04:12.198000 6.365 5.37661 Clear 0 614.312 93.447 6
2025-08-06 18:04:12.298000 6.477 5.48726 Clear 0 614.057 93.415 6
2025-08-06 18:04:12.398000 6.344 5.35325 Clear 0 613.802 93.384 6
2025-08-06 18:04:12.498000 6.452 5.45867 Clear 0 613.548 93.353 6
2025-08-06 18:04:12.598000 6.391 5.39726 Clear 0 613.294 93.321 6
2025-08-06 18:04:12.698000 6.366 5.37017 Clear 0 613.041 93.29 6
2025-08-06 18:04:12.798000 6.431 5.43401 Clear 0 612.789 93.258 6
2025-08-06 18:04:12.898000 6.442 5.44327 Clear 0 612.538 93.227 6
2025-08-06 18:04:12.998000 6.497 5.4965 Clear 0 612.287 93.195 6
2025-08-06 18:04:13.098000 6.464 5.46204 Clear 0 612.037 93.164 6
2025-08-06 18:04:13.198000 6.44 5.43712 Clear 0 611.787 93.132 6
2025-08-06 18:04:13.298000 6.419 5.41352 Clear 0 611.539 93.1 6
2025-08-06 18:04:13.398000 6.464 5.45786 Clear 0 611.29 93.069 6
2025-08-06 18:04:13.498000 6.439 5.43076 Clear 0 611.043 93.037 6
2025-08-06 18:04:13.598000 6.392 5.38337 Clear 0 610.796 93.005 6
2025-08-06 18:04:13.698000 6.473 5.46241 Clear 0 610.55 92.973 6
2025-08-06 18:04:13.798000 6.507 5.49471 Clear 0 610.305 92.942 6
2025-08-06 18:04:13.898000 6.489 5.47498 Clear 0 610.06 92.91 6
2025-08-06 18:04:13.998000 6.483 5.46816 Clear 0 609.816 92.878 6
2025-08-06 18:04:14.098000 6.487 5.46995 Clear 0 609.573 92.846 6
2025-08-06 18:04:14.198000 6.485 5.46682 Clear 0 609.33 92.814 6
2025-08-06 18:04:14.298000 6.471 5.4514 Clear 0 609.088 92.782 6
2025-08-06 18:04:14.398000 6.336 5.31478 Clear 0 608.847 92.751 6
2025-08-06 18:04:14.498000 6.373 5.34953 Clear 0 608.606 92.719 6
2025-08-06 18:04:14.598000 6.485 5.46065 Clear 0 608.366 92.687 6
2025-08-06 18:04:14.698000 6.424 5.39812 Clear 0 608.127 92.655 6
2025-08-06 18:04:14.798000 6.479 5.45196 Clear 0 607.888 92.623 6
2025-08-06 18:04:14.898000 6.458 5.42905 Clear 0 607.65 92.591 6
2025-08-06 18:04:14.998000 6.406 5.37545 Clear 0 607.413 92.558 6
2025-08-06 18:04:15.098000 6.421 5.38851 Clear 0 607.176 92.526 6
2025-08-06 18:04:15.198000 6.529 5.49608 Clear 0 606.941 92.494 6
2025-08-06 18:04:15.298000 6.375 5.34011 Clear 0 606.705 92.462 6
2025-08-06 18:04:15.398000 6.534 5.4979 Clear 0 606.471 92.43 6
2025-08-06 18:04:15.498000 6.415 5.37682 Clear 0 606.237 92.398 6
2025-08-06 18:04:15.598000 6.517 5.47836 Clear 0 606.004 92.365 6
2025-08-06 18:04:15.698000 6.469 5.42825 Clear 0 605.772 92.333 6
2025-08-06 18:04:15.798000 6.381 5.33935 Clear 0 605.54 92.301 6
2025-08-06 18:04:15.898000 6.427 5.38325 Clear 0 605.309 92.269 6
2025-08-06 18:04:15.998000 6.471 5.42608 Clear 0 605.079 92.236 6
2025-08-06 18:04:16.098000 6.436 5.38894 Clear 0 604.849 92.204 6
2025-08-06 18:04:16.198000 6.474 5.42619 Clear 0 604.62 92.172 6
2025-08-06 18:04:16.298000 6.504 5.45381 Clear 0 604.392 92.139 6
2025-08-06 18:04:16.398000 6.394 5.34252 Clear 0 604.165 92.107 6
2025-08-06 18:04:16.498000 6.467 5.41505 Clear 0 603.938 92.074 6
2025-08-06 18:04:16.598000 6.405 5.35133 Clear 0 603.712 92.042 6
2025-08-06 18:04:16.698000 6.402 5.34687 Clear 0 603.487 92.009 6
2025-08-06 18:04:16.798000 6.454 5.39726 Clear 0 603.262 91.977 6
2025-08-06 18:04:16.898000 6.506 5.44843 Clear 0 603.038 91.944 6
2025-08-06 18:04:16.998000 6.39 5.32973 Clear 0 602.815 91.912 6
2025-08-06 18:04:17.098000 6.427 5.36633 Clear 0 602.592 91.879 6
2025-08-06 18:04:17.198000 6.36 5.29667 Clear 0 602.37 91.846 6
2025-08-06 18:04:17.298000 6.425 5.36095 Clear 0 602.149 91.814 6
2025-08-06 18:04:17.398000 6.455 5.38953 Clear 0 601.929 91.781 6
2025-08-06 18:04:17.498000 6.399 5.33197 Clear 0 601.709 91.748 6
2025-08-06 18:04:17.598000 6.486 5.41804 Clear 0 601.49 91.716 6
2025-08-06 18:04:17.698000 6.44 5.37039 Clear 0 601.272 91.683 6
2025-08-06 18:04:17.798000 6.402 5.3314 Clear 0 601.054 91.65 6
2025-08-06 18:04:17.898000 6.473 5.40018 Clear 0 600.837 91.617 6
2025-08-06 18:04:17.998000 6.405 5.33112 Clear 0 600.621 91.585 6
2025-08-06 18:04:18.098000 6.499 5.42392 Clear 0 600.405 91.552 6
2025-08-06 18:04:18.198000 6.452 5.37503 Clear 0 600.191 91.519 6
2025-08-06 18:04:18.298000 6.491 5.41291 Clear 0 599.977 91.486 6
2025-08-06 18:04:18.398000 6.389 5.30868 Clear 0 599.763 91.453 6
2025-08-06 18:04:18.498000 6.541 5.46033 Clear 0 599.551 91.42 6
2025-08-06 18:04:18.598000 6.397 5.31448 Clear 0 599.339 91.387 6
2025-08-06 18:04:18.698000 6.412 5.32791 Clear 0 599.128 91.354 6
2025-08-06 18:04:18.798000 6.368 5.28316 Clear 0 598.917 91.321 6
2025-08-06 18:04:18.898000 6.417 5.32949 Clear 0 598.708 91.288 6
2025-08-06 18:04:18.998000 6.443 5.35538 Clear 0 598.499 91.255 6
2025-08-06 18:04:19.098000 6.488 5.39854 Clear 0 598.29 91.222 6
2025-08-06 18:04:19.198000 6.37 5.27906 Clear 0 598.083 91.189 6
2025-08-06 18:04:19.298000 6.407 5.31478 Clear 0 597.876 91.156 6
2025-08-06 18:04:19.398000 6.441 5.34732 Clear 0 597.67 91.123 6
2025-08-06 18:04:19.498000 6.419 5.32394 Clear 0 597.464 91.09 6
2025-08-06 18:04:19.598000 6.441 5.34524 Clear 0 597.26 91.057 6
2025-08-06 18:04:19.698000 6.386 5.28747 Clear 0 597.056 91.023 6
2025-08-06 18:04:19.798000 6.31 5.21094 Clear 0 596.852 90.99 6
2025-08-06 18:04:19.898000 6.317 5.21587 Clear 0 596.65 90.957 6
2025-08-06 18:04:19.998000 6.514 5.41223 Clear 0 596.448 90.924 6
2025-08-06 18:04:20.098000 6.367 5.26366 Clear 0 596.247 90.89 6
2025-08-06 18:04:20.198000 6.467 5.3618 Clear 0 596.047 90.857 6
2025-08-06 18:04:20.298000 6.505 5.39859 Clear 0 595.847 90.824 6
2025-08-06 18:04:20.398000 6.428 5.32068 Clear 0 595.648 90.791 6
2025-08-06 18:04:20.498000 6.462 5.35263 Clear 0 595.45 90.757 6
2025-08-06 18:04:20.598000 6.534 5.42415 Clear 0 595.253 90.724 6
2025-08-06 18:04:20.698000 6.384 5.27322 Clear 0 595.056 90.69 6
2025-08-06 18:04:20.798000 6.397 5.28411 Clear 0 594.86 90.657 6
2025-08-06 18:04:20.898000 6.446 5.33202 Clear 0 594.665 90.624 6
2025-08-06 18:04:20.998000 6.453 5.33657 Clear 0 594.471 90.59 6
2025-08-06 18:04:21.098000 6.439 5.32157 Clear 0 594.277 90.557 6
2025-08-06 18:04:21.198000 6.415 5.29733 Clear 0 594.084 90.523 6
2025-08-06 18:04:21.298000 6.377 5.25735 Clear 0 593.892 90.49 6
2025-08-06 18:04:21.398000 6.368 5.24668 Clear 0 593.7 90.456 6
2025-08-06 18:04:21.498000 6.442 5.32024 Clear 0 593.51 90.422 6
2025-08-06 18:04:21.598000 6.497 5.37264 Clear 0 593.319 90.389 6
2025-08-06 18:04:21.698000 6.379 5.25389 Clear 0 593.13 90.355 6
2025-08-06 18:04:21.798000 6.367 5.2409 Clear 0 592.942 90.322 6
2025-08-06 18:04:21.898000 6.348 5.22002 Clear 0 592.754 90.288 6
2025-08-06 18:04:21.998000 6.392 5.26261 Clear 0 592.567 90.254 6
2025-08-06 18:04:22.098000 6.316 5.18641 Clear 0 592.38 90.221 6
2025-08-06 18:04:22.198000 6.364 5.23168 Clear 0 592.195 90.187 6
2025-08-06 18:04:22.298000 6.428 5.29482 Clear 0 592.01 90.153 6
2025-08-06 18:04:22.398000 6.464 5.32975 Clear 0 591.826 90.119 6
2025-08-06 18:04:22.498000 6.379 5.24245 Clear 0 591.643 90.086 6
2025-08-06 18:04:22.598000 6.446 5.30926 Clear 0 591.46 90.052 6
2025-08-06 18:04:22.698000 6.393 5.25517 Clear 0 591.278 90.018 6
2025-08-06 18:04:22.798000 6.479 5.34006 Clear 0 591.097 89.984 6
2025-08-06 18:04:22.898000 6.457 5.3164 Clear 0 590.917 89.95 6
2025-08-06 18:04:22.998000 6.416 5.27373 Clear 0 590.737 89.917 6
2025-08-06 18:04:23.098000 6.437 5.29366 Clear 0 590.558 89.883 6
2025-08-06 18:04:23.198000 6.396 5.25107 Clear 0 590.38 89.849 6
2025-08-06 18:04:23.298000 6.458 5.3115 Clear 0 590.203 89.815 6
2025-08-06 18:04:23.398000 6.433 5.28617 Clear 0 590.026 89.781 6
