# satellite: 59344 CZ-6A R/B / PRC
# catalogue: 1 NORAD
# track: 30468632
# variability: 2 Periodic
# variability_period: 23.8526226
# npoints: 916
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-12-25 15:10:43.495000 4.647 4.46761 Clear 0 970.988 83.414 2
2024-12-25 15:10:43.595000 4.764 4.58351 Clear 0 970.623 83.408 2
2024-12-25 15:10:43.695000 4.811 4.63022 Clear 0 970.259 83.402 2
2024-12-25 15:10:43.795000 4.865 4.68272 Clear 0 969.895 83.396 2
2024-12-25 15:10:43.895000 4.89 4.70692 Clear 0 969.531 83.39 2
2024-12-25 15:10:43.995000 4.943 4.7591 Clear 0 969.168 83.384 2
2024-12-25 15:10:44.095000 5.004 4.81869 Clear 0 968.806 83.378 2
2024-12-25 15:10:44.195000 5.072 4.88643 Clear 0 968.443 83.372 2
2024-12-25 15:10:44.295000 5.123 4.93639 Clear 0 968.081 83.366 2
2024-12-25 15:10:44.395000 5.169 4.98232 Clear 0 967.72 83.36 2
2024-12-25 15:10:44.495000 5.237 5.04887 Clear 0 967.359 83.354 2
2024-12-25 15:10:44.595000 5.221 5.03166 Clear 0 966.998 83.348 2
2024-12-25 15:10:44.695000 5.261 5.07097 Clear 0 966.637 83.342 2
2024-12-25 15:10:44.795000 5.404 5.21246 Clear 0 966.277 83.336 2
2024-12-25 15:10:44.895000 5.45 5.25745 Clear 0 965.918 83.33 2
2024-12-25 15:10:44.995000 5.491 5.29814 Clear 0 965.558 83.324 2
2024-12-25 15:10:45.095000 5.469 5.27544 Clear 0 965.2 83.318 2
2024-12-25 15:10:45.195000 5.576 5.38086 Clear 0 964.841 83.312 2
2024-12-25 15:10:45.295000 5.542 5.34568 Clear 0 964.483 83.306 2
2024-12-25 15:10:45.395000 5.539 5.3422 Clear 0 964.125 83.3 2
2024-12-25 15:10:45.495000 5.579 5.38223 Clear 0 963.768 83.294 2
2024-12-25 15:10:45.595000 5.627 5.42875 Clear 0 963.411 83.288 2
2024-12-25 15:10:45.695000 5.634 5.43518 Clear 0 963.054 83.282 2
2024-12-25 15:10:45.795000 5.496 5.29608 Clear 0 962.698 83.276 2
2024-12-25 15:10:45.895000 5.475 5.27373 Clear 0 962.342 83.27 2
2024-12-25 15:10:45.995000 5.446 5.24432 Clear 0 961.987 83.264 2
2024-12-25 15:10:46.095000 5.417 5.21441 Clear 0 961.632 83.258 2
2024-12-25 15:10:46.195000 5.463 5.25859 Clear 0 961.277 83.252 2
2024-12-25 15:10:46.295000 5.537 5.33177 Clear 0 960.923 83.246 2
2024-12-25 15:10:46.395000 5.455 5.24943 Clear 0 960.569 83.24 2
2024-12-25 15:10:46.495000 5.483 5.27604 Clear 0 960.216 83.234 2
2024-12-25 15:10:46.595000 5.482 5.27491 Clear 0 959.862 83.228 2
2024-12-25 15:10:46.695000 5.507 5.29941 Clear 0 959.51 83.222 2
2024-12-25 15:10:46.795000 5.341 5.13237 Clear 0 959.157 83.216 2
2024-12-25 15:10:46.895000 5.415 5.20461 Clear 0 958.806 83.21 2
2024-12-25 15:10:46.995000 5.416 5.20468 Clear 0 958.454 83.204 2
2024-12-25 15:10:47.095000 5.457 5.24452 Clear 0 958.103 83.198 2
2024-12-25 15:10:47.195000 5.527 5.31426 Clear 0 957.752 83.192 2
2024-12-25 15:10:47.295000 5.394 5.17984 Clear 0 957.402 83.186 2
2024-12-25 15:10:47.395000 5.357 5.14238 Clear 0 957.052 83.18 2
2024-12-25 15:10:47.495000 5.277 5.06172 Clear 0 956.702 83.174 2
2024-12-25 15:10:47.595000 5.384 5.16755 Clear 0 956.353 83.168 2
2024-12-25 15:10:47.695000 5.339 5.12182 Clear 0 956.004 83.162 2
2024-12-25 15:10:47.795000 5.248 5.02949 Clear 0 955.656 83.156 2
2024-12-25 15:10:47.895000 5.351 5.13171 Clear 0 955.308 83.15 2
2024-12-25 15:10:47.995000 5.34 5.11993 Clear 0 954.96 83.144 2
