# satellite: 59344 CZ-6A R/B / PRC
# catalogue: 1 NORAD
# track: 33956952
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 387
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2026-02-04 15:59:14.291000 5.771 5.70573 Clear 0 976.098 89.191 7
2026-02-04 15:59:14.391000 5.851 5.78503 Clear 0 975.801 89.194 7
2026-02-04 15:59:14.491000 5.763 5.69708 Clear 0 975.504 89.198 7
2026-02-04 15:59:14.591000 5.763 5.69622 Clear 0 975.207 89.201 7
2026-02-04 15:59:14.691000 5.872 5.80428 Clear 0 974.911 89.205 7
2026-02-04 15:59:14.791000 5.793 5.72481 Clear 0 974.615 89.209 7
2026-02-04 15:59:14.891000 5.742 5.67318 Clear 0 974.319 89.212 7
2026-02-04 15:59:14.991000 5.812 5.7428 Clear 0 974.024 89.216 7
2026-02-04 15:59:15.091000 5.648 5.57798 Clear 0 973.729 89.22 7
2026-02-04 15:59:15.191000 5.735 5.66356 Clear 0 973.435 89.223 7
2026-02-04 15:59:15.291000 5.766 5.69515 Clear 0 973.141 89.227 7
2026-02-04 15:59:15.391000 5.736 5.66431 Clear 0 972.848 89.231 7
2026-02-04 15:59:15.491000 5.83 5.7579 Clear 0 972.555 89.234 7
2026-02-04 15:59:15.591000 5.751 5.67844 Clear 0 972.262 89.238 7
2026-02-04 15:59:15.691000 5.734 5.66101 Clear 0 971.97 89.242 7
2026-02-04 15:59:15.791000 5.709 5.63449 Clear 0 971.678 89.245 7
2026-02-04 15:59:15.891000 5.766 5.69099 Clear 0 971.387 89.249 7
2026-02-04 15:59:15.991000 5.896 5.82045 Clear 0 971.096 89.253 7
2026-02-04 15:59:16.091000 5.655 5.57872 Clear 0 970.806 89.256 7
2026-02-04 15:59:16.191000 5.858 5.78184 Clear 0 970.516 89.26 7
2026-02-04 15:59:16.291000 5.854 5.77655 Clear 0 970.226 89.264 7
2026-02-04 15:59:16.391000 5.656 5.57773 Clear 0 969.937 89.267 7
2026-02-04 15:59:16.491000 5.73 5.6517 Clear 0 969.648 89.271 7
2026-02-04 15:59:16.591000 5.766 5.687 Clear 0 969.36 89.275 7
2026-02-04 15:59:16.691000 5.797 5.71766 Clear 0 969.072 89.278 7
2026-02-04 15:59:16.791000 5.833 5.75344 Clear 0 968.784 89.282 7
2026-02-04 15:59:16.891000 5.712 5.63241 Clear 0 968.497 89.286 7
2026-02-04 15:59:16.991000 5.75 5.66872 Clear 0 968.211 89.29 7
2026-02-04 15:59:17.091000 5.723 5.64079 Clear 0 967.924 89.293 7
2026-02-04 15:59:17.191000 5.748 5.66553 Clear 0 967.639 89.297 7
2026-02-04 15:59:17.291000 5.7 5.61717 Clear 0 967.353 89.301 7
2026-02-04 15:59:17.391000 5.85 5.76686 Clear 0 967.068 89.304 7
2026-02-04 15:59:17.491000 5.762 5.67796 Clear 0 966.784 89.308 7
2026-02-04 15:59:17.591000 5.782 5.69815 Clear 0 966.5 89.312 7
2026-02-04 15:59:17.691000 5.914 5.82921 Clear 0 966.216 89.316 7
2026-02-04 15:59:17.791000 5.759 5.67282 Clear 0 965.933 89.319 7
2026-02-04 15:59:17.891000 5.922 5.83612 Clear 0 965.65 89.323 7
2026-02-04 15:59:17.991000 5.683 5.59621 Clear 0 965.368 89.327 7
2026-02-04 15:59:18.091000 5.774 5.68737 Clear 0 965.086 89.331 7
2026-02-04 15:59:18.191000 5.868 5.77965 Clear 0 964.804 89.334 7
2026-02-04 15:59:18.291000 5.647 5.55921 Clear 0 964.523 89.338 7
2026-02-04 15:59:18.391000 5.876 5.78719 Clear 0 964.242 89.342 7
2026-02-04 15:59:18.491000 5.754 5.66508 Clear 0 963.962 89.346 7
2026-02-04 15:59:18.591000 5.719 5.62923 Clear 0 963.682 89.35 7
2026-02-04 15:59:18.691000 5.746 5.65502 Clear 0 963.403 89.353 7
2026-02-04 15:59:18.791000 5.853 5.76197 Clear 0 963.124 89.357 7
2026-02-04 15:59:18.891000 5.8 5.70779 Clear 0 962.845 89.361 7
2026-02-04 15:59:18.991000 5.961 5.86878 Clear 0 962.567 89.365 7
2026-02-04 15:59:19.091000 5.951 5.85799 Clear 0 962.29 89.368 7
2026-02-04 15:59:19.191000 5.779 5.68547 Clear 0 962.013 89.372 7
2026-02-04 15:59:19.291000 5.742 5.64752 Clear 0 961.736 89.376 7
2026-02-04 15:59:19.391000 5.789 5.69488 Clear 0 961.459 89.38 7
2026-02-04 15:59:19.491000 5.988 5.89332 Clear 0 961.183 89.384 7
2026-02-04 15:59:19.591000 5.663 5.56654 Clear 0 960.908 89.387 7
2026-02-04 15:59:19.691000 5.862 5.76616 Clear 0 960.633 89.391 7
2026-02-04 15:59:19.791000 5.911 5.81418 Clear 0 960.358 89.395 7
2026-02-04 15:59:19.891000 5.748 5.65053 Clear 0 960.084 89.399 7
2026-02-04 15:59:19.991000 5.929 5.83129 Clear 0 959.81 89.403 7
2026-02-04 15:59:20.091000 5.792 5.69382 Clear 0 959.537 89.407 7
2026-02-04 15:59:20.191000 5.903 5.80379 Clear 0 959.264 89.41 7
2026-02-04 15:59:20.291000 5.725 5.62608 Clear 0 958.992 89.414 7
2026-02-04 15:59:20.391000 5.777 5.67692 Clear 0 958.72 89.418 7
2026-02-04 15:59:20.491000 5.821 5.72052 Clear 0 958.448 89.422 7
2026-02-04 15:59:20.591000 5.905 5.80352 Clear 0 958.177 89.426 7
2026-02-04 15:59:20.691000 5.864 5.76216 Clear 0 957.907 89.43 7
2026-02-04 15:59:20.791000 5.732 5.62963 Clear 0 957.636 89.433 7
2026-02-04 15:59:20.891000 5.79 5.68662 Clear 0 957.367 89.437 7
2026-02-04 15:59:20.991000 5.796 5.69284 Clear 0 957.097 89.441 7
2026-02-04 15:59:21.091000 5.801 5.69711 Clear 0 956.828 89.445 7
2026-02-04 15:59:21.191000 5.751 5.64694 Clear 0 956.56 89.449 7
2026-02-04 15:59:21.291000 5.854 5.74869 Clear 0 956.292 89.453 7
2026-02-04 15:59:21.391000 5.8 5.695 Clear 0 956.024 89.457 7
2026-02-04 15:59:21.491000 5.746 5.64025 Clear 0 955.757 89.461 7
2026-02-04 15:59:21.591000 5.773 5.66663 Clear 0 955.49 89.464 7
2026-02-04 15:59:21.691000 5.68 5.57319 Clear 0 955.224 89.468 7
2026-02-04 15:59:21.791000 5.821 5.71438 Clear 0 954.958 89.472 7
2026-02-04 15:59:21.891000 5.91 5.80217 Clear 0 954.693 89.476 7
2026-02-04 15:59:21.991000 5.838 5.72885 Clear 0 954.428 89.48 7
2026-02-04 15:59:22.091000 5.845 5.73582 Clear 0 954.163 89.484 7
2026-02-04 15:59:22.191000 5.767 5.65684 Clear 0 953.899 89.488 7
2026-02-04 15:59:22.291000 5.811 5.70081 Clear 0 953.636 89.492 7
2026-02-04 15:59:22.391000 5.765 5.65443 Clear 0 953.373 89.496 7
2026-02-04 15:59:22.491000 5.764 5.6534 Clear 0 953.11 89.5 7
2026-02-04 15:59:22.591000 5.779 5.66701 Clear 0 952.848 89.503 7
2026-02-04 15:59:22.691000 5.73 5.61773 Clear 0 952.586 89.507 7
2026-02-04 15:59:22.791000 5.614 5.50062 Clear 0 952.324 89.511 7
2026-02-04 15:59:22.891000 5.666 5.5531 Clear 0 952.064 89.515 7
2026-02-04 15:59:22.991000 5.713 5.59931 Clear 0 951.803 89.519 7
2026-02-04 15:59:23.091000 5.845 5.7308 Clear 0 951.543 89.523 7
2026-02-04 15:59:23.191000 5.812 5.6969 Clear 0 951.283 89.527 7
2026-02-04 15:59:23.291000 5.721 5.60623 Clear 0 951.024 89.531 7
2026-02-04 15:59:23.391000 5.764 5.64749 Clear 0 950.766 89.535 7
2026-02-04 15:59:23.491000 5.734 5.61761 Clear 0 950.507 89.539 7
2026-02-04 15:59:23.591000 5.734 5.61702 Clear 0 950.25 89.543 7
2026-02-04 15:59:23.691000 5.776 5.65899 Clear 0 949.992 89.547 7
2026-02-04 15:59:23.791000 5.856 5.73747 Clear 0 949.735 89.551 7
2026-02-04 15:59:23.891000 5.825 5.7065 Clear 0 949.479 89.555 7
2026-02-04 15:59:23.991000 5.851 5.73213 Clear 0 949.223 89.559 7
2026-02-04 15:59:24.091000 5.795 5.67623 Clear 0 948.967 89.563 7
2026-02-04 15:59:24.191000 5.87 5.74965 Clear 0 948.712 89.567 7
2026-02-04 15:59:24.291000 5.765 5.64522 Clear 0 948.458 89.571 7
2026-02-04 15:59:24.391000 5.789 5.66785 Clear 0 948.204 89.575 7
2026-02-04 15:59:24.491000 5.74 5.61943 Clear 0 947.95 89.579 7
