# satellite: 60385 QIANFAN-7 / PRC
# catalogue: 1 NORAD
# track: 30259837
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 588
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-12-03 14:53:27.296000 6.978 7.23859 Clear 0 1115.187 91.125 7
2024-12-03 14:53:27.396000 7.008 7.26833 Clear 0 1114.708 91.114 7
2024-12-03 14:53:27.496000 6.94 7.1987 Clear 0 1114.23 91.103 7
2024-12-03 14:53:27.596000 7.01 7.26728 Clear 0 1113.752 91.092 7
2024-12-03 14:53:27.696000 6.953 7.20879 Clear 0 1113.275 91.081 7
2024-12-03 14:53:27.796000 6.948 7.20281 Clear 0 1112.797 91.07 7
2024-12-03 14:53:27.896000 6.915 7.16845 Clear 0 1112.32 91.059 7
2024-12-03 14:53:27.996000 6.844 7.09714 Clear 0 1111.843 91.048 7
2024-12-03 14:53:28.096000 7.03 7.28229 Clear 0 1111.367 91.037 7
2024-12-03 14:53:28.196000 7.0 7.25084 Clear 0 1110.89 91.026 7
2024-12-03 14:53:28.296000 6.987 7.23639 Clear 0 1110.414 91.015 7
2024-12-03 14:53:28.396000 6.871 7.11925 Clear 0 1109.938 91.004 7
2024-12-03 14:53:28.496000 6.948 7.19447 Clear 0 1109.462 90.993 7
2024-12-03 14:53:28.596000 7.017 7.26307 Clear 0 1108.987 90.982 7
2024-12-03 14:53:28.696000 6.812 7.05682 Clear 0 1108.511 90.971 7
2024-12-03 14:53:28.796000 6.948 7.1918 Clear 0 1108.036 90.96 7
2024-12-03 14:53:28.896000 6.99 7.23259 Clear 0 1107.562 90.949 7
2024-12-03 14:53:28.996000 6.987 7.2275 Clear 0 1107.087 90.938 7
2024-12-03 14:53:29.096000 6.925 7.16515 Clear 0 1106.613 90.927 7
2024-12-03 14:53:29.196000 6.889 7.12783 Clear 0 1106.139 90.916 7
2024-12-03 14:53:29.296000 6.895 7.13287 Clear 0 1105.665 90.905 7
2024-12-03 14:53:29.396000 6.936 7.17258 Clear 0 1105.191 90.893 7
2024-12-03 14:53:29.496000 7.127 7.36311 Clear 0 1104.718 90.882 7
2024-12-03 14:53:29.596000 7.028 7.26322 Clear 0 1104.245 90.871 7
2024-12-03 14:53:29.696000 6.915 7.14788 Clear 0 1103.772 90.86 7
2024-12-03 14:53:29.796000 7.001 7.23318 Clear 0 1103.299 90.849 7
2024-12-03 14:53:29.896000 6.914 7.14478 Clear 0 1102.827 90.838 7
