# satellite: 60385 QIANFAN-7 / PRC
# catalogue: 1 NORAD
# track: 35323456
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 958
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2026-07-03 20:34:20.192000 6.328 5.71242 Clear 0 814.994 79.983 7
2026-07-03 20:34:20.292000 6.29 5.67491 Clear 0 815.129 80.033 7
2026-07-03 20:34:20.392000 6.193 5.57958 Clear 0 815.264 80.083 7
2026-07-03 20:34:20.492000 6.29 5.67775 Clear 0 815.399 80.134 7
2026-07-03 20:34:20.592000 6.198 5.58655 Clear 0 815.536 80.184 7
2026-07-03 20:34:20.692000 6.281 5.6711 Clear 0 815.672 80.235 7
2026-07-03 20:34:20.792000 6.246 5.63726 Clear 0 815.81 80.285 7
2026-07-03 20:34:20.892000 6.211 5.60278 Clear 0 815.948 80.335 7
2026-07-03 20:34:20.992000 6.161 5.55453 Clear 0 816.086 80.386 7
2026-07-03 20:34:21.091000 6.271 5.66608 Clear 0 816.224 80.435 7
2026-07-03 20:34:21.191000 6.213 5.60915 Clear 0 816.364 80.486 7
2026-07-03 20:34:21.291000 6.282 5.67891 Clear 0 816.504 80.536 7
2026-07-03 20:34:21.391000 6.243 5.6408 Clear 0 816.645 80.586 7
2026-07-03 20:34:21.491000 6.269 5.66834 Clear 0 816.787 80.636 7
2026-07-03 20:34:21.591000 6.197 5.59758 Clear 0 816.929 80.687 7
2026-07-03 20:34:21.691000 6.277 5.67914 Clear 0 817.071 80.737 7
2026-07-03 20:34:21.791000 6.251 5.65434 Clear 0 817.215 80.787 7
2026-07-03 20:34:21.891000 6.317 5.72074 Clear 0 817.358 80.837 7
2026-07-03 20:34:21.991000 6.294 5.69936 Clear 0 817.503 80.887 7
2026-07-03 20:34:22.091000 6.323 5.72962 Clear 0 817.648 80.938 7
2026-07-03 20:34:22.291000 6.277 5.68612 Clear 0 817.939 81.038 7
2026-07-03 20:34:22.391000 6.315 5.72485 Clear 0 818.086 81.088 7
2026-07-03 20:34:22.491000 6.215 5.62598 Clear 0 818.233 81.138 7
2026-07-03 20:34:22.591000 6.236 5.64904 Clear 0 818.381 81.188 7
2026-07-03 20:34:22.691000 6.241 5.65541 Clear 0 818.53 81.238 7
2026-07-03 20:34:22.791000 6.336 5.75063 Clear 0 818.679 81.288 7
2026-07-03 20:34:22.891000 6.193 5.60897 Clear 0 818.828 81.338 7
2026-07-03 20:34:22.991000 6.21 5.62708 Clear 0 818.979 81.388 7
2026-07-03 20:34:23.091000 6.111 5.5297 Clear 0 819.129 81.438 7
2026-07-03 20:34:23.191000 6.082 5.50222 Clear 0 819.281 81.488 7
2026-07-03 20:34:23.291000 6.171 5.59243 Clear 0 819.432 81.538 7
2026-07-03 20:34:23.391000 6.12 5.54241 Clear 0 819.585 81.588 7
2026-07-03 20:34:23.491000 6.109 5.53343 Clear 0 819.738 81.638 7
2026-07-03 20:34:23.591000 6.168 5.5932 Clear 0 819.892 81.688 7
2026-07-03 20:34:23.691000 6.12 5.54592 Clear 0 820.046 81.738 7
