# satellite: 62486 CZ-3B R/B / PRC
# catalogue: 1 NORAD
# track: 34319038
# variability: 2 Periodic
# variability_period: 10.6039395
# npoints: 1554
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2026-04-25 20:50:01.395000 3.647 9.33644 Clear 0 18424.878 36.449 7
2026-04-25 20:50:01.495000 3.603 9.29208 Clear 0 18424.907 36.449 7
2026-04-25 20:50:01.595000 3.544 9.23272 Clear 0 18424.935 36.449 7
2026-04-25 20:50:01.795000 3.611 9.29963 Clear 0 18424.992 36.449 7
2026-04-25 20:50:01.895000 3.642 9.33123 Clear 0 18425.02 36.449 7
2026-04-25 20:50:01.995000 3.559 9.24786 Clear 0 18425.048 36.449 7
2026-04-25 20:50:02.095000 3.44 9.12866 Clear 0 18425.077 36.45 7
2026-04-25 20:50:02.195000 3.367 9.05567 Clear 0 18425.105 36.45 7
2026-04-25 20:50:02.295000 3.252 8.94094 Clear 0 18425.133 36.45 7
2026-04-25 20:50:02.395000 3.206 8.89476 Clear 0 18425.162 36.45 7
2026-04-25 20:50:02.495000 3.588 9.27662 Clear 0 18425.19 36.45 7
2026-04-25 20:50:02.595000 3.104 8.79257 Clear 0 18425.218 36.45 7
2026-04-25 20:50:02.695000 3.012 8.70065 Clear 0 18425.247 36.45 7
2026-04-25 20:50:02.795000 3.33 9.01914 Clear 0 18425.275 36.45 7
2026-04-25 20:50:02.895000 3.11 8.79944 Clear 0 18425.303 36.45 7
2026-04-25 20:50:02.995000 3.324 9.01332 Clear 0 18425.332 36.45 7
2026-04-25 20:50:03.095000 3.04 8.72861 Clear 0 18425.36 36.45 7
2026-04-25 20:50:03.195000 2.993 8.6824 Clear 0 18425.388 36.45 7
2026-04-25 20:50:03.295000 2.884 8.5733 Clear 0 18425.416 36.45 7
2026-04-25 20:50:03.395000 3.057 8.74563 Clear 0 18425.445 36.45 7
2026-04-25 20:50:03.495000 2.873 8.56216 Clear 0 18425.473 36.45 7
2026-04-25 20:50:03.595000 2.801 8.49041 Clear 0 18425.501 36.45 7
2026-04-25 20:50:03.695000 3.019 8.70745 Clear 0 18425.529 36.45 7
2026-04-25 20:50:03.795000 2.991 8.68002 Clear 0 18425.558 36.45 7
2026-04-25 20:50:03.895000 3.059 8.74816 Clear 0 18425.586 36.45 7
