# satellite: 8331 ATLAS CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 33652810
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 147
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-11-16 17:58:15.294000 5.383 9.23187 Clear 0 7604.885 47.668 7
2025-11-16 17:58:15.394000 5.267 9.11615 Clear 0 7605.323 47.665 7
2025-11-16 17:58:15.494000 5.609 9.45817 Clear 0 7605.762 47.662 7
2025-11-16 17:58:15.594000 5.27 9.11915 Clear 0 7606.2 47.659 7
2025-11-16 17:58:15.694000 4.809 8.65811 Clear 0 7606.639 47.655 7
2025-11-16 17:58:15.794000 5.066 8.9162 Clear 0 7607.077 47.652 7
2025-11-16 17:58:15.894000 4.777 8.6265 Clear 0 7607.516 47.649 7
2025-11-16 17:58:15.994000 5.018 8.86751 Clear 0 7607.954 47.645 7
2025-11-16 17:58:16.094000 4.521 8.37108 Clear 0 7608.393 47.642 7
2025-11-16 17:58:16.194000 3.241 7.09095 Clear 0 7608.832 47.639 7
2025-11-16 17:58:16.294000 2.416 6.26641 Clear 0 7609.27 47.635 7
2025-11-16 17:58:16.394000 1.546 5.39628 Clear 0 7609.709 47.632 7
2025-11-16 17:58:16.494000 2.169 6.01893 Clear 0 7610.147 47.629 7
2025-11-16 17:58:16.594000 3.725 7.57541 Clear 0 7610.586 47.625 7
2025-11-16 17:58:16.694000 4.816 8.66599 Clear 0 7611.025 47.622 7
2025-11-16 17:58:16.794000 4.93 8.77987 Clear 0 7611.463 47.619 7
2025-11-16 17:58:16.894000 5.071 8.92203 Clear 0 7611.902 47.616 7
2025-11-16 17:58:16.994000 5.355 9.20555 Clear 0 7612.34 47.612 7
2025-11-16 17:58:17.094000 5.038 8.88915 Clear 0 7612.779 47.609 7
2025-11-16 17:58:17.194000 5.503 9.35394 Clear 0 7613.218 47.606 7
2025-11-16 17:58:17.394000 5.458 9.30893 Clear 0 7614.095 47.599 7
2025-11-16 17:58:17.794000 5.262 9.11316 Clear 0 7615.85 47.586 7
2025-11-16 17:58:17.894000 5.01 8.86197 Clear 0 7616.289 47.583 7
2025-11-16 17:58:17.994000 5.696 9.54793 Clear 0 7616.727 47.579 7
2025-11-16 17:58:18.194000 5.39 9.24191 Clear 0 7617.605 47.573 7
2025-11-16 17:58:18.294000 5.523 9.37527 Clear 0 7618.043 47.569 7
2025-11-16 17:58:18.394000 5.496 9.34775 Clear 0 7618.482 47.566 7
2025-11-16 17:58:18.494000 5.285 9.13731 Clear 0 7618.921 47.563 7
2025-11-16 17:58:18.794000 5.344 9.19584 Clear 0 7620.237 47.553 7
2025-11-16 17:58:19.394000 5.806 9.65886 Clear 0 7622.87 47.533 7
2025-11-16 17:58:19.694000 5.408 9.26113 Clear 0 7624.187 47.523 7
2025-11-16 17:58:20.294000 5.32 9.17352 Clear 0 7626.82 47.504 7
2025-11-16 17:58:21.294000 5.865 9.72033 Clear 0 7631.21 47.471 7
2025-11-16 17:58:21.494000 5.334 9.18875 Clear 0 7632.088 47.464 7
2025-11-16 17:58:22.394000 6.161 10.017 Clear 0 7636.039 47.435 7
2025-11-16 17:58:22.994000 6.008 9.86456 Clear 0 7638.674 47.415 7
2025-11-16 17:58:23.894000 5.881 9.73801 Clear 0 7642.626 47.386 7
2025-11-16 17:58:23.994000 5.339 9.19739 Clear 0 7643.066 47.382 7
2025-11-16 17:58:24.394000 5.581 9.43912 Clear 0 7644.822 47.369 7
2025-11-16 17:58:24.494000 5.234 9.09213 Clear 0 7645.262 47.366 7
2025-11-16 17:58:24.594000 5.616 9.4735 Clear 0 7645.701 47.363 7
2025-11-16 17:58:24.894000 5.412 9.27021 Clear 0 7647.019 47.353 7
2025-11-16 17:58:24.994000 5.477 9.33465 Clear 0 7647.458 47.35 7
2025-11-16 17:58:25.094000 5.285 9.14348 Clear 0 7647.897 47.346 7
2025-11-16 17:58:25.194000 4.909 8.76805 Clear 0 7648.337 47.343 7
2025-11-16 17:58:25.294000 5.127 8.98633 Clear 0 7648.776 47.34 7
2025-11-16 17:58:25.394000 4.889 8.74781 Clear 0 7649.215 47.336 7
2025-11-16 17:58:25.493000 4.818 8.67711 Clear 0 7649.65 47.333 7
2025-11-16 17:58:25.593000 4.267 8.12558 Clear 0 7650.09 47.33 7
2025-11-16 17:58:25.693000 3.71 7.56846 Clear 0 7650.529 47.327 7
2025-11-16 17:58:25.793000 2.769 6.62782 Clear 0 7650.968 47.323 7
2025-11-16 17:58:25.893000 2.163 6.02187 Clear 0 7651.408 47.32 7
