# satellite: 85430 NoName / 
# catalogue: 1 NORAD
# track: 17242503
# variability: 2 Periodic
# variability_period: 1.194047428
# npoints: 476
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-01-20 15:49:47.291000 6.043 7.27758 Clear 0 1305.993 116.876 9
2020-01-20 15:49:47.391000 5.847 7.0814 Clear 0 1305.8 116.854 9
2020-01-20 15:49:47.491000 5.188 6.42122 Clear 0 1305.608 116.832 9
2020-01-20 15:49:47.591000 4.427 5.65937 Clear 0 1305.416 116.81 9
2020-01-20 15:49:47.691000 5.804 7.03485 Clear 0 1305.224 116.788 9
2020-01-20 15:49:47.791000 6.327 7.5572 Clear 0 1305.033 116.767 9
2020-01-20 15:49:47.891000 6.403 7.63186 Clear 0 1304.842 116.745 9
2020-01-20 15:49:47.991000 6.109 7.33806 Clear 0 1304.651 116.723 9
2020-01-20 15:49:48.091000 6.042 7.27041 Clear 0 1304.461 116.701 9
2020-01-20 15:49:48.191000 5.528 6.75509 Clear 0 1304.271 116.679 9
2020-01-20 15:49:48.291000 5.8 7.0261 Clear 0 1304.081 116.657 9
2020-01-20 15:49:48.391000 5.874 7.09917 Clear 0 1303.891 116.636 9
2020-01-20 15:49:48.491000 5.918 7.14193 Clear 0 1303.702 116.614 9
2020-01-20 15:49:48.591000 5.543 6.76638 Clear 0 1303.513 116.592 9
2020-01-20 15:49:48.691000 5.036 6.25819 Clear 0 1303.325 116.57 9
2020-01-20 15:49:48.791000 4.441 5.66226 Clear 0 1303.136 116.548 9
2020-01-20 15:49:48.891000 5.834 7.05444 Clear 0 1302.948 116.526 9
2020-01-20 15:49:48.991000 6.329 7.54808 Clear 0 1302.761 116.504 9
2020-01-20 15:49:49.091000 6.518 7.73634 Clear 0 1302.574 116.482 9
2020-01-20 15:49:49.191000 6.103 7.3204 Clear 0 1302.387 116.46 9
2020-01-20 15:49:49.291000 6.001 7.21695 Clear 0 1302.2 116.438 9
2020-01-20 15:49:49.391000 5.541 6.75607 Clear 0 1302.014 116.416 9
2020-01-20 15:49:49.491000 5.888 7.10176 Clear 0 1301.828 116.395 9
2020-01-20 15:49:49.591000 5.904 7.1167 Clear 0 1301.642 116.373 9
2020-01-20 15:49:49.691000 5.975 7.18724 Clear 0 1301.456 116.351 9
2020-01-20 15:49:49.791000 5.686 6.89744 Clear 0 1301.271 116.329 9
2020-01-20 15:49:49.891000 4.703 5.91301 Clear 0 1301.086 116.307 9
2020-01-20 15:49:49.991000 4.502 5.71062 Clear 0 1300.902 116.285 9
2020-01-20 15:49:50.091000 5.982 7.18994 Clear 0 1300.718 116.263 9
2020-01-20 15:49:50.191000 6.17 7.37707 Clear 0 1300.534 116.241 9
2020-01-20 15:49:50.291000 6.472 7.6778 Clear 0 1300.351 116.219 9
2020-01-20 15:49:50.391000 6.051 7.2556 Clear 0 1300.167 116.197 9
2020-01-20 15:49:50.491000 5.988 7.19208 Clear 0 1299.984 116.175 9
2020-01-20 15:49:50.591000 5.506 6.70938 Clear 0 1299.802 116.153 9
2020-01-20 15:49:50.691000 5.801 7.00283 Clear 0 1299.62 116.13 9
2020-01-20 15:49:50.791000 5.78 6.98069 Clear 0 1299.438 116.108 9
2020-01-20 15:49:50.891000 5.736 6.93577 Clear 0 1299.256 116.086 9
2020-01-20 15:49:50.991000 5.332 6.5307 Clear 0 1299.075 116.064 9
2020-01-20 15:49:51.091000 4.558 5.75548 Clear 0 1298.894 116.042 9
2020-01-20 15:49:51.191000 4.537 5.73425 Clear 0 1298.713 116.02 9
2020-01-20 15:49:51.291000 6.0 7.19626 Clear 0 1298.533 115.998 9
2020-01-20 15:49:51.391000 6.43 7.62454 Clear 0 1298.353 115.976 9
2020-01-20 15:49:51.491000 6.437 7.63096 Clear 0 1298.173 115.954 9
2020-01-20 15:49:51.591000 6.369 7.56206 Clear 0 1297.993 115.932 9
2020-01-20 15:49:51.691000 5.914 7.1059 Clear 0 1297.814 115.91 9
2020-01-20 15:49:51.791000 5.569 6.75978 Clear 0 1297.636 115.887 9
2020-01-20 15:49:51.891000 5.831 7.02116 Clear 0 1297.457 115.865 9
2020-01-20 15:49:51.991000 5.863 7.05241 Clear 0 1297.279 115.843 9
2020-01-20 15:49:52.091000 5.793 6.98078 Clear 0 1297.101 115.821 9
2020-01-20 15:49:52.191000 5.533 6.7202 Clear 0 1296.924 115.799 9
2020-01-20 15:49:52.291000 4.349 5.53506 Clear 0 1296.746 115.777 9
2020-01-20 15:49:52.391000 4.664 5.85031 Clear 0 1296.57 115.754 9
2020-01-20 15:49:52.491000 5.93 7.11523 Clear 0 1296.393 115.732 9
2020-01-20 15:49:52.591000 6.315 7.49862 Clear 0 1296.217 115.71 9
2020-01-20 15:49:52.691000 6.435 7.61749 Clear 0 1296.041 115.688 9
2020-01-20 15:49:52.791000 6.025 7.20648 Clear 0 1295.865 115.666 9
2020-01-20 15:49:52.891000 5.935 7.11618 Clear 0 1295.69 115.643 9
2020-01-20 15:49:52.991000 5.577 6.75728 Clear 0 1295.515 115.621 9
2020-01-20 15:49:53.091000 5.837 7.01625 Clear 0 1295.34 115.599 9
2020-01-20 15:49:53.191000 5.643 6.82131 Clear 0 1295.166 115.577 9
2020-01-20 15:49:53.291000 5.631 6.80766 Clear 0 1294.992 115.554 9
2020-01-20 15:49:53.391000 5.308 6.48428 Clear 0 1294.818 115.532 9
2020-01-20 15:49:53.491000 4.215 5.39023 Clear 0 1294.645 115.51 9
2020-01-20 15:49:53.591000 4.841 6.01536 Clear 0 1294.472 115.488 9
2020-01-20 15:49:53.691000 6.04 7.21337 Clear 0 1294.299 115.465 9
2020-01-20 15:49:53.791000 6.395 7.56668 Clear 0 1294.127 115.443 9
2020-01-20 15:49:53.891000 6.363 7.53413 Clear 0 1293.955 115.421 9
2020-01-20 15:49:53.991000 6.17 7.34016 Clear 0 1293.783 115.398 9
2020-01-20 15:49:54.091000 5.86 7.02862 Clear 0 1293.611 115.376 9
2020-01-20 15:49:54.191000 5.473 6.64048 Clear 0 1293.44 115.354 9
2020-01-20 15:49:54.291000 5.905 7.07187 Clear 0 1293.27 115.331 9
2020-01-20 15:49:54.391000 5.63 6.79637 Clear 0 1293.099 115.309 9
2020-01-20 15:49:54.491000 5.755 6.92042 Clear 0 1292.929 115.287 9
2020-01-20 15:49:54.591000 5.323 6.48652 Clear 0 1292.759 115.264 9
2020-01-20 15:49:54.691000 4.075 5.23828 Clear 0 1292.589 115.242 9
2020-01-20 15:49:54.791000 5.041 6.20337 Clear 0 1292.42 115.22 9
2020-01-20 15:49:54.891000 6.029 7.19067 Clear 0 1292.251 115.197 9
2020-01-20 15:49:54.991000 6.292 7.45311 Clear 0 1292.083 115.175 9
2020-01-20 15:49:55.091000 6.341 7.50087 Clear 0 1291.915 115.152 9
2020-01-20 15:49:55.191000 6.081 7.23951 Clear 0 1291.747 115.13 9
2020-01-20 15:49:55.291000 5.931 7.0886 Clear 0 1291.579 115.108 9
2020-01-20 15:49:55.391000 5.484 6.64082 Clear 0 1291.412 115.085 9
2020-01-20 15:49:55.491000 5.734 6.89013 Clear 0 1291.245 115.063 9
2020-01-20 15:49:55.591000 5.642 6.79653 Clear 0 1291.078 115.04 9
2020-01-20 15:49:55.691000 5.506 6.65997 Clear 0 1290.912 115.018 9
2020-01-20 15:49:55.791000 5.08 6.23249 Clear 0 1290.746 114.995 9
2020-01-20 15:49:55.891000 4.12 5.27169 Clear 0 1290.58 114.973 9
2020-01-20 15:49:55.991000 5.158 6.30872 Clear 0 1290.415 114.951 9
2020-01-20 15:49:56.091000 6.117 7.26677 Clear 0 1290.25 114.928 9
2020-01-20 15:49:56.191000 6.467 7.61615 Clear 0 1290.085 114.906 9
2020-01-20 15:49:56.291000 6.436 7.58389 Clear 0 1289.921 114.883 9
2020-01-20 15:49:56.391000 6.264 7.4111 Clear 0 1289.757 114.861 9
2020-01-20 15:49:56.491000 5.944 7.09004 Clear 0 1289.593 114.838 9
2020-01-20 15:49:56.591000 5.588 6.73264 Clear 0 1289.43 114.816 9
2020-01-20 15:49:56.691000 5.825 6.96847 Clear 0 1289.267 114.793 9
2020-01-20 15:49:56.791000 5.686 6.8301 Clear 0 1289.104 114.771 9
2020-01-20 15:49:56.891000 5.609 6.75153 Clear 0 1288.941 114.748 9
2020-01-20 15:49:56.991000 5.072 6.21438 Clear 0 1288.779 114.725 9
2020-01-20 15:49:57.091000 4.084 5.22484 Clear 0 1288.618 114.703 9
2020-01-20 15:49:57.191000 5.252 6.39163 Clear 0 1288.456 114.68 9
2020-01-20 15:49:57.291000 6.133 7.27187 Clear 0 1288.295 114.658 9
2020-01-20 15:49:57.391000 6.368 7.50569 Clear 0 1288.134 114.635 9
2020-01-20 15:49:57.491000 6.436 7.57276 Clear 0 1287.974 114.613 9
2020-01-20 15:49:57.591000 6.185 7.3209 Clear 0 1287.814 114.59 9
2020-01-20 15:49:57.691000 5.895 7.03018 Clear 0 1287.654 114.567 9
2020-01-20 15:49:57.791000 5.506 6.64008 Clear 0 1287.494 114.545 9
2020-01-20 15:49:57.891000 5.686 6.8185 Clear 0 1287.335 114.522 9
2020-01-20 15:49:57.991000 5.523 6.65465 Clear 0 1287.176 114.5 9
2020-01-20 15:49:58.091000 5.31 6.44058 Clear 0 1287.018 114.477 9
2020-01-20 15:49:58.191000 4.839 5.96934 Clear 0 1286.859 114.454 9
2020-01-20 15:49:58.291000 4.057 5.18608 Clear 0 1286.701 114.432 9
2020-01-20 15:49:58.391000 5.3 6.42849 Clear 0 1286.544 114.409 9
2020-01-20 15:49:58.491000 6.235 7.36307 Clear 0 1286.387 114.386 9
2020-01-20 15:49:58.591000 6.363 7.48967 Clear 0 1286.23 114.364 9
2020-01-20 15:49:58.691000 6.419 7.54518 Clear 0 1286.073 114.341 9
2020-01-20 15:49:58.791000 6.133 7.25797 Clear 0 1285.917 114.318 9
2020-01-20 15:49:58.891000 5.855 6.97938 Clear 0 1285.761 114.296 9
2020-01-20 15:49:58.991000 5.586 6.7092 Clear 0 1285.605 114.273 9
2020-01-20 15:49:59.091000 5.745 6.86651 Clear 0 1285.45 114.25 9
2020-01-20 15:49:59.191000 5.612 6.73264 Clear 0 1285.295 114.228 9
2020-01-20 15:49:59.291000 5.504 6.62381 Clear 0 1285.141 114.205 9
2020-01-20 15:49:59.391000 4.828 5.94667 Clear 0 1284.986 114.182 9
2020-01-20 15:49:59.491000 3.994 5.11169 Clear 0 1284.832 114.16 9
2020-01-20 15:49:59.591000 5.474 6.59115 Clear 0 1284.679 114.137 9
2020-01-20 15:49:59.691000 6.09 7.20659 Clear 0 1284.525 114.114 9
2020-01-20 15:49:59.791000 6.344 7.46004 Clear 0 1284.372 114.091 9
2020-01-20 15:49:59.891000 6.269 7.38418 Clear 0 1284.22 114.069 9
2020-01-20 15:49:59.991000 6.181 7.29486 Clear 0 1284.067 114.046 9
2020-01-20 15:50:00.091000 5.842 6.95494 Clear 0 1283.915 114.023 9
2020-01-20 15:50:00.191000 5.49 6.6018 Clear 0 1283.764 114.0 9
2020-01-20 15:50:00.291000 5.705 6.8157 Clear 0 1283.612 113.977 9
2020-01-20 15:50:00.391000 5.498 6.60832 Clear 0 1283.461 113.955 9
2020-01-20 15:50:00.491000 5.027 6.13644 Clear 0 1283.311 113.932 9
2020-01-20 15:50:00.591000 4.704 5.81219 Clear 0 1283.16 113.909 9
2020-01-20 15:50:00.691000 4.077 5.18352 Clear 0 1283.01 113.886 9
2020-01-20 15:50:00.791000 5.582 6.68825 Clear 0 1282.861 113.863 9
2020-01-20 15:50:00.891000 6.183 7.28817 Clear 0 1282.711 113.841 9
2020-01-20 15:50:00.991000 6.456 7.56063 Clear 0 1282.562 113.818 9
2020-01-20 15:50:01.091000 6.333 7.43713 Clear 0 1282.413 113.795 9
2020-01-20 15:50:01.191000 6.139 7.24187 Clear 0 1282.265 113.772 9
2020-01-20 15:50:01.291000 5.924 7.02619 Clear 0 1282.117 113.749 9
2020-01-20 15:50:01.391000 5.481 6.58229 Clear 0 1281.969 113.726 9
2020-01-20 15:50:01.491000 5.762 6.86233 Clear 0 1281.822 113.704 9
2020-01-20 15:50:01.591000 5.561 6.65997 Clear 0 1281.675 113.681 9
2020-01-20 15:50:01.691000 5.375 6.47303 Clear 0 1281.528 113.658 9
2020-01-20 15:50:01.791000 4.638 5.73531 Clear 0 1281.382 113.635 9
2020-01-20 15:50:01.891000 4.1 5.19551 Clear 0 1281.235 113.612 9
2020-01-20 15:50:01.991000 5.626 6.72104 Clear 0 1281.09 113.589 9
2020-01-20 15:50:02.091000 6.115 7.21035 Clear 0 1280.944 113.566 9
2020-01-20 15:50:02.191000 6.407 7.50095 Clear 0 1280.799 113.543 9
2020-01-20 15:50:02.291000 6.203 7.29582 Clear 0 1280.654 113.52 9
2020-01-20 15:50:02.391000 6.194 7.2863 Clear 0 1280.51 113.497 9
2020-01-20 15:50:02.491000 5.825 6.9155 Clear 0 1280.366 113.474 9
