# satellite: 8710 N-1 R/B / JPN
# catalogue: 1 NORAD
# track: 12687552
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 134
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-09-13 23:56:54.496000 8.492 9.23687 Clear 0 1269.896 100.74 5
2017-09-13 23:56:54.596000 8.56 9.30662 Clear 0 1270.273 100.764 5
2017-09-13 23:56:54.696000 8.329 9.07662 Clear 0 1270.651 100.788 5
2017-09-13 23:56:54.796000 8.119 8.86801 Clear 0 1271.029 100.812 5
2017-09-13 23:56:54.896000 8.761 9.51069 Clear 0 1271.407 100.836 5
2017-09-13 23:56:54.996000 8.54 9.29111 Clear 0 1271.786 100.86 5
2017-09-13 23:56:55.096000 8.524 9.27678 Clear 0 1272.164 100.884 5
2017-09-13 23:56:55.196000 8.404 9.15774 Clear 0 1272.543 100.908 5
2017-09-13 23:56:55.396000 8.743 9.49845 Clear 0 1273.302 100.957 5
2017-09-13 23:56:55.496000 8.285 9.042 Clear 0 1273.681 100.981 5
2017-09-13 23:56:55.596000 8.16 8.91893 Clear 0 1274.061 101.005 5
2017-09-13 23:56:55.696000 8.876 9.63641 Clear 0 1274.441 101.029 5
2017-09-13 23:56:55.796000 8.43 9.19047 Clear 0 1274.822 101.053 5
2017-09-13 23:56:55.896000 8.342 9.10399 Clear 0 1275.202 101.077 5
2017-09-13 23:56:55.996000 8.101 8.86396 Clear 0 1275.583 101.101 5
2017-09-13 23:56:56.096000 8.32 9.0847 Clear 0 1275.964 101.125 5
2017-09-13 23:56:56.196000 8.28 9.04569 Clear 0 1276.345 101.148 5
2017-09-13 23:56:56.296000 8.356 9.12297 Clear 0 1276.727 101.172 5
2017-09-13 23:56:56.396000 8.048 8.8158 Clear 0 1277.108 101.196 5
2017-09-13 23:56:56.496000 8.336 9.1052 Clear 0 1277.49 101.22 5
2017-09-13 23:56:56.596000 7.983 8.75433 Clear 0 1277.873 101.244 5
2017-09-13 23:56:56.696000 8.257 9.02933 Clear 0 1278.255 101.268 5
2017-09-13 23:56:56.796000 8.314 9.08646 Clear 0 1278.638 101.292 5
2017-09-13 23:56:56.896000 8.363 9.1374 Clear 0 1279.02 101.316 5
2017-09-13 23:56:56.996000 7.994 8.76872 Clear 0 1279.404 101.34 5
2017-09-13 23:56:57.096000 8.313 9.09016 Clear 0 1279.787 101.363 5
2017-09-13 23:56:57.196000 8.536 9.31354 Clear 0 1280.17 101.387 5
