# satellite: 8710 N-1 R/B / JPN
# catalogue: 1 NORAD
# track: 764253
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 1197
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-07-17 20:20:26.935000 7.737 8.32602 Clear 0 1533.991 68.177 9
2014-07-17 20:20:27.035000 7.63 8.21788 Clear 0 1533.569 68.187 9
2014-07-17 20:20:27.235000 7.333 7.92027 Clear 0 1532.725 68.206 9
2014-07-17 20:20:27.335000 7.209 7.79553 Clear 0 1532.303 68.216 9
2014-07-17 20:20:27.435000 7.756 8.34188 Clear 0 1531.882 68.226 9
2014-07-17 20:20:27.535000 7.341 7.92712 Clear 0 1531.46 68.236 9
2014-07-17 20:20:27.635000 7.403 7.98771 Clear 0 1531.039 68.246 9
2014-07-17 20:20:27.735000 7.216 7.80095 Clear 0 1530.618 68.256 9
2014-07-17 20:20:28.035000 7.465 8.0484 Clear 0 1529.355 68.286 9
2014-07-17 20:20:28.135000 7.471 8.05433 Clear 0 1528.935 68.296 9
2014-07-17 20:20:28.235000 7.517 8.09867 Clear 0 1528.515 68.306 9
2014-07-17 20:20:28.435000 7.92 8.50124 Clear 0 1527.675 68.325 9
2014-07-17 20:20:28.535000 7.756 8.3369 Clear 0 1527.255 68.335 9
2014-07-17 20:20:28.635000 7.377 7.95776 Clear 0 1526.835 68.345 9
2014-07-17 20:20:28.735000 7.421 8.00053 Clear 0 1526.416 68.355 9
2014-07-17 20:20:28.835000 7.256 7.83591 Clear 0 1525.997 68.365 9
2014-07-17 20:20:28.935000 7.355 7.93381 Clear 0 1525.578 68.375 9
2014-07-17 20:20:29.035000 7.12 7.69864 Clear 0 1525.159 68.386 9
2014-07-17 20:20:29.135000 7.239 7.81718 Clear 0 1524.74 68.396 9
2014-07-17 20:20:29.235000 7.179 7.75742 Clear 0 1524.321 68.406 9
2014-07-17 20:20:29.335000 7.282 7.85882 Clear 0 1523.903 68.416 9
2014-07-17 20:20:29.435000 7.675 8.25167 Clear 0 1523.485 68.426 9
2014-07-17 20:20:29.535000 7.633 8.20849 Clear 0 1523.067 68.436 9
2014-07-17 20:20:29.635000 7.114 7.68958 Clear 0 1522.649 68.446 9
2014-07-17 20:20:29.735000 7.095 7.67026 Clear 0 1522.231 68.456 9
2014-07-17 20:20:29.835000 7.325 7.8995 Clear 0 1521.813 68.466 9
2014-07-17 20:20:29.935000 7.125 7.6992 Clear 0 1521.396 68.476 9
2014-07-17 20:20:30.035000 7.323 7.89692 Clear 0 1520.979 68.486 9
2014-07-17 20:20:30.135000 7.163 7.7369 Clear 0 1520.562 68.496 9
2014-07-17 20:20:30.235000 7.471 8.04349 Clear 0 1520.145 68.506 9
2014-07-17 20:20:30.335000 7.186 7.7586 Clear 0 1519.728 68.517 9
2014-07-17 20:20:30.435000 7.233 7.80507 Clear 0 1519.312 68.527 9
2014-07-17 20:20:30.535000 7.066 7.63774 Clear 0 1518.895 68.537 9
2014-07-17 20:20:30.635000 7.379 7.94962 Clear 0 1518.479 68.547 9
2014-07-17 20:20:30.735000 7.073 7.64426 Clear 0 1518.063 68.557 9
