# satellite: 871 SCOUT X-4 R/B / US
# catalogue: 1 NORAD
# track: 10409198
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 97
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-05-04 19:26:29.797000 9.662 9.82854 Clear 0 1059.686 92.004 1
2016-05-04 19:26:29.897000 8.683 8.85117 Clear 0 1059.951 92.031 1
2016-05-04 19:26:29.997000 8.667 8.83562 Clear 0 1060.216 92.058 1
2016-05-04 19:26:30.097000 9.793 9.96315 Clear 0 1060.481 92.085 1
2016-05-04 19:26:30.197000 8.684 8.85509 Clear 0 1060.747 92.111 1
2016-05-04 19:26:30.297000 9.045 9.21683 Clear 0 1061.013 92.138 1
2016-05-04 19:26:30.397000 9.657 9.8313 Clear 0 1061.28 92.165 1
2016-05-04 19:26:30.497000 9.052 9.22706 Clear 0 1061.547 92.192 1
2016-05-04 19:26:30.697000 8.837 9.01379 Clear 0 1062.082 92.245 1
2016-05-04 19:26:30.797000 9.853 10.0306 Clear 0 1062.35 92.272 1
2016-05-04 19:26:30.997000 9.067 9.24701 Clear 0 1062.887 92.326 1
2016-05-04 19:26:31.097000 9.887 10.0677 Clear 0 1063.156 92.352 1
2016-05-04 19:26:31.397000 8.812 8.99575 Clear 0 1063.965 92.433 1
2016-05-04 19:26:31.497000 8.837 9.02227 Clear 0 1064.236 92.459 1
2016-05-04 19:26:31.697000 9.392 9.57995 Clear 0 1064.778 92.512 1
2016-05-04 19:26:31.797000 9.286 9.47468 Clear 0 1065.049 92.539 1
2016-05-04 19:26:32.197000 9.951 10.1441 Clear 0 1066.139 92.646 1
2016-05-04 19:26:32.297000 9.896 10.0903 Clear 0 1066.413 92.672 1
2016-05-04 19:26:32.397000 9.931 10.1259 Clear 0 1066.686 92.699 1
2016-05-04 19:26:32.497000 9.052 9.24771 Clear 0 1066.96 92.725 1
2016-05-04 19:26:32.697000 10.171 10.3689 Clear 0 1067.51 92.778 1
2016-05-04 19:26:32.797000 8.899 9.09746 Clear 0 1067.785 92.805 1
2016-05-04 19:26:32.997000 8.667 8.86887 Clear 0 1068.336 92.858 1
2016-05-04 19:26:33.097000 9.455 9.65824 Clear 0 1068.612 92.884 1
2016-05-04 19:26:33.297000 9.757 9.96191 Clear 0 1069.166 92.937 1
2016-05-04 19:26:33.397000 8.632 8.83775 Clear 0 1069.443 92.964 1
2016-05-04 19:26:33.497000 9.234 9.44144 Clear 0 1069.721 92.99 1
2016-05-04 19:26:33.697000 8.606 8.81511 Clear 0 1070.277 93.043 1
2016-05-04 19:26:33.797000 9.738 9.94786 Clear 0 1070.556 93.069 1
