# satellite: 871 SCOUT X-4 R/B / US
# catalogue: 1 NORAD
# track: 12368363
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 974
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-06-08 22:19:01.599000 5.441 6.27557 Clear 0 1258.961 105.307 3
2017-06-08 22:19:01.699000 5.348 6.18161 Clear 0 1258.523 105.282 3
2017-06-08 22:19:01.799000 5.123 5.95547 Clear 0 1258.085 105.258 3
2017-06-08 22:19:01.900000 4.918 5.74886 Clear 0 1257.643 105.234 3
2017-06-08 22:19:01.999000 4.97 5.79967 Clear 0 1257.21 105.21 3
2017-06-08 22:19:02.099000 4.758 5.58674 Clear 0 1256.772 105.186 3
2017-06-08 22:19:02.199000 4.509 5.33577 Clear 0 1256.335 105.161 3
2017-06-08 22:19:02.299000 4.283 5.10859 Clear 0 1255.898 105.137 3
2017-06-08 22:19:02.399000 3.875 4.69973 Clear 0 1255.462 105.113 3
2017-06-08 22:19:02.499000 3.383 4.2064 Clear 0 1255.025 105.089 3
2017-06-08 22:19:02.599000 3.024 3.84612 Clear 0 1254.589 105.064 3
2017-06-08 22:19:02.699000 3.168 3.98846 Clear 0 1254.153 105.04 3
2017-06-08 22:19:02.799000 3.37 4.18851 Clear 0 1253.717 105.016 3
2017-06-08 22:19:02.899000 3.47 4.28822 Clear 0 1253.281 104.991 3
2017-06-08 22:19:02.999000 3.61 4.4264 Clear 0 1252.845 104.967 3
2017-06-08 22:19:03.099000 3.607 4.42161 Clear 0 1252.41 104.942 3
2017-06-08 22:19:03.199000 3.633 4.44669 Clear 0 1251.975 104.918 3
2017-06-08 22:19:03.299000 3.596 4.40835 Clear 0 1251.54 104.894 3
2017-06-08 22:19:03.399000 3.591 4.40164 Clear 0 1251.106 104.869 3
2017-06-08 22:19:03.499000 3.662 4.47222 Clear 0 1250.671 104.845 3
2017-06-08 22:19:03.599000 3.776 4.58423 Clear 0 1250.237 104.82 3
2017-06-08 22:19:03.699000 3.789 4.59596 Clear 0 1249.803 104.796 3
2017-06-08 22:19:03.799000 3.683 4.48941 Clear 0 1249.369 104.771 3
2017-06-08 22:19:03.899000 3.797 4.60144 Clear 0 1248.936 104.747 3
2017-06-08 22:19:03.999000 4.2 5.00344 Clear 0 1248.502 104.722 3
2017-06-08 22:19:04.099000 4.388 5.18982 Clear 0 1248.069 104.698 3
2017-06-08 22:19:04.199000 4.626 5.42621 Clear 0 1247.636 104.673 3
2017-06-08 22:19:04.299000 4.872 5.67129 Clear 0 1247.204 104.648 3
2017-06-08 22:19:04.399000 5.074 5.8706 Clear 0 1246.771 104.624 3
2017-06-08 22:19:04.499000 5.309 6.10528 Clear 0 1246.339 104.599 3
2017-06-08 22:19:04.599000 5.492 6.28727 Clear 0 1245.907 104.575 3
