# satellite: 965 OPS 6582 (TRANSIT 5B-5) / US
# catalogue: 1 NORAD
# track: 17240296
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 209
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-01-20 02:17:40.797000 5.107 4.79655 Clear 0 1077.173 56.837 4
2020-01-20 02:17:40.897000 5.087 4.7771 Clear 0 1077.15 56.832 4
2020-01-20 02:17:40.997000 5.001 4.69101 Clear 0 1077.129 56.827 4
2020-01-20 02:17:41.097000 5.026 4.7158 Clear 0 1077.107 56.822 4
2020-01-20 02:17:41.197000 4.911 4.60094 Clear 0 1077.086 56.816 4
2020-01-20 02:17:41.297000 4.9 4.59028 Clear 0 1077.066 56.811 4
2020-01-20 02:17:41.397000 4.922 4.61224 Clear 0 1077.046 56.806 4
2020-01-20 02:17:41.497000 4.967 4.65669 Clear 0 1077.026 56.801 4
2020-01-20 02:17:41.597000 5.11 4.79905 Clear 0 1077.007 56.795 4
2020-01-20 02:17:41.697000 5.15 4.83867 Clear 0 1076.988 56.79 4
2020-01-20 02:17:41.797000 5.289 4.97758 Clear 0 1076.969 56.785 4
2020-01-20 02:17:41.897000 5.319 5.00833 Clear 0 1076.951 56.78 4
2020-01-20 02:17:41.997000 5.552 5.2413 Clear 0 1076.934 56.775 4
2020-01-20 02:17:42.097000 5.606 5.29472 Clear 0 1076.917 56.77 4
2020-01-20 02:17:42.197000 5.627 5.31569 Clear 0 1076.9 56.765 4
2020-01-20 02:17:42.297000 5.616 5.3047 Clear 0 1076.884 56.76 4
2020-01-20 02:17:42.397000 5.583 5.27159 Clear 0 1076.868 56.755 4
2020-01-20 02:17:42.497000 5.608 5.29667 Clear 0 1076.852 56.75 4
2020-01-20 02:17:42.597000 5.533 5.22184 Clear 0 1076.837 56.745 4
2020-01-20 02:17:42.697000 5.403 5.09185 Clear 0 1076.823 56.74 4
2020-01-20 02:17:42.797000 5.263 4.95115 Clear 0 1076.808 56.735 4
2020-01-20 02:17:42.897000 5.149 4.83663 Clear 0 1076.795 56.73 4
2020-01-20 02:17:42.997000 5.138 4.82548 Clear 0 1076.781 56.725 4
2020-01-20 02:17:43.097000 4.997 4.68463 Clear 0 1076.768 56.72 4
2020-01-20 02:17:43.197000 5.011 4.69861 Clear 0 1076.756 56.715 4
2020-01-20 02:17:43.297000 5.032 4.71973 Clear 0 1076.744 56.71 4
2020-01-20 02:17:43.397000 5.081 4.76868 Clear 0 1076.732 56.705 4
2020-01-20 02:17:43.497000 5.129 4.81688 Clear 0 1076.721 56.7 4
2020-01-20 02:17:43.597000 5.079 4.76665 Clear 0 1076.71 56.695 4
2020-01-20 02:17:43.697000 5.087 4.77525 Clear 0 1076.7 56.69 4
2020-01-20 02:17:43.797000 5.122 4.80982 Clear 0 1076.69 56.686 4
2020-01-20 02:17:43.897000 5.133 4.82101 Clear 0 1076.681 56.681 4
2020-01-20 02:17:43.997000 5.069 4.75737 Clear 0 1076.672 56.676 4
2020-01-20 02:17:44.097000 4.954 4.64178 Clear 0 1076.663 56.671 4
2020-01-20 02:17:44.197000 5.012 4.69865 Clear 0 1076.655 56.666 4
2020-01-20 02:17:44.297000 5.062 4.7486 Clear 0 1076.647 56.662 4
2020-01-20 02:17:44.397000 5.144 4.83101 Clear 0 1076.64 56.657 4
2020-01-20 02:17:44.497000 5.131 4.81831 Clear 0 1076.633 56.652 4
2020-01-20 02:17:44.597000 5.195 4.88175 Clear 0 1076.626 56.648 4
2020-01-20 02:17:44.697000 5.268 4.955 Clear 0 1076.62 56.643 4
2020-01-20 02:17:44.797000 5.406 5.09325 Clear 0 1076.614 56.638 4
2020-01-20 02:17:44.897000 5.606 5.29279 Clear 0 1076.609 56.634 4
2020-01-20 02:17:44.997000 5.911 5.59767 Clear 0 1076.604 56.629 4
2020-01-20 02:17:45.097000 6.38 6.06647 Clear 0 1076.6 56.624 4
2020-01-20 02:17:45.197000 7.0 6.68713 Clear 0 1076.596 56.62 4
2020-01-20 02:17:45.297000 7.603 7.28983 Clear 0 1076.592 56.615 4
2020-01-20 02:17:45.397000 8.463 8.15007 Clear 0 1076.589 56.611 4
2020-01-20 02:17:45.497000 8.759 8.44607 Clear 0 1076.587 56.606 4
2020-01-20 02:17:45.597000 9.235 8.9215 Clear 0 1076.584 56.602 4
2020-01-20 02:17:45.697000 8.796 8.48264 Clear 0 1076.583 56.597 4
2020-01-20 02:17:45.797000 8.787 8.4736 Clear 0 1076.581 56.593 4
2020-01-20 02:17:45.897000 8.843 8.52991 Clear 0 1076.58 56.588 4
2020-01-20 02:17:45.997000 8.675 8.36051 Clear 0 1076.58 56.584 4
2020-01-20 02:17:46.097000 8.986 8.67192 Clear 0 1076.579 56.579 4
2020-01-20 02:17:46.197000 8.968 8.65424 Clear 0 1076.58 56.575 4
2020-01-20 02:17:46.297000 9.219 8.90532 Clear 0 1076.58 56.57 4
2020-01-20 02:17:46.397000 8.959 8.64472 Clear 0 1076.582 56.566 4
2020-01-20 02:17:46.497000 8.96 8.64631 Clear 0 1076.583 56.562 4
2020-01-20 02:17:46.597000 9.117 8.80318 Clear 0 1076.585 56.557 4
2020-01-20 02:17:46.697000 8.844 8.53038 Clear 0 1076.588 56.553 4
