# satellite: 965 OPS 6582 (TRANSIT 5B-5) / US
# catalogue: 1 NORAD
# track: 30777773
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 276
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-01-31 02:06:37.398000 9.384 9.14365 Clear 0 1160.307 46.923 6
2025-01-31 02:06:37.498000 9.28 9.04053 Clear 0 1160.506 46.934 6
2025-01-31 02:06:37.598000 9.22 8.98072 Clear 0 1160.705 46.945 6
2025-01-31 02:06:37.698000 9.233 8.99519 Clear 0 1160.904 46.955 6
2025-01-31 02:06:37.798000 9.254 9.0155 Clear 0 1161.103 46.966 6
2025-01-31 02:06:37.898000 9.451 9.21345 Clear 0 1161.303 46.977 6
2025-01-31 02:06:37.998000 9.261 9.02402 Clear 0 1161.503 46.987 6
2025-01-31 02:06:38.098000 9.425 9.1883 Clear 0 1161.704 46.998 6
2025-01-31 02:06:38.198000 9.132 8.89582 Clear 0 1161.905 47.009 6
2025-01-31 02:06:38.298000 9.739 9.50341 Clear 0 1162.106 47.019 6
2025-01-31 02:06:38.498000 9.446 9.21091 Clear 0 1162.51 47.041 6
2025-01-31 02:06:38.598000 9.152 8.9182 Clear 0 1162.713 47.052 6
2025-01-31 02:06:38.698000 8.941 8.70687 Clear 0 1162.915 47.062 6
2025-01-31 02:06:38.898000 9.416 9.18251 Clear 0 1163.322 47.084 6
2025-01-31 02:06:38.998000 9.242 9.00986 Clear 0 1163.526 47.095 6
2025-01-31 02:06:39.098000 9.086 8.8536 Clear 0 1163.73 47.106 6
2025-01-31 02:06:39.298000 8.907 8.67593 Clear 0 1164.14 47.127 6
2025-01-31 02:06:39.398000 9.034 8.8042 Clear 0 1164.345 47.138 6
2025-01-31 02:06:39.498000 9.069 8.83908 Clear 0 1164.551 47.149 6
2025-01-31 02:06:39.598000 9.495 9.26558 Clear 0 1164.756 47.16 6
2025-01-31 02:06:39.698000 9.264 9.03475 Clear 0 1164.963 47.171 6
2025-01-31 02:06:39.798000 8.789 8.55983 Clear 0 1165.17 47.182 6
2025-01-31 02:06:39.898000 8.847 8.61853 Clear 0 1165.377 47.193 6
2025-01-31 02:06:40.098000 9.25 9.0233 Clear 0 1165.792 47.215 6
2025-01-31 02:06:40.198000 8.876 8.64937 Clear 0 1166.0 47.226 6
2025-01-31 02:06:40.398000 9.497 9.27093 Clear 0 1166.417 47.248 6
2025-01-31 02:06:40.498000 8.915 8.68998 Clear 0 1166.626 47.259 6
2025-01-31 02:06:40.598000 9.377 9.15163 Clear 0 1166.836 47.27 6
2025-01-31 02:06:40.698000 8.979 8.75528 Clear 0 1167.046 47.281 6
2025-01-31 02:06:40.798000 8.976 8.75195 Clear 0 1167.256 47.292 6
2025-01-31 02:06:40.898000 9.344 9.12082 Clear 0 1167.467 47.303 6
2025-01-31 02:06:40.998000 9.477 9.25407 Clear 0 1167.678 47.314 6
2025-01-31 02:06:41.098000 9.174 8.95167 Clear 0 1167.889 47.325 6
2025-01-31 02:06:41.298000 9.017 8.79551 Clear 0 1168.313 47.347 6
2025-01-31 02:06:41.398000 8.889 8.66769 Clear 0 1168.525 47.359 6
2025-01-31 02:06:41.498000 9.104 8.88385 Clear 0 1168.738 47.37 6
2025-01-31 02:06:41.598000 9.017 8.79724 Clear 0 1168.951 47.381 6
2025-01-31 02:06:41.698000 9.036 8.81649 Clear 0 1169.165 47.392 6
2025-01-31 02:06:41.798000 8.837 8.61755 Clear 0 1169.378 47.403 6
2025-01-31 02:06:41.998000 9.096 8.87823 Clear 0 1169.807 47.426 6
2025-01-31 02:06:42.098000 9.045 8.82773 Clear 0 1170.022 47.437 6
2025-01-31 02:06:42.198000 9.038 8.8212 Clear 0 1170.237 47.448 6
2025-01-31 02:06:42.298000 9.576 9.36037 Clear 0 1170.453 47.459 6
2025-01-31 02:06:42.398000 9.407 9.19079 Clear 0 1170.668 47.471 6
2025-01-31 02:06:42.498000 8.958 8.74256 Clear 0 1170.885 47.482 6
2025-01-31 02:06:42.598000 9.607 9.3919 Clear 0 1171.101 47.493 6
2025-01-31 02:06:42.698000 9.788 9.57437 Clear 0 1171.318 47.504 6
2025-01-31 02:06:42.798000 9.498 9.28443 Clear 0 1171.536 47.516 6
2025-01-31 02:06:42.998000 8.724 8.51111 Clear 0 1171.971 47.538 6
2025-01-31 02:06:43.098000 9.273 9.06116 Clear 0 1172.19 47.55 6
2025-01-31 02:06:43.198000 8.916 8.70385 Clear 0 1172.408 47.561 6
2025-01-31 02:06:43.298000 9.271 9.06043 Clear 0 1172.627 47.572 6
2025-01-31 02:06:43.398000 9.14 8.92856 Clear 0 1172.847 47.584 6
2025-01-31 02:06:43.498000 9.389 9.17899 Clear 0 1173.067 47.595 6
2025-01-31 02:06:43.598000 9.476 9.2659 Clear 0 1173.287 47.607 6
2025-01-31 02:06:43.698000 9.086 8.87652 Clear 0 1173.507 47.618 6
2025-01-31 02:06:43.798000 9.16 8.95089 Clear 0 1173.728 47.629 6
2025-01-31 02:06:43.898000 9.467 9.25882 Clear 0 1173.949 47.641 6
2025-01-31 02:06:43.998000 9.534 9.32608 Clear 0 1174.171 47.652 6
2025-01-31 02:06:44.098000 9.719 9.51173 Clear 0 1174.392 47.664 6
2025-01-31 02:06:44.198000 9.011 8.80401 Clear 0 1174.615 47.675 6
2025-01-31 02:06:44.398000 9.125 8.91885 Clear 0 1175.06 47.698 6
2025-01-31 02:06:44.598000 9.343 9.13802 Clear 0 1175.507 47.721 6
2025-01-31 02:06:44.698000 9.455 9.25092 Clear 0 1175.731 47.733 6
2025-01-31 02:06:44.798000 9.324 9.12003 Clear 0 1175.955 47.744 6
2025-01-31 02:06:44.898000 9.496 9.29284 Clear 0 1176.18 47.756 6
2025-01-31 02:06:44.998000 9.134 8.93116 Clear 0 1176.405 47.767 6
