candidate_number,norad_id,name,international_designator,type,length,diameter,span,shape,mass,country,manufacturer,mission,owner,launch_date,launch_mass,launch_site,launch_pad,lifetime,rcs,size_scale,mmt9_found,mmt9_track_count,mmt9_period,mmt9_notes
1,28897.0,NCUBE-2,,3,0.1,0.1,0.1,Box,1,N,NSC/NTNU,"Technology, traffic monitoring",,2005-10-27T00:00:00.000Z,1,PLMSC,LC132/1,,0.0133,0.1,,,,
2,43656.0,CZ-4B R/B,,2,0.3,0.3,0.3,Box,20,CN,SAST,Communications,,2018-10-24T00:00:00.000Z,20,TAISC,LC9,,,0.3,,,,
3,12551.0,COSMOS 1249 FUEL CORE,,3,0.5,0.2,0.5,Cyl,53,SU,KOMET,,,1981-03-05T00:00:00.000Z,53,TYMSC,LC90,,0.1546,0.5,,,,
4,28632.0,SL-12 R/B(AUX MOTOR),,2,1.0,0.6,1.0,Cyl,56,RU,RKKE,,,2005-03-29T00:00:00.000Z,110,TYMSC,LC200/39,,0.612,1.0,,,,
5,37144.0,SL-12 R/B(AUX MOTOR),,2,1.0,0.6,1.0,Cyl,56,RU,RKKE,,,2010-09-02T00:00:00.000Z,110,TYMSC,LC81/24,,0.5309,1.0,,,,
6,68293.0,ELECTRON KICK STAGE R/B,,2,1.2,0.4,1.2,Trunc cone,50,US,RLABN,,,2026-03-20,50,RLLC,LC1B,,,1.2,,,,
7,631.0,ATLAS AGENA B DEB,,3,1.5,0.3,1.5,Pan,10,US,,,,1963-07-19T00:00:00.000Z,10,AFWTR,LC1-2,,0.4979,1.5,,,,
8,1318.0,DELTA 1 R/B(2),,2,1.5,0.5,1.5,Cyl,33,US,ABL,,,1965-04-06T00:00:00.000Z,33,AFETR,LC17A,,0.7515,1.5,,,,
9,8710.0,N-1 R/B,,2,1.8,1.2,1.8,Sphere + Cone,105,J,THKE,,,1976-02-29T00:00:00.000Z,669,TANSC,N,,1.4641,1.8,,,,
10,24921.0,PEGASUS R/B,,2,1.4,1.0,2.0,Cyl,202,US,OSCC/ATKH,,,1997-08-29T00:00:00.000Z,202,WRAS,RW30/12,,1.2819,2.0,,,,
11,1616.0,ATLAS D R/B,,2,2.1,0.7,2.1,Cyl,70,US,ABL,,,1965-10-05T00:00:00.000Z,70,AFWTR,ABRESB3,,0.9836,2.1,,,,
12,23947.0,USA 125 DEB,,3,2.5,1.4,2.5,Cyl + Cone,200,US,THKU,,,1996-07-03T00:00:00.000Z,3660,AFETR,LC40,,,2.5,,,,
13,41192.0,BREEZE-M R/B,,2,2.6,2.5,2.6,Cyl,1600,RU,KHRO,,,2015-12-24T00:00:00.000Z,7500,TYMSC,LC200/39,,3.7932,2.6,,,,
14,29650.0,BREEZE-M R/B,,2,2.6,2.5,2.6,Cyl,1600,RU,KHRR,,,2006-12-11T00:00:00.000Z,7500,TYMSC,LC200/39,,12.6187,2.6,,,,
15,22693.0,SL-14 R/B,,2,2.8,2.2,2.8,Cyl,1600,RU,YUZHUA,,,1993-06-24T00:00:00.000Z,1600,PLMSC,LC32/1,,5.7625,2.8,,,,
16,17912.0,SL-14 R/B,,2,2.8,2.2,2.8,Cyl,1600,SU,YUZH,,,1987-04-27T00:00:00.000Z,1600,PLMSC,LC32/2,,4.4461,2.8,,,,
17,11267.0,SL-14 R/B,,2,2.8,2.2,2.8,Cyl,1600,SU,YUZH,,,1979-02-12T00:00:00.000Z,1600,PLMSC,LC32/2,,4.0015,2.8,,,,
18,31123.0,SL-24 R/B,,2,3.0,3.0,3.0,Cyl,1000,RU,YUZHUA,,,2007-04-17T00:00:00.000Z,1000,TYMSC,LC109/95,,5.2387,3.0,,,,
19,54032.0,FREGAT R/B,,2,1.7,3.3,3.3,Irr,1000,RU,NPOLO,,,2022-10-10T00:00:00.000Z,6600,PLMSC,LC43/4,,,3.3,,,,
20,41555.0,FREGAT R/B,,2,1.7,3.3,3.3,Irr,1000,RU,NPOLO,,,2016-05-29T00:00:00.000Z,6600,PLMSC,LC43/4,,2.0653,3.3,,,,
21,9482.0,SL-3 R/B,,2,3.8,2.6,3.8,Cyl,1440,SU,PROG,,,1976-10-15T00:00:00.000Z,1440,PLMSC,LC43/3,,6.8905,3.8,,,,
22,27716.0,ARIANE 5 R/B,,2,3.3,3.9,3.9,Cone + Cyl,1190,F,ASTD,,,2003-04-09T00:00:00.000Z,1190,FRGUI,ELA3,,19.267,3.9,,,,
23,32389.0,ARIANE 5 R/B,,2,4.0,3.9,4.0,Cone + Cyl,3057,F,EADSB,,,2007-12-21T00:00:00.000Z,3057,FRGUI,ELA3,,20.4914,4.0,,,,
24,23867.0,ARIANE 44L+3 DEB[SPELDA],,3,2.8,4.0,4.0,Cyl + Cone,370,F,MMSS,,,1996-05-16T00:00:00.000Z,370,FRGUI,ELA2,,14.5187,4.0,,,,
25,13758.0,SL-8 R/B,,2,4.2,2.4,4.2,Cyl,1434,SU,OAZ,,,1983-01-12T00:00:00.000Z,1434,PLMSC,LC132/2,,4.4389,4.2,,,,
26,14451.0,SL-8 R/B,,2,4.2,2.4,4.2,Cyl,1434,SU,OAZ,,,1983-10-26T00:00:00.000Z,1434,PLMSC,LC132/1,,4.048,4.2,,,,
27,5730.0,SL-8 R/B,,2,4.2,2.4,4.2,Cyl,1434,SU,OAZ,,,1971-12-27T00:00:00.000Z,1434,PLMSC,LC132/2,,5.234,4.2,,,,
28,3131.0,SL-8 R/B,,2,4.2,2.4,4.2,Cyl,1434,SU,YUZH,,,1968-02-20T00:00:00.000Z,1434,PLMSC,LC132/2,,4.3567,4.2,,,,
29,15625.0,SL-8 R/B,,2,4.2,2.4,4.2,Cyl,1434,SU,OAZ,,,1985-03-21T00:00:00.000Z,1434,PLMSC,LC132/2,,5.6998,4.2,,,,
30,17360.0,SL-8 R/B,,2,4.2,2.4,4.2,Cyl,1434,SU,OAZ,,,1987-01-29T00:00:00.000Z,1434,PLMSC,LC132/2,,4.289,4.2,,,,
31,1863.0,TITAN 3C TRANSTAGE R/B,,2,4.6,3.1,4.6,Cyl + 2 Nozzle,1950,US,MM,,,1965-12-21T00:00:00.000Z,1950,AFETR,LC41,,10.2538,4.6,,,,
32,39236.0,ARIANE 5 DEB [SYLDA],,3,5.5,4.5,5.5,Cyl,440,F,EADSB,,,2013-08-29T00:00:00.000Z,440,FRGUI,ELA3,,11.7616,5.5,,,,
33,39511.0,ARIANE 5 DEB [SYLDA],,3,6.1,4.5,6.1,Cyl,440,F,ADSB,,,2014-02-06T00:00:00.000Z,440,FRGUI,ELA3,,8.9432,6.1,,,,
34,17873.0,SL-12 R/B(2),,2,6.3,3.7,6.3,Cyl,2440,SU,NPOE,,,1979-04-25T00:00:00.000Z,17200,TYMSC,LC200/40,,3.9811,6.3,,,,
35,28627.0,BLOCK DM-SL R/B,,2,6.3,3.7,6.3,Cyl,3070,US,RKKE,,,2005-03-01T00:00:00.000Z,7400,SEAL,KLA -,,21.5625,6.3,,,,
36,23739.0,SL-12 R/B(2),,2,6.3,3.7,6.3,Cyl,2440,RU,RKKE,,,1995-12-14T00:00:00.000Z,17490,TYMSC,LC200/39,,1.876,6.3,,,,
37,39679.0,SL-4 R/B,,2,6.7,2.7,6.7,Cyl,2350,RU,PROGT,,,2014-04-16T00:00:00.000Z,2350,TYMSC,LC31,,10.2641,6.7,,,,
38,57655.0,CZ-4C R/B,,2,6.9,2.9,6.9,Cyl,1000,CN,SAST,,,2023-08-20T00:00:00.000Z,1000,JSC,LC43/94,,,6.9,,,,
39,32295.0,ARIANE 5 R/B,,2,7.0,5.5,7.0,Cyl,5000,F,EADSL,,,2007-11-14T00:00:00.000Z,5000,FRGUI,ELA3,,25.7105,7.0,,,,
40,40273.0,ARIANE 5 R/B,,2,7.0,5.5,7.0,Cyl,5000,F,ADSLV,,,2014-10-16T00:00:00.000Z,5000,FRGUI,ELA3,,2.5517,7.0,,,,
41,26381.0,SL-12 R/B(2),,2,7.1,3.7,7.1,Cyl,2440,RU,RKKE,,,2000-06-24T00:00:00.000Z,17490,TYMSC,LC200/39,,19.9526,7.1,,,,
42,43084.0,CZ-2C R/B,,2,8.4,3.3,8.4,Cyl,3800,CN,CALT,,,2017-12-25T00:00:00.000Z,3800,XICLF,LC3,,,8.4,,,,
43,10025.0,ATLAS CENTAUR R/B,,2,9.1,3.1,9.1,Cyl,1800,US,GDC,,,1977-05-26T00:00:00.000Z,2000,AFETR,LC36A,,17.0618,9.1,,,,
44,25502.0,ATLAS 2A CENTAUR R/B,,2,10.1,3.1,10.1,Cyl,2095,US,LMA/DENV,,,1998-10-20T00:00:00.000Z,2095,AFETR,SLC36A,,15.7371,10.1,,,,
45,59344.0,CZ-6A R/B,,2,11.5,3.4,11.5,Cyl,6000,CN,SAST,,,2024-03-26T00:00:00.000Z,6000,TAISC,LC9A,,,11.5,,,,
46,40209.0,ATLAS 5 CENTAUR R/B,,2,11.7,3.1,11.7,Cyl,2020,US,ULAD,,,2014-09-17T00:00:00.000Z,8200,AFETR,SLC41,,,11.7,,,,
47,23637.0,ARIANE 42L+3 R/B,,2,12.1,2.6,12.1,Cyl,1820,F,AELM,,,1995-08-03T00:00:00.000Z,2000,FRGUI,ELA2,,19.4274,12.1,,,,
48,41587.0,CZ-3B R/B,,2,12.4,3.0,12.4,Cyl,2800,CN,CALT,,,2016-06-12T00:00:00.000Z,7050,XICLF,LC3,,8.9807,12.4,,,,
49,54698.0,FALCON 9 R/B,,2,12.6,3.6,12.6,Cyl,4000,US,SPX,,,2022-12-11T00:00:00.000Z,4000,AFETR,LC40,,,12.6,,,,
50,5397.0,OV1-21,,2,2.1,0.7,32.0,Cyl,359,US,GDC,Experimental,,1971-08-07T00:00:00.000Z,359,AFWTR,BMRSA2,,2.1935,32.0,,,,
